Year,Tree,Ring_Width_mm
1993,MDPg34,1.775
1994,MDPg34,1.668
1995,MDPg34,1.417
1996,MDPg34,1.29
1997,MDPg34,1.141
1998,MDPg34,0.824
1999,MDPg34,1.099
2000,MDPg34,1.224
2001,MDPg34,1.285
2002,MDPg34,1.268
2003,MDPg34,1.691
2004,MDPg34,1.985
2005,MDPg34,2.111
2006,MDPg34,1.731
2007,MDPg34,1.585
2008,MDPg34,1.774
2009,MDPg34,2.213
2010,MDPg34,2.071
2011,MDPg34,1.987
2012,MDPg34,2.449
2013,MDPg34,1.957
2014,MDPg34,2.222
2015,MDPg34,2.451
2016,MDPg34,2.788
2017,MDPg34,2.439
2018,MDPg34,2.394
1976,MDPg35,0.422
1977,MDPg35,1.098
1978,MDPg35,1.263
1979,MDPg35,1.235
1980,MDPg35,0.632
1981,MDPg35,1.019
1982,MDPg35,1.06
1983,MDPg35,1.522
1984,MDPg35,1.59
1985,MDPg35,1.665
1986,MDPg35,1.733
1987,MDPg35,1.607
1988,MDPg35,1.199
1989,MDPg35,1.481
1990,MDPg35,1.269
1991,MDPg35,1.078
1992,MDPg35,0.846
1993,MDPg35,0.909
1994,MDPg35,2.131
1995,MDPg35,1.837
1996,MDPg35,1.648
1997,MDPg35,1.29
1998,MDPg35,1.163
1999,MDPg35,1.015
2000,MDPg35,1.627
2001,MDPg35,1.881
2002,MDPg35,0.909
2003,MDPg35,1.606
2004,MDPg35,1.543
2005,MDPg35,1.248
2006,MDPg35,2.071
2007,MDPg35,1.754
2008,MDPg35,1.015
2009,MDPg35,1.248
2010,MDPg35,1.057
2011,MDPg35,1.353
2012,MDPg35,1.522
2013,MDPg35,0.803
2014,MDPg35,1.121
2015,MDPg35,1.311
2016,MDPg35,1.501
2017,MDPg35,1.819
2018,MDPg35,2.042
