Year,Tree,Ring_Width_mm
1994,MURPH24,0.998
1995,MURPH24,1.363
1996,MURPH24,1.078
1997,MURPH24,0.494
1998,MURPH24,0.585
1999,MURPH24,0.642
2000,MURPH24,0.554
2001,MURPH24,0.556
2002,MURPH24,0.882
2003,MURPH24,0.756
2004,MURPH24,0.579
2005,MURPH24,0.591
2006,MURPH24,0.579
2007,MURPH24,0.397
2008,MURPH24,0.682
2009,MURPH24,0.701
2010,MURPH24,0.599
2011,MURPH24,0.853
2012,MURPH24,0.811
2013,MURPH24,0.742
2014,MURPH24,1.207
2015,MURPH24,1.003
1971,MURPH25,0.492
1972,MURPH25,0.555
1973,MURPH25,0.32
1974,MURPH25,0.435
1975,MURPH25,0.397
1976,MURPH25,0.82
1977,MURPH25,0.829
1978,MURPH25,0.847
1979,MURPH25,0.897
1980,MURPH25,0.694
1981,MURPH25,0.845
1982,MURPH25,1.35
1983,MURPH25,1.451
1984,MURPH25,1.375
1985,MURPH25,1.056
1986,MURPH25,1.187
1987,MURPH25,0.777
1988,MURPH25,1.065
1989,MURPH25,1.008
1990,MURPH25,1.211
1991,MURPH25,1.389
1992,MURPH25,0.69
1993,MURPH25,0.998
1994,MURPH25,0.998
1995,MURPH25,1.19
1996,MURPH25,1.27
1997,MURPH25,0.332
1998,MURPH25,0.075
1999,MURPH25,0.149
2000,MURPH25,0.161
2001,MURPH25,0.217
2002,MURPH25,0.48
2003,MURPH25,0.503
2004,MURPH25,0.564
2005,MURPH25,0.732
2006,MURPH25,0.661
2007,MURPH25,0.543
2008,MURPH25,0.277
2009,MURPH25,0.376
2010,MURPH25,0.546
2011,MURPH25,0.41
2012,MURPH25,0.339
2013,MURPH25,0.223
2014,MURPH25,0.39
2015,MURPH25,0.395
1972,MURPH26,1.238
1973,MURPH26,0.845
1974,MURPH26,0.868
1975,MURPH26,1.007
1976,MURPH26,1.159
1977,MURPH26,1.112
1978,MURPH26,1.393
1979,MURPH26,1.702
1980,MURPH26,1.64
1981,MURPH26,1.985
1982,MURPH26,1.814
1983,MURPH26,1.24
1984,MURPH26,1.449
1985,MURPH26,1.148
1986,MURPH26,1.083
1987,MURPH26,1.058
1988,MURPH26,0.43
1989,MURPH26,0.765
1990,MURPH26,0.971
1991,MURPH26,0.959
1992,MURPH26,1.029
1993,MURPH26,0.396
1994,MURPH26,0.466
1995,MURPH26,1.037
1996,MURPH26,1.094
1997,MURPH26,0.842
1998,MURPH26,0.433
1999,MURPH26,0.767
2000,MURPH26,0.782
2001,MURPH26,0.7
2002,MURPH26,1.008
2003,MURPH26,0.702
2004,MURPH26,1.057
2005,MURPH26,0.974
2006,MURPH26,0.677
2007,MURPH26,0.64
2008,MURPH26,0.809
2009,MURPH26,0.727
2010,MURPH26,0.373
2011,MURPH26,0.827
2012,MURPH26,0.612
2013,MURPH26,0.818
2014,MURPH26,0.785
2015,MURPH26,0.921
1964,MDBp09,0.975
1965,MDBp09,0.88
1966,MDBp09,0.132
1967,MDBp09,0.368
1968,MDBp09,0.265
1969,MDBp09,0.836
1970,MDBp09,0.416
1971,MDBp09,0.65
1972,MDBp09,0.525
1973,MDBp09,0.701
1974,MDBp09,0.619
1975,MDBp09,0.504
1976,MDBp09,0.457
1977,MDBp09,0.695
1978,MDBp09,0.724
1979,MDBp09,0.763
1980,MDBp09,0.682
1981,MDBp09,0.942
1982,MDBp09,0.696
1983,MDBp09,0.823
1984,MDBp09,0.899
1985,MDBp09,0.84
1986,MDBp09,0.731
1987,MDBp09,0.708
1988,MDBp09,0.683
1989,MDBp09,0.908
1990,MDBp09,1.103
1991,MDBp09,1.124
1992,MDBp09,0.748
1993,MDBp09,0.887
1994,MDBp09,1.088
1995,MDBp09,0.672
1996,MDBp09,0.572
1997,MDBp09,0.355
1998,MDBp09,0.362
1999,MDBp09,0.486
2000,MDBp09,0.579
2001,MDBp09,0.695
2002,MDBp09,1.166
2003,MDBp09,0.719
2004,MDBp09,0.895
2005,MDBp09,0.698
2006,MDBp09,0.311
2007,MDBp09,0.336
2008,MDBp09,0.537
2009,MDBp09,0.689
2010,MDBp09,0.221
2011,MDBp09,0.46
2012,MDBp09,0.47
2013,MDBp09,0.385
2014,MDBp09,0.328
2015,MDBp09,0.506
2016,MDBp09,0.344
2017,MDBp09,0.602
2018,MDBp09,0.622
1984,MDBp10,1.246
1985,MDBp10,0.981
1986,MDBp10,1.116
1987,MDBp10,1.089
1988,MDBp10,1.297
1989,MDBp10,2.068
1990,MDBp10,2.203
1991,MDBp10,2.37
1992,MDBp10,2.01
1993,MDBp10,2.569
1994,MDBp10,2.499
1995,MDBp10,2.662
1996,MDBp10,1.518
1997,MDBp10,0.799
1998,MDBp10,1.36
1999,MDBp10,1.414
2000,MDBp10,1.886
2001,MDBp10,2.263
2002,MDBp10,2.239
2003,MDBp10,1.515
2004,MDBp10,1.011
2005,MDBp10,2.01
2006,MDBp10,2.223
2007,MDBp10,1.918
2008,MDBp10,1.717
2009,MDBp10,1.467
2010,MDBp10,1.656
2011,MDBp10,2.416
2012,MDBp10,1.807
2013,MDBp10,0.828
2014,MDBp10,1.258
2015,MDBp10,1.671
2016,MDBp10,1.079
2017,MDBp10,1.486
2018,MDBp10,1.905
1961,MDBp11,0.395
1962,MDBp11,0.635
1963,MDBp11,0.811
1964,MDBp11,0.724
1965,MDBp11,0.55
1966,MDBp11,0.526
1967,MDBp11,0.525
1968,MDBp11,0.408
1969,MDBp11,0.449
1970,MDBp11,0.203
1971,MDBp11,0.578
1972,MDBp11,0.601
1973,MDBp11,1.014
1974,MDBp11,0.689
1975,MDBp11,1.136
1976,MDBp11,1.09
1977,MDBp11,1.127
1978,MDBp11,0.606
1979,MDBp11,1.007
1980,MDBp11,0.869
1981,MDBp11,0.961
1982,MDBp11,1.083
1983,MDBp11,0.201
1984,MDBp11,0.333
1985,MDBp11,0.16
1986,MDBp11,0.155
1987,MDBp11,0.331
1988,MDBp11,0.242
1989,MDBp11,0.725
1990,MDBp11,0.998
1991,MDBp11,1.166
1992,MDBp11,1.34
1993,MDBp11,1.105
1994,MDBp11,1.519
1995,MDBp11,1.642
1996,MDBp11,1.257
1997,MDBp11,0.703
1998,MDBp11,0.473
1999,MDBp11,0.576
2000,MDBp11,0.849
2001,MDBp11,0.477
2002,MDBp11,1.015
2003,MDBp11,0.618
2004,MDBp11,0.546
2005,MDBp11,0.928
2006,MDBp11,0.53
2007,MDBp11,0.347
2008,MDBp11,0.468
2009,MDBp11,0.553
2010,MDBp11,0.203
2011,MDBp11,0.651
2012,MDBp11,0.657
2013,MDBp11,0.536
2014,MDBp11,0.782
2015,MDBp11,0.502
2016,MDBp11,0.547
2017,MDBp11,0.658
2018,MDBp11,0.742
1976,MDBp12,0.416
1977,MDBp12,0.495
1978,MDBp12,0.461
1979,MDBp12,0.333
1980,MDBp12,0.506
1981,MDBp12,0.355
1982,MDBp12,0.61
1983,MDBp12,0.412
1984,MDBp12,0.611
1985,MDBp12,0.589
1986,MDBp12,0.412
1987,MDBp12,0.434
1988,MDBp12,1.109
1989,MDBp12,1.036
1990,MDBp12,0.86
1991,MDBp12,0.645
1992,MDBp12,0.891
1993,MDBp12,0.789
1994,MDBp12,0.626
1995,MDBp12,0.543
1996,MDBp12,0.71
1997,MDBp12,0.981
1998,MDBp12,0.87
1999,MDBp12,1.125
2000,MDBp12,0.998
2001,MDBp12,1.397
2002,MDBp12,1.714
2003,MDBp12,1.746
2004,MDBp12,1.976
2005,MDBp12,2.204
2006,MDBp12,1.383
2007,MDBp12,1.163
2008,MDBp12,1.693
2009,MDBp12,1.525
2010,MDBp12,0.741
2011,MDBp12,0.99
2012,MDBp12,1.23
2013,MDBp12,0.73
2014,MDBp12,0.7
2015,MDBp12,0.746
2016,MDBp12,0.851
2017,MDBp12,1.736
2018,MDBp12,1.789
1972,MDBp13,1.553
1973,MDBp13,1.111
1974,MDBp13,1.25
1975,MDBp13,1.165
1976,MDBp13,0.725
1977,MDBp13,0.578
1978,MDBp13,1.239
1979,MDBp13,0.974
1980,MDBp13,0.839
1981,MDBp13,0.719
1982,MDBp13,0.888
1983,MDBp13,0.753
1984,MDBp13,1.355
1985,MDBp13,0.552
1986,MDBp13,0.595
1987,MDBp13,0.741
1988,MDBp13,0.643
1989,MDBp13,1.065
1990,MDBp13,1.042
1991,MDBp13,0.951
1992,MDBp13,1.002
1993,MDBp13,0.732
1994,MDBp13,0.736
1995,MDBp13,1.016
1996,MDBp13,0.807
1997,MDBp13,0.384
1998,MDBp13,0.37
1999,MDBp13,0.391
2000,MDBp13,0.468
2001,MDBp13,0.49
2002,MDBp13,0.59
2003,MDBp13,0.758
2004,MDBp13,0.737
2005,MDBp13,0.766
2006,MDBp13,0.65
2007,MDBp13,0.474
2008,MDBp13,0.78
2009,MDBp13,0.742
2010,MDBp13,0.526
2011,MDBp13,1.02
2012,MDBp13,0.889
2013,MDBp13,0.71
2014,MDBp13,0.998
2015,MDBp13,1.105
2016,MDBp13,1.274
2017,MDBp13,1.601
2018,MDBp13,1.373
1960,MDBp14,0.702
1961,MDBp14,0.643
1962,MDBp14,0.55
1963,MDBp14,0.588
1964,MDBp14,0.737
1965,MDBp14,0.352
1966,MDBp14,0.311
1967,MDBp14,0.187
1968,MDBp14,0.211
1969,MDBp14,0.364
1970,MDBp14,0.534
1971,MDBp14,0.43
1972,MDBp14,0.852
1973,MDBp14,0.49
1974,MDBp14,0.857
1975,MDBp14,0.914
1976,MDBp14,1.15
1977,MDBp14,1.232
1978,MDBp14,1.494
1979,MDBp14,1.363
1980,MDBp14,1.013
1981,MDBp14,0.943
1982,MDBp14,1.074
1983,MDBp14,0.91
1984,MDBp14,1.032
1985,MDBp14,0.859
1986,MDBp14,0.708
1987,MDBp14,0.759
1988,MDBp14,0.64
1989,MDBp14,0.913
1990,MDBp14,1.147
1991,MDBp14,1.293
1992,MDBp14,1.278
1993,MDBp14,1.133
1994,MDBp14,1.2
1995,MDBp14,1.449
1996,MDBp14,1.112
1997,MDBp14,1.673
1998,MDBp14,0.38
1999,MDBp14,0.458
2000,MDBp14,0.824
2001,MDBp14,1.327
2002,MDBp14,1.456
2003,MDBp14,0.904
2004,MDBp14,0.914
2005,MDBp14,1.072
2006,MDBp14,0.633
2007,MDBp14,0.552
2008,MDBp14,0.995
2009,MDBp14,1.524
2010,MDBp14,0.626
2011,MDBp14,1.912
2012,MDBp14,1.06
2013,MDBp14,1.468
2014,MDBp14,1.207
2015,MDBp14,1.257
2016,MDBp14,1.664
2017,MDBp14,1.715
2018,MDBp14,2.063
1966,MDBp15,0.549
1967,MDBp15,1.017
1968,MDBp15,0.638
1969,MDBp15,0.511
1970,MDBp15,0.36
1971,MDBp15,0.498
1972,MDBp15,0.344
1973,MDBp15,0.485
1974,MDBp15,0.552
1975,MDBp15,1.396
1976,MDBp15,0.775
1977,MDBp15,1.394
1978,MDBp15,1.815
1979,MDBp15,2.506
1980,MDBp15,1.437
1981,MDBp15,1.549
1982,MDBp15,1.073
1983,MDBp15,2.062
1984,MDBp15,0.957
1985,MDBp15,1.011
1986,MDBp15,0.843
1987,MDBp15,0.798
1988,MDBp15,1.234
1989,MDBp15,0.464
1990,MDBp15,1.219
1991,MDBp15,1.574
1992,MDBp15,1.258
1993,MDBp15,0.956
1994,MDBp15,1.275
1995,MDBp15,1.55
1996,MDBp15,1.358
1997,MDBp15,0.513
1998,MDBp15,0.304
1999,MDBp15,1.048
2000,MDBp15,0.9
2001,MDBp15,1.486
2002,MDBp15,1.677
2003,MDBp15,1.215
2004,MDBp15,0.982
2005,MDBp15,1.388
2006,MDBp15,1.19
2007,MDBp15,0.698
2008,MDBp15,1.497
2009,MDBp15,1.271
2010,MDBp15,0.738
2011,MDBp15,1.417
2012,MDBp15,0.921
2013,MDBp15,0.577
2014,MDBp15,1.63
2015,MDBp15,1.385
2016,MDBp15,1.339
2017,MDBp15,1.379
2018,MDBp15,1.848
1977,MDBp16,1.148
1978,MDBp16,1.889
1979,MDBp16,2.247
1980,MDBp16,1.772
1981,MDBp16,1.582
1982,MDBp16,2.206
1983,MDBp16,0.974
1984,MDBp16,0.873
1985,MDBp16,0.732
1986,MDBp16,0.673
1987,MDBp16,0.82
1988,MDBp16,0.527
1989,MDBp16,1.174
1990,MDBp16,1.84
1991,MDBp16,2.265
1992,MDBp16,2.103
1993,MDBp16,1.797
1994,MDBp16,1.977
1995,MDBp16,2.272
1996,MDBp16,1.449
1997,MDBp16,0.556
1998,MDBp16,0.791
1999,MDBp16,1.003
2000,MDBp16,0.74
2001,MDBp16,1.008
2002,MDBp16,1.239
2003,MDBp16,1.125
2004,MDBp16,1.051
2005,MDBp16,1.239
2006,MDBp16,0.823
2007,MDBp16,1.238
2008,MDBp16,1.569
2009,MDBp16,1.109
2010,MDBp16,0.615
2011,MDBp16,0.836
2012,MDBp16,1.124
2013,MDBp16,0.97
2014,MDBp16,1.33
2015,MDBp16,1.406
2016,MDBp16,1.883
2017,MDBp16,1.863
2018,MDBp16,1.699
