age_CE,PJP01A_raw,PJP01B_raw,PJP02A_raw,PJP02B_raw,PJP03A_raw,PJP04A_raw,PJP04B_raw,PJP05A_raw,PJP05B_raw,PJP06A_raw,PJP06B_raw,PJP07A_raw,PJP07B_raw,PJP08A_raw,PJP08B_raw,PJP09A_raw,PJP09B_raw,PJP10A_raw,PJP10B_raw,PJP11A_raw,PJP11B_raw,PJP12A_raw,PJP12B_raw,PJP13A_raw,PJP13B_raw,PJP14B_raw,PJP15A_raw,PJP15B_raw,PJP16A_raw,PJP16B_raw,PJP18A_raw,PJP18B_raw,PJP19A_raw,PJP19B_raw,PJP20A_raw,PJP20B_raw,PJP01A_raw_outlier_flag,PJP01B_raw_outlier_flag,PJP02A_raw_outlier_flag,PJP02B_raw_outlier_flag,PJP03A_raw_outlier_flag,PJP04A_raw_outlier_flag,PJP04B_raw_outlier_flag,PJP05A_raw_outlier_flag,PJP05B_raw_outlier_flag,PJP06A_raw_outlier_flag,PJP06B_raw_outlier_flag,PJP07A_raw_outlier_flag,PJP07B_raw_outlier_flag,PJP08A_raw_outlier_flag,PJP08B_raw_outlier_flag,PJP09A_raw_outlier_flag,PJP09B_raw_outlier_flag,PJP10A_raw_outlier_flag,PJP10B_raw_outlier_flag,PJP11A_raw_outlier_flag,PJP11B_raw_outlier_flag,PJP12A_raw_outlier_flag,PJP12B_raw_outlier_flag,PJP13A_raw_outlier_flag,PJP13B_raw_outlier_flag,PJP14B_raw_outlier_flag,PJP15A_raw_outlier_flag,PJP15B_raw_outlier_flag,PJP16A_raw_outlier_flag,PJP16B_raw_outlier_flag,PJP18A_raw_outlier_flag,PJP18B_raw_outlier_flag,PJP19A_raw_outlier_flag,PJP19B_raw_outlier_flag,PJP20A_raw_outlier_flag,PJP20B_raw_outlier_flag
1917,0.92,0.74,0.44,0.83,0.26,0.5,0.55,1.47,1.04,0.44,0.63,0.66,0.46,0.32,0.72,0.59,0.38,0.5,0.54,0.42,0.88,0.32,0.16,0.69,0.84,0.52,0.83,0.51,0.71,1,0.81,0.54,0.7,0.89,1.96,2.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,1.23,0.88,0.25,0.92,0.41,0.33,0.68,1.82,1.18,0.51,0.55,0.53,0.58,0.2,0.77,0.59,0.51,0.56,0.54,0.45,0.99,0.31,0.21,0.65,0.79,0.42,1.2,0.62,0.5,0.79,1.09,0.36,0.41,0.64,2.28,2.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.54,0.95,0.41,1.11,0.42,0.51,0.46,2.05,1.54,0.55,0.77,0.76,0.5,0.27,0.85,0.73,0.52,0.88,0.75,0.75,1.3,0.31,0.25,0.53,0.76,0.55,1.07,0.96,0.58,0.94,1.18,0.55,0.54,1.01,2.16,2.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,1.57,1.18,0.77,1.3,0.54,0.54,0.45,1.8,1.66,0.49,0.79,0.6,0.6,0.41,0.73,0.57,0.52,0.65,0.73,0.99,1.56,0.36,0.22,0.8,0.91,0.69,0.77,0.95,0.73,0.95,1.31,0.41,0.76,0.77,2.77,2.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,1.66,1.3,0.72,1.1,0.44,0.39,0.63,1.77,1.22,0.53,0.7,0.89,0.79,0.42,0.94,0.78,0.56,0.68,0.85,1.05,1.57,0.41,0.32,0.93,1.26,1,0.83,0.94,0.88,1.32,1.33,0.48,0.5,0.59,3.17,3.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,1.3,0.89,0.59,1.08,0.32,0.36,0.43,1.34,0.78,0.38,0.6,0.59,0.4,0.47,0.58,0.77,0.4,0.49,0.24,0.71,1.36,0.25,0.23,0.82,0.82,0.7,0.79,0.59,0.68,1.1,1.49,0.49,0.37,0.82,1.98,2.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,2.06,1.22,0.95,1.27,0.38,0.33,0.4,1,1.12,0.65,0.8,0.34,0.42,0.34,0.81,0.94,0.6,0.45,0.53,0.85,1.3,0.28,0.23,0.89,1.12,0.62,0.88,0.89,0.39,1.24,1.31,0.45,0.57,0.87,2.98,3.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,1.61,1.05,1.05,0.88,0.49,0.18,0.41,1.18,0.93,0.56,0.75,0,0.48,0.41,0.73,0.89,0.52,0.34,0.39,0.91,1.14,0.31,0.2,0.75,0.92,0.38,0.81,0.84,0.39,0.99,1.47,0.7,0.48,0.79,2.32,2.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.88,1.18,1.49,1.18,0.52,0.3,0.6,1.59,1.1,0.42,0.76,0.49,0.71,0.92,1.36,0.72,0.56,0.62,0.56,1.06,1.67,0.35,0.36,0.78,1.26,0.71,1.28,1.01,0.71,1.38,0.97,0.8,0.29,0.7,2.13,2.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.77,1.31,1.72,1.4,0.8,1.04,1.09,1.37,1.62,0.54,1.11,0.58,0.73,1.28,1.5,0.68,0.88,0.78,0.66,1.39,1.95,0.3,0.27,1.1,1.34,1.18,1.48,1.07,0.72,1.08,1.91,0.59,1.08,1.03,2.75,3.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.37,1.05,1.58,0.6,0.41,0.79,0.51,1.05,0.73,0.3,0.58,0.85,0.48,0.75,0.85,0.46,0.2,0.55,0.67,0.79,2.04,0.23,0.22,0.61,0.77,0.86,0.68,0.53,0.35,0.81,1.29,0.67,0.64,0.79,1.97,2.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,2.16,1.35,2.03,1.21,0.29,0.99,0.84,1.31,1.04,0.63,0.71,0.82,0.69,0.84,1.02,0.61,0.3,0.43,0.68,1.11,2.16,0.42,0.37,0.67,0.97,1.03,0.94,0.64,0.48,0.9,1.73,0.52,0.38,0.35,2.29,2.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,1.55,1.18,1.91,1.01,0.35,0.82,0.86,1.12,0.85,0.38,0.61,0.67,0.56,0.69,0.84,0.63,0.31,0.18,0.44,0.83,1.37,0.29,0.21,0.67,1.01,0.79,0.94,0.75,0.64,1.03,1.49,0.59,0.58,0.49,1.78,2.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,1.21,0.59,1.13,0.76,0.47,0.63,0.8,1.11,0.63,0.68,0.59,0.33,0.27,0.34,0.94,0.7,0.4,0.21,0.36,0.64,1.24,0.32,0.24,0.57,0.84,0.74,0.75,0.5,0.49,0.78,1.56,0.41,0.44,0.49,1.7,2.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.35,0.93,1.63,1.06,0.57,0.71,0.57,1.14,0.7,0.94,0.83,0.57,0.33,0.4,1,1.14,0.73,0.65,0.32,0.81,1.76,0.44,0.29,0.78,1.33,1.07,0.72,0.77,0.72,1.11,1.24,0.45,0.33,0.37,1.77,1.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.11,0.9,1.54,0.92,0.29,0.58,0.41,0.81,0.61,0.72,0.58,0.9,0.49,0.33,0.94,0.51,0.33,0.63,0.36,0.78,1.1,0.4,0.32,0.77,1.05,0.5,0.73,0.51,0.39,0.99,1.43,0.34,0.59,0.81,1.51,2.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,0.78,0.73,1.47,0.64,0.28,0.42,0.44,0.84,0.7,0.61,0.51,0.4,0.14,0.19,0.44,0.58,0.43,0.41,0.62,0.51,0.98,0.35,0.26,0.47,0.78,0.39,0.51,0.36,0.24,0.56,0.86,0.32,0.5,0.67,1.56,2.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,2.22,1.71,1.91,1.02,0.47,0.75,0.85,0.92,1.01,0.88,0.54,0.54,0.28,0.46,1.19,0.95,0.52,0.44,0.57,0.52,1.61,0.44,0.29,0.62,1.5,0.52,0.72,0.63,0.24,0.8,1.25,0.29,0.3,0.79,2.76,2.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,1.87,1.27,1.71,1.12,0.53,0.52,0.54,1.01,0.5,0.59,0.64,0.42,0.18,0.41,0.94,0.44,0.31,0.57,0.46,1.3,1.04,0.61,0.35,0.99,1.27,0.79,0.75,0.62,0.14,0.73,1.87,0.47,0.49,0.5,1.95,3.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,2.43,1.25,1.37,1.08,0.65,0.39,0.6,1.51,0.79,0.58,0.94,0.46,0.27,0.42,1.1,0.64,0.42,0.57,0.45,1.41,1.55,0.62,0.4,1.04,0.54,0.73,1.01,0.61,0.32,0.96,1.72,0.29,0.82,1.13,2.42,3.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,1.76,0.97,1.17,0.75,0.45,0.49,0.43,1.1,0.55,0.42,0.6,0.49,0.26,0.25,0.79,0.67,0.43,0.48,0.45,0.54,0.83,0.37,0.23,0.71,0.7,0.52,0.66,0.44,0.43,0.94,1.65,0.19,0.35,0.65,2.23,3.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,1.98,0.94,1.55,1.04,0.51,0.94,0.53,0.96,0.59,0.77,0.75,0.59,0.64,0.42,0.84,0.58,0.58,0.56,0.51,0.62,1.23,0.45,0.35,1.09,1.31,0.45,0.95,0.8,0.54,0.8,1.91,0.32,0.35,0.39,2.3,3.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,2.41,1,1.23,1.27,0.67,0.97,0.7,1.38,1.03,0.79,0.87,0.79,0.56,0.41,0.93,0.85,0.67,0.8,0.7,1.38,1.78,0.47,0.43,1.31,2.12,0.71,1.25,0.84,0.59,1.15,1.98,0.47,0.7,0.77,2.5,3.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,1.71,0.86,1.4,1.05,0.73,1.03,0.59,1.67,0.73,0.75,0.87,0.75,0.57,0.49,0.82,0.91,0.59,0.79,0.84,1.16,1.78,0.43,0.36,1.29,1.82,0.24,1.16,0.97,0.48,0.66,2.11,0.53,0.76,0.95,2.47,3.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,2.75,1.12,1.12,1.13,0.78,0.8,0.68,1.83,0.75,0.63,0.65,0.45,0.57,0.36,0.72,0.92,0.51,0.73,0.74,0.67,0.99,0.45,0.4,0.92,1.48,0.51,0.88,1,0.39,0.73,1.76,0.47,0.55,0.5,2.1,2.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,3.29,1.64,0.99,1.16,0.81,1.24,1.07,2.31,1.48,0.86,0.81,0.66,0.44,0.49,1.07,0.91,0.7,0.79,0.61,0.96,1.43,0.53,0.32,1.29,1.5,0.98,1.19,1.06,0.48,0.87,2,0.71,0.5,0.47,2.4,3.59,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,2.98,1.21,0.99,1.07,0.89,0.46,0.85,1.84,1.32,0.8,0.69,0.42,0.59,0.79,1.53,1.17,0.69,0.84,0.5,1.67,2.46,0.4,0.24,1.22,1.56,1.23,1.46,1.18,0.43,0.92,2.25,0.92,0.89,0.82,2.83,3.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,1.55,0.76,0.85,0.95,0.36,0.55,0.54,1.54,0.8,0.5,0.54,0.09,0.23,0.37,0.83,0.77,0.41,0.86,0.55,1.03,1.41,0.35,0.27,0.71,0.99,0.6,0.79,0.67,0.38,0.8,1.24,0.34,0.39,0.42,1.57,2.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,1.69,0.86,0.44,0.87,0.36,0.99,0.48,1.53,1.11,0.72,0.7,0.4,0.38,0.43,0.99,1.16,0.71,0.67,0.47,0.7,1.05,0.52,0.33,0.87,0.97,0.78,0.66,0.53,0.38,0.79,1.15,0.39,0.52,0.7,1.77,2.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,2.46,1.18,0.7,1.18,0.53,1.24,0.57,1.45,1.51,0.89,0.76,0.64,0.63,0.62,1.35,1.33,0.53,0.71,0.62,0.98,1.65,0.48,0.33,0.78,1.64,0.98,0.97,0.72,0.47,0.8,1.61,0.57,0.57,0.72,2.15,3.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,2.71,1.22,0.81,1.15,1.12,1.12,0.41,1.75,1.06,0.8,0.59,0.93,0.63,0.55,1.19,1.06,0.5,0.88,0.66,1.56,1.91,0.45,0.22,1.31,1.64,1.07,1,0.46,0.4,0.77,1.54,0.38,0.52,0.91,1.89,2.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,1.28,0.78,0.46,1.04,0.65,0.85,0.28,0.92,0.79,0.56,0.51,0.52,0.42,0.48,0.85,0.8,0.17,0.63,0.42,0.91,1.23,0.31,0.28,0.82,1.29,0.77,0.62,0.27,0.28,0.49,0.98,0.31,0.35,0.44,1.72,1.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,1.18,0.78,0.92,0.75,1.05,0.66,0.43,1.15,0.75,0.54,0.52,0.37,0.33,0.21,0.59,0.57,0.29,0.57,0.43,0.27,0.66,0.35,0.34,0.54,0.62,0.44,0.51,0.51,0.29,0.55,0.73,0.22,0.25,0.38,1.34,1.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,1.79,1.17,1.12,0.97,1.28,1.01,0.33,1.82,0.99,0.7,0.58,0.45,0.4,0.24,0.62,1.2,0.61,0.6,0.47,1.06,1.22,0.46,0.42,0.95,1.14,0.96,0.63,0.61,0.36,0.54,1.49,0.49,0.39,0.46,1.68,1.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,2.01,1.01,0.64,0.89,1.15,0.93,0.22,1.28,0.99,0.83,0.6,0.81,0.59,0.38,0.71,1.16,0.73,0.77,0.65,1.08,1.32,0.44,0.3,1.22,1.24,0.88,0.92,0.81,0.39,0.59,1.34,0.37,0.41,0.36,1.68,1.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,1.44,0.58,0.97,0.67,0.69,0.83,0.24,0.88,0.69,0.56,0.46,0.43,0.29,0.22,0.6,0.79,0.5,0.53,0.48,0.41,0.56,0.34,0.28,0.71,0.92,0.59,0.47,0.64,0.32,0.54,0.99,0.15,0.14,0.38,1.26,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.45,0.62,1.17,0.7,1.04,0.89,0.21,1.3,1.05,0.62,0.52,0.34,0.22,0.29,0.55,1.04,0.57,0.57,0.66,0.79,1.08,0.44,0.32,0.62,0.99,0.53,0.89,0.66,0.27,0.5,1.43,0.27,0.26,0.36,1.94,2.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.95,1.16,1.13,0.81,1.51,1.25,0.48,1.61,1.04,0.97,0.7,0.79,0.5,0.47,0.91,1.48,0.65,0.8,0.64,1.71,2,0.37,0.32,0.82,1,0.64,1.23,0.79,0.6,0.69,1.59,0.46,0.38,0.48,1.77,2.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.7,1.11,1.13,0.73,1.09,0.79,0.24,1.39,0.82,0.65,0.65,0.65,0.52,0.37,0.5,0.93,0.52,0.68,0.48,1.13,1.06,0.4,0.29,0.69,0.96,0.68,0.88,1.07,0.61,0.41,1.35,0.41,0.23,0.54,1.59,1.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.25,0.99,0.72,0.5,1.33,0.96,0.31,1.21,1.15,0.61,0.49,0.47,0.26,0.47,0.67,0.9,0.51,0.67,0.55,1.07,1.18,0.37,0.26,0.61,0.86,0.3,0.64,0.94,0.61,0.47,1.37,0.27,0.11,0.24,2.15,1.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
