age_CE,WBO01A_raw,WBO01B_raw,WBO02B_raw,WBO03A_raw,WBO04A_raw,WBO04B_raw,WBO06A_raw,WBO06B_raw,WBO07A_raw,WBO09A_raw,WBO09B_raw,WBO10A_raw,WBO10B_raw,WBO11A_raw,WBO13A_raw,WBO13B_raw,WBO14B_raw,WBO15B_raw,WBO16B_raw,WBO17A_raw,WBO17B_raw,WBO18A_raw,WBO18B_raw,WBO19A_raw,WBO20A_raw,WBO01A_raw_outlier_flag,WBO01B_raw_outlier_flag,WBO02B_raw_outlier_flag,WBO03A_raw_outlier_flag,WBO04A_raw_outlier_flag,WBO04B_raw_outlier_flag,WBO06A_raw_outlier_flag,WBO06B_raw_outlier_flag,WBO07A_raw_outlier_flag,WBO09A_raw_outlier_flag,WBO09B_raw_outlier_flag,WBO10A_raw_outlier_flag,WBO10B_raw_outlier_flag,WBO11A_raw_outlier_flag,WBO13A_raw_outlier_flag,WBO13B_raw_outlier_flag,WBO14B_raw_outlier_flag,WBO15B_raw_outlier_flag,WBO16B_raw_outlier_flag,WBO17A_raw_outlier_flag,WBO17B_raw_outlier_flag,WBO18A_raw_outlier_flag,WBO18B_raw_outlier_flag,WBO19A_raw_outlier_flag,WBO20A_raw_outlier_flag
1937,1.6,1.51,1.18,1.51,0.7,1.15,1.84,2.74,1.23,1.39,1.6,1.73,2.25,0.91,0.92,1.3,0.64,1.19,1.69,2.29,3.25,1.21,0.94,1.16,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,1.27,1.51,1.4,1.27,0.67,1,2.05,1.92,1.15,1.66,1.82,1.47,1.48,0.92,0.84,1.37,0.51,1.2,1.6,1.95,2.49,1.37,1.03,0.98,1.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,1.35,1.59,1.35,2.48,0.75,1.1,1.63,1.78,1.19,1.65,1.48,1.53,1.64,0.94,0.71,1.41,0.5,1.14,1.41,1.72,2.48,1.28,0.83,1.11,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,0.9,0.75,1.14,1.57,0.53,0.79,0.99,0.93,0.89,1.33,1.23,1.19,1.37,0.72,0.67,1.09,0.41,0.95,1.08,1.71,2.13,1.04,0.82,0.86,1.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,1.07,1.17,2.05,2.55,0.8,1.18,1.42,1.28,1.37,1.89,1.59,1.62,1.64,1.17,0.85,1.43,0.58,1.46,1.43,3.2,4.27,1.24,0.96,1.28,1.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,0.9,1.23,1.71,2.93,0.79,1.1,1.72,1.57,1.3,1.74,1.5,1.47,1.81,0.85,0.68,1.29,0.56,1.48,1.64,2.45,3.27,1.34,1.06,0.81,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,0.69,1.04,0.9,2.09,0.67,0.92,1.25,1.29,1.08,1.58,1.32,1.21,1.31,0.62,0.54,0.97,0.39,0.74,1.36,1.54,2.41,0.93,0.75,0.61,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,0.79,1.14,1.19,2.33,1.07,1.19,1.52,1.57,1.3,1.91,1.74,1.38,1.52,0.89,0.81,1.14,0.42,1.09,1.29,2.14,2.88,1.25,0.85,0.83,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,0.76,0.92,1.16,2.51,0.78,1,1.4,1.53,1.75,1.9,1.72,1.54,1.75,0.69,0.78,1.29,0.48,1.18,1.36,2.27,3.56,1.09,1.08,0.95,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,1.04,1.07,1.17,2.72,0.92,1.19,1.5,1.41,2.03,2.15,1.93,1.89,2.3,0.85,0.83,1.36,0.53,1.61,1.47,2.71,3.84,1.11,0.94,1.18,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,1.1,0.95,1.13,1.76,1.03,1.16,1.35,1.28,2.36,1.77,1.57,1.79,2.11,0.65,0.76,1.2,0.6,1.62,0.99,1.74,2.79,0.93,0.91,1.13,1.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,1.23,1.03,1.63,2.03,1.23,1.35,1.82,1.99,2.26,1.96,1.88,2.38,2.47,0.89,0.9,1.37,0.67,1.89,1.21,2.48,3.38,1.02,0.91,1.48,1.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.94,0.96,1.08,1.44,0.75,1.44,3.32,2.84,1.81,1.77,1.9,2.24,4.09,0.81,0.82,1.19,0.63,1.51,1.49,3.13,2.52,1.01,1.06,1.39,2.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.98,0.74,1.96,1.31,0.7,1.39,3.64,2.56,1.74,2.13,2.17,2.2,3.64,0.78,0.84,1.21,0.62,1.51,1.73,2.49,2.25,1.05,1.08,1.52,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,1.08,0.92,1.54,1.46,0.71,1.26,2.82,2.39,1.74,2.19,2.3,2.02,2.52,0.86,1,1.25,0.71,1.53,1.44,2.5,2.35,1.35,1.13,1.74,3.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1952,1.34,0.97,1.43,1.68,0.71,1.3,2.46,2.52,1.51,2.32,2.78,1.94,3.09,0.78,1.11,1.32,0.71,1.61,2.31,3.7,2.98,1.56,1.54,1.83,3.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1,0.98,1.14,1.48,0.85,1.14,1.63,1.7,1.34,1.99,1.98,1.86,2.1,0.68,1.04,1.21,0.81,1.45,1.56,2.67,2.69,1.38,1.18,1.66,2.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.12,0.96,1.1,1.13,0.82,1.11,1.1,0.97,1.19,1.67,1.06,1.65,1.81,0.68,0.9,1.38,0.86,1.3,1.23,2.48,2.74,1.29,1.04,1.59,2.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.34,1.21,1.62,2.14,0.95,1.7,1.68,2.39,1.51,1.98,1.16,2.13,2.37,1.15,1,1.4,0.94,1.53,1.54,2.27,2.57,1.26,1.24,1.88,3.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.05,1.14,1.52,1.39,0.61,1.23,1.05,1.56,1.42,1.65,1.22,1.73,1.84,0.78,0.9,1.11,0.6,1.32,1.46,2.7,2.92,1.51,1.53,1.29,3.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.21,1.51,1.5,1.68,0.76,1.39,1.12,2.37,1.43,2.17,1.5,2.13,3.03,1.15,0.95,1.33,1,1.07,2.07,3.09,3.13,1.15,1.41,1.46,3.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,1.26,1.88,2.56,2.42,0.74,1.88,1.07,2.07,1.39,2.09,1.59,1.83,2.55,0.98,0.97,1.35,0.85,0.92,1.56,3.01,3.43,1.33,1.89,1.37,3.88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1959,1.26,1.79,1.46,2.47,0.64,1.45,1.57,2.64,0.96,1.56,1.16,1.93,2.17,0.8,0.75,1.05,0.71,0.82,1.46,2.02,1.96,1.01,1.12,1.21,2.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,1,1.57,1.12,1.85,0.77,1.35,1.18,2.25,1.29,1.24,1,1.67,1.89,0.72,0.65,0.85,0.64,0.79,1.17,2.14,1.93,0.71,0.92,0.97,1.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.98,1.55,1.59,1.61,0.6,1.03,1.08,2.18,1.16,1.27,0.92,1.4,1.5,0.57,0.52,0.8,0.57,0.63,0.97,1.62,1.6,0.82,0.91,0.6,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.98,1.5,1.31,1.48,0.67,1.1,1.18,2.45,1.15,1.36,1.14,1.49,2.15,0.68,0.53,0.79,0.5,0.81,1.05,1.97,1.61,0.91,0.97,0.74,1.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,1.25,1.82,1.68,1.24,1.14,1.18,1.21,2.22,1.4,1.44,1.48,1.64,1.92,0.78,1,1.12,0.71,0.99,1.42,2.78,2.27,1.15,1.36,0.9,2.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.04,1.54,1.37,1.31,0.92,1.14,0.84,1.36,1.08,1.38,1.42,1.39,1.6,0.58,0.83,1.01,0.67,0.91,1.35,1.99,1.94,0.88,0.99,0.84,1.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,0.75,1.44,1.27,1.39,0.64,0.92,0.41,0.77,1.1,0.87,1.29,1.36,1.64,0.7,0.77,1.16,0.76,0.58,1.47,2.54,2.19,0.81,0.76,0.85,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.02,1.7,1.51,1.65,0.86,1.09,0.86,1.13,1.26,1.36,1.52,1.78,2.01,0.74,0.78,1.18,0.84,0.75,1.75,2.09,2.83,1.02,0.75,0.93,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,0.98,1.55,1.82,1.85,0.93,1.22,0.84,1.27,1.14,1.21,1.58,2.24,1.79,0.74,0.71,1.77,0.96,0.83,1.83,2.37,3.26,0.86,1.27,0.9,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.99,1.31,1.19,1.94,0.92,1.25,0.81,1.2,1,1.38,1.48,2,1.85,0.62,0.57,1.16,0.84,0.78,1.79,2.05,2.34,0.82,0.95,0.67,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.19,1.45,1.37,1.74,1.16,1.47,0.78,0.91,1.42,1.4,1.91,2.18,2.08,0.66,0.59,1.35,1.01,1.21,2.26,2.66,2.79,1.31,1.62,1.16,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.14,1.14,1.45,1.64,1.31,1.55,0.77,0.94,1.41,1.55,1.6,1.81,1.59,0.65,0.58,1.33,0.91,1.22,1.61,2.07,2.17,1,1.2,1.01,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.37,0.99,1.62,1.62,1.22,1.49,0.99,1.34,1.62,1.5,1.77,1.88,1.46,0.7,0.67,1.34,1,1.32,2.13,2.32,2.3,1.18,1.39,0.97,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.03,0.89,1.47,1.06,1.04,1.2,0.86,0.99,1.19,1.22,1.18,1.52,1.3,0.46,0.6,1.29,0.68,0.9,1.51,1.55,1.7,0.94,1.02,0.66,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.95,0.95,1.39,1.03,0.95,1.13,0.79,1.03,1.45,1.24,1.46,1.69,1.54,0.69,0.83,1.33,1.34,0.91,1.51,1.84,1.58,1.04,1.13,0.7,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.09,0.86,1.48,0.87,0.8,1.06,0.74,0.95,1.25,1.42,1.54,1.55,1.28,0.56,0.77,1.27,1.29,1.01,1.57,1.82,1.93,1.1,1.09,0.74,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.27,1.1,1.71,1.08,0.97,1.19,0.82,1,1.39,1.56,1.75,1.47,1.47,0.68,0.71,1.78,1.2,1.31,1.66,1.7,1.68,1.18,1.13,0.74,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.96,0.81,1.44,1.16,0.96,1.09,0.91,1.02,1.15,1.47,1.33,1.27,1.18,0.55,0.6,0.89,1.22,0.84,1.4,1.08,1.12,0.73,0.81,0.64,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.82,0.67,1.33,0.96,1.01,1.12,0.9,1.18,1.41,1.21,1.26,1.2,1.11,0.51,0.54,1.08,1,0.66,0.87,0.75,0.87,0.53,0.63,0.56,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.88,0.72,0.73,0.92,0.64,0.73,0.75,0.85,1.06,1.15,1.33,1.13,1.01,0.49,0.62,1.32,1.14,1.07,1.08,1.58,1.86,1.08,1.16,0.77,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1.04,0.92,1.1,1.27,0.79,1,0.77,1.09,1.35,1.37,1.45,1.52,1.17,0.65,0.73,1.33,1.01,1.19,1.22,1.49,1.47,0.96,1.34,0.89,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.82,0.96,0.82,1.14,0.73,0.92,0.74,1.07,1.24,1.13,1.04,1.03,0.74,0.57,0.67,1.42,1.15,1,1.09,1.3,1.7,0.94,1.11,0.86,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.7,0.84,0.92,0.85,0.59,0.73,0.6,0.73,0.98,1,0.83,0.94,0.87,0.5,0.53,1.06,0.95,0.73,0.87,0.92,1.16,0.7,0.89,0.67,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.85,1.17,1.27,1.26,0.82,0.92,0.89,1.1,1.45,1.52,1.38,1.25,1.28,0.63,0.89,1.71,1.18,1.28,1.2,1.43,1.5,1.14,1.61,0.97,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.81,1.18,1.1,1.25,0.8,1,0.92,0.92,1.26,1.45,1.34,1.24,1.2,0.69,1.01,1.56,1.08,1.53,1.12,1.46,1.76,1.21,1.77,0.87,1.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,0.71,1.14,0.71,1.11,0.86,0.83,0.88,0.8,1.07,1.22,0.99,0.99,0.91,0.56,0.56,1,0.83,0.82,0.95,1.13,1.78,0.91,1.09,0.74,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,0.88,1.22,0.65,1.31,0.61,0.86,0.71,0.62,1.16,1.13,1.05,1.19,0.61,0.61,0.55,0.98,1.02,0.63,0.87,1.19,1.66,0.64,0.74,0.72,0.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,0.76,1.11,0.69,1.18,0.74,0.71,0.6,0.84,1.02,1.14,0.91,1.06,0.67,0.53,0.5,1.13,0.67,0.83,0.67,0.94,1.55,0.63,0.79,0.58,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,0.99,1.27,0.98,1.36,0.92,0.93,0.98,0.95,1.26,1.25,1.26,1.34,0.88,0.58,0.63,1.07,0.87,0.79,1.09,0.77,1.16,0.63,0.78,0.66,1.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.86,1.25,1.04,1.31,0.83,0.9,0.93,0.93,1.1,1.13,1.14,1.22,1.06,0.53,0.7,1.06,0.74,0.74,1,0.86,1.13,0.76,0.76,0.72,1.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.96,1.24,1.27,1.36,0.73,0.93,1,0.85,1.49,1.11,1.14,1.29,1.29,0.57,0.68,1.3,0.82,0.81,1.17,0.94,1.16,0.85,1.01,0.71,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,1.05,1.39,1.17,1.32,1.19,0.86,1.04,1.15,1.14,1.32,1.12,1.18,1.1,0.53,0.64,1.4,0.71,0.79,1.01,0.84,1.09,0.88,0.79,0.82,1.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
