age_CE,FMMR02A_raw,FMMR03B_raw,FMMR04A_raw,FMMR05B_raw,FMMR06A_raw,FMMR07B_raw,FMMR09A_raw,FMMR10A_raw,FMMR11A_raw,FMMR12A_raw,FMMR13A_raw,FMMR15A_raw,FMMR16A_raw,FMMR18A_raw,FMMR19A_raw,FMMR20B_raw,FMMR02A_raw_outlier_flag,FMMR03B_raw_outlier_flag,FMMR04A_raw_outlier_flag,FMMR05B_raw_outlier_flag,FMMR06A_raw_outlier_flag,FMMR07B_raw_outlier_flag,FMMR09A_raw_outlier_flag,FMMR10A_raw_outlier_flag,FMMR11A_raw_outlier_flag,FMMR12A_raw_outlier_flag,FMMR13A_raw_outlier_flag,FMMR15A_raw_outlier_flag,FMMR16A_raw_outlier_flag,FMMR18A_raw_outlier_flag,FMMR19A_raw_outlier_flag,FMMR20B_raw_outlier_flag
1946,1.95,0.15,2.15,1.39,1.4,1.35,1.2,2.12,1.25,0.56,0.76,0.35,0.64,2.61,4.87,1.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,2.24,0.09,1.77,1.66,2.67,1.56,1.17,2.52,1.09,0.48,0.87,0.6,0.53,2.9,4.3,2.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,2.67,0.36,2.08,2.68,2.65,1.74,1.64,2.95,1.7,0.69,1.72,0.81,0.94,2.78,4.32,2.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,2.43,0.21,1.42,2.14,2.68,1.55,1.35,2.17,1.17,0.43,1.94,0.49,0.81,2.55,3.54,2.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,2.61,0.2,1.63,1.84,2.62,1.29,1.46,1.78,1.33,0.48,1.78,0.72,0.81,2.57,4.98,2.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,2.7,0.22,1.77,1.75,3,1.05,1.19,2.26,1.19,0.48,1.47,0.42,0.78,1.82,4.3,2.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,2.61,0.15,1.85,1.56,2.96,1.3,1.23,2.61,1.63,0.5,1.4,0.57,0.68,1.57,3.88,2.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,2.03,0.12,1.63,1.39,2.01,1.05,1.18,1.92,1.47,0.41,1.32,0.5,0.49,1.5,2.86,1.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.56,0.05,1.3,1.22,1.52,0.83,0.99,1.57,1.5,0.48,1.2,0.47,0.52,1.68,2.1,1.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,2.11,0.21,2.21,1.58,2.32,1.16,1.27,2.37,1.6,0.57,1.19,0.55,0.65,1.94,2.51,2.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.64,0.14,1.3,1.48,2.21,0.83,0.9,1.28,1.1,0.25,1.17,0.35,0.63,1.74,2.21,1.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.7,0.15,1.24,1.54,1.87,0.81,1.07,2.34,1.34,0.46,0.99,0.39,0.55,1.58,2.22,2.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,2.08,0.27,1.52,1.75,2.29,1.27,1.29,2.7,2.2,0.74,1.69,0.64,0.76,1.91,2.73,2.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,1.5,0.15,1.15,0.98,1.28,0.76,0.74,1.51,1.24,0.41,1.13,0.37,0.66,1.07,1.46,1.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,2.26,0.2,1.87,1.21,2.43,1.49,1.11,2.76,1.75,0.58,1.05,0.38,0.87,0.6,1.59,1.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,1.55,0.17,1.93,1.05,2,1.38,0.93,2.11,1.23,0.84,1.22,0.44,0.88,0.76,1.4,1.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,1.78,0.15,1.54,1.07,1.78,1.11,0.92,1.76,1.54,0.81,1.21,0.42,1.22,0.76,1.54,1.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,2.16,0.22,1.43,1.31,2.24,1.33,0.78,1.91,1.44,0.9,1.04,0.48,1.01,0.88,1.58,1.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.01,0.22,1.14,1.32,1.62,0.9,0.68,1.13,1,0.91,1.28,0.48,0.81,0.95,1.75,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,1.95,0.17,1.83,3.02,2.84,1.27,0.83,1.91,1.75,1.49,2.05,0.52,1.46,1.25,2.72,1.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,2.43,0.19,2.05,2.91,2.81,1.34,0.94,2.75,1.67,1.74,1.7,0.69,1.53,1.36,2.4,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,2.09,0.15,1.53,1.7,2.2,1.08,0.77,2.84,1.04,2.04,1.38,0.58,1.59,0.95,2.12,1.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1968,2.52,0.22,1.59,1.3,1.97,1.07,0.84,2.28,1.08,1.51,1.24,0.55,1.4,0.77,2.25,1.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,2.15,0.11,1.33,1.13,1.36,1.06,0.73,1.95,0.89,1.1,1.15,0.54,0.96,0.84,1.63,1.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,2,0.19,1.37,1.65,1.76,1.25,0.84,2.18,1.15,1.43,1.13,0.57,0.98,1.06,1.31,1.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.41,0.04,1.13,1.3,1.32,0.78,0.71,0.97,0.77,1.32,1.22,0.43,0.81,0.77,1.29,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.25,0.04,1.4,0.78,0.42,0.82,0.63,0.92,0.66,0.44,1.53,0.35,0.44,0.83,1.94,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,2.24,0.06,1.98,0.5,1.72,1.15,0.85,2.19,0.87,0.96,1.58,0.5,0.62,1.15,2.72,1.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.18,0.08,0.79,0.24,0.91,0.52,0.47,0.82,0.61,0.86,1.2,0.26,0.53,0.94,2.02,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.97,0.11,0.78,0.49,1.58,0.69,0.51,0.94,0.99,1,1.19,0.47,0.42,0.94,2.18,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,2.29,0.12,0.78,0.71,1.21,0.8,0.57,0.76,1.15,1.11,1.69,0.52,0.45,1.19,2.35,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,2.93,0.33,1.57,1.02,3.83,1.07,0.63,1.29,1.57,2.62,1.84,0.58,0.53,1.33,2.09,1.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,1.94,0.14,1.45,0.89,2.9,0.96,0.44,1.06,1.16,2.31,1.87,0.43,0.43,1.34,1.82,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1.94,0.15,1.45,0.88,2.29,0.88,0.5,0.86,1.61,2.72,2.25,0.53,0.43,1.33,1.85,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,1.95,0.19,1.27,0.91,1.99,1.05,0.56,1.06,1.75,2.47,2.37,0.57,0.47,1.24,1.61,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,2.31,0.2,1.07,0.77,2.38,1.07,0.66,1.76,1.96,3.14,2.24,0.59,0.78,1.27,1.57,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,1.24,0.06,0.85,0.92,1.09,0.59,0.35,0.75,0.89,2.12,1.46,0.53,0.59,0.71,0.86,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,1.45,0.07,0.81,1.11,1.51,0.73,0.32,1.27,1.08,1.95,1.33,0.49,0.52,0.61,0.98,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,1.88,0.07,1.38,1.33,1.48,1.07,0.62,2.11,1.61,2.25,2.02,0.65,0.96,1.04,1.27,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,2.29,0.19,1.66,2.7,2.39,1.28,0.79,2.72,1.7,2.1,2.56,0.76,1.5,1,1.21,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,2.11,0.22,1.68,1.85,2.63,1.38,0.82,2.18,1.32,1.28,1.54,0.61,1.17,0.7,1,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,2.05,0.13,1.7,1.71,3.21,1.64,0.85,2.27,1.14,1.79,1.78,0.74,1.09,0.6,1.15,1.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,2.22,0.38,1.37,1.41,2.14,1.44,0.74,1.63,1.3,1.67,1.93,0.78,0.99,0.6,1.07,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,1.58,0.18,0.88,1.03,1.09,0.9,0.48,0.64,0.8,1.44,1.29,0.49,0.56,0.43,0.97,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,2.45,0.26,1.4,1.58,1.91,1.16,0.65,1.47,1.25,2.5,2.12,0.75,1.14,0.68,0.95,1.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,1.47,0.2,1.04,0.98,1.03,0.87,0.35,0.38,1.72,1.15,1.33,0.42,0.21,0.46,0.89,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,1.84,0.26,1.06,0.85,0.95,0.57,0.33,0.72,NA,1.27,1.14,0.33,0.19,0.35,0.61,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
