age_CE,KAP01A_raw,KAP01B_raw,KAP02A_raw,KAP02B_raw,KAP02C_raw,KAP02D_raw,KAP02E_raw,KAP02F_raw,KAP01A_raw_outlier_flag,KAP01B_raw_outlier_flag,KAP02A_raw_outlier_flag,KAP02B_raw_outlier_flag,KAP02C_raw_outlier_flag,KAP02D_raw_outlier_flag,KAP02E_raw_outlier_flag,KAP02F_raw_outlier_flag
1761,2.4,1.95,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1762,2.13,1.63,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1763,2.75,2.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1764,2.64,2.59,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1765,4.04,3.96,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1766,4.03,4.92,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1767,3.81,3.23,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1768,2.62,2.35,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1769,3.13,3.18,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1770,4.21,3.72,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1771,5.64,5.23,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1772,5.58,5.53,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1773,4.54,4.65,NA,NA,NA,NA,7.74,7.43,FALSE,FALSE,NA,NA,NA,NA,TRUE,TRUE
1774,3.18,3.13,9.11,8.69,NA,NA,4.61,4.25,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1775,4.5,4.91,10.76,10.12,9.41,9.36,3.19,3.27,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
1776,4,4.28,11.89,12.33,10.23,9.89,4.18,3.94,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
1777,3.58,3.5,9.75,9.04,7.44,7.27,2.85,2.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1778,4.78,4.77,8.6,10.45,5.74,5.4,2.21,1.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1779,5.14,5.53,8.87,8.51,4.72,4.49,1.93,1.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
