age_CE,BIG002A_raw,BIG002B_raw,BIG003A_raw,BIG003B_raw,BIG005A_raw,BIG005B_raw,BIG011A_raw,BIG011B_raw,BIG015A_raw,BIG015B_raw,BIG018A_raw,BIG018B_raw,BIG020A_raw,BIG020B_raw,BIG002A_raw_outlier_flag,BIG002B_raw_outlier_flag,BIG003A_raw_outlier_flag,BIG003B_raw_outlier_flag,BIG005A_raw_outlier_flag,BIG005B_raw_outlier_flag,BIG011A_raw_outlier_flag,BIG011B_raw_outlier_flag,BIG015A_raw_outlier_flag,BIG015B_raw_outlier_flag,BIG018A_raw_outlier_flag,BIG018B_raw_outlier_flag,BIG020A_raw_outlier_flag,BIG020B_raw_outlier_flag
1979,1.52,1.03,1.68,1.44,1,0.86,0.76,0.93,1.18,0.7,0.24,0.41,0.99,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.94,0.67,1.15,0.99,0.55,0.44,0.5,0.52,0.35,0.29,0.23,0.46,0.73,0.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,1.03,0.73,1.29,1.26,0.7,0.37,0.51,0.5,0.43,0.34,0.1,0.15,0.66,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.38,0.46,0.75,0.68,0.15,0.14,0.27,0.27,0.19,0.11,0.1,0.18,0.29,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.84,0.53,0.93,0.72,0.24,0.29,0.22,0.37,0.14,0.09,0.16,0.19,0.33,0.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,1.1,0.75,1.18,0.98,0.1,0.32,0.31,0.39,0.23,0.19,0.28,0.34,0.37,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,1.27,0.95,1.61,1.43,0.26,0.18,0.37,0.49,0.34,0.32,0.28,0.28,0.36,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,1.41,0.98,1.77,1.63,0.36,0.43,0.17,0.25,0.58,0.31,0.28,0.29,0.33,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,1.53,1.17,1.87,1.62,0.43,0.6,0.44,0.27,0.41,0.12,0.24,0.32,0.33,0.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,2.01,1.52,2.13,1.99,0.58,0.7,0.3,0.24,0.59,0.18,0.42,0.32,0.73,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,1.39,1.24,1.71,1.65,0.47,0.41,0.26,0.13,0.66,0.19,0.3,0.29,0.68,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,1.46,1.39,1.81,1.77,0.68,0.53,0.4,0.29,1.08,0.41,0.25,0.21,1.01,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,1.02,0.67,1.5,1.22,0.47,0.56,0.23,0.28,0.61,0.36,0.29,0.31,0.84,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,1.83,1.45,1.92,1.46,1.1,1.25,0.52,0.37,1.47,0.96,0.89,0.64,1.34,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1993,1.1,0.7,0.94,1.2,0.41,0.56,0.25,0.32,0.47,0.27,0.28,0.21,0.55,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,1.15,1.02,1.17,1.36,0.66,0.75,0.4,0.4,0.78,0.59,0.38,0.27,0.77,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1995,0.92,1.12,1.22,1.06,0.77,0.75,0.55,0.46,NA,NA,0.52,0.38,0.82,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1996,0.11,0,0.75,0.85,0.57,0.52,0.5,0.45,NA,NA,0.28,0,0.7,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1997,0.51,0.3,0.9,0.87,0.56,0.49,0.78,0.6,NA,NA,0.54,0.32,0.62,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1998,0.86,0.68,1.13,1.05,0.81,0.87,1.19,0.65,NA,NA,0.81,0.66,1.08,1.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1999,0.78,0.62,0.91,1.15,0.72,0.76,1.06,0.48,NA,NA,0.68,0.5,1.1,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2000,0.51,0.37,0.7,0.67,0.45,0.52,0.71,0.33,NA,NA,0.37,0.41,0.64,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2001,0.94,0.78,0.9,0.9,0.4,0.53,0.85,0.58,NA,NA,0.52,0.48,0.77,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2002,0.36,0,0.53,0.53,0.18,0.17,0.48,0.37,NA,NA,0,0.21,0.35,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2003,0.26,0.43,0.59,0.56,0.51,0.48,0.51,0.4,NA,NA,0.33,0.28,0.68,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2004,0.08,0.25,0.4,0.24,0.57,0.38,0.21,0.25,NA,NA,0.3,0.41,0.31,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2005,0.2,0.19,0.51,0.4,0.47,0.48,0.18,0.12,NA,NA,0.26,0.37,0.36,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2006,0.3,0.26,0.23,0.28,0.52,0.64,0.3,0.29,NA,NA,0.15,0.23,0.4,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2007,0.83,1.08,0.33,0.38,0.51,0.59,0.43,0.47,NA,NA,0.28,0.4,0.48,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2008,1.29,1.23,0.46,0.54,0.84,0.72,0.61,0.63,NA,NA,0.29,0.51,0.31,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
2009,NA,NA,0.87,NA,0.7,0.68,0.7,0.52,NA,NA,0.46,0.57,0.37,0.43,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
