"","years","Tag","Ring_width(mm)","LongW","LongE","LatN","LatS"
"244",1527,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"245",1528,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"246",1529,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"247",1530,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"248",1531,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"249",1532,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"250",1533,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"251",1534,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"252",1535,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"253",1536,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"254",1537,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"255",1538,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"256",1539,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"257",1540,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"258",1541,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"259",1542,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"260",1543,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"261",1544,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"262",1545,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"263",1546,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"264",1547,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"265",1548,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"266",1549,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"267",1550,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"268",1551,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"269",1552,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"270",1553,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"271",1554,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"272",1555,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"273",1556,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"274",1557,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"275",1558,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"276",1559,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"277",1560,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"278",1561,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"279",1562,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"280",1563,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"281",1564,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"282",1565,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"283",1566,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"284",1567,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"285",1568,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"286",1569,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"287",1570,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"288",1571,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"289",1572,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"290",1573,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"291",1574,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"292",1575,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"293",1576,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"294",1577,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"295",1578,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"296",1579,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"297",1580,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"298",1581,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"299",1582,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"300",1583,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"301",1584,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"302",1585,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"303",1586,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"304",1587,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"305",1588,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"306",1589,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"307",1590,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"308",1591,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"309",1592,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"310",1593,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"311",1594,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"312",1595,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"313",1596,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"314",1597,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"315",1598,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"316",1599,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"317",1600,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"318",1601,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"319",1602,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"320",1603,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"321",1604,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"322",1605,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"323",1606,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"324",1607,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"325",1608,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"326",1609,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"327",1610,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"328",1611,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"329",1612,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"330",1613,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"331",1614,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"332",1615,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"333",1616,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"334",1617,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"335",1618,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"336",1619,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"337",1620,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"338",1621,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"339",1622,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"340",1623,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"341",1624,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"342",1625,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"343",1626,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"344",1627,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"345",1628,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"346",1629,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"347",1630,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"348",1631,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"349",1632,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
