"","Sample tree ID","Sample tree species","Neighbor tree species","Neighbor tree DBH (cm)","Distance to neighbor tree (m)"
"14423","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",20.8,12.7
"14424","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",17.4,12.6
"14425","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",14.4,11.9
"14426","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",14.6,10.4
"14427","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",10.4,8.9
"14428","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",12.8,7.1
"14429","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",16,7
"14430","GNP0717121035SF","Abies lasiocarpa","Abies lasiocarpa",20,8.6
"14431","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",35,4.5
"14432","GNP0717121247ES","Picea engelmannii","Picea engelmannii",11.5,5
"14433","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",10.2,6
"14434","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",46,9.7
"14435","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",12.9,10
"14436","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",15.4,13.5
"14437","GNP0717121247ES","Picea engelmannii","Picea engelmannii",42.9,10.7
"14438","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",11.4,9.9
"14439","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",11.5,11.8
"14440","GNP0717121247ES","Picea engelmannii","Picea engelmannii",22.6,14.3
"14441","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",14.1,13.2
"14442","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",11.2,14.1
"14443","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",14,13.5
"14444","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",15.1,13.2
"14445","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",16.9,11
"14446","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",33.7,8.4
"14447","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",35,5.8
"14448","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",46.1,8.3
"14449","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",13,11.4
"14450","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",19.1,13.3
"14451","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",16.2,14.6
"14452","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",12.8,14.3
"14453","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",28.8,12
"14454","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",17.2,9.2
"14455","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",10.2,9
"14456","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",25.2,10.6
"14457","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",12.2,13.3
"14458","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",18.5,14.9
"14459","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",14.2,11.7
"14460","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",24,14.5
"14461","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",22.1,8
"14462","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",18.9,8.5
"14463","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",14.1,6.1
"14464","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",18,3.5
"14465","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",19.8,5.6
"14466","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",14.9,7
"14467","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",10.2,9.7
"14468","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",13.9,14.9
"14469","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",11.1,12.7
"14470","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",17.5,11.9
"14471","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",19.7,11.6
"14472","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",29,12.2
"14473","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",19.8,10.4
"14474","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",11.2,7.8
"14475","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",19.6,11.1
"14476","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",10.9,11.5
"14477","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",32.5,14.7
"14478","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",33,8.3
"14479","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",16.2,12.4
"14480","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",11.5,12.6
"14481","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",13.9,10.7
"14482","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",12,9.6
"14483","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",18.4,12.5
"14484","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",17.6,13.4
"14485","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",22.4,14.5
"14486","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",32,12.1
"14487","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",37.2,11.2
"14488","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",18.2,8.6
"14489","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",15,9.4
"14490","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",34,11.1
"14491","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",12.3,11.9
"14492","GNP0717121247ES","Picea engelmannii","Abies lasiocarpa",16,13.3
"14493","GNP0717121247ES","Picea engelmannii","Picea engelmannii",39.6,3.8
"14494","GNP0717121247ES","Picea engelmannii","Pinus contorta var. latifolia",36,4.6
"14495","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.1,3.1
"14496","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",27,8.3
"14497","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",21.6,4.5
"14519","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",20.2,14.8
"14520","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.1,3.9
"14521","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",21.5,3.7
"14522","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",20.1,6.7
"14523","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",20.5,7.3
"14524","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.9,9.9
"14525","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.5,11.4
"14526","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.8,13.5
"14527","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",21.8,13.2
"14528","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.4,14.4
"14529","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.8,14.6
"14530","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.2,12.3
"14531","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.1,12.4
"14532","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.2,12.9
"14533","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",11.1,13.4
"14534","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.1,13.2
"14535","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16,14.6
"14536","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.3,11.4
"14537","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.8,10.8
"14538","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19,11.6
"14539","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.5,13.9
"14540","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22.2,8.7
"14541","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",10,6.5
"14542","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.8,5.3
"14543","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",20.8,3.6
"14544","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.2,3.8
"14545","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19,1.8
"14546","GNP0718121201ES","Picea engelmannii","Picea engelmannii",44.9,5.8
"14547","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17,9
"14548","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.3,9.5
"14549","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.9,10.5
"14550","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17,11.1
"14551","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15,13.5
"14552","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19,13.9
"14553","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13,14.6
"14554","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.3,14.2
"14555","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.8,10.7
"14556","GNP0718121201ES","Picea engelmannii","Picea engelmannii",19.2,14.8
"14557","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22.7,13.6
"14558","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18,10.9
"14559","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.9,6
"14560","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.8,10.1
"14561","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.8,10.8
"14562","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22.8,11.9
"14563","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.2,11.9
"14564","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22.8,12.3
"14565","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.8,11.1
"14566","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.8,8.6
"14567","GNP0718121201ES","Picea engelmannii","Picea engelmannii",37.2,5.6
"14568","GNP0718121201ES","Picea engelmannii","Picea engelmannii",21.2,6.3
"14569","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.3,10.4
"14570","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.2,11.6
"14571","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.6,9.6
"14572","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",24.1,12.2
"14573","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.5,14
"14574","GNP0718121201ES","Picea engelmannii","Picea engelmannii",33.8,13
"14575","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.9,10.9
"14576","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",27.8,9.5
"14577","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.1,8.6
"14578","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.1,12.8
"14579","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",30.6,14.4
"14580","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",28.2,14.8
"14581","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",26.8,14.1
"14582","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.1,10.3
"14583","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",25.4,3.1
"14584","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22.5,5.1
"14585","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",24.3,4.9
"14586","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.6,7.7
"14587","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.1,7.5
"14588","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22,10.7
"14589","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18,11.2
"14590","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.2,11.3
"14591","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",25.5,9.9
"14592","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.5,12
"14593","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.9,12.4
"14594","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",21,13.8
"14595","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.4,13.9
"14596","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17,13.5
"14597","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.9,12.6
"14598","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.1,12.8
"14599","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13,10.8
"14600","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.8,9.9
"14601","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14,9.8
"14602","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.4,8.3
"14603","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.5,8.9
"14604","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.2,6.4
"14605","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.2,8.8
"14606","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.5,8.8
"14607","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.7,12.5
"14608","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.1,13.6
"14609","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.8,1
"14610","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",21.8,14.7
"14611","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16,14.8
"14612","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23,11.7
"14613","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23.1,13.2
"14614","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.3,9.2
"14615","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",24,7.7
"14616","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.2,5.3
"14617","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",17.8,4.1
"14618","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.1,1.6
"14619","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.1,2
"14620","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.5,2.7
"14621","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",23,7.7
"14622","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12,10.2
"14623","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",11.5,10.5
"14624","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",10,10.5
"14625","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",19.4,12.3
"14626","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.5,12.3
"14627","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",21.8,13.7
"14628","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15.5,13
"14629","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",16.2,12.9
"14630","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.1,14
"14631","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.6,14.7
"14632","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",15,14.9
"14633","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",33.9,13
"14634","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.1,12
"14635","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",13.8,9.3
"14636","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",20.7,9.5
"14637","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",34.1,7.7
"14638","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",14.7,6.1
"14639","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.5,5.5
"14640","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",11.9,5.9
"14641","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",10.2,6.1
"14642","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18.1,4.8
"14643","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",18,8
"14644","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",22.8,10.1
"14645","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",25,14
"14646","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",12.6,12.5
"14647","GNP0718121201ES","Picea engelmannii","Abies lasiocarpa",20.6,14
"14651","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15,14
"14652","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",21.5,15
"14653","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18,13.2
"14654","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.1,6.05
"14655","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",27,11.8
"14656","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",19.8,11.43
"14657","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.8,13.1
"14658","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23,14.99
"14659","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",16.4,14.08
"14660","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",21,12.55
"14661","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12,13.43
"14662","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",17.5,12
"14663","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",20.2,13.3
"14664","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23,15
"14665","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17,13.49
"14666","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",10.2,12.88
"14667","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.5,11.49
"14668","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.1,10.78
"14669","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.2,11.77
"14670","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.1,12.43
"14671","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19.5,11.53
"14672","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.3,11.14
"14673","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19,14.11
"14674","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.8,13.18
"14675","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",16.6,13.43
"14676","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",31.9,14.83
"14677","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",20.2,13.45
"14678","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.1,4.17
"14679","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",21.5,2.9
"14680","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",20.1,6.6
"14681","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",20.5,5.91
"14682","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19.9,9.37
"14683","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.5,10.89
"14684","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.8,12.76
"14685","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",21.8,13.49
"14686","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.4,13.3
"14687","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.8,13.49
"14688","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.2,10.47
"14689","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.1,10.11
"14690","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.2,10.16
"14691","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",11.1,10.5
"14692","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.1,9.98
"14693","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",16,11.33
"14694","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.3,7.83
"14695","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23.8,6.93
"14696","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19,7.53
"14697","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23.5,9.87
"14698","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22.2,5.24
"14699","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",10,2.62
"14700","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.8,1.58
"14701","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",20.8,2.52
"14702","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.2,4.07
"14703","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19,2.7
"14704","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",44.9,4.04
"14705","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17,4.84
"14706","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",16.3,5.08
"14707","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.9,6.02
"14708","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17,6.64
"14709","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15,9.03
"14710","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19,9.4
"14711","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13,10.29
"14712","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.3,9.95
"14713","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23.8,6.53
"14714","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",19.2,10.68
"14715","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22.7,9.76
"14716","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18,7.41
"14717","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.9,1.5
"14718","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.8,6.85
"14719","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.8,7.44
"14720","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22.8,9.14
"14721","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23.2,9.72
"14722","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22.8,9.59
"14723","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.8,8.61
"14724","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19.8,6.82
"14725","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",37.2,6.55
"14726","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",21.2,6.94
"14727","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.3,8.88
"14728","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.2,10.76
"14729","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19.6,9.41
"14730","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",24.1,11.94
"14731","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.5,13.47
"14732","GNP0718121432SF","Abies lasiocarpa","Picea engelmannii",33.8,13.46
"14733","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.9,10.74
"14734","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",27.8,11.52
"14735","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.1,11.04
"14736","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23.1,14.89
"14740","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.1,13.64
"14741","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",25.4,7.02
"14742","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22.5,9.02
"14743","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",24.3,9.33
"14744","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.6,12.09
"14745","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23.1,11.86
"14746","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22,14.51
"14747","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18,15
"14749","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",25.5,14.38
"14758","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.8,14.34
"14759","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14,14.16
"14760","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.4,12.69
"14761","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.5,13.33
"14762","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.2,10.81
"14763","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",16.2,13.04
"14764","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",19.5,13.02
"14766","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.1,14.1
"14767","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.8,4.51
"14772","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.3,13.5
"14773","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",24,11.64
"14774","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.2,9.49
"14775","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",17.8,8.33
"14776","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.1,4.72
"14777","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.1,5.46
"14778","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",15.5,6.18
"14779","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",23,10.38
"14780","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12,12.99
"14781","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",11.5,13.28
"14782","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",10,13.22
"14792","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.1,13.93
"14793","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",13.8,11.27
"14794","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",20.7,11.76
"14795","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",34.1,10.33
"14796","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",14.7,7.83
"14797","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",12.5,7.05
"14798","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",11.9,7.04
"14799","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",10.2,7.19
"14800","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18.1,5.86
"14801","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",18,9.45
"14802","GNP0718121432SF","Abies lasiocarpa","Abies lasiocarpa",22.8,11.88
