"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877"
"75","MT","PSME","H","12C","PSME-H-12C",0.4525,0.247,0.3875,0.512,0.6575,0.5055,0.676,0.812,0.92,0.5885,0.61,0.737,0.623,0.725,0.8935,1.117,0.7305,0.746,0.697,1.099,0.719,0.5805,0.6745,0.8735,0.482,0.6595,0.8655,0.6265,0.376,0.648,0.6465,0.4875,0.6535,0.415,0.653,0.8845,0.7265,0.791,0.477,0.5085,0.693,0.5895,0.584,0.8365,0.8085,0.5355,0.65,0.9675,1.104,0.797,0.6925,0.483,0.619,0.607,0.793,0.572,0.834,0.575,0.739,0.486,0.642,0.5695,0.94,0.924,0.82,0.676,0.7765,0.4535,0.62,0.595,0.731,0.518,0.553,0.3975,0.424,0.5055,0.358,0.24,0.3325,0.363,0.366,0.2955,0.2545,0.2845,0.358,0.33,0.351,0.279,0.413,0.392,0.434,0.3015,0.332,0.2585,0.3955,0.362,0.5405,0.694,0.5795,0.51,0.612,0.5495,0.5485,0.567,0.655,0.55,0.471,0.342,0.324,0.4005,0.513,0.5145,0.7585,0.657,0.457,0.441,0.347,0.424,0.435,0.222,0.384,0.543,0.5235,0.567,0.602,0.75,0.6385,0.808,0.9135,0.489,0.5105,0.4805,0.71,0.729,0.686,0.871,1.2915
"76","MT","PSME","H","12N","PSME-H-12N",0.215,0.253,0.3115,0.372,0.4345,0.439,0.44,0.6475,0.6165,0.4625,0.482,0.4925,0.5905,0.6825,0.5935,0.8555,0.766,0.661,0.848,1.1985,1.099,0.682,0.768,0.7825,0.341,0.583,0.904,0.4785,0.4525,0.683,0.703,0.617,0.6355,0.4565,0.534,0.576,0.4425,0.4295,0.305,0.2835,0.472,0.478,0.6395,0.662,0.9195,0.7105,0.708,1.408,1.5215,0.923,1.0075,0.676,0.7955,0.8635,1.008,0.741,0.7425,0.6845,0.863,0.631,0.864,0.982,1.246,0.942,0.8265,0.7595,0.816,0.638,0.722,0.651,0.8725,0.4945,0.4005,0.3165,0.3585,0.2945,0.199,0.23,0.3785,0.3655,0.417,0.1775,0.313,0.375,0.4495,0.565,0.501,0.335,0.2725,0.409,0.4715,0.3335,0.428,0.2925,0.544,0.4285,0.796,1.1085,1.3505,0.889,0.953,0.881,0.8,0.7265,0.769,0.905,0.8265,0.733,0.5875,0.6085,0.85,0.786,1.1665,1.242,0.588,0.62,0.42,0.43,0.4915,0.294,0.346,0.408,0.7105,0.8365,0.807,0.8745,0.649,0.966,1.203,0.9735,0.755,0.9475,0.9955,0.8695,0.9025,0.887,1.17
"77","MT","PSME","H","13C","PSME-H-13C",0.2745,0.38,0.7915,0.4135,1.2895,0.928,1.0145,1.403,1.361,0.7685,0.9265,0.8445,0.867,1.1975,1.3635,1.668,1.1005,1.0145,0.9245,1.2165,0.908,1.1025,0.8735,1.079,0.5905,0.9415,1.121,1.0255,0.656,1.107,1.638,1.399,1.7185,1.229,1.3815,1.6985,1.5405,1.6145,0.9795,0.8,1.072,1.234,1.644,1.5065,1.3045,0.9765,0.9315,1.6625,2.019,1.743,1.6535,1.0385,1.194,1.547,1.6755,1.6755,1.6905,1.2765,1.795,1.302,1.3145,1.724,2.07,1.685,1.6925,2.249,2.3615,2.3145,2.017,2.432,3.922,3.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","MT","PSME","H","13N","PSME-H-13N",0.4095,0.395,0.9895,1.313,1.6125,1.406,2.057,2.7485,2.582,1.7745,1.6405,1.4485,1.0435,1.4325,1.5815,1.903,1.4315,1.4345,1.525,1.648,1.403,1.426,1.503,1.8065,1.3125,1.3935,1.511,1.421,1.0835,1.4015,1.4605,1.4695,1.5655,0.966,1.3795,1.6335,1.35,1.2265,0.95,0.8085,1.02,0.854,1.132,1.337,1.29,1.076,1.2095,1.4525,1.275,1.2375,1.2175,0.924,1.1925,1.123,1.1055,1.0525,0.963,0.8405,1.354,1.069,1.026,0.9785,1.198,1.237,1.467,1.5345,1.6125,1.341,1.3015,1.28,1.5925,1.6415,1.785,1.376,1.215,1.7505,2.1535,0.856,0.538,0.9605,0.8985,1.1035,1.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","MT","PSME","L","01C","PSME-L-01C",0.2125,0.237,0.2565,0.3705,0.333,0.386,0.4515,0.5685,0.594,0.471,0.475,0.585,0.6905,0.6865,0.6585,0.765,0.622,0.621,0.6355,1.0195,0.889,0.6625,0.5345,1.05,0.755,0.913,1.204,1.1355,0.4685,0.8525,0.8245,0.752,0.756,0.68,0.955,0.865,0.6585,0.5555,0.559,0.4995,0.864,0.7695,0.602,1.238,1.326,1.014,1.171,1.651,1.7965,1.3385,1.229,0.8505,0.988,1.0355,1.4045,1.2575,1.1735,0.833,0.8,0.673,1.1285,1.0795,1.382,1.7115,1.1515,1.1345,1.035,0.9775,1.1,0.938,1.243,1.3295,1.1505,1.0975,1.0995,1.561,1.1685,0.679,1.0605,1.381,1.536,1.189,1.115,1.009,1.149,0.882,1,0.511,0.8715,0.946,1.0495,1.018,1.14,0.7215,1.1585,1.114,1.788,2.8685,3.2665,2.3935,2.5505,2.5745,2.8725,2.5695,3.182,2.742,2.2995,1.5695,1.24,1.327,1.1125,1.5935,1.835,1.7715,1.101,1.271,2.0495,1.206,1.439,1.119,1.587,1.276,1.301,1.733,1.46,1.629,1.686,1.769,2.42,2.123,1.794,1.398,1.524,1.676,1.49,1.817,1.858
"2","MT","PSME","L","01N","PSME-L-01N",0.074,0.174,0.349,0.4125,0.327,0.264,0.306,0.3055,0.388,0.1975,0.3495,0.313,0.2295,0.2505,0.2085,0.1645,0.1355,0.1715,0.164,0.291,0.228,0.228,0.3215,0.4045,0.3195,0.4075,0.4145,0.43,0.323,0.6465,0.657,0.5835,0.5395,0.278,0.5035,0.4825,0.521,0.533,0.421,0.372,0.4425,0.391,0.3585,0.724,0.5165,0.4145,0.693,0.861,0.69,0.661,0.6805,0.564,0.63,0.592,0.7935,0.71,0.6165,0.523,0.661,0.437,0.7735,0.627,0.782,1.073,0.7255,0.81,0.65,0.5445,0.6085,0.495,0.7775,0.5935,0.4765,0.5855,0.421,0.5555,0.3865,0.376,0.4155,0.5165,0.567,0.517,0.454,0.5105,0.924,0.6015,0.6585,0.4285,0.683,0.5095,0.472,0.481,0.6335,0.5595,0.825,0.7555,1.265,1.6965,1.166,1.2085,1.3215,1.108,1.161,1.209,1.1695,1.337,1.0425,0.464,0.664,0.923,0.864,0.8875,1.4435,1.4345,1.046,1.0115,0.6675,1.02,1.1055,0.8845,1.0215,1.0625,0.939,1.107,1.201,2.303,1.333,1.55,1.7175,1.139,1.2155,1.2685,1.757,1.264,1.4255,1.362,2.2795
"3","MT","PSME","L","02C","PSME-L-02C",0.8215,0.62,0.881,0.9735,0.845,0.7735,0.951,0.9635,1.108,0.6525,0.778,1.0755,0.856,1.205,1.1825,1.325,1.1265,1.234,1.335,1.1355,0.881,0.758,0.953,1.107,0.7295,0.962,0.827,1.0765,0.8405,1.134,1.1085,0.8965,1.184,0.7155,0.6905,0.806,0.51,0.74,0.5815,0.5285,0.5325,0.4445,0.6445,0.7515,0.577,0.6975,0.7405,0.9175,0.6635,0.812,0.867,0.786,0.7885,0.843,0.8595,0.857,0.9135,0.818,0.9675,0.899,1.017,0.826,0.7585,1.0555,0.858,0.868,0.793,0.8785,0.7855,0.646,0.81,0.946,0.734,0.628,0.458,0.6365,0.5525,0.412,0.43,0.5105,0.549,0.5675,0.3985,0.517,0.49,0.515,0.3935,0.225,0.346,0.3545,0.3485,0.337,0.3525,0.284,0.344,0.335,0.4565,0.5555,0.478,0.4605,0.5075,0.3835,0.3255,0.4175,0.489,0.3785,0.471,0.3245,0.3655,0.3315,0.454,0.5545,0.6015,0.559,0.5045,0.444,0.336,0.459,0.4375,0.3605,0.379,0.306,0.2485,0.303,0.169,0.233,0.19,0.212,0.317,0.422,0.36,0.36,0.296,0.337,0.464,0.507,0.549
"4","MT","PSME","L","02N","PSME-L-02N",0.595,0.3685,0.7825,0.6985,0.578,0.629,0.868,0.799,0.8385,0.5635,0.3525,0.6385,0.557,0.7525,0.7075,0.875,0.9495,1.215,1.0855,1.4635,0.8305,0.7355,0.953,1.095,0.612,0.5015,0.701,0.7665,0.627,1.0445,0.7465,0.9185,0.705,0.544,0.716,0.761,0.572,0.546,0.403,0.366,0.4335,0.441,0.3625,0.497,0.4885,0.4,0.6955,1.3015,0.8475,0.6425,0.567,0.505,0.5525,0.5,0.837,0.7345,0.665,0.49,0.491,0.365,0.6655,0.6025,0.9385,1.347,0.794,0.8665,0.721,0.5865,0.596,0.5115,0.697,0.6795,0.4395,0.5595,0.408,0.452,0.319,0.214,0.2805,0.259,0.4055,0.3105,0.287,0.283,0.3125,0.2835,0.2815,0.204,0.226,0.18,0.17,0.1465,0.2175,0.196,0.322,0.367,0.7715,0.801,0.5305,0.6435,0.651,0.512,0.535,0.557,0.663,0.628,0.586,0.435,0.484,0.566,0.78,0.844,1.014,0.969,0.822,0.91,0.866,0.951,1.244,1.099,1.162,0.738,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MT","PSME","L","03C","PSME-L-03C",0.8571,0.8571,0.8571,0.952,1.037,0.867,0.867,0.994,0.99,0.586,0.719,0.724,0.835,0.964,1.094,1.179,0.852,0.852,0.894,0.947,0.831,0.842,0.942,1.387,1.42,1.315,1.245,1.304,1.086,1.503,1.667,1.523,1.957,1.628,1.535,2.187,1.613,1.955,1.218,1.015,1.161,1.096,1.536,1.317,1.517,1.267,1.318,1.918,1.608,1.438,1.321,1.4607,1.221,1.475,1.345,1.408,1.555,1.378,1.718,1.199,1.458,1.802,1.587,2.155,1.822,2.639,2.474,2.18,1.569,1.375,2.414,1.972,1.46,1.084,2.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MT","PSME","L","03N","PSME-L-03N",1.3395,2.0985,2.5415,2.537,1.776,1.3205,1.6225,1.749,2.3885,1.959,1.645,2.056,1.753,2.093,2.12,2.7975,2.178,1.8795,1.9155,2.777,2.415,2.028,2.1755,3.5575,2.878,2.863,2.7,2.7465,1.791,2.2095,2.4425,2.267,3.002,2.461,2.4835,2.909,2.1855,2.476,1.831,1.6965,1.6895,1.634,2.184,1.821,2.1355,1.861,2.1795,3.158,1.886,2.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MT","PSME","L","04C","PSME-L-04C",0.59,0.531,0.8035,0.863,0.866,0.6975,0.938,1.012,1.012,0.8345,0.8455,0.9715,0.961,1.0235,1.0105,1.9665,1.366,1.194,1.204,1.57,1.061,1.3525,1.4695,1.5785,1.467,1.2755,1.2295,1.082,0.82,1.3075,1.591,1.547,1.484,1.0365,1.46,1.938,1.6555,1.7475,1.096,1.065,1.043,1.0025,1.1385,1.283,1.463,1.5785,1.5315,2.039,2.0455,1.666,1.8015,1.3935,1.582,1.5065,1.7135,1.692,1.85,1.723,1.873,1.2495,1.7845,1.876,1.873,2.199,2.017,2.0845,1.8015,2.0855,1.9235,1.595,2.0505,2.12,2.0745,1.6755,2.0185,2.0705,1.6325,1.217,1.604,2.0075,1.9815,1.8745,1.676,1.45,1.4985,1.4355,1.809,1.403,2.244,1.824,1.866,1.445,1.119,1.133,1.356,0.641,1.554,2.503,2.147,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MT","PSME","L","04N","PSME-L-04N",0.634,0.811,0.938,0.939,0.706,0.5505,0.787,0.7915,1.175,0.826,0.606,0.809,0.728,1.1005,0.867,1.0525,0.714,0.62,0.727,1.095,0.7135,0.848,0.8975,1.044,0.6465,0.6585,0.88,0.6685,0.4595,1.065,1.1475,0.941,1.1135,0.634,0.6195,0.7245,0.636,0.6155,0.438,0.3635,0.5925,0.4535,0.4465,0.763,0.7705,0.647,0.89,0.9985,1.182,0.8955,0.9495,0.609,0.6775,0.61,0.885,0.8405,1.044,0.6845,0.806,0.5805,1.0345,0.859,0.919,1.518,1.205,1.2065,1.1965,0.9645,1.0705,0.8785,1.3645,1.01,0.931,0.6995,0.6205,1.131,0.863,1.2695,1.486,1.1415,1.2345,1.2635,1.0975,1.031,1.4415,1.216,1.197,1.055,1.584,0.9005,0.795,0.8265,0.858,0.6225,0.7175,0.5305,0.938,1.4445,1.4285,1.6565,1.6605,1.176,1.5495,1.2355,1.203,0.841,0.417,0.25,0.166,0.292,0.376,0.438,0.608,0.758,0.611,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MT","PSME","L","05C","PSME-L-05C",1.0585,1.302,1.6865,2.346,1.8045,1.1885,1.547,1.842,2.2255,1.5275,1.5325,2.2525,1.7365,2.093,2.1225,2.467,1.98,1.9325,1.9315,1.922,1.378,1.2945,1.599,1.702,1.3955,1.1315,1.155,1.4515,0.989,1.3875,1.557,1.362,1.4685,1.1405,1.182,1.5725,1.1065,1.256,1.0605,0.9655,0.9725,1.037,1.314,1.3415,1.2155,1.032,1.0305,1.4865,1.3445,1.3735,1.5645,1.2585,1.1935,1.279,1.3945,1.5815,1.5545,1.46,1.374,1.2285,1.4025,1.4785,1.373,1.669,1.624,1.6845,1.447,1.4585,1.2645,1.2815,1.7895,2.0135,1.6135,1.4605,1.92,1.4765,1.323,0.792,1.0085,0.8795,0.927,1.166,1.036,1.273,1.2285,2.0415,1.467,0.8385,1.422,1.8225,1.28,1.179,1.355,1.13,1.579,0.95,1.463,2.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MT","PSME","L","05N","PSME-L-05N",0.8435,0.685,1.2555,1.6115,1.1635,1.0235,1.31,1.468,1.924,1.444,1.1035,1.4535,1.521,1.588,1.547,1.487,1.2605,1.298,1.356,1.7335,1.0255,1.374,1.479,1.9235,1.4,1.18,1.478,1.3005,0.675,1.1975,1.224,0.952,1.0845,0.7755,0.9335,0.8635,0.9275,0.845,0.6675,0.616,0.8065,0.761,0.9375,1.3215,1.196,1.2625,1.1985,1.664,1.83,1.4085,1.664,1.2185,1.407,1.54,1.5685,1.5725,1.8005,1.5365,1.6715,1.3085,1.8815,1.983,2.084,2.7715,2.248,2.527,1.4835,1.602,1.413,1.202,1.288,1.311,1.057,1.185,1.164,1.48,1.191,0.967,1.269,1.298,1.431,1.457,1.397,1.502,1.818,2.157,1.767,1.831,2.624,2.348,3.48,2.179,2.219,3.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","MT","PSME","L","06C","PSME-L-06C",1.2665,1.776,2.1635,2.0065,1.5395,1.2175,1.4235,1.7985,2.083,1.3885,1.3685,1.673,1.5465,1.5175,1.615,1.832,1.674,1.7515,2.027,2.478,1.6505,1.233,1.7375,1.8505,1.2295,1.6925,1.493,1.4295,1.222,1.4745,1.555,1.7755,2.169,1.648,1.91,2.677,1.767,2.0895,1.32,1.183,1.3225,1.2475,1.599,1.664,1.6765,1.5845,1.3295,1.706,1.7055,1.501,1.5275,1.1475,1.227,1.577,1.5495,1.5185,1.3765,1.1565,1.6075,1.487,1.3245,1.499,1.2475,1.609,1.374,1.629,1.1,1.1,1.014,1.139,1.41,1.621,2.021,1.227,1.121,1.141,1.183,1.015,0.719,1.142,1.565,1.86,1.669,2.134,1.88,2.618,2.121,1.987,1.641,2.042,1.974,1.115,1.687,1.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","MT","PSME","L","06N","PSME-L-06N",0.969,1.073,1.803,1.7475,1.7615,1.356,1.8575,1.5945,2.0245,1.8195,1.3105,1.5845,1.8475,2.1155,1.8785,2.298,2.2575,1.964,1.8515,2.8295,2.3615,1.9865,1.844,2.2695,1.9545,1.9075,1.91,1.632,1.0535,1.088,1.481,1.3995,1.61,1.084,1.255,1.846,1.344,1.7125,0.987,1.07,1.0705,1.0815,1.2285,1.3425,1.2195,1.1455,1.217,1.524,1.818,1.791,1.714,1.312,1.312,1.495,1.6925,1.508,1.5685,1.24,1.569,1.2755,1.2385,1.3215,1.057,1.6495,1.543,1.8705,1.746,1.859,1.613,1.6755,1.7975,1.8395,1.9985,1.5435,1.196,1.1665,0.9645,0.712,0.8385,0.782,0.831,0.755,0.608,0.587,0.901,1.451,1.09,0.662,0.703,0.868,1.218,0.597,0.697,0.509,0.61,0.587,0.936,1.012,0.865,0.995,1.145,2.153,1.563,2.259,2.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MT","PSME","L","07C","PSME-L-07C",0.6,0.4505,0.6185,0.6515,0.484,0.442,0.5275,0.4045,0.5125,0.38,0.563,0.728,0.762,0.937,1.004,1.151,0.7295,0.951,0.7075,0.8875,0.554,0.7455,0.8145,0.934,0.64,0.708,0.592,0.68,0.441,0.793,0.6555,0.5925,0.7615,0.37,0.571,0.7185,0.8465,1.036,1.0245,0.8975,1.05,0.7785,0.665,1.0435,0.866,0.876,1.0145,1.2895,1.3205,1.1295,1.224,0.852,1.1515,1.2075,1.8815,1.657,1.634,1.3915,1.647,1.4465,2.281,1.699,2.132,2.2375,1.8655,2.218,1.9965,1.775,1.945,1.7545,2.111,2.494,2.3145,2.105,2.167,2.2165,2.123,1.354,1.3955,1.5965,1.681,1.48,1.195,1.111,1.259,1.3645,1.0785,0.949,1.6765,1.267,1.626,1.1595,1.191,0.9395,1.298,1.0505,1.4825,1.9515,1.939,1.8425,2.3515,2.3785,1.848,1.92,1.8485,2.802,1.2995,1.748,1.986,2.202,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MT","PSME","L","07N","PSME-L-07N",0.5185,0.5815,1.449,1.583,1.254,0.8335,1.0645,0.896,1.16,1.3085,1.6175,2.3365,2.3655,2.5,2.0495,2.1365,1.653,1.8575,1.824,2.628,1.3715,1.2815,0.93,1.0465,0.7575,0.8295,0.83,0.9295,0.5955,0.899,0.7945,0.9165,0.864,0.5505,0.728,0.905,0.724,0.8275,0.507,0.6095,0.7335,0.679,0.7135,0.648,0.763,0.815,0.8265,1.1085,1.5595,1.296,1.154,1.197,0.8975,1.035,1.48,1.2705,1.5395,1.5395,1.825,1.545,1.5295,1.682,1.815,2.2095,1.717,1.861,1.6535,1.656,1.666,1.8015,2.303,2.5795,2.0185,1.558,1.7685,1.804,1.4105,0.8865,1.113,1.293,1.3725,1.351,1.581,0.6975,1.226,1.55,1.134,0.679,1.122,1.256,1.098,1.001,1.135,1.031,1.32,0.347,1.1,2.425,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","MT","PSME","L","08C","PSME-L-08C",0.21,0.214,0.279,0.2955,0.428,0.422,0.639,0.7185,0.678,0.514,0.558,0.5575,0.4535,0.5155,0.3625,0.3155,0.226,0.31,0.2985,0.717,0.517,0.669,0.802,0.724,0.636,0.795,0.818,0.6175,0.5195,0.7795,0.8325,0.871,0.6735,0.5,0.6795,0.736,0.472,0.598,0.621,0.5625,0.6525,0.6265,0.7055,0.685,0.5875,0.34,0.56,0.8335,0.734,0.8975,0.8985,0.8185,0.858,1.015,1.126,0.9125,1.0935,0.8605,1.146,0.8555,1.1695,0.9755,0.931,1.268,0.992,1.032,1.0875,1.157,1.0735,1.0105,0.746,1.225,0.982,1.068,0.941,1.337,0.948,0.634,0.65,0.773,0.592,0.512,0.487,0.663,0.229,0.315,0.231,0.2,0.231,0.262,0.451,1.097,0.643,1.108,0.801,1.015,1.723,3.016,2.241,2.194,4.596,1.703,1.775,1.737,1.381,1.431,1.445,0.861,1.643,1.419,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","MT","PSME","L","08N","PSME-L-08N",0.598,0.6225,1.489,1.114,0.801,0.7145,0.704,1.135,1.712,1.0035,1.089,1.714,1.5855,2.0535,1.7215,1.606,1.245,1.4585,1.2055,1.349,0.849,1.0555,1.0965,1.1285,0.763,0.659,0.5345,0.6375,0.618,1.1745,1.4725,1.062,1.0535,0.994,1.002,1.335,1.265,1.258,0.9635,1.038,0.867,0.888,0.939,0.97,0.9995,1.1865,1.0615,1.1875,1.191,1.4385,1.423,1.1735,1.14,1.275,1.427,1.251,1.327,1.0955,1.272,1.178,1.483,1.38,1.357,1.585,1.1925,1.8275,1.634,1.583,1.606,1.5235,1.719,1.678,1.622,1.4715,1.676,1.5075,1.2945,1.208,1.669,1.4915,1.511,1.793,1.5305,1.593,1.687,1.7095,1.6315,1.0625,1.766,1.379,1.297,0.8925,1.103,0.7485,0.9455,0.714,1.384,0.8875,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MT","PSME","L","09C","PSME-L-09C",0.5655,1.0845,1.6035,1.4935,0.9605,0.8025,0.9175,1.032,1.1825,0.923,1.08,1.511,1.2625,1.942,2.0895,1.821,1.1065,0.99,1.074,1.0845,0.7685,0.6845,0.9895,1.4525,1.148,1.158,1.1065,1.2415,1.0205,1.095,1.2415,1.307,1.712,1.382,1.257,1.498,0.8805,1.0155,0.701,0.7645,0.9315,1.0595,1.3015,1.4165,1.1555,1.1455,1.109,1.571,1.4725,1.0345,0.878,0.757,0.809,0.893,1.115,1.1285,1.297,1.0325,1.117,1.1425,1.164,1.2985,1.1465,1.611,1.2055,1.4905,1.2815,1.2845,1.336,1.046,1.5025,1.763,1.517,1.3395,1.057,0.994,1.0985,0.9915,1.758,1.7265,0.69,0.7565,0.6695,0.717,0.8135,0.96,1.1425,0.986,1.144,0.855,1.2555,0.7025,0.784,0.8335,1.1695,0.872,1.215,1.2725,1.394,1.4415,1.599,1.832,1.5545,1.45,1.786,0.4895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MT","PSME","L","09N","PSME-L-09N",0.4595,0.359,0.7725,0.988,0.935,0.863,0.923,1.2305,1.113,1.2695,1.339,1.284,1.2585,1.522,1.549,1.6175,1.4855,1.5055,1.6915,1.924,2.0085,1.8925,2.0075,1.893,1.1545,1.685,1.623,1.5865,1.578,1.713,1.9055,1.9045,2.469,1.6275,1.5945,2.0185,1.2815,1.5645,1.112,1.0595,1.152,1.226,1.5515,1.383,1.4225,1.6085,1.7695,2.4345,2.236,1.487,1.4545,0.968,1.0945,1.393,1.3925,1.398,1.409,1.033,1.3635,1.472,1.806,1.5965,1.493,2.382,2.0195,1.5855,1.442,1.5625,1.56,1.3065,1.6335,2.2555,2.7785,0.932,1.506,1.309,0.943,0.954,0.846,1.17,0.922,1.048,1.743,1.816,1.158,0.774,0.476,0.397,0.631,1.419,1.816,1.133,1.489,1.533,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","MT","PSME","L","10C","PSME-L-10C",0.6385,0.772,0.783,0.6805,0.702,0.553,0.5905,0.6455,0.741,0.47,0.5215,0.623,0.7255,1.018,0.832,0.8105,0.5835,0.6775,0.7115,1.3315,0.9225,0.9305,0.947,1.2785,0.467,0.653,0.8055,0.735,0.5565,0.677,0.6295,0.6405,0.6865,0.45,0.6525,0.6325,0.5235,0.5285,0.399,0.3545,0.4965,0.674,0.5965,0.898,0.9255,0.851,1.1675,1.157,1.711,1.226,1.5495,1.184,1.1955,0.922,1.2575,1.2555,1.652,1.538,0.8875,0.5965,0.807,0.6915,1.064,1.23,0.91,0.8225,1.0455,0.954,0.8475,0.617,0.9235,1.0815,0.74,0.8595,0.8885,0.8395,0.6195,0.5185,0.574,0.566,0.6535,0.557,0.4415,0.394,0.5155,0.3795,0.383,0.358,0.3785,0.552,0.5885,0.441,0.568,0.4525,0.579,0.521,1.092,1.428,1.155,1.251,1.923,0.782,0.97,1.2625,1.1135,1.137,1.223,1.116,1.017,1.218,1.267,1.4315,1.811,1.7235,1.0475,0.9155,0.589,0.961,2.221,1.6,0.8955,0.924,0.8965,0.617,0.9735,1.0175,1.3205,1.243,1.443,1.603,1.5225,1.112,0.599,1.033,0.758,0.6525,0.4305
