age_CE,BC1801A_raw,BC1802A_raw,BC1803A_raw,BC1804B_raw,BC1805B_raw,BC1806A_raw,BC1807A_raw,BC1808A_raw,BC1809A_raw,BC1810B_raw,BC1811A_raw,BC1812A_raw,BC1813A_raw,BC1814A_raw,BC1815B_raw,BC1816A_raw,BC1817A_raw,BC1818A_raw,BC1819A_raw,BC1820A_raw,BC1801A_raw_outlier_flag,BC1802A_raw_outlier_flag,BC1803A_raw_outlier_flag,BC1804B_raw_outlier_flag,BC1805B_raw_outlier_flag,BC1806A_raw_outlier_flag,BC1807A_raw_outlier_flag,BC1808A_raw_outlier_flag,BC1809A_raw_outlier_flag,BC1810B_raw_outlier_flag,BC1811A_raw_outlier_flag,BC1812A_raw_outlier_flag,BC1813A_raw_outlier_flag,BC1814A_raw_outlier_flag,BC1815B_raw_outlier_flag,BC1816A_raw_outlier_flag,BC1817A_raw_outlier_flag,BC1818A_raw_outlier_flag,BC1819A_raw_outlier_flag,BC1820A_raw_outlier_flag
1875,1.06,1.58,1.5,0.6,1.11,0.49,0.66,0.94,1.64,1.68,1.63,0.75,0.97,0.86,1.33,3.5,1.34,0.76,0.64,1.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1876,2.29,1.98,1.9,0.67,1.32,0.83,0.82,1,1.77,1.46,1.76,1.47,1.48,0.86,1.66,3.37,1.56,0.96,1.06,1.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1877,2.27,1.49,1.86,0.42,1.06,0.47,0.66,0.64,1.19,1,1.08,1.49,1.02,1.23,1.33,3.55,1.22,0.85,0.63,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1878,2.18,1.82,2.61,0.64,1.4,0.57,0.96,1.04,1.59,1.62,1.66,1.5,1.64,1.5,2.1,4.81,1.83,1.1,1.31,1.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1879,0.57,0.52,0.56,0.09,0.22,0.14,0.27,0.06,0.29,0.29,0.5,0.44,0.16,0.17,0.36,0.88,0.24,0.23,0.17,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1880,2.2,1.56,2.67,0.71,1.36,0.71,1.01,1.09,1.68,1.26,1.56,1.46,1.46,1.09,1.45,3.45,1.41,0.97,0.92,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1881,1.57,1.02,2.41,0.52,1.4,0.54,0.71,0.96,2.05,1.14,1.92,0.96,1.01,0.78,1.35,3.52,1.74,0.96,0.51,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1882,1.23,1.12,2.32,0.37,1.12,0.42,0.52,0.63,1.47,0.98,1.58,0.73,0.85,0.95,1.29,3.04,1.19,0.79,0.5,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1883,1.35,1.25,1.89,0.47,0.98,0.54,0.57,0.85,1.36,1.05,1.56,0.8,0.91,1.2,1.17,2.71,1.29,0.85,0.91,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1884,1.77,2.59,3.25,1.05,1.57,0.87,0.75,1.32,2.62,1.95,2.72,1.25,1.62,2.01,2.34,3.87,2.77,1.36,2.42,1.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1885,2.2,2.34,2.24,0.85,1.35,0.84,0.7,1.19,2.11,1.37,2.13,1.01,1.24,1.44,1.8,2.98,1.74,1.26,1.42,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1886,2.19,3.59,3.13,0.91,2.07,1.09,0.73,2.27,2.24,2.34,2.07,1.08,1.91,2.1,3.28,3.67,2.5,1.75,1.56,2.36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1887,1.96,2.66,2.64,0.87,1.73,1.17,0.61,1.51,1.51,1.79,1.83,0.85,1.52,1.75,2.15,3.6,2.33,1.47,1.34,1.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1888,1.86,2.63,3.6,1.22,1.91,1.21,1.01,1.64,1.9,2.8,2.22,1.13,1.93,1.95,2.71,4.69,3.27,1.47,1.81,1.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1889,1.73,1.9,2.9,1.11,1.34,1.1,0.92,1.38,1.62,2.27,1.94,0.96,1.69,1.37,1.72,3.45,1.75,1.24,1.71,1.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1890,2.67,2.17,3.83,1.49,1.32,1.1,1.25,1.76,2.45,2.9,2.38,1.56,2.05,1.86,2.09,3.87,2.05,1.81,2.02,1.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1891,3.27,2.91,4.23,2.05,1.89,1.31,1.89,1.96,3.05,2.93,3.08,1.99,2.34,2.36,3.11,3.91,2.61,2.22,2.18,1.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1892,2.54,2,2.55,1.73,1.66,1.12,1.52,1.44,1.65,2.02,1.92,1.52,1.44,1.6,2.5,2.75,1.5,1.53,1.65,1.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1893,2.35,1.58,3.14,1.41,1.32,0.88,1.28,1.32,1.47,2.29,1.84,1.12,1.57,1.39,2.7,2.36,1.25,1.2,1.5,1.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1894,1.78,1.36,2.23,1.07,1.04,0.77,1.05,1.22,1.45,1.35,2.06,1.33,1.13,1.24,1.54,1.75,1.09,1.19,1.42,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1895,2.14,1.5,3.09,1.03,1.17,0.9,1.05,1.36,1.42,1.85,1.96,0.85,1.29,1.35,2.65,1.79,1.06,1,1.39,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1896,1.03,1,1.21,0.53,0.41,0.53,0.62,0.42,0.63,0.47,1.15,0.67,0.55,0.41,0.58,0.71,0.4,0.66,0.85,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1897,1.86,1.47,2.08,0.69,0.84,0.78,1.05,0.94,1.12,1.05,1.34,1.44,1.33,0.93,1.17,1.74,0.72,0.97,1.14,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1898,1.28,0.96,1.46,0.47,0.48,0.54,0.82,0.54,0.88,0.87,1.25,1.42,0.68,0.69,0.79,1.14,0.64,0.96,1.02,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1899,0.79,0.67,0.9,0.15,0.27,0.25,0.52,0.14,0.41,0.28,0.72,0.66,0.3,0.4,0.5,0.56,0.41,0.58,0.47,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1900,1.6,1.6,2.22,0.72,0.79,0.58,1.18,0.68,1.47,0.88,1.62,1.61,0.95,1.32,1.26,1.65,1.06,1.55,1.35,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1901,1.7,2.49,3.02,0.94,1.05,0.57,1.3,0.94,2.31,1.08,2.44,1.49,1.43,1.43,1.78,2.58,1.38,1.8,1.36,1.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1902,1.64,1.94,1.85,0.89,1.07,0.96,1.27,0.93,1.54,0.92,1.81,1.44,1.2,1.13,1.55,2.16,1.13,1.43,1.27,1.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1903,1.85,2.47,2.19,0.83,1.32,1,1.27,1.04,1.53,1.12,1.85,1.59,1.6,1.45,1.77,2.17,1.53,1.44,1.43,1.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1904,1.83,1.71,1.22,0.6,0.89,0.79,1.01,0.7,1.1,0.69,1.51,1.11,0.88,1.15,1.05,1.63,1.18,1.03,1.02,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1905,2.12,2.2,1.93,0.77,1.51,0.76,1.32,0.9,1.63,1.06,2.12,1.39,1.36,1.42,1.44,1.72,1.3,1.21,1.33,1.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,2.61,2.15,3.2,1.49,2.59,1.01,1.75,1.55,2.33,1.5,2.37,1.85,2.32,2.13,1.93,2.75,1.99,2.39,1.99,2.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,2.06,1.49,2.73,1.54,1.99,0.94,1.73,1.3,1.79,1.82,1.86,1.87,1.89,1.53,1.95,3.07,1.85,1.78,1.95,2.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1908,3.46,2.57,3.78,1.65,2.14,1.08,1.9,1.78,2.3,2.43,2.24,2.4,2.24,1.71,2.14,3.25,2.42,2.27,3.22,2.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1909,2.89,1.95,2.81,1.4,2,0.9,1.83,1.62,1.89,2.33,1.88,2.09,2.01,1.59,2.09,2.89,1.67,1.88,3.1,2.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1910,1.53,0.96,1.81,0.87,1.27,0.44,1.06,0.95,1.14,1.41,1.37,1.23,0.84,1.06,1.48,1.58,1.15,1.1,2.13,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,1.73,0.85,1.61,0.63,1.22,0.39,1.03,0.78,0.9,1.09,1.06,1.01,0.96,1,1.26,1.53,1.04,1.05,2.07,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.44,0.83,1.41,0.68,1.27,0.4,0.87,0.95,1.12,1.61,1.23,1.04,1.04,1.03,1.26,1.47,1.01,1.1,1.66,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.22,0.89,1.29,0.53,0.73,0.39,0.79,0.64,0.99,1.19,1.26,0.91,0.78,0.92,0.83,1.66,0.73,0.52,1.41,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,2.19,1.2,2.51,0.9,1.13,0.61,1.4,1.17,1.41,2.02,2.04,1.04,1.37,1.43,1.92,2.39,1.45,0.91,2.31,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.98,1.37,1.93,0.78,1.12,0.53,1.28,1.2,1.07,1.99,1.81,1.07,1.16,1.04,2,2.03,1.11,1.3,1.73,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,2.4,2.07,2.42,0.95,1.99,0.43,1.12,1.64,1.71,1.38,2.83,1.3,1.25,1.32,1.5,2.42,1.46,1.31,1.76,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,2.39,2.13,2.16,0.97,1.71,0.51,1.32,1.54,1.84,1.25,2.83,2.1,1.43,1.57,1.39,2.24,1.68,1.6,1.69,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,2.14,1.19,1.42,0.6,1.21,0.24,0.93,1.14,1.17,0.63,1.48,0.93,0.94,1.51,0.82,1.49,1.14,0.98,0.93,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.6,1.24,0.99,0.53,0.8,0.32,0.95,0.64,0.99,0.7,1.36,1.18,0.7,1.05,0.57,1.02,0.9,0.92,0.55,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,2.54,1.66,2.37,0.85,1.47,0.5,1.54,1.69,1.52,1.44,1.94,1.75,1.7,1.49,1.38,1.92,1.43,1.43,1.37,1.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,1.9,1.42,2.05,0.64,1.2,0.51,1.56,1.43,1.54,1.21,1.95,1.68,1.08,1.38,1.13,1.6,1.51,1.42,1.24,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,2.28,1.54,2.08,0.74,1.54,0.51,1.57,1.52,1.72,1.04,1.78,1.57,1.27,1.25,1.17,1.65,1.46,1.38,1.05,1.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,1.79,1.32,1.78,0.8,1.34,0.47,1.16,1.62,1.74,0.86,1.84,1.13,1.04,1.25,1.29,1.4,1.31,1.28,0.86,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,1.83,1.2,1.46,0.64,1.28,0.42,1.28,1.56,1.78,0.92,1.7,1.06,1.05,1.65,1.19,1.72,1.38,1.32,1.02,1.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.31,0.89,1.27,0.39,0.82,0.28,0.94,0.96,1.31,0.67,1.32,0.77,0.59,1.07,0.86,1.29,1.03,0.87,0.92,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.94,0.88,1.71,0.54,1.13,0.41,1.25,1.16,1.31,0.82,1.32,0.98,0.89,1.44,0.95,1.14,1.35,1.27,0.96,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.82,0.94,1.77,0.42,1.3,0.37,1.17,1.06,1.09,0.8,1.11,0.81,0.91,1,0.98,0.98,1.25,1.02,0.74,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,1.08,0.74,0.84,0.37,0.78,0.21,0.62,0.72,1.2,0.5,1.36,0.51,0.59,0.63,0.5,0.82,0.7,0.65,0.66,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,1.72,1.22,2.04,1.12,0.8,0.83,1.41,1.22,1.41,1.07,1.78,0.71,1.31,1.27,0.85,1.25,1.42,1.7,1.04,2.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,0.8,0.69,1.37,0.91,0.26,0.44,0.99,0.51,0.52,0.94,1,0.34,0.76,0.9,0.55,0.77,1.15,1.34,0.76,1.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.27,1.23,2.2,0.94,0.34,0.57,1.3,0.77,0.49,0.72,1.22,0.68,1.26,1.04,0.8,1.05,1.27,1.91,1.8,1.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.52,1.37,2.35,0.82,0.35,0.57,1.28,0.87,0.35,0.7,1.24,0.87,1.34,0.91,0.91,1.02,1.35,1.62,2.05,1.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,0.76,0.7,1.56,0.36,0.34,0.31,0.82,0.57,0.29,0.44,0.9,0.73,0.83,0.52,0.49,0.62,0.6,0.92,1.45,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,0.58,0.39,1.12,0.26,0.21,0.24,0.56,0.4,0.18,0.25,0.54,0.42,0.45,0.37,0.26,0.41,0.58,0.77,1.61,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,1.46,1.12,2.01,0.57,0.48,0.66,1.13,0.78,0.37,0.51,1.04,1.2,1.28,1.02,0.65,0.92,1.18,2.04,3.33,1.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1936,1.23,0.84,1.22,0.45,0.45,0.41,0.82,0.69,0.26,0.47,0.9,0.85,0.88,0.78,0.62,0.95,0.85,1.69,3.02,1.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1937,1.57,1.09,1.25,1.02,0.36,0.82,0.99,0.98,0.27,1.2,1.17,1.44,1.75,1.69,1.51,1.96,0.9,2.58,2.99,1.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1938,2.86,1.58,1.67,1.09,0.32,0.8,1.78,1.4,0.24,1.01,1.79,1.67,2.1,1.86,1.54,2.36,1.32,2.86,2.81,2.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,1.97,1.51,1.27,1.04,0.27,0.65,1.69,1.11,0.28,0.86,1.45,1.74,1.31,1.43,1.03,2.16,1.32,2.24,1.94,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,2.57,1.61,1.6,1.01,0.31,0.83,1.92,1.52,0.3,1.08,1.51,2.46,1.84,1.74,0.89,2.55,1.55,2.63,2.22,2.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,3.1,1.37,2.29,0.89,0.23,0.66,1.76,1.97,0.25,0.68,1.34,2.22,1.77,1.89,0.9,1.88,1.62,2.58,2.38,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,1.96,1.04,1.34,0.56,0.24,0.38,1.4,1.2,0.27,0.66,1.37,1.92,1.4,1.21,0.52,1.44,1.3,2.01,1.45,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,3.01,0.88,1.56,0.74,0.22,0.55,1.69,2.72,0.23,0.63,1.39,2.12,1.33,1.46,0.77,1.29,1.79,2.12,1.93,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,2.2,1.19,1.93,0.68,0.32,0.53,1.66,2.02,0.31,0.68,1.52,1.97,1.32,1.35,0.77,1.22,1.79,2.19,1.72,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,2.26,1.3,2.34,0.62,0.31,0.39,1.57,3.08,0.26,1.5,2.06,2.41,1.52,1.86,0.82,1.43,2.72,2.59,2.02,1.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,1.7,1.09,2.17,0.54,0.28,0.39,1.52,2.46,0.19,1.35,2.23,2.03,1.2,1.45,0.83,1.28,3.13,2.62,1.54,1.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1947,1.36,0.88,1.55,0.59,0.27,0.46,1.64,1.6,0.18,0.9,1.51,1.51,1.11,1.06,0.72,0.99,2.06,1.74,1.15,1.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
