age_CE,MD0301B_raw,MD0302A_raw,MD0303A_raw,MD0304A_raw,MD0305B_raw,MD0306B_raw,MD0307B_raw,MD0308B_raw,MD0309A_raw,MD0310B_raw,MD0311A_raw,MD0312A_raw,MD0314B_raw,MD0315A_raw,MD0316B_raw,MD0317A_raw,MD0318B_raw,MD0319B_raw,MD0320B_raw,MD0321A_raw,MD0322A_raw,MD0323B_raw,MD0324A_raw,MD0325B_raw,MD0301B_raw_outlier_flag,MD0302A_raw_outlier_flag,MD0303A_raw_outlier_flag,MD0304A_raw_outlier_flag,MD0305B_raw_outlier_flag,MD0306B_raw_outlier_flag,MD0307B_raw_outlier_flag,MD0308B_raw_outlier_flag,MD0309A_raw_outlier_flag,MD0310B_raw_outlier_flag,MD0311A_raw_outlier_flag,MD0312A_raw_outlier_flag,MD0314B_raw_outlier_flag,MD0315A_raw_outlier_flag,MD0316B_raw_outlier_flag,MD0317A_raw_outlier_flag,MD0318B_raw_outlier_flag,MD0319B_raw_outlier_flag,MD0320B_raw_outlier_flag,MD0321A_raw_outlier_flag,MD0322A_raw_outlier_flag,MD0323B_raw_outlier_flag,MD0324A_raw_outlier_flag,MD0325B_raw_outlier_flag
1916,0.34,0.57,1.53,0.46,0.31,1.04,0.6,0.59,0.9,0.89,1.18,0.61,1,0.4,0.57,0.72,0.55,0.34,1.14,0.55,0.5,0.73,NA,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1917,0.55,0.54,1.74,0.58,0.3,1.18,0.98,0.73,0.8,1.26,1.14,0.75,0.92,1.04,0.84,1.08,0.77,0.45,1.62,0.6,0.8,0.88,NA,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1918,0.78,0.43,1.36,0.59,0.31,1.45,0.8,0.72,0.7,1.51,1.21,0.58,0.9,0.95,0.62,1,0.87,1.01,1.87,0.6,0.7,1.04,NA,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1919,0.39,0.41,1.42,0.55,0.35,1.25,0.58,0.5,0.45,1.14,1.1,0.58,0.97,1.27,0.5,0.85,0.81,0.67,1.47,0.46,0.58,1.05,NA,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1920,1.27,0.42,1.3,0.67,0.24,0.79,0.95,0.76,0.64,1.55,1.44,0.58,0.98,2.29,0.56,0.71,1.15,0.86,1.87,0.72,0.62,1.49,NA,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1921,0.83,0.36,0.93,0.43,0.21,0.34,0.58,0.57,0.56,0.73,0.76,0.37,0.83,0.41,0.36,0.58,0.58,0.57,0.95,0.68,0.48,0.57,NA,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1922,1.59,0.38,1.08,0.6,0.27,0.43,0.82,0.77,0.77,1.48,1.11,0.52,1.02,0.65,0.47,0.74,1.12,0.93,1.69,0.85,0.63,1.73,NA,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1923,1.56,0.31,1.47,0.61,0.29,0.3,0.61,0.74,0.98,1.47,1.19,0.58,1.1,0.98,0.53,0.83,0.85,1.08,1.83,0.98,0.67,1.19,NA,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1924,2.12,0.39,1.76,0.57,0.24,0.28,0.7,0.59,1.11,1.74,1.19,0.5,1.11,1.43,0.61,0.75,0.92,0.94,1.72,0.9,0.69,1.26,NA,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1925,1.31,0.57,1.56,0.54,0.22,0.27,0.59,0.53,1.51,1.47,1.95,0.5,1.4,0.62,0.59,0.86,0.97,1.29,2.12,1.08,0.76,1.27,NA,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1926,1.78,0.6,1.42,0.54,0.21,0.28,0.75,0.5,1.39,1.58,1.87,0.49,1.15,1.8,0.47,0.7,1.11,1.25,1.88,1.09,0.65,1.51,NA,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1927,1.15,0.61,1.12,0.54,0.24,0.37,0.81,0.36,1.37,1.24,1.23,0.34,0.9,0.46,0.48,0.61,0.9,1.12,1.73,0.89,0.62,1.34,NA,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1928,1.91,0.85,1.31,0.62,0.2,0.44,0.81,0.4,1.6,2.05,1.48,0.49,0.85,1.09,0.49,0.75,1.19,1.62,2.57,1.05,0.58,1.67,NA,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1929,1.57,0.7,1.36,0.69,0.22,0.45,0.88,0.48,1.63,1.81,1.89,0.35,1.09,1.02,0.69,0.8,1.1,1.44,2.69,0.96,0.63,1.34,NA,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1930,1.91,0.63,1.39,0.64,0.26,0.62,0.88,0.6,1.75,1.73,1.81,0.44,1.1,1.19,0.72,0.79,1,1.31,2.05,1.02,0.71,1.66,NA,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1931,1.35,0.58,1.36,0.63,0.2,0.63,0.77,0.66,1.82,1.5,1.71,0.42,1.13,1.43,0.72,0.62,0.98,1.25,1.89,0.85,0.6,1.65,NA,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1932,1.16,0.54,1.05,0.61,0.18,0.68,0.71,0.28,1.95,1.26,1.9,0.38,1.07,1.44,0.7,0.81,0.74,1.01,1.97,0.95,0.63,1.6,NA,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1933,1.86,0.47,1.18,0.75,0.27,1.07,0.75,0.29,1.74,1.04,1.49,0.48,1.07,1.05,0.84,1.03,0.7,0.4,1.94,1.12,0.74,1.33,NA,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1934,3.05,0.44,1.04,0.58,0.13,0.56,0.8,0.3,1.62,1.29,1.16,0.38,0.77,0.87,0.62,0.96,0.75,0.54,1.76,1.03,0.54,1.67,NA,0.76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1935,1.45,0.86,1.17,0.85,0.29,0.8,1.17,0.66,1.98,1.88,1.99,0.59,1.42,1.67,0.92,1.34,0.92,1.4,2.04,1.38,0.89,1.46,NA,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1936,1.8,0.66,0.95,0.54,0.15,0.43,0.56,0.44,1.97,1.78,2.01,0.5,1.31,1.77,0.62,0.93,0.71,1.75,1.87,1.05,0.68,2.3,NA,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1937,2.37,0.81,1.03,0.64,0.21,0.63,0.93,0.67,2.02,1.6,1.84,0.51,1.24,1.74,0.7,0.84,0.63,1.02,1.63,1.05,0.7,2.75,NA,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE
1938,2.1,0.89,1.1,0.68,0.24,0.67,0.89,0.66,1.8,1.61,1.72,0.57,1.1,1.79,0.57,0.88,0.73,0.92,1.49,1,0.61,1.91,NA,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1939,2.19,1.03,1.15,0.67,0.25,0.58,0.8,0.51,1.56,1.64,1.87,0.7,0.94,1.31,0.6,0.71,0.86,0.88,1.5,1.08,0.67,1.44,NA,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1940,2.28,1.27,1.12,0.58,0.3,0.81,0.98,0.54,1.48,1.49,2.02,0.48,0.92,1.66,0.69,0.67,0.72,0.86,1.52,1.28,0.66,1.22,NA,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1941,2.03,1.25,1.13,0.6,0.23,0.82,0.93,0.57,1.77,1.51,1.74,0.6,0.99,1.57,0.64,0.84,0.93,1.01,1.76,1.25,0.74,1.26,1.84,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,1.65,1.29,1.08,0.57,0.24,0.77,0.87,0.54,1.52,1.7,1.51,0.51,0.95,1.71,0.73,0.7,1,1.09,2.01,1.23,0.77,1.09,1.78,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,1.17,1.02,0.79,0.5,0.23,0.59,0.74,0.39,1.36,1.12,1.57,0.48,0.79,0.92,0.62,0.51,0.85,1.04,1.64,1.13,0.66,0.96,1.25,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,1.85,1.23,0.95,0.57,0.2,0.88,0.85,0.44,1.56,1.43,1.74,0.66,1.03,1.16,0.86,0.59,0.74,1.14,1.81,1.24,0.82,1.1,1.48,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,1.54,1.12,1.28,0.57,0.18,0.82,0.97,0.43,1.44,1.55,1.58,0.56,1.18,1.48,0.64,0.63,0.72,1.17,1.77,1.22,0.71,1.11,1.24,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,1.84,0.85,0.8,0.61,0.1,0.74,0.65,0.36,1.05,1.12,2.04,0.48,0.86,1.58,0.6,0.62,0.76,0.8,1.55,1,0.59,1.08,1.38,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,2.93,0.94,1.08,0.61,0.15,0.97,0.79,0.38,1.14,1.11,2.28,0.57,1.08,1.27,0.63,0.58,0.89,0.91,1.58,1.06,0.65,1.46,2.66,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,2.28,1.1,1.01,0.72,0.2,1.24,0.86,0.49,1.29,1.46,2.02,0.77,1.33,1.43,0.69,0.54,0.89,0.73,1.37,1.15,0.75,1.38,2.97,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,2.41,1.05,1.08,0.74,0.19,0.86,0.87,0.4,1.17,1.25,1.61,0.87,1.07,1.49,0.7,0.71,0.84,0.99,1.94,1.01,0.7,1.58,3.79,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1950,1.91,1.01,0.75,0.82,0.24,0.87,0.74,0.39,1.16,1.28,1.69,0.87,1.26,1.54,0.66,0.77,0.68,1.04,2.02,0.86,0.7,1.39,3.11,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,1.62,0.72,0.78,0.75,0.21,0.61,0.64,0.6,1.14,1.51,1.48,0.54,0.95,1.33,0.58,0.6,0.6,1.27,1.6,0.69,0.67,1.32,2.71,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,1.28,0.78,0.94,0.61,0.26,0.72,0.75,0.49,1.22,1.75,1.31,0.49,0.98,1.09,0.58,0.7,0.73,1.43,2.02,0.82,0.63,1.37,2.06,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.01,0.86,0.61,0.59,0.19,0.66,0.7,0.41,1.22,1.32,1.25,0.53,0.77,1.09,0.67,0.55,0.7,1.34,2.08,0.91,0.49,1.83,1.72,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,0.98,1.05,0.77,0.71,0.15,0.67,0.59,0.29,1.28,1.1,1.18,0.58,0.96,0.97,0.74,0.49,0.7,1.21,1.66,1.03,0.46,1.34,1.6,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.41,1.38,1.08,0.98,0.27,1.18,0.67,0.61,1.6,1.56,1.38,0.69,1.27,1.14,0.81,0.87,0.96,1.52,2.03,1.52,0.65,1.98,1.98,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.33,0.93,0.76,0.85,0.2,0.77,0.67,0.42,0.75,1.14,1.08,0.55,0.92,0.73,0.74,0.72,0.71,1.06,0.76,1.05,0.5,1.22,1.7,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.45,1,0.76,0.74,0.19,0.64,0.59,0.38,1.04,1.29,1.15,0.43,0.95,0.67,0.55,0.61,0.86,0.97,0.97,0.83,0.63,1.33,1.43,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,1.4,1.23,0.8,0.86,0.34,1.16,0.66,0.38,1.23,2.4,1.11,0.63,1.14,0.86,0.49,0.83,0.84,1.28,1.11,1.32,0.68,1.41,1.04,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.99,0.92,0.77,0.8,0.34,1.03,0.63,0.46,0.87,1.34,0.9,0.54,0.82,0.76,0.58,0.69,0.74,0.79,0.81,0.89,0.5,1.12,0.77,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,1.08,1.41,1.04,0.84,0.4,1.66,0.73,0.41,1.32,1.51,1.24,0.8,0.98,1.06,0.77,0.75,1.19,0.68,1.1,1.13,0.57,1.41,1.05,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.82,0.96,0.74,0.69,0.37,1.04,0.62,0.37,1.02,1.19,1.11,0.48,0.78,0.96,0.57,0.62,1.05,1,1.29,0.94,0.46,1.1,1.02,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.9,1.37,0.93,0.69,0.35,0.97,0.78,0.43,0.98,0.82,1.03,0.59,0.83,0.86,0.82,0.78,1.38,1.11,1.48,1.13,0.47,1.55,0.87,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,1.55,1.36,1.13,0.71,0.35,0.9,0.68,0.3,0.91,1.45,0.85,0.63,0.9,1.07,0.71,0.89,1.33,1.04,1.62,1.25,0.4,1.57,1.31,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.39,1.2,1.22,0.95,0.45,1,0.76,0.23,1.2,1.35,1.16,0.54,0.88,1.13,0.52,0.93,0.8,1.29,1.59,1.44,0.33,1.51,1.18,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,2.54,1.3,1.53,1.28,0.61,1.21,1.17,0.39,1.51,1.88,1.19,0.78,1.01,1.62,0.47,1.07,1.21,1.5,1.73,1.56,0.31,1.86,1.34,1.21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,2,0.96,1.37,1.12,0.63,1.22,0.95,0.4,1.19,1.28,0.87,0.48,0.91,1.48,0.32,0.91,1.12,1.08,1.48,1.17,0.26,1.85,1.36,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.96,0.95,1.36,0.91,0.6,1.41,0.9,0.24,1.03,1.39,0.65,0.47,1.05,1.66,0.24,0.86,1.24,0.84,1.25,1.22,0.3,1.63,1.43,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,1.54,1.02,1.05,0.95,0.53,0.92,0.85,0.37,1.07,1.25,0.46,0.42,0.87,1.33,0.24,0.78,1.23,0.8,1.36,0.92,0.33,1.47,1.04,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.48,0.96,0.95,0.77,0.55,1.21,0.66,0.36,1.12,0.95,0.63,0.37,1.09,1.42,0.25,0.77,1.09,0.82,1.09,0.89,0.15,1.32,1.58,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.38,0.98,1.25,0.87,0.46,1.66,1.08,0.4,1.36,1.3,0.67,0.62,1.19,1.72,0.41,0.88,1.02,1.02,1.26,0.95,0.25,1.51,1.55,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.17,0.79,0.93,0.7,0.41,1.2,0.87,0.49,1.04,1.18,0.64,0.47,0.91,1.93,0.38,0.75,0.84,1.03,0.84,0.5,0.23,1.55,0.93,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.36,0.91,0.98,0.77,0.28,1.44,0.64,0.43,0.95,0.94,0.56,0.39,0.71,1.85,0.32,0.68,0.87,0.9,1.01,0.95,0.16,2.07,0.96,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,1.61,0.97,1.03,0.64,0.36,1.44,0.6,0.45,0.99,0.87,0.57,0.35,0.75,1.55,0.34,0.6,0.92,1.09,0.6,0.93,0.25,2.43,1.35,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.33,0.43,0.82,0.56,0.2,1.14,0.76,0.21,0.72,1.03,0.48,0.31,0.71,1.21,0.36,0.63,0.58,0.92,0.69,0.73,0.17,1.81,1.21,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.66,0.96,1.24,0.66,0.27,1.44,0.52,0.3,1.12,1.37,0.65,0.44,0.78,2.16,0.41,0.56,0.75,1.35,0.67,0.88,0.31,1.83,1.49,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,1.54,1.11,0.83,0.75,0.27,1.09,0.71,0.35,0.94,0.95,0.62,0.39,0.58,1.19,0.38,0.47,1.17,1.28,0.96,1.01,0.22,1.27,1.38,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
