Stand,Year,Lat,Long,Plus or Minus (Ft),Tag,Species,DBH,Canopy,Old notes--Caution: Many likely not matched with correct tree!,New notes,
AR07,2009,46.77678,121.74722,17,G55,Abam,59.2,y,,,
AR07,2009,46.77674,121.74719,16,G56,Tsme,42.6,n,,,
AR07,2009,46.77681,121.74714,16,G57,Abam,83.5,y,,,
AR07,2009,46.77210,121.74670,16,G58,Abam,55,y,,,
AR07,2009,46.77704,121.74648,13,G59,Abam,53,y,,,
AR07,2008,46.77700,121.74832,,G6,Abam,57.5,y,,,
AR07,2009,46.77678,121.74639,17,G60,Abam,52,y,,,
AR07,2009,46.77657,121.74696,15,G61,Abam,45,n,,,
AR07,2009,46.77654,121.74662,12,G62,Cano,50.4,y,,,
AR07,2008,46.77690,121.74833,,G7,Tsme,63.5,y,,,
AR07,2008,46.77680,121.74852,,G8,Tsme,70,y,,,
AR07,2008,46.77680,121.74852,,G9,Abam,88.2,y,,,
AV02,2009,46.82391,121.55116,,M01,Abam,57.5,n,,,
AV02,2009,46.82418,121.55128,,M02,Abam,40.3,y,,,
AV02,2009,46.82455,121.55141,,M03,Tshe,114,y,,,
AV02,2009,46.82466,121.55170,,M04,Tshe,103.2,y,,,
AV02,2009,46.82479,121.55173,,M05,Abam,70.5,n,,,
AV02,2009,46.82507,121.55207,,M06,Tshe,82,n,,,
AV02,2009,46.82513,121.55140,,M07,Abam,89.1,n,,,
AV02,2009,46.82547,121.55140,,M08,Tshe,51.1,n,,,
AV02,2009,46.82532,121.55120,,M09,Abam,63.7,y,,,
AV02,2009,46.82541,121.55072,,M10,Tshe,57.9,n,,,
AV02,2009,46.82553,121.55055,,M11,Abam,50.8,n,,,
AV02,2009,46.82518,121.55022,,M12,Abam,85.4,y,,,
AV02,2009,46.82545,121.55042,,M13,Abam,42.3,n,,,
AV02,2009,46.82578,121.55018,,M14,Abam,80.4,y,,,
AV02,2009,46.82583,121.54998,,M15,Abam,40.7,n,,,
AV02,2009,46.82582,121.56635,,M16,Abam,56.1,n,,,
AV02,2009,46.82622,121.56623,,M17,Abam,61.1,n,,,
AV02,2009,46.82612,121.56578,,M18,Abam,50.5,n,,,
AV02,2009,46.82600,121.56562,,M19,Abam,78,n,,,
AV02,2009,46.82600,121.56548,,M20,Abam,48.2,n,,,
AV02,2009,46.82570,121.56513,,M21,Abam,65.3,n,,,
AV02,2009,46.82573,121.56487,,M22,Abam,59.7,n,,,
AV02,2009,46.82590,121.56462,,M23,Abam,81.6,n,,,
AV02,2009,46.82553,121.56517,,M24,Abam,68.4,n,,,
AV02,2009,46.82538,121.56552,,M25,Abam,73.8,n,,,
AV02,2009,46.82233,121.55095,,M26,Tshe,120.3,y,,,
AV02,2009,46.82232,121.55099,,M27,Thpl,251,n,,,
AV02,2009,46.82238,121.55110,,M28,Tshe,46.8,n,,,
AV02,2009,46.82238,121.55131,,M29,Thpl,130,y,,,
AV02,2009,46.82256,121.55130,,M30,Tshe,83,y,,,
AV02,2009,46.82257,121.55147,,M31,Psme,162,y,,,
AV02,2009,46.82257,121.55147,,M32,Tshe,56.8,n,,,
AV02,2009,46.82278,121.55122,,M33,Thpl,54.5,n,,,
AV02,2009,46.82278,121.55122,,M34,Psme,69,n,,,
AV02,2009,46.82307,121.55151,,M35,Thpl,84.7,n,,,
AV02,2009,46.82301,121.55124,,M36,Tshe,91.5,y,,,
AV02,2009,46.82309,121.55109,,M37,Tshe,98.9,n,,,
AV02,2009,46.82320,121.55101,,M38,Thpl,45.7,n,,,
AV02,2009,46.82317,121.55136,,M39,Psme,139.4,y,,,
AV02,2009,46.82344,121.55173,,M40,Psme,140.1,y,,,
AV02,2009,46.82344,121.55173,,M41,Tshe,88.5,y,,,
AV02,2009,46.82402,121.55172,,M42,Psme,128,y,,,
AV02,2009,46.82401,121.55167,,M43,Tshe,59.8,n,,,
AV02,2009,46.82391,121.55160,,M44,Thpl,175,y,,,
AV02,2009,46.82364,121.55184,,M45,Tshe,106.1,y,,,
AV02,2009,46.82375,121.55185,,M46,Tshe,92.3,y,,,
AV02,2009,46.82374,121.55225,,M47,Thpl,55.1,n,,,
AV02,2009,46.82376,121.55222,,M48,Tshe,135,y,,,
AV02,2009,46.82380,121.55268,,M49,Tshe,95.5,y,,,
AV02,2009,46.82836,121.55275,,M50,Thpl,89.5,n,,,
AV02,2009,46.82380,121.55260,,M51,Psme,122,y,,,
AV02,2009,46.82393,121.55215,,M52,Tshe,59.8,y,,,
AV02,2009,46.82385,121.55178,,M53,Tshe,92,y,,,
AV02,2009,46.82389,121.55115,,M54,Tshe,42.3,n,,,
AV02,2009,46.82414,121.55151,,M55,Thpl,123.3,n,,,
AV02,2009,46.82426,121.55157,,M56,Thpl,88.8,n,,,
AV06,2008,46.77546,121.78398,,E1,Abam,73,y,,,
AV06,2008,46.77537,121.78482,,E10,Abam,72.4,y,,,
AV06,2008,46.77555,121.78472,,E11,Thpl,44.6,n,,,
AV06,2008,46.77578,121.78508,,E12,Tshe,53.7,y,,,
AV06,2008,46.77592,121.78498,,E13,Thpl,60.9,y,,,
AV06,2008,46.77617,121.78505,,E14,Tshe,57.6,y,,,
AV06,2008,46.77628,121.78515,,E15,Abam,64.2,y,,,
AV06,2008,46.77662,121.78495,,E16,Abam,61.1,y,,,
AV06,2008,46.77637,121.78463,,E17,Tshe,68.3,y,,,
AV06,2008,46.77547,121.76675,27,E18,Psme,106.6,y,,,
AV06,2008,46.77567,121.76668,21,E19,Abam,61.4,y,,,
AV06,2008,46.77533,121.78400,,E2,Tshe,54.8,n,,,
AV06,2008,46.77592,121.78317,23.8,E20,Abam,56,y,,,
AV06,2008,46.77622,121.78267,16,E21,Thpl,78,y,,,
AV06,2008,46.77618,121.78268,19,E22,Tshe,70.4,y,,,
AV06,2008,46.77620,121.78263,21,E23,Abam,54.9,y,,,
AV06,2008,46.77642,121.78270,20,E24,Psme,120.3,y,next to gap,,
AV06,2008,46.77627,121.78315,22,E25,Thpl,60.4,y,next to gap,,
AV06,2008,46.77622,121.78330,16,E26,Psme,126.4,y,,,
AV06,2008,46.77615,121.78323,15,E27,Abam,54.9,y,,,
AV06,2008,46.77645,121.78400,,E28,Psme,127.5,y,,,
AV06,2008,46.77645,121.76705,17,E29,Psme,108.2,y,,,
AV06,2008,46.77517,121.78429,,E3,Tshe,83.5,y,,,
AV06,2008,46.77645,121.76698,22,E30,Thpl,84.4,n,,,
AV06,2008,46.77658,121.78338,,E31,Tshe,51.5,n,,,
AV06,2008,46.77665,121.78318,,E32,Tshe,81.7,y,,,
AV06,2008,46.77660,121.78323,,E33,Psme,129.6,y,,,
AV06,2008,46.77673,121.78345,,E34,Thpl,55.5,y,,,
AV06,2008,46.77667,121.78385,,E35,Psme,113.7,y,,,
AV06,2008,46.77673,121.78412,,E36,Tshe,47.5,n,,,
AV06,2008,46.77682,121.78405,,E37,Tshe,76.5,y,,,
AV06,2008,46.77668,121.78490,,E38,Thpl,47.6,y,,,
AV06,2008,46.77608,121.78568,,E39,Thpl,61.9,y,,,
AV06,2008,46.77526,121.78421,,E4,Abam,58.6,y,,,
AV06,2008,46.77497,121.78582,,E40,Thpl,82.4,y,,,
AV06,2009,46.77620,121.78255,17,E41,Tshe,44.1,n,,,
AV06,2009,46.77620,121.78255,,E42,Abam,34,n,Top snapped off,,
AV06,2009,46.77629,121.78261,10,E43,Abam,50.8,y,,,
AV06,2009,46.77624,121.78286,26,E44,Abam,59.5,y,,,
AV06,2009,46.77642,121.78281,16.1,E45,Abam,53.8,y,,,
AV06,2009,46.77641,121.78267,13,E46,Tshe,75.3,y,near gap,,
AV06,2009,46.77679,121.78273,22,E47,Tshe,72,n,near gap,,
AV06,2009,46.77684,121.78271,18,E48,Abam,54.8,y,near gap,,
AV06,2009,46.77710,121.78267,,E49,Tshe,52.8,y,Top snapped off and near gap,,
AV06,2009,46.77522,121.78443,,E5,Psme,129.5,y,,,
AV06,2009,46.77705,121.78281,13,E50,Abam,42.5,y,,,
AV06,2009,46.77702,121.78300,13,E51,Thpl,72,y,,,
AV06,2009,46.77702,121.78300,13,E52,Psme,136,y,,,
AV06,2009,46.77705,121.78320,21,E53,Abam,42,n,,,
AV06,2009,46.77681,121.78327,14,E54,Tshe,88,y,,,
AV06,2009,46.77677,121.78329,,E55,Abam,48.3,y,Next to gap,,
AV06,2009,46.77666,121.78377,,E56,Abam,69.8,y,,,
AV06,2009,46.77663,121.78379,13,E57,Tshe,43.1,n,,,
AV06,2009,46.77671,121.78417,15,E58,Tshe,38.7,y,,,
AV06,2009,46.77666,121.78431,11.4,E59,Psme,129.5,y,,,
AV06,2009,46.77530,121.78473,,E6,Psme,143.5,y,,,
AV06,2009,46.77679,121.78452,,E60,Abam,54.2,y,,,
AV06,2009,46.77623,121.78260,,E61,Psme,97.5,y,,,
AV06,2009,46.77625,121.78260,,E62,Psme,111.9,y,,,
AV06,2009,46.77652,121.78325,,E63,Thpl,133.3,y,,,
AV06,2009,46.77693,121.78345,,E64,Psme,150.4,y,,,
AV06,2009,46.77718,121.78397,,E65,Psme,96.5,n,,,
AV06,2009,46.77710,121.78470,,E66,Psme,103.2,y,,,
AV06,2009,46.77702,121.78495,,E67,Thpl,74.8,y,,,
AV06,2009,46.77720,121.78477,,E68,Thpl,82.8,y,,,
AV06,2009,46.77730,121.78502,,E69,Psme,130.8,y,,,
AV06,2009,46.77522,121.78478,,E7,Abam,64.7,y,,,
AV06,2009,46.77732,121.78460,,E70,Thpl,94,y,,,
AV06,2009,46.77710,121.78422,,E71,Psme,74.5,y,,,
AV06,2009,46.77676,121.78401,9.3,E72,Tshe,49.4,y,,,
AV06,2009,46.77688,121.78475,8.5,E73,Tshe,71.3,y,,,
AV06,2009,46.77666,121.78490,15.7,E74,Tshe,67.7,y,,,
AV06,2009,46.77682,121.78547,15,E75,Thpl,107.5,y,,,
AV06,2009,46.77681,121.78566,16.4,E76,Thpl,114.7,y,,,
AV06,2009,46.77705,121.78390,,E78,Psme,119.2,y,,,
AV06,2009,46.77772,121.78380,,E79,Thpl,54.9,n,,,
AV06,2009,46.77522,121.78472,,E8,Thpl,82.5,y,,,
AV06,2009,46.77727,121.78302,,E80,Thpl,43.1,n,,,
AV06,2009,46.77682,121.78265,,E81,Thpl,77.9,n,,,
AV06,2009,46.77537,121.78493,,E9,Psme,137.4,y,,,
AV14,2009,46.96016,121.84915,,K1,Tshe,78.4,y,,,
AV14,2009,46.96085,121.84912,,K10,Abam,66.7,n,,,
AV14,2009,46.95952,121.84774,,K11,Abam,58.9,y,,,
AV14,2009,46.95938,121.84782,,K12,Tshe,45.8,n,,,
AV14,2009,46.95928,121.84780,,K13,Tshe,96.6,y,,,
AV14,2009,46.95919,121.84782,,K14,Abam,46.8,n,,,
AV14,2009,46.95915,121.84813,,K15,Abam,73.9,y,,,
AV14,2009,46.95909,121.84803,,K16,Tshe,50.8,n,,,
AV14,2009,46.95902,121.84818,,K17,Abam,46.4,n,,,
AV14,2009,46.95908,121.84826,,K18,Tshe,71.9,y,,,
AV14,2009,46.95890,121.84847,,K19,Abam,103,y,,,
AV14,2009,46.96016,121.84915,,K2,Abam,91,y,,,
AV14,2009,46.95882,121.84863,,K20,Tshe,139.2,y,,,
AV14,2009,46.95874,121.84895,,K21,Abam,56,n,,,
AV14,2009,46.95887,121.84925,,K22,Abam,65.7,n,,,
AV14,2009,46.95861,121.84925,,K23,Tshe,56.6,n,,,
AV14,2009,46.95861,121.84925,,K24,Abam,57.7,y,,,
AV14,2009,46.95870,121.84944,,K25,Abam,53.5,y,,,
AV14,2009,46.95869,121.84962,,K26,Abam,81.9,y,,,
AV14,2009,46.95868,121.84978,,K27,Tshe,90.8,y,,,
AV14,2009,46.95868,121.84978,,K28,Abam,46.9,n,,,
AV14,2009,46.95883,121.84998,,K29,Tshe,45,n,,,
AV14,2009,46.96030,121.84955,,K3,Abam,72.5,y,,,
AV14,2009,46.95899,121.85001,,K30,Abam,51.2,n,crown broken,,
AV14,2009,46.95934,121.84973,,K31,Tshe,46.2,n,,,
AV14,2009,46.95927,121.84973,,K32,Tshe,72.5,y,,,
AV14,2009,46.95927,121.84973,,K33,Abam,67.2,y,,,
AV14,2009,46.95949,121.84955,,K34,Tshe,110.5,y,,,
AV14,2009,46.95985,121.84938,,K35,Tshe,126.3,n,,,
AV14,2009,46.95998,121.84978,,K36,Abam,115.9,y,,,
AV14,2009,46.95987,121.84955,,K37,Tshe,57.5,n,,,
AV14,2009,46.96023,121.84937,,K38,Tshe,120.8,y,,,
AV14,2009,46.96087,121.84866,,K39,Tshe,91.9,y,,,
AV14,2009,46.96031,121.84966,,K4,Tshe,143.5,y,,,
AV14,2009,46.96087,121.84866,,K40,Abam,63.5,n,,,
AV14,2009,46.96087,121.84866,,K41,Cano,69.1,n,,,
AV14,2009,46.96024,121.84871,,K42,Cano,162.3,y,,,
AV14,2009,46.96070,121.84821,,K43,Cano,139.8,y,,,
AV14,2009,46.96071,121.84788,,K44,Cano,112.4,y,,,
AV14,2010,46.96106,121.848,,K45,Cano,128,y,,"on short cliff over stream, so cored on uphill side and compression wood is likely",
AV14,2010,46.96082,121.84772,,K46,Cano,38.1,n,,,
AV14,2009,46.96053,121.84977,,K5,Tshe,109.4,y,,,
AV14,2009,46.96053,121.84977,,K6,Abam,79.3,n,,,
AV14,2009,46.96080,121.84956,,K7,Abam,123.2,y,,,
AV14,2009,46.96080,121.84956,,K8,Tshe,86.4,n,,,
AV14,2009,46.96085,121.84912,,K9,Tshe,111,y,,,
AV14,2011,46.96047,121.84742,,K48,Cano,143.5,y,,,
AV14,2011,46.96048,121.84773,,K47,Cano,120.9,y,,,
AV14,2011,46.95503,121.84986,,K49,Cano,142.5,y,,,
AV14,2011,46.96052,121.84736,,K50,Tsme,107.9,y,neighbor with K49,,
AV14,2011,46.96093,121.84779,,K51,Cano,,y,,,
AV14,2011,46.96066,121.84852,,K53,Cano,116.7,y,,,
AV14,2011,46.96089,121.84850,,K52,Cano,133.5,n,,,
AX15,2008,46.75053,121.82355,,D1,Tshe,66.4,y,2 trunks above DBH,,
AX15,2008,46.74957,121.82453,,D10,Tshe,77.4,y,,,
AX15,2008,46.74973,121.82473,13,D11,Psme,55.2,,,canopy status never observed,
AX15,2008,46.74963,121.82480,12.4,D12,Thpl,50.7,y,,,
AX15,2008,46.74975,121.82505,13,D13,Tshe,64.4,y,,,
AX15,2008,46.74972,121.82532,11.6,D14,Psme,54.5,y,,,
AX15,2008,46.74972,121.82540,,D15,Tshe,53.9,y,,,
AX15,2008,46.75005,121.82538,,D16,Psme,49.5,y,,,
AX15,2008,46.75030,121.82532,9.7,D17,Tshe,58.1,y,,,
AX15,2008,46.75047,121.82537,6.8,D18,Tshe,57.3,y,,,
AX15,2008,46.75048,121.82515,11,D19,Psme,52.1,y,,,
AX15,2008,46.75045,121.82337,,D2,Tshe,49.2,y,,,
AX15,2008,46.75058,121.82533,10,D20,Tshe,56.5,y,,,
AX15,2008,46.75060,121.82545,,D21,Psme,49.4,y,,,
AX15,2008,46.75085,121.82488,,D22,Psme,48.9,y,,,
AX15,2008,46.75098,121.82483,8.6,D23,Psme,46.9,y,,,
AX15,2008,46.75105,121.82457,,D24,Psme,51.2,y,,,
AX15,2008,46.75025,121.82352,,D25,Thpl,62,y,,,
AX15,2009,46.75050,121.82365,,D26,Psme,59,y,WP: 55,,
AX15,2009,46.75086,121.82381,,D27,Thpl,43,n,WP: 80,,
AX15,2009,46.75080,121.82394,,D28,Thpl,56.8,n,WP: 89,,
AX15,2009,46.75084,121.82390,,D29,Psme,62,y,WP: 89,,
AX15,2009,46.75040,121.82338,,D3,Thpl,40,n,,,
AX15,2009,46.75085,121.82415,,D30,Psme,53.3,y,WP: 90,,
AX15,2009,46.75100,121.82399,,D31,Thpl,59,y,WP: 91,,
AX15,2009,46.75107,121.82388,,D32,Psme,65.3,y,WP: 92,,
AX15,2009,46.75120,121.82414,,D33,Psme,45.6,n,WP: 93,,
AX15,2009,46.75117,121.82446,,D34,Psme,42.7,y,WP: 94,,
AX15,2009,46.75113,121.82453,,D35,Thpl,34.2,,,canopy status never observed,
AX15,2009,46.75105,121.82483,,D36,Psme,41.9,y,,,
AX15,2009,46.75112,121.82515,,D37,Psme,40.5,y,,,
AX15,2009,46.75133,121.82462,,D38,Psme,50.1,n,WP: 95,,
AX15,2009,46.75140,121.82489,,D39,Psme,40.8,y,WP: 97,,
AX15,2009,46.75000,121.82382,,D4,Tshe,62,n,,,
AX15,2009,46.75137,121.82513,,D40,Psme,49.9,n,WP: 99,,
AX15,2009,46.75048,121.82341,,D41,Thpl,39.3,n,,,
AX15,2009,46.75000,121.81667,,D42,Tshe,65.5,y,,Correct lat long? Only taken to 2 digit minutes with no decimals in original data sheet(has more now due to conversion math)- Are all AX15 points in master wp file?,
AX15,2009,46.75060,121.82349,,D43,Tshe,42.8,y,,,
AX15,2009,46.75063,121.82383,,D44,Tshe,40,n,,,
AX15,2009,46.75082,121.82397,,D45,Tshe,45.3,y,,,
AX15,2009,46.75095,121.82415,,D46,Tshe,44,y,,,
AX15,2009,46.75110,121.82403,,D47,Tshe,51.9,y,,,
AX15,2009,46.75115,121.82427,,D48,Tshe,50,y,,,
AX15,2009,46.75102,121.82423,,D49,Tshe,41.9,y,,,
AX15,2009,46.74993,121.82410,,D5,Psme,79.2,y,,,
AX15,2009,46.75097,121.82445,,D50,Tshe,47.9,y,,,
AX15,2009,46.75110,121.82460,,D51,Tshe,48.2,y,,,
AX15,2009,46.75257,121.82332,,D52,Thpl,47.1,n,,,
AX15,2009,46.75120,121.82357,,D53,Thpl,54.4,n,"top of tree broken off, could have been in canopy",,
AX15,2009,46.75107,121.81773,,D54,Thpl,64.1,n,,,
AX15,2009,46.75122,121.82432,,D55,Thpl,52.9,n,,,
AX15,2009,46.75138,121.82402,,D56,Thpl,51.2,n,,,
AX15,2008,46.74987,121.82407,,D6,Tshe,66,,,canopy status never observed,
AX15,2008,46.74977,121.82418,,D7,Thpl,62.2,,,canopy status never observed,
AX15,2008,46.74962,121.82427,,D8,Psme,73.5,y,,,
AX15,2008,46.74985,121.82470,,D9,Thpl,56.9,n,,,
PARA,2009,46.77568,121.73224,,P1,Abam,41.5,y,,,
PARA,2009,46.77672,121.73172,,P10,Abam,66.5,y,,,
PARA,2009,46.77664,121.73139,,P11,Abam,61.8,y,,,
PARA,2009,46.77639,121.73137,,P12,Abam,44.8,n,,,
PARA,2009,46.77641,121.73122,,P13,Abam,71.9,y,,,
PARA,2009,46.77624,121.73145,,P14,Abam,76.5,y,,,
PARA,2009,46.77610,121.73157,,P15,Abam,59.3,y,,,
PARA,2009,46.77613,121.73159,,P16,Abam,46.9,y,,,
PARA,2009,46.77614,121.73190,,P17,Abam,67.1,y,,,
PARA,2009,46.77591,121.73197,,P18,Abam,62.5,y,,,
PARA,2009,46.77565,121.73256,,P19,Abam,69.2,y,,,
PARA,2009,46.77572,121.73248,,P2,Abam,54.4,y,,,
PARA,2009,46.77660,121.73212,,P20,Cano,54.4,n,,,
PARA,2009,46.77565,121.73264,,P21,Tsme,51.2,n,,,
PARA,2009,46.77576,121.73298,,P22,Tsme,74.9,y,,,
PARA,2009,46.77617,121.73283,,P23,Tsme,54.7,n,,,
PARA,2009,46.77661,121.73273,,P24,Tsme,66.7,y,,,
PARA,2009,46.77681,121.73252,,P25,Tsme,54.5,y,,,
PARA,2009,46.77674,121.73193,,P26,Tsme,53.2,y,,,
PARA,2009,46.77694,121.73172,,P27,Tsme,69,y,,,
PARA,2009,46.77708,121.73135,,P28,Tsme,52.5,y,,,
PARA,2009,46.77693,121.73132,,P29,Tsme,53.4,n,,,
PARA,2009,46.77588,121.73267,,P3,Abam,44.4,y,,,
PARA,2009,46.77701,121.73090,,P30,Tsme,42.2,n,,,
PARA,2009,46.77724,121.73088,,P31,Tsme,52.8,y,,,
PARA,2009,46.77700,121.73081,,P32,Tsme,72.9,y,,,
PARA,2009,46.77635,121.73190,,P33,Tsme,62.8,y,,,
PARA,2009,46.77639,121.73215,,P34,Tsme,72.5,y,,,
PARA,2009,46.77611,121.73229,,P35,Tsme,42.2,n,,,
PARA,2009,46.77625,121.73272,,P36,Tsme,51.7,y,,,
PARA,2009,46.77619,121.73331,,P37,Tsme,54.3,y,,,
PARA,2009,46.77603,121.73314,,P38,Tsme,68.2,y,,,
PARA,2009,46.77578,121.73393,,P39,Tsme,56.6,y,,,
PARA,2009,46.77597,121.73248,,P4,Abam,70.8,y,,,
PARA,2009,46.77586,121.73226,,P40,Tsme,46.7,n,,,
PARA,2009,46.77505,121.74647,,P41,Abam,50.8,y,,,
PARA,2009,46.77602,121.73431,,P42,Cano,57.3,n,,,
PARA,2009,46.77603,121.73461,,P43,Cano,47,n,,,
PARA,2009,46.77599,121.73493,,P44,Cano,52.9,n,,,
PARA,2009,46.77616,121.73535,,P45,Cano,60,y,,,
PARA,2009,46.77640,121.73525,,P46,Cano,58.5,n,,,
PARA,2009,46.77662,121.73493,,P47,Cano,43.9,n,,,
PARA,2009,46.77671,121.73437,,P48,Cano,46.6,n,,,
PARA,2009,46.77677,121.73380,,P49,Cano,60.7,n,,,
PARA,2009,46.77616,121.73226,,P5,Abam,50.6,y,,,
PARA,2009,46.77700,121.73347,,P50,Cano,61.8,y,,,
PARA,2009,46.77718,121.73280,,P51,Cano,52.5,n,,,
PARA,2009,46.77501,121.73061,,P52,Cano,39.8,n,,,
PARA,2009,46.77789,121.73212,,P53,Cano,63.4,y,,,
PARA,2009,46.77808,121.73219,,P54,Cano,43.9,n,,,
PARA,2009,46.77805,121.73147,,P55,Cano,51.9,n,,,
PARA,2009,46.77779,121.73138,,P56,Cano,68.4,n,,,
PARA,2009,46.77390,121.74031,,P57,Cano,41.5,n,cores not from opposite sides due to rot,,
PARA,2009,46.77644,121.73378,,P58,Cano,46.8,y,,,
PARA,2009,46.77657,121.73368,,P59,Cano,41.2,n,,,
PARA,2009,46.77635,121.73232,,P6,Abam,86,y,,,
PARA,2009,46.77674,121.73385,,P60,Cano,43.5,n,,,
PARA,2009,46.77654,121.73225,,P7,Abam,73.1,y,,,
PARA,2009,46.77660,121.73212,,P8,Abam,82.1,y,,,
PARA,2009,46.77670,121.73190,,P9,Abam,59.2,y,,,
PP17,2009,46.89545,121.60333,,O1,Psme,48.3,y,,,
PP17,2009,46.89482,121.60173,,O10,Psme,69.5,y,,,
PP17,2009,46.89458,121.60178,,O11,Psme,48.6,n,,,
PP17,2009,46.89445,121.60163,,O12,Psme,84,y,,,
PP17,2009,46.89413,121.60153,,O13,Psme,71.4,y,,,
PP17,2009,46.89400,121.60128,,O14,Psme,80.8,n,,,
PP17,2009,46.89375,121.60142,,O15,Psme,72.2,y,,,
PP17,2009,46.89375,121.60180,,O16,Psme,62.7,y,,,
PP17,2009,46.89362,121.60198,,O17,Psme,72.6,n,,,
PP17,2009,46.89365,121.60233,,O18,Psme,53.8,y,,,
PP17,2009,46.89373,121.60263,,O19,Psme,73.5,y,,,
PP17,2009,46.89582,121.60292,,O2,Psme,93.2,y,,,
PP17,2009,46.89392,121.60287,,O20,Psme,59.5,n,,,
PP17,2009,46.89573,121.60273,,O3,Psme,61.7,n,,,
PP17,2009,46.89595,121.60253,,O4,Psme,145.5,y,,,
PP17,2009,46.89592,121.60238,,O5,Psme,117.2,y,,,
PP17,2009,46.89587,121.60210,,O6,Psme,67.2,y,,,
PP17,2009,46.89548,121.60198,,O7,Psme,40.8,y,,,
PP17,2009,46.89527,121.60170,,O8,Psme,44.1,y,,,
PP17,2009,46.89513,121.60160,,O9,Psme,44,y,,,
SPRY,2010,46.91901,121.8386,,R1,Abam,84.4,y,,,
SPRY,2010,46.91948,121.83738,,R10,Abam,74.1,y,,,
SPRY,2010,46.91948,121.83738,,R11,Tsme,53.4,n,,,
SPRY,2010,46.91977,121.83694,,R12,Abam,69,n,,,
SPRY,2010,46.91977,121.83694,,R13,Tsme,64.6,y,,,
SPRY,2010,46.91957,121.83656,,R14,Abam,64.8,y,,,
SPRY,2010,46.91957,121.83656,,R15,Cano,35.6,n,,,
SPRY,2010,46.91943,121.8362,,R16,Abam,55,y,,,
SPRY,2010,46.91899,121.83849,,R2,Tsme,56.7,n,,,
SPRY,2010,46.91882,121.83835,,R3,Abam,93.2,y,,,
SPRY,2010,46.91875,121.83882,,R4,Tsme,72.1,y,,,
SPRY,2010,46.91875,121.83882,,R5,Cano,62.6,y,,,
SPRY,2010,46.91901,121.83809,,R6,Abam,76.3,y,,,
SPRY,2010,46.91901,121.83809,,R7,Tsme,74.5,n,,,
SPRY,2010,46.91915,121.83765,,R8,Abam,77.4,y,,,
SPRY,2010,46.9193,121.83737,,R9,Tsme,85.4,y,,,
SPRY,2011,46.9188,121.83674,,R17,Abam,42.1,,,,
SPRY,2011,46.9189,121.8368,,R18,Tsme,47.4,y,,,
SPRY,2011,46.91863,121.83668,,R19,Abam,78.1,y,,,
SPRY,2011,46.91889,121.83728,,R20,Tsme,53.1,y,,,
SUNR,2010,46.9287,121.65501,,Q1,Abam,87.8,n,,,
SUNR,2010,46.93002,121.6548,10,Q10,Abam,53.4,y,,,
SUNR,2010,46.92994,121.65432,,Q11,Abam,108.7,y,,,
SUNR,2010,46.92972,121.65421,13,Q12,Abam,41.4,y,,,
SUNR,2010,46.92843,121.65504,8,Q13,Abam,64.4,y,,,
SUNR,2010,46.92842,121.6552,30,Q14,Abam,96.1,y,,very open area in island of trees,
SUNR,2010,46.928686,121.65576,,Q15,Abam,81.6,y,,,
SUNR,2010,46.92815,121.65568,18,Q16,Abam,117,y,,,
SUNR,2010,46.92803,121.65514,,Q17,Abam,41.2,y,,,
SUNR,2010,46.92783,121.65482,17,Q18,Abam,66.5,y,,island of trees in meadow,
SUNR,2010,46.927985,121.65591,10,Q19,Abam,95.3,y,,,
SUNR,2010,46.92888,121.65493,6,Q2,Cano,49.8,y,,side 2 was rotten,
SUNR,2010,46.92917,121.65488,14,Q3,Tsme,69.5,y,,,
SUNR,2010,46.92898,121.65496,,Q4,Abam,76.1,y,,,
SUNR,2010,46.92076,121.65485,10,Q5,Abam,67.8,y,,,
SUNR,2010,46.92904,121.65444,,Q6,Abam,96.6,y,,,
SUNR,2010,46.92888,121.65772,,Q7,Abam,40.1,y,,~2m from large dead cano stump,
SUNR,2010,46.92927,121.65461,,Q8,Abam,46.3,y,,30 cm fro large dead standing abam,
SUNR,2010,46.92979,121.65455,12,Q9,Abam,87.1,y,,,
SUNR,2011,46.92937,121.65487,,R96,Cano,40.7,y,should retake neighbors,,
SUNR,2011,46.92933,121.65481,,R97,,43.5,y,"spp=Abla, should double check id; should retake neighbors",,
SUNR,2011,46.92804,121.65573,,R98,,86.5,y,"spp=Abla, should double check id; should retake neighbors",,
SUNR,2011,46.92825,121.65536,,R99,,63.6,y,"spp=Abla, should double check id; should retake neighbors",,
TA01,2009,46.74195,121.55886,,I1,Thpl,132.5,y,,,
TA01,2009,46.74079,121.55765,27,I10,Psme,61.3,y,,,
TA01,2009,46.74190,121.55877,,I11,Tshe,71.4,y,cores not from opposite sides due to rot,,
TA01,2009,46.74217,121.55882,,I12,Tshe,106.8,y,,,
TA01,2009,46.74247,121.55885,,I13,Tshe,84.6,y,,,
TA01,2009,46.74207,121.55825,,I14,Tshe,98.9,y,,,
TA01,2009,46.74205,121.55857,,I15,Tshe,56.5,n,,,
TA01,2009,46.74207,121.55818,,I16,Tshe,52.8,n,,,
TA01,2009,46.74177,121.55805,,I17,Tshe,48.4,n,cores not from opposite sides due to rot,,
TA01,2009,46.74162,121.55822,,I18,Tshe,66.9,y,,,
TA01,2009,46.74216,121.55792,25,I19,Tshe,56,n,,,
TA01,2009,46.74193,121.55850,,I2,Psme,95.6,y,,,
