age_CE,FMLM01A_raw,FMLM02A_raw,FMLM03A_raw,FMLM04A_raw,FMLM05A_raw,FMLM06A_raw,FMLM07A_raw,FMLM08A_raw,FMLM09A_raw,FMLM10A_raw,FMLM11A_raw,FMLM12A_raw,FMLM13A_raw,FMLM14A_raw,FMLM16A_raw,FMLM17A_raw,FMLM19A_raw,FMLM20A_raw,FMLM01A_raw_outlier_flag,FMLM02A_raw_outlier_flag,FMLM03A_raw_outlier_flag,FMLM04A_raw_outlier_flag,FMLM05A_raw_outlier_flag,FMLM06A_raw_outlier_flag,FMLM07A_raw_outlier_flag,FMLM08A_raw_outlier_flag,FMLM09A_raw_outlier_flag,FMLM10A_raw_outlier_flag,FMLM11A_raw_outlier_flag,FMLM12A_raw_outlier_flag,FMLM13A_raw_outlier_flag,FMLM14A_raw_outlier_flag,FMLM16A_raw_outlier_flag,FMLM17A_raw_outlier_flag,FMLM19A_raw_outlier_flag,FMLM20A_raw_outlier_flag
1947,1.37,0.67,1.07,0.36,0.83,0.95,2,0.64,0.81,0.63,1.19,1.04,0.66,1.12,0.76,0.99,1.7,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,1.89,1.31,1.38,0.71,1.19,1.18,2.3,1.19,0.85,0.95,1.46,1.18,0.79,1.26,0.99,1.15,1.89,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,1.85,1.34,1.32,0.43,1.23,0.92,2.12,1.16,0.9,0.71,1.5,1.13,0.8,1.26,0.77,1.01,2.22,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,1.25,1.06,1.22,0.72,1.32,0.8,2.21,0.92,0.73,0.7,1.46,1.09,0.88,1.11,0.56,0.74,1.69,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,1.88,1.06,1.05,0.62,1.18,0.82,1.77,0.7,0.74,0.49,1.18,0.74,0.68,0.88,0.73,1.11,1.52,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,2.31,1.03,1,0.55,1.12,0.8,2.06,0.82,0.8,0.46,1.08,0.89,0.59,1.07,0.72,1.04,1.37,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.65,0.52,0.86,0.31,0.61,0.53,1.81,0.57,0.53,0.38,0.76,0.72,0.47,0.88,0.54,0.53,1.02,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.16,0.26,0.78,0.25,0.55,0.51,1.63,0.44,0.42,0.41,0.76,0.69,0.57,0.78,0.46,0.75,1.24,0.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.52,0.9,1.02,0.53,0.81,1,1.85,0.68,0.94,0.58,1.06,0.88,0.79,0.96,0.77,1.76,1.74,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.83,0.67,0.74,0.38,0.77,0.74,1.64,0.64,0.68,0.33,0.71,0.65,0.67,0.88,0.48,1.23,1.2,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.05,0.61,0.87,0.35,0.69,0.79,2.1,0.5,0.8,0.47,0.89,0.76,0.67,0.9,0.57,1.34,1.68,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,1.64,0.67,1.1,0.48,0.99,0.94,1.95,0.77,0.74,0.58,1.44,0.98,0.71,1.21,0.75,1.3,1.7,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,1.01,0.62,0.79,0.43,0.66,0.78,1.66,0.55,0.48,0.27,0.86,0.66,0.48,0.84,0.55,0.89,1.11,0.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,2.11,1.01,0.92,0.43,1.03,1.29,1.7,0.72,0.77,0.43,1.65,0.87,0.7,1.45,0.69,1.01,1.38,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,1.67,0.58,0.95,0.43,0.65,1.12,1.9,0.37,0.67,0.42,1.2,0.84,0.57,1.24,0.57,0.61,1.13,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,1.54,0.69,1.05,0.51,0.74,1.05,1.59,0.5,0.7,0.42,1.37,0.76,0.68,1.24,0.55,0.99,1.11,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,1.24,0.84,1.33,0.45,0.69,1.25,2.32,0.58,0.62,0.56,1.24,0.88,0.52,1.24,0.52,1.07,1.18,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.04,0.65,1.18,0.35,0.72,0.87,2.05,0.53,0.46,0.44,1.06,0.82,0.55,0.95,0.45,0.92,1.13,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,2.08,0.84,1.45,0.44,0.94,1.09,2.02,0.67,0.63,0.56,1.59,1.05,0.7,1.11,0.59,1.03,1.45,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.9,0.93,1.22,0.42,0.95,1.11,1.84,0.58,0.49,0.55,1.45,1.16,0.64,1.16,0.55,1.09,1.33,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.92,0.86,1.11,0.44,0.79,0.93,2.56,0.55,0.43,0.48,1.4,1.18,0.46,1.26,0.55,1.06,1.01,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,1.58,0.7,0.95,0.32,0.66,0.78,1.71,0.48,0.27,0.29,1.13,0.76,0.37,0.98,0.58,0.87,0.89,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.12,0.59,1.06,0.34,0.61,0.75,1.79,0.48,0.35,0.41,0.93,0.75,0.44,1.13,0.43,0.79,1.06,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.37,0.69,0.98,0.43,0.62,0.8,1.83,0.42,0.4,0.39,1.07,0.9,0.49,1.1,0.59,0.89,1.07,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.3,0.37,1.01,0.31,0.53,0.61,1.89,0.25,0.22,0.22,1,0.6,0.48,1.04,0.64,0.88,0.9,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.95,0.17,0.85,0.15,0.31,0.59,1.66,0.13,0.19,0.19,0.81,0.52,0.4,0.88,0.36,0.8,0.72,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,1.13,0.46,1.21,0.22,0.66,0.79,1.64,0.39,0.28,0.29,0.82,0.7,0.63,1.33,0.7,1.06,1.2,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.51,0.07,1,0.08,0.42,0.4,1.16,0.25,0.18,0.32,0.62,0.46,0.47,0.93,0.42,0.73,0.92,0.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.83,0.48,0.86,0.25,0.56,0.62,1.51,0.33,0.21,0.36,0.82,0.56,0.52,1.12,0.52,0.86,1.15,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.62,0.3,1.1,0.22,0.44,0.64,1.51,0.37,0.17,0.32,1.03,0.51,0.54,1.3,0.34,0.79,1.12,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.95,0.68,1.23,0.4,0.63,0.84,1.76,0.43,0.22,0.47,1.57,0.75,0.7,1.54,0.54,1.04,1.77,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.51,0.31,1.06,0.24,0.44,0.47,1.44,0.39,0.13,0.27,1.26,0.46,0.41,1.2,0.5,0.56,1.23,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.41,0.51,1.04,0.28,0.46,0.71,1.32,0.29,0.18,0.44,1.35,0.48,0.53,1.15,0.43,0.85,1.24,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.55,0.34,0.85,0.19,0.46,0.58,1.1,0.43,0.13,0.33,1.26,0.48,0.46,1.02,0.49,0.72,1.2,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.95,0.47,1.1,0.27,0.56,0.73,1.58,0.54,0.27,0.53,1.99,0.47,0.73,1.2,0.65,1.32,1.41,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.59,0.26,0.9,0.08,0.32,0.54,1.23,0.27,0.17,0.29,1.24,0.27,0.42,0.96,0.46,0.92,0.97,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.6,0.24,1.25,0.1,0.16,0.45,1.23,0.31,0.18,0.27,1.32,0.29,0.43,1.5,0.34,0.71,1.17,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,0.93,0.49,1.2,0.29,0.61,0.79,1.65,0.42,0.23,0.33,1.69,0.45,0.67,1.67,0.65,0.95,1.22,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,1.24,0.6,1.03,0.37,0.65,0.9,1.45,0.51,0.2,0.33,1.7,0.46,0.65,1.73,0.64,1.12,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,0.78,0.52,0.91,0.26,0.57,0.98,1.47,0.5,0.2,0.32,1.26,0.35,0.64,1.52,0.57,1.12,0.77,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,0.69,0.54,0.85,0.25,0.57,1.01,1.4,0.47,0.29,0.47,1.33,0.4,0.58,1.43,0.58,1.13,1.1,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.4,0.25,0.7,0.15,0.45,0.75,1.52,0.45,0.26,0.35,0.94,0.39,0.42,1.2,0.46,0.67,0.93,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.32,0.43,0.69,0.17,0.37,0.67,1.23,0.36,0.22,0.36,0.85,0.39,0.49,1.22,0.45,0.98,0.95,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.56,0.43,0.8,0.2,0.6,0.83,1.23,0.59,0.25,0.65,1.29,0.4,0.55,1.58,0.52,1.27,1.22,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,0.34,0.13,0.54,0.09,0.29,0.52,0.86,0.37,0.09,0.19,0.8,0.2,0.31,1.07,0.22,0.66,0.59,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,0.52,0.4,0.73,0.23,0.43,0.87,0.88,0.67,0.25,0.44,1.01,0.32,0.45,1.55,0.43,1.21,0.83,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
