age_CE,KLT02A_raw,KLT02B_raw,KLT03A_raw,KLT03B_raw,KLT04A_raw,KLT04B_raw,KLT06A_raw,KLT06B_raw,KLT02A_raw_outlier_flag,KLT02B_raw_outlier_flag,KLT03A_raw_outlier_flag,KLT03B_raw_outlier_flag,KLT04A_raw_outlier_flag,KLT04B_raw_outlier_flag,KLT06A_raw_outlier_flag,KLT06B_raw_outlier_flag
1547,1.85,2.14,0.84,0.95,NA,NA,0.72,0.58,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1548,1.73,1.9,0.68,0.73,NA,NA,0.87,0.61,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1549,1.69,1.8,1.19,1.13,NA,NA,0.86,0.71,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1550,1.79,1.92,1.83,1.48,NA,NA,1.03,0.91,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1551,2.18,2.2,1.93,1.69,NA,NA,1.28,1.32,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1552,1.38,1.49,1.2,1.23,NA,NA,0.74,0.73,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1553,1.68,1.62,1.69,1.77,NA,NA,1.34,1.19,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1554,1.45,1.46,1.61,1.68,NA,NA,1.59,1.33,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1555,1.58,1.57,1.77,1.7,NA,NA,1.22,1.01,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1556,2.19,2.15,2.18,2.19,NA,NA,1.58,1.29,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1557,2.47,2.34,2.25,2.28,NA,NA,1.94,1.69,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1558,2.05,2.06,2.32,1.93,NA,NA,1.67,1.55,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1559,2.27,2.26,2.47,2.27,NA,NA,1.7,1.48,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1560,2.29,2.14,2.57,2.53,NA,NA,1.67,1.34,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1561,1.75,1.66,1.85,1.77,NA,NA,1.48,1.21,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1562,1.45,1.5,1.31,1.25,NA,NA,1.14,0.98,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1563,1.5,1.55,1.28,1.18,NA,NA,1.02,1.04,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1564,1.95,1.98,1.2,1.77,NA,NA,1.34,1.17,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1565,2.26,2.07,1.24,1.57,NA,NA,1.49,1.1,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1566,3.76,3.47,1.96,2.05,NA,NA,1.55,1.31,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1567,3.54,3.59,1.62,1.5,NA,NA,1.46,1.2,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1568,3.12,3.46,1.53,1.37,NA,NA,1.24,0.91,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1569,3.79,4.31,2.16,1.99,NA,NA,1.25,1,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE
1570,3.15,3.13,1.9,1.72,NA,NA,1.12,1.15,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1571,2.29,2.45,1.61,1.07,NA,NA,1.23,1.39,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1572,2.34,2.56,1.59,1.42,NA,NA,1.33,1.46,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1573,1.96,2.16,1.76,1.61,NA,NA,1.38,1.22,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1574,1.89,2.14,1.5,1.4,NA,NA,1.49,1.65,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1575,1.98,2.2,1.5,1.54,NA,NA,1.25,1.55,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1576,1.38,1.52,1.12,1.13,NA,NA,0.97,1.17,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1577,1.52,1.54,1.1,1.08,NA,NA,0.9,1.03,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1578,2.08,2.47,1.4,1.56,NA,NA,1.29,1.23,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1579,2.65,3.41,1.76,1.91,NA,NA,1.39,1.47,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1580,2.78,3.34,1.68,1.64,NA,NA,1.47,1.26,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1581,1.98,2.33,1.05,0.81,NA,NA,0.96,0.94,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1582,1.79,1.91,1.17,1.04,NA,NA,0.75,0.78,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1583,1.8,2.07,1.46,1.11,NA,NA,0.66,0.76,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1584,1.2,1.66,0.99,0.86,NA,NA,0.53,0.64,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1585,1.44,1.79,0.92,0.77,NA,NA,0.62,0.65,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1586,1.47,1.69,1.32,1.53,NA,NA,0.64,0.69,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1587,1.57,1.75,1.42,1.76,NA,4.73,0.79,0.75,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE
1588,2.24,2.19,1.58,1.97,NA,3.94,0.9,0.96,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1589,1.51,1.51,1.59,1.5,2.47,2.92,0.77,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1590,1.19,1.05,1.92,1.68,3.11,3.78,0.87,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1591,0.99,0.94,1.26,1.21,2.93,3.85,0.53,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1592,1.31,1.43,1.92,1.93,2.25,3.54,0.88,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1593,1.47,1.42,1.62,1.68,2.83,3.33,0.79,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1594,1.4,1.28,1.32,1.33,2.22,3.06,0.7,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1595,1.51,1.41,1.49,1.37,1.75,2.57,0.85,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1596,1.89,1.75,1.55,1.16,2.11,3,0.79,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1597,1.87,1.58,1.98,1.86,2.93,3.73,0.85,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1598,1.56,1.28,1.31,1.37,3.07,3.23,0.65,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1599,1.46,1.29,1.52,1.46,2.18,2.04,0.69,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1600,1.27,1.12,1.16,1.42,1.93,1.81,0.6,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1601,1.07,1.06,0.99,1.11,1.22,1.18,0.43,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
