age_CE,01C407a_raw,01C409a_raw,01C409b_raw,01C411a_raw,01C411b_raw,01C414a_raw,01C414b_raw,01C415a_raw,01C415b_raw,01C417b_raw,01C419b_raw,01C420b_raw,01C421a_raw,01C421b_raw,01C422a_raw,01C422b_raw,01C424a_raw,01C424b_raw,01C426a_raw,01C427b_raw,01C407a_raw_outlier_flag,01C409a_raw_outlier_flag,01C409b_raw_outlier_flag,01C411a_raw_outlier_flag,01C411b_raw_outlier_flag,01C414a_raw_outlier_flag,01C414b_raw_outlier_flag,01C415a_raw_outlier_flag,01C415b_raw_outlier_flag,01C417b_raw_outlier_flag,01C419b_raw_outlier_flag,01C420b_raw_outlier_flag,01C421a_raw_outlier_flag,01C421b_raw_outlier_flag,01C422a_raw_outlier_flag,01C422b_raw_outlier_flag,01C424a_raw_outlier_flag,01C424b_raw_outlier_flag,01C426a_raw_outlier_flag,01C427b_raw_outlier_flag
1761,NA,NA,NA,0.58,NA,NA,NA,0.38,0.5,0.54,0.44,NA,1.28,1.21,NA,0.25,0.64,0.89,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1762,NA,NA,NA,0.58,NA,NA,NA,0.39,0.51,0.6,0.48,NA,1.5,1.49,NA,0.25,0.42,0.76,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1763,NA,NA,NA,0.61,NA,NA,NA,0.36,0.54,0.67,0.44,NA,1.37,1.41,NA,0.35,0.67,0.88,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1764,NA,NA,NA,0.58,NA,NA,NA,0.43,0.6,0.69,0.48,NA,1.24,1.47,NA,0.44,0.6,0.8,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1765,NA,NA,NA,0.7,NA,NA,NA,0.31,0.54,0.55,0.63,NA,0.97,1.14,NA,0.47,0.54,0.61,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1766,NA,NA,NA,0.53,NA,0.63,NA,0.44,0.54,0.67,0.82,NA,1.52,1.8,NA,0.44,0.54,0.76,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1767,NA,NA,NA,0.38,NA,0.35,NA,0.44,0.51,0.76,0.5,NA,1.2,1.42,NA,0.51,0.54,0.76,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1768,NA,NA,NA,0.28,NA,0.48,NA,0.44,0.51,0.92,0.63,NA,1.2,1.43,NA,0.25,0.57,0.7,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1769,NA,NA,NA,0.77,NA,0.51,NA,0.44,0.47,0.79,0.94,NA,1.08,1.6,NA,0.32,0.65,0.7,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1770,NA,NA,NA,0.68,0.56,0.48,NA,0.41,0.44,0.67,0.82,NA,1.26,1.72,NA,0.38,0.55,0.65,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1771,NA,NA,NA,0.41,0.84,0.41,NA,0.44,0.44,0.57,0.73,NA,1.73,1.81,NA,0.82,0.54,0.56,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,NA
1772,NA,NA,NA,0.47,0.77,0.38,NA,0.32,0.32,0.44,0.69,NA,1.74,1.76,NA,0.44,0.54,0.51,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
