age_CE,HLL069_raw,HLL026_raw,HLL450_raw,HLL397_raw,HLL523_raw,HLL142_raw,HLL979_raw,HLL668_raw,HLL069_raw_outlier_flag,HLL026_raw_outlier_flag,HLL450_raw_outlier_flag,HLL397_raw_outlier_flag,HLL523_raw_outlier_flag,HLL142_raw_outlier_flag,HLL979_raw_outlier_flag,HLL668_raw_outlier_flag
-756,0.96,1.17,2.23,2.47,1.53,1.33,2.1,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-755,1.13,1.3,3.15,2.43,1.56,1.84,2.33,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-754,1.02,1.28,2.92,2.67,1.63,1.92,2.56,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-753,0.81,0.86,2.52,2.03,0.97,1.31,1.82,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-752,1.08,0.87,3.12,2.54,1.31,1.58,2.01,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-751,1.2,1.15,2.76,2.11,1.73,1.78,2.43,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-750,1,1.04,2.84,2.3,1.24,1.08,1.59,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-749,1.92,1,2.21,2.12,1.44,1.27,2.13,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-748,2.15,1.19,2.3,2.1,1.51,1.52,2.23,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-747,2.3,1.26,2.16,1.85,1.76,1.83,2.11,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-746,1.76,1.2,2.62,2.34,1.79,2.11,2.34,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-745,0.97,1.1,1.36,1.68,1.39,1.57,2.01,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-744,1.06,1.5,2.23,2.01,1.53,1.8,2.71,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-743,1.64,1.7,2.38,2.1,1.63,1.86,2.62,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-742,1.61,1.23,2.18,2.39,1.91,1.62,2.71,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-741,1.04,1.16,1.58,2.05,1.22,0.94,1.53,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-740,2.15,1.28,2.35,2.19,1.47,1.12,1.51,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-739,1.98,1.29,2.09,2.54,1.49,1.23,1.87,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-738,1.85,1.04,1.83,2.38,1.37,1.33,1.65,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-737,1.84,0.83,2.34,2.19,1.54,1.28,1.86,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-736,1.75,0.97,1.81,2.71,1.84,1.57,2.54,1.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-735,1.09,0.91,1.79,2.07,1.37,1.4,1.85,1.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-734,1.59,0.86,1.35,1.87,1.35,1.45,1.57,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-733,1.7,0.87,1.7,2,1.45,1.33,1.86,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-732,0.51,0.67,1.67,2.16,1.2,0.98,1.71,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-731,0.96,0.61,1.18,1.84,0.91,0.86,1.39,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-730,1.49,1.01,1.28,1.93,1.18,1.18,1.74,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-729,1.25,1.17,1.5,2.09,1.33,1.07,1.66,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-728,1.48,1.06,2.23,2.85,1.64,1.51,2.11,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-727,1.41,1.18,1.32,2.15,1.66,1.38,2.37,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-726,1.27,1.4,1.73,2.66,1.39,1.32,2.19,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-725,1.05,1.45,1.25,2.62,1.36,1.16,2.11,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-724,1.12,1.24,1.78,2.46,1.39,1.1,1.66,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-723,0.71,1.49,1.05,1.94,1.52,1.06,1.78,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-722,0.92,0.96,1.43,2.31,1.49,1.34,1.63,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-721,1.08,1.18,1.57,2.13,1.22,1.17,1.52,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-720,0.92,1.2,0.99,1.92,1.56,1.24,2.26,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-719,1.03,1.1,1.1,1.79,1.45,1.3,2.09,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-718,1.58,1.38,1.62,2.09,1.26,1.17,1.79,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-717,0.94,0.99,1.06,1.7,1.48,1.21,1.85,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-716,0.89,0.87,1.43,1.67,1.97,1.92,2.4,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-715,1.41,0.81,1.28,1.64,1.8,2.04,2.12,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-714,1.18,0.92,1.31,1.91,1.94,1.71,1.82,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-713,0.65,0.69,1.13,1.63,1.42,1.18,1.59,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-712,0.79,0.69,0.67,1.13,1.1,0.75,1.03,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-711,0.42,0.59,0.96,1.18,1.13,0.59,0.93,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-710,0.67,0.52,0.97,1.59,1.16,1.01,1.22,0.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-709,0.74,0.41,0.59,0.89,1.27,1.12,1.22,0.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-708,0.61,0.49,0.52,0.98,0.74,0.47,0.91,0.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-707,0.76,0.66,1.06,1.36,1.16,0.76,1.42,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-706,0.51,0.61,1.11,1.56,1.11,1.02,1.42,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-705,1.05,1,0.79,1.03,0.9,0.71,0.78,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-704,1.06,0.69,1.3,1.41,1.18,0.7,1.11,0.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-703,0.56,0.57,0.87,1.25,1.12,0.56,1.21,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-702,1.18,0.87,0.85,1.32,1,0.52,1.2,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-701,1.34,1.14,0.95,1.27,0.85,0.55,1.17,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-700,0.95,1.02,0.76,1.5,0.78,0.72,1.07,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-699,1.25,0.82,0.65,1.11,0.77,0.86,1.16,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-698,0.87,0.62,0.81,1.49,0.81,0.85,1.14,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
