age_CE,FLHP01A_raw,FLHP02B_raw,FLHP03A_raw,FLHP04A_raw,FLHP05A_raw,FLHP06B_raw,FLHP07B_raw,FLHP08B_raw,FLHP09B_raw,FLHP10B_raw,FLHP11B_raw,FLHP12B_raw,FLHP13B_raw,FLHP14A_raw,FLHP15B_raw,FLHP16B_raw,FLHP19A_raw,FLHP20A_raw,FLHP01A_raw_outlier_flag,FLHP02B_raw_outlier_flag,FLHP03A_raw_outlier_flag,FLHP04A_raw_outlier_flag,FLHP05A_raw_outlier_flag,FLHP06B_raw_outlier_flag,FLHP07B_raw_outlier_flag,FLHP08B_raw_outlier_flag,FLHP09B_raw_outlier_flag,FLHP10B_raw_outlier_flag,FLHP11B_raw_outlier_flag,FLHP12B_raw_outlier_flag,FLHP13B_raw_outlier_flag,FLHP14A_raw_outlier_flag,FLHP15B_raw_outlier_flag,FLHP16B_raw_outlier_flag,FLHP19A_raw_outlier_flag,FLHP20A_raw_outlier_flag
1939,3.91,1.68,1.81,1.42,0.89,0.61,1.11,1.05,1,1.08,1.68,0.91,1.31,1.93,1.63,1.25,1.68,1.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,4.34,1.39,1.87,1.57,0.75,0.66,1.23,1.39,1.27,1.07,1.99,0.97,1.24,1.61,1.83,1.06,1.75,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,4.03,1.74,1.34,1.27,0.83,0.69,1.37,1.22,0.99,0.97,1.87,1.08,0.85,1.96,1.93,1.65,1.31,2.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,4.09,1.72,1.62,1.56,1.08,0.67,1.54,1.43,1.23,0.93,2.55,1.47,1.24,1.74,1.66,1.82,1.53,2.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,4.14,1.69,1.44,1.57,0.82,0.68,1.59,1.47,1.15,1.21,1.25,1.43,1.02,1.54,1.74,1.52,1.29,2.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,5.4,1.42,1.73,1.81,0.76,0.76,1.81,1.59,1.34,1.58,2.48,1.66,1.27,2.47,2.48,2.34,1.65,2.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,4.17,2.22,1.45,1.11,0.71,0.54,1.41,1.13,1.25,1.22,1.91,1.27,1.18,1.6,2.05,1.54,1.15,2.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,3.73,1.76,1.41,0.93,0.86,0.43,1.54,1.21,1.58,1.44,1.78,1.31,1.1,1.78,1.84,1.81,1.09,1.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,3.94,2.13,1.56,1.13,0.86,0.49,1.38,1.17,1.38,1.27,2,1,1.32,1.83,2.09,1.57,1.34,2.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,4.14,2.55,1.47,1.28,0.84,0.57,1.65,1.44,1.33,1.48,2.04,1.12,1.14,2.01,2.59,2.56,1.27,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,3.5,2.75,1.67,0.68,1.31,0.64,1.7,1.91,1.19,1.57,1.91,0.89,1.49,1.9,2.55,2.64,1.61,2.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,3.63,2.15,1.56,1.31,1.07,0.91,1.76,1.89,1.33,1.56,1.71,0.7,0.91,1.47,2.58,2.77,1.83,1.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,3.01,1.39,0.94,1.19,0.94,0.6,1.41,1.6,1,1.52,1.41,1.27,1.1,1.01,1.95,2.01,1.56,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,3.38,1.37,1.3,1.68,1.03,0.71,1.3,1.41,0.95,1.55,1.65,1.22,1.57,1.42,2.56,2.34,1.73,2.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,3.32,1.13,0.99,1.5,0.71,0.51,1,0.96,0.81,1.08,1.81,1.08,1.24,1.05,2.13,1.7,1.02,1.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,3.29,1.45,1.29,1.8,0.9,0.84,1.55,1.48,0.99,1.31,1.88,1.03,1.32,1.89,1.8,1.99,1.12,1.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,3.3,1.78,1.35,1.99,0.88,1.03,1.76,2.02,1.22,1.54,2.33,1.18,1.51,1.86,1.65,2.39,1.17,2.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,2.62,1.08,0.12,0.61,0.71,0.83,1.02,1.47,0.81,1.34,0.84,0.64,0.63,1.24,1.09,1.58,0.59,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,2.63,1.44,0.77,1.4,0.79,1.1,1.44,1.85,0.7,1.33,1.62,1.07,1.19,1.6,1.89,2.39,1.11,1.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,3.34,1.39,0.79,1.31,0.77,0.98,1.37,1.65,0.7,1.11,2.41,0.69,1.2,1.79,1.81,2.08,0.82,1.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,4.24,1.37,0.66,1.4,0.81,0.73,1.28,1.22,0.72,1.13,1.63,0.97,1.58,1.85,1.63,1.89,0.98,1.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,4.55,1.58,0.69,2.24,1.03,0.87,1.36,1.76,0.76,1.24,1.57,1.08,2.39,2.23,2.05,1.61,0.82,2.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,4.27,1.25,0.77,1.45,0.71,0.81,1.42,1.3,0.64,1.1,1.5,0.81,1.39,2.01,1.19,1.51,0.8,2.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,3.81,1.19,0.61,1.45,0.78,0.74,1.38,1.38,0.6,1.03,1.47,0.86,1.44,1.75,1,1.26,0.5,2.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,4.47,1.82,0.68,2.14,0.87,1,1.84,1.93,0.86,1.35,1.71,0.95,1.99,2.4,1.69,1.81,0.55,3.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,3.81,1.91,0.79,1.55,0.99,0.9,1.89,1.94,0.87,1.43,1.73,1.19,1.85,2.74,1.5,2.11,0.44,2.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,3.98,2.3,0.99,1.88,0.87,1.32,1.19,2.08,0.95,1.77,1.79,1.03,2.34,2.47,1.86,1.68,0.5,2.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,3.61,2.26,0.85,2.26,0.78,0.68,1.31,1.77,0.56,2.19,1.86,0.99,1.82,2.64,1.77,2.32,0.39,2.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,4.01,1.68,1.15,2.29,0.79,0.81,1.2,1.57,0.78,1.71,1.87,0.95,1.79,2.35,1.54,1.76,0.5,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,3.16,1.23,0.81,1.38,0.7,0.54,0.74,0.85,0.39,1.11,2.11,0.84,1.34,1.48,0.9,1.05,0.39,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,3.52,1.29,0.65,1.44,0.63,0.73,0.8,0.91,0.62,1.33,1.94,0.83,1.37,1.91,1.15,1.48,0.38,1.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,3.29,1.35,0.96,1.8,0.71,0.56,1.05,0.95,0.56,1.07,2.1,0.8,1.6,1.67,1.26,0.94,0.44,1.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,3.19,1.47,0.75,1.69,0.55,0.26,0.95,0.95,0.49,1.15,1.81,1.04,1.5,2.01,1.2,1,0.31,1.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,3.13,1.48,0.6,1.48,0.57,0.35,0.79,1.16,0.5,1.2,1.69,1.17,1.37,1.95,0.98,1.29,0.3,1.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,3.79,1.78,0.85,2.23,0.71,0.8,1.03,1.07,0.53,1.14,1.69,0.98,1.34,2.09,1.39,1.12,0.4,2.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,3.15,1.56,0.81,1.73,0.57,0.69,0.77,0.88,0.51,1.07,1.17,0.85,1.34,2.16,1.03,1,0.41,0.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,3.3,1.33,0.99,1.75,0.63,0.75,0.72,0.71,0.5,0.92,1.05,0.91,1,1.68,1.32,0.74,0.67,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,2.84,1.26,1.12,1.77,0.95,0.98,0.79,1.14,0.58,1.22,1.24,1.15,1.4,2.34,1.44,0.89,0.51,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,3.18,1.59,1.44,2.71,0.93,1.17,0.91,1,0.59,1.42,1.33,1.07,1.63,2.28,1.54,1.29,0.51,1.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,3.1,1.43,1.19,2.21,0.85,0.67,0.67,0.73,0.5,1.29,1.32,0.88,1.33,2,1.36,1.31,0.43,1.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,2.84,1.55,1.26,2.55,1.1,1.04,0.73,0.9,0.5,1.44,1.31,0.96,1.56,2.3,1.44,1.17,0.62,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,3.03,1.61,0.87,2.06,0.92,0.9,0.65,0.9,0.37,1.68,1.18,0.99,1.15,2.04,1.26,0.97,0.37,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,3.32,2.17,1.25,3.38,1.5,1.05,0.94,1.42,0.61,2.71,1.71,0.97,2.1,2.94,1.65,1.56,0.34,1.35,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,2.24,1.66,0.93,1.42,1.02,0.57,0.8,1.14,0.54,2.19,1.82,1.05,1.15,2.56,1.28,1.38,0.24,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,2.15,1.89,0.97,1.38,1.18,0.68,0.87,1.35,0.44,2.61,1.32,0.88,1.32,2.72,1.43,1.35,0.32,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,3.58,2.21,1.48,2.45,1.88,1.42,1.32,1.67,0.81,2.99,1.52,1.24,1.85,3.39,2.07,1.45,0.65,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,3.21,1.56,1.56,2.09,1.5,1.18,0.86,1.24,0.53,1.89,1.34,0.92,1.44,2.29,1.41,0.76,0.73,1.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,2.81,1.22,1.33,1.78,1.2,1.12,0.93,1.12,0.41,1.98,1.02,1.08,1.27,1.98,1.33,0.88,0.65,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,2.93,1.3,1.35,2.13,1.55,1.16,1.08,1.16,0.51,1.84,1.2,1.26,1.57,2.16,1.75,1.12,0.78,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,2.92,1.13,1.27,2.06,1.61,1,0.91,0.88,0.36,1.7,1.65,1.27,1.22,1.94,1.82,0.76,0.71,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,2.81,0.97,0.55,1.55,0.93,0.99,0.79,0.91,0.47,1.4,0.71,1.05,1.03,3.55,1.43,0.78,1.05,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,3.3,1.48,1.11,1.69,1.12,0.9,1.21,1.26,0.57,2.11,1.13,1.62,1.17,3.26,1.87,1.04,0.89,1.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,2.36,1.04,0.17,1.05,0.78,0.4,0.79,1.08,0.54,2.1,0.39,1.09,0.96,2.88,0.72,0.77,0.54,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,2.49,1.29,1.02,1.54,1.29,0.69,1.15,1.44,0.51,2.68,1.36,1.47,1.12,2.99,1.83,0.89,0.78,1.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
