,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
1971,3000,4010,1820,1210,1570,3130,1780,2480,1200,3080,1400,850,1190,2740,4720,1720,2540,1860,1980,1880,880,1080,2440,2000,1850,2790,1770,970,1390,1420,1150,1160,1340,1420,880,1090,730,690,720,2300,1340,2390,2320,3230,5450,1510,2660,4510,1550,1820,2010,3140,1520,820,2950,2980,1380,3340,1850,1330,1550,2080,1640,1460,1970,2110,2090,1860,3340,1410,2210,2050,1540,1530,1090,1730,2740,3790,2050,1330,2150,2200,1660,1210,1440,2040,1280,1080,2040,1580,2340,3270,1080,2910,2360,2760,2620,1990,1740,1410,1530,1990,2410,1190,2000,1130,1130,1330,1810,1120,950,1540,2210,1720,1240,1010,820,1450,1330,920,2060,1640,800,1660,690,3060,1230,1340,820,770,1290,1270,1460,1340,1240,1180,770,870,1090,1510,1060,550,570,790,1050
1970,4700,5050,2160,1470,1600,3600,3200,3680,1050,5950,1880,970,1620,4020,5060,1620,2610,1810,2290,2030,1100,1300,2670,2090,2320,2820,1690,1010,1280,1860,1130,1190,1690,1710,870,1150,870,700,920,2330,1880,1870,2510,2690,5480,1740,3040,3940,1760,2240,2080,4190,1560,1000,3280,3400,1290,3570,2000,1300,1700,2250,1880,1530,2020,2180,2310,2640,3290,1680,2190,1720,1500,2760,1200,2770,3060,4350,2850,1470,2030,3450,1680,1210,1610,2040,1420,1090,1980,1830,1950,3460,1260,3170,3430,2700,3540,2360,1740,2040,1460,2190,3500,1440,2920,1310,1610,2460,1900,2120,890,1660,2370,2060,1980,1410,810,2220,1870,1600,1900,1840,810,1840,740,4420,1130,1490,980,1090,1430,1160,1520,1830,1250,1370,1100,960,1410,2460,2340,920,870,1340,1500
1969,4710,4910,2100,1060,1970,3830,2180,2840,1580,4560,1920,650,1820,4700,3660,1740,2560,1660,2110,1870,1320,1330,2150,1990,2230,3320,1610,910,1190,1840,1310,1040,1610,2100,990,1240,1050,630,720,2260,1910,1930,2470,2190,5640,1750,2400,4280,1790,2540,3150,4170,1100,920,3220,3110,1510,3190,2010,1470,1460,1520,1310,1590,2280,2710,2290,1440,3140,1650,2360,1770,1710,2440,1160,2280,2920,4290,2420,1620,2160,3440,1920,1440,1560,2110,1290,1340,2090,1750,2500,4030,1410,2810,3240,2050,3360,2820,1900,2240,2280,2580,3350,1760,3350,1710,1600,2490,2330,2480,1120,2400,3140,2590,2570,1540,980,2170,1550,1870,2540,2400,890,1820,1100,4330,1680,1780,930,990,1780,1650,1580,2060,1570,1450,1590,1320,1670,2850,2490,1310,760,1070,1390
1968,4410,4310,2060,1280,2020,3810,3460,3010,1840,5150,1700,880,2150,5120,4730,1550,2890,1970,2290,1820,1170,1510,1930,1810,2630,4050,1420,1300,1420,2460,1040,1230,1530,1830,810,1140,1030,820,740,2760,2390,1830,3120,2490,4550,1650,2440,4440,1980,3220,3370,3440,1520,910,3450,3430,1580,2560,2320,1410,1650,2180,1690,2200,2920,3420,2630,2000,3430,1840,2100,1660,1420,2060,1060,1540,2260,3390,1830,1450,2140,2860,1530,1250,1640,2160,1400,1080,1980,1990,2870,4540,1200,2460,3150,1530,4180,1780,1950,2100,1890,2440,3670,1650,3080,1350,1150,2280,2330,1880,1070,2060,3080,2540,2920,1500,850,2000,1320,2460,2500,2810,760,2060,990,4050,1550,1890,790,1160,1540,1520,1350,1810,1370,1010,1310,970,1130,2410,1950,1160,970,860,1370
1967,3570,4250,1890,1210,1590,3050,2280,3090,1820,3460,1600,1130,1090,4100,4930,1520,2940,1780,1990,1730,1260,1600,1690,1780,2680,3370,1380,1270,1290,2310,1170,1330,1520,2000,870,1210,950,790,830,2430,2190,1700,2450,2610,4210,1710,2280,3820,2000,2970,3050,3040,1450,940,2800,2860,1350,2460,1810,1400,2110,1970,1630,1370,2680,3140,2130,2070,3030,1990,2120,1790,1420,2170,930,1280,2130,3000,1740,1410,1740,2340,1210,1700,1650,1900,1230,1000,1480,1550,2890,3920,890,2420,2950,2030,3860,1750,1940,2460,1440,2010,3030,1300,2610,1280,1070,1500,2130,1660,950,1950,2030,2150,2420,1150,790,1760,1640,2550,2460,2570,700,1650,1160,4510,1450,1810,890,950,1450,1280,1210,1570,1230,960,1020,1080,1090,1930,1600,930,820,870,1070
1966,3500,4160,1960,1660,1800,4450,2500,2990,1590,3500,1630,1150,1400,4090,4880,1830,2760,1680,1800,1650,1220,1030,1580,1870,2320,2860,1410,1350,1250,2510,1120,990,1560,1860,860,1160,930,1030,990,1720,1870,1570,2290,2640,3400,1930,1800,2990,2090,2740,2420,3360,1700,920,3110,2950,1460,2210,2510,1480,2110,1860,1630,1570,2460,3250,3070,2500,2730,2110,1890,1530,1970,1820,1050,1190,2590,2510,2370,1210,2260,2290,1630,1210,1450,1990,980,1390,1760,1790,2450,3090,1020,2330,3400,2480,3410,2050,1450,2800,1350,1840,2430,1390,1800,1070,1060,1690,1660,1310,860,2130,1720,2020,2270,1070,820,1600,1580,2850,2310,2050,620,1370,1100,3630,1080,1490,950,860,1400,1120,1420,1530,1090,1010,1060,1120,1140,2390,1080,760,980,1130,930
1965,2520,4520,1760,1770,1520,3260,2070,2250,1410,3190,1530,1190,1440,3050,4920,1500,3300,1940,2420,1790,1370,700,1550,1910,1870,2520,1380,1340,1200,2570,1120,1240,1460,2110,840,990,810,910,950,2090,1490,1510,2150,2760,3580,1360,1800,3260,1710,2570,2390,2320,1770,1220,2340,3100,1360,2060,2050,1140,1850,2130,2090,1040,2400,3040,3120,2590,2080,2450,1630,1350,2220,1670,1040,1090,2510,2480,2210,1350,2370,2260,1710,1160,1660,1660,980,1030,1420,2020,2400,4120,1090,2300,3530,2840,3200,1590,1240,2660,1410,1750,2230,1450,2220,1040,1530,1540,2100,1470,860,2180,1790,2010,2360,1040,870,1390,2420,2260,1950,1750,770,1200,1160,4550,1090,1370,950,680,1280,1050,1340,1360,1470,1110,1000,1270,1190,2000,2000,940,1080,1160,940
1964,2300,3920,1700,1100,1000,3250,1210,2280,970,2190,980,800,1390,1750,3310,1090,2190,1310,1430,1060,790,620,1020,1260,1300,1970,1100,1040,850,2030,770,880,1230,1470,710,780,590,710,900,1710,1010,1200,1700,2080,2090,1110,1280,2120,1560,1890,1450,1980,1430,1280,1770,2590,1240,2150,1960,870,1730,1580,1980,810,1550,2020,2330,1510,1650,1960,1370,1230,1170,750,770,1110,1850,1460,1610,1200,2320,1550,1160,710,1370,1560,1070,1060,1040,1490,2270,2460,1050,1700,2760,1780,2490,1370,1160,1910,1080,1420,1990,1270,1810,1300,1170,1400,1650,1380,780,1630,1550,1590,1870,980,830,1220,1620,1850,1520,1400,760,890,980,3210,1040,1410,980,740,1130,1010,1150,1110,1280,1080,910,1210,1000,1380,1590,870,1000,1040,730
1963,1980,3640,1730,660,1250,3220,670,2010,550,1860,880,690,1670,1430,1470,1380,2550,1520,1710,1310,900,590,1030,1420,1420,1690,1380,1120,1220,2320,770,1080,1280,1550,850,950,690,760,880,1800,1150,1240,1760,2110,2530,1180,1460,2900,1460,1740,1610,2360,1830,580,1890,2290,1110,1840,1610,910,2240,1600,1390,780,1690,1750,1990,1670,1850,1920,1280,1220,1280,570,700,1140,1700,1850,860,1250,2580,1550,1180,850,1380,1400,1100,840,1020,1140,2700,2120,990,1820,3140,1340,2740,1270,1130,1830,750,1400,2280,1190,1700,900,1240,920,1740,1590,650,1910,1810,1640,2050,820,730,1300,950,1740,1710,1460,710,1090,830,2060,1070,1380,730,480,990,960,1310,1010,1440,890,740,1490,990,1340,1070,650,740,650,560
1962,2500,3780,1930,510,1260,2660,840,1940,900,1940,1120,560,2000,2070,930,1580,2340,1470,1540,1080,1090,770,1320,1290,1380,1290,1000,1270,1060,2220,1030,1220,1050,1530,660,1120,620,750,980,1690,1360,1220,1810,2070,2670,1260,1580,3350,1630,2020,1500,2970,1680,660,1940,2500,1050,1550,1740,1020,1590,1650,1490,720,1660,1700,1880,1500,1920,1790,930,1090,1520,520,810,1000,2060,2310,1140,1470,3020,1120,1530,920,1360,1330,750,930,1330,1350,2550,2340,1360,1980,2080,1730,2310,1480,1360,2160,1190,1760,2610,1490,1830,1320,1010,1030,1430,1100,920,1920,1630,1720,2390,810,770,1490,990,1930,1880,1760,720,910,1020,1790,1170,1580,770,810,1260,1080,1200,1430,1480,1050,1090,1570,990,1800,1310,820,690,970,880
1961,2720,3340,2350,630,1330,2700,1310,2670,780,2320,1450,600,1740,2660,840,1800,2850,1740,1910,1360,1330,1080,1630,1990,1640,2090,1330,1360,1290,2830,1240,1390,1580,1830,960,1430,960,860,1090,2270,1590,1170,2170,2410,3280,2360,1880,3130,2260,2260,1540,2800,1730,630,2300,2470,930,1900,1610,1120,1210,1660,1720,1170,1740,2070,2530,2050,2440,1930,1610,1450,1320,590,850,1080,2480,2180,1010,1260,1780,1910,1750,1250,1370,1630,1260,1100,1420,1650,2440,2750,1290,2120,2350,1800,2490,2190,1280,2040,1090,1860,3300,1560,2240,990,990,1750,1690,1820,1040,1580,2270,1570,2210,900,830,1730,1140,1640,2740,2290,710,1190,1020,1780,1390,1920,1030,630,1530,1540,1350,1640,1570,970,1100,1560,1030,2140,1010,630,970,720,1040
1960,2000,2550,1680,650,1530,2770,990,2040,550,1750,1620,610,1460,3730,870,1490,2420,1600,1590,1060,1010,640,1690,1850,1240,1740,1200,1260,1250,2090,1180,1150,1390,1530,690,1230,760,950,950,2240,1140,1220,1820,2850,3260,1900,1570,3100,1570,3010,1850,3470,1850,440,2370,2750,1150,2100,1510,1040,1370,1150,1080,1150,1120,1100,3000,1790,2170,1570,1100,1400,1400,640,790,890,2750,2140,910,970,1660,2030,1230,1040,1530,1420,1310,1190,1430,2040,2000,2950,1280,1840,2620,2140,2510,1630,1470,1630,960,1690,3150,1520,2150,1180,890,1060,1780,1470,870,1510,2440,1960,2140,850,710,1780,1980,1870,2100,2040,690,1220,580,2470,1220,1800,1130,620,1340,1190,1140,1530,1380,1070,960,1480,1140,2270,1340,840,630,1060,990
1959,2270,3100,2020,880,1410,3020,740,2070,710,1860,1460,820,2050,3060,900,1580,2760,1420,1500,800,910,660,1600,1670,1430,1350,1210,1120,1050,2180,1020,1060,1210,1390,560,1070,1060,1000,790,1940,1100,1260,1520,2010,2620,1550,1510,2960,1570,2800,1500,2770,1200,540,2230,1820,1170,2640,1410,920,1080,1010,1020,1250,1450,1260,2510,1540,1990,1220,1270,1330,970,820,720,1170,1980,1840,770,1390,1610,2160,1060,900,1590,1570,1100,1710,1250,1440,2580,2460,1060,1720,2650,1870,2720,1640,1200,1730,870,1630,3360,1600,1780,1210,910,1270,1330,1430,800,1620,1970,1860,2070,820,860,1670,1250,1770,2210,1770,610,970,700,2080,1160,1510,1390,870,1430,1160,1380,1310,1520,1020,1170,1620,1150,2100,1290,620,720,1060,930
1958,1800,2700,1450,940,1260,2870,710,2500,610,1370,1130,770,1830,3140,930,1530,2910,1530,1420,740,820,670,1440,1490,1430,1930,1250,1090,1150,2580,900,980,1260,1410,610,910,1190,790,800,2300,900,1430,1730,2140,2830,1580,1370,3580,1730,3050,1770,3200,1820,870,2610,2810,1160,2820,2010,1190,1740,1130,1500,1640,1440,970,3580,2090,2460,1410,1770,1480,1200,790,670,1450,2250,1800,1020,1400,2450,2170,1170,800,1430,1550,1270,1420,1430,1380,2370,2020,1200,2070,2840,2390,3570,2150,1560,1800,740,1770,3460,1190,2280,1210,960,1370,1520,1450,870,1250,1950,1700,2480,830,750,1790,2150,1400,1790,1880,610,880,760,2900,1210,1310,1180,840,1200,1060,1270,1410,1310,1190,1080,1850,1180,2080,1790,1090,960,1050,1060
1957,2690,3600,2010,1030,1570,2990,1000,2410,980,2090,1370,1200,2260,3530,1120,1470,3000,1520,1350,760,960,670,1410,1320,1450,1400,1230,1130,1130,2410,1020,910,1520,1730,740,1330,1390,880,890,2360,1170,1530,1720,2120,3070,1860,1350,3370,1720,3130,2190,3820,1650,710,2270,2640,1400,2660,1910,1260,1230,1210,1400,1650,1030,1160,3550,2050,1970,1410,1530,1430,1180,650,930,1360,2260,2250,970,1510,2270,2070,1440,930,1510,2200,1190,1550,1760,1310,2640,2980,1590,2310,2880,2830,3790,2360,1680,2720,1010,1750,3750,1860,2540,1740,840,1760,1510,1620,1150,1390,1760,2320,2410,1100,790,2010,2190,1600,2320,1940,600,1200,790,2820,1300,1530,1340,860,1570,1430,1730,1610,1390,990,1120,2190,1170,2380,1850,910,1050,1140,1390
1956,2770,4830,2230,1480,1780,3560,730,2340,960,2570,1390,1510,2390,3920,950,1540,3160,1540,1720,870,850,730,1940,1650,1660,1410,1700,1100,1280,2310,1270,1380,1600,1790,730,1300,1010,860,740,2440,1860,1540,1840,2410,3540,2240,1830,3970,2170,3770,1920,4140,2110,690,2830,2770,1540,3290,2200,1250,1510,1260,2060,1990,1320,1680,3400,2260,2710,1890,1930,1870,1210,750,910,1400,2390,2650,1500,1340,3200,2840,1530,1630,2000,2670,1270,1370,1750,2060,2490,2220,2230,2400,4450,3330,4860,2940,2580,3190,1210,1880,4290,1690,2650,1230,830,2990,1720,1430,1160,940,2070,2260,2650,1020,760,1640,1920,1260,2110,2170,570,1270,990,2520,1460,1390,940,870,1540,1390,1830,1680,1300,1130,960,1990,1320,2570,1800,990,1410,1010,1340
1955,1840,5120,2050,1330,1010,3400,620,2030,860,1650,970,1830,2020,3170,1010,1370,3660,1700,1430,710,870,640,1840,1890,1420,1190,1510,1010,1240,1860,1300,800,1350,1720,670,1310,900,790,680,2490,1250,1350,1440,2060,3430,1880,1460,4090,1980,3730,2790,2750,2070,690,2860,1900,1120,3130,1330,780,2020,960,1150,1900,1540,1890,3770,1740,2810,1720,2110,2050,840,620,820,1320,2010,3240,1190,1160,2410,1930,1420,1380,1610,2030,1270,1100,1290,950,2420,2970,1600,2570,3860,2670,4770,3060,1760,2330,690,2070,3930,1410,1820,1100,980,2740,1790,1340,900,800,2260,2500,2300,840,620,1540,2460,810,2080,2050,530,1290,930,2090,1370,1590,980,870,1460,1460,1900,1070,1360,1140,880,1640,1270,1800,1110,640,1170,790,1100
1954,1980,4580,1600,1280,1080,3500,910,2540,1150,2620,950,1950,1940,3030,910,1390,3810,1580,1790,740,760,920,1670,1790,1590,1540,1350,940,1150,2170,1170,1160,1530,1680,850,1210,820,650,770,2470,1110,1240,1410,2200,3580,1910,1650,4140,1980,4010,2670,3320,2040,810,2620,2650,1080,3160,1850,1100,1870,1470,1680,2470,1800,2620,4110,1980,3030,1790,1820,2440,1000,780,910,1670,2060,3600,1290,1670,2900,2310,1920,1350,1540,1730,1080,1290,1000,1360,2210,2800,2410,2980,3220,2720,4950,2640,1740,2810,1300,2340,3220,1690,2330,1390,900,3000,1890,1550,780,1170,2820,2860,2730,900,840,1850,2230,1150,2230,2350,630,1610,850,2990,1560,1700,1360,770,1200,1630,2200,1670,1570,1150,1140,1930,1400,2190,1380,640,1450,1040,1380
1953,2720,3710,1890,1080,1160,3270,1120,2790,1270,3730,1380,1170,2240,3180,1200,1560,3940,1730,1760,610,790,1240,1690,1740,1710,1470,1380,1000,1300,2040,1150,1220,1990,1750,640,1340,960,750,730,2230,1170,1310,1450,2600,3750,2390,1960,4080,1910,3870,2570,3940,2250,1100,2400,2670,1530,3390,1900,1110,1760,1210,1420,2510,1790,2840,3540,2120,3280,1700,1930,2400,1340,930,1170,1780,2660,4790,1490,2030,3260,2270,1980,2070,1650,2100,1200,1400,1240,1060,2150,3320,1870,3580,2550,2390,4240,2570,2480,3070,1300,2820,3830,1850,2380,1550,1060,3020,2140,1390,880,1120,2960,3750,3020,890,880,1810,2240,1180,2340,2380,790,1980,910,3000,1580,1890,1520,740,1430,1560,2100,1460,1760,1620,1010,2120,1520,2350,1600,1050,1330,1150,1620
1952,3060,3470,2090,810,1700,2880,1050,2680,1490,4680,1760,890,2250,3220,1520,1870,3010,1530,1840,710,810,1150,1670,1510,1760,1430,1260,1150,1150,1770,1210,1490,1910,1990,660,1460,990,770,850,2410,1320,1630,1620,2390,2840,2340,2170,3350,2070,4290,2820,3640,1730,880,2670,2180,1640,2780,1940,1100,2130,1380,1380,2410,1860,3480,4120,2080,3480,1800,2280,2590,1390,1450,1610,1750,3050,5850,2480,1650,3130,2430,1590,1700,2230,2320,1260,1330,1500,1300,2000,3790,2420,3130,3420,2700,4310,3200,2950,3520,1320,2660,3480,1950,2000,1140,1120,2190,2110,1860,990,1310,2410,3130,2520,970,980,2130,1980,1110,2080,2260,700,1890,510,1990,1370,1820,1420,840,1750,1280,2020,1630,1630,1230,1270,1640,1480,2200,1360,750,850,1290,1870
1951,3440,3510,2080,1230,1830,3480,1110,3600,1820,6540,2080,1620,2790,4460,2170,2210,3730,1820,2300,830,770,1410,2140,2290,2370,1860,1560,1560,1650,2070,1400,1710,2370,2810,880,2010,1330,1150,1340,2930,2290,1900,2330,2960,4100,3380,2780,4670,3110,4370,2880,3850,2530,1420,3410,2760,2020,2730,1880,1360,2820,1850,2320,3040,2100,3830,4430,2900,3720,2160,3150,3570,1880,1740,2020,2440,3650,5010,2290,2150,3520,4120,2110,2330,2550,2500,1540,1800,1530,1290,2680,4280,2940,3990,4640,4050,5770,4690,3790,4280,1560,2800,4530,2390,2510,1490,1220,3010,2920,3160,1300,1390,2690,4050,3100,1230,1540,2910,2390,1440,2890,3260,990,2710,760,2800,1670,1930,1830,920,2240,1560,2500,2210,1630,1640,1320,2150,1860,2980,1560,1220,1200,1390,2210
1950,2870,2800,2490,1040,1650,3240,750,3590,1900,4770,1800,1360,2850,4650,1650,2000,3980,1720,1650,780,800,1340,1870,1690,2050,1760,1650,1430,1420,2010,1340,1790,2820,2560,820,1630,1340,900,800,3010,2400,1900,1940,3220,4050,3110,2440,4500,2700,5060,3390,3890,2760,1420,3830,2930,1950,2940,1540,1250,2370,1610,1530,3290,2100,3380,3540,2930,4180,1890,2500,2300,1860,1850,2010,1560,3660,4480,2720,1700,3230,3750,2500,2360,1740,2650,1620,2330,1500,1100,2410,5090,3370,2980,3360,3320,4860,5090,2900,3590,1170,2510,3390,2380,2500,1300,1150,2150,2890,2520,970,1030,2510,3310,3010,1000,1090,2280,1960,1800,2430,1990,780,2780,690,2890,1750,2060,1390,630,1780,1650,2280,1730,1640,1240,1340,1760,1440,2350,1480,1010,980,1260,2080
1949,2770,3630,2790,.,1000,3570,740,3860,2260,5150,1690,1220,2970,4060,1620,2220,4230,2030,2050,940,720,1620,1750,2160,2470,1730,1610,1500,1440,2440,1360,1750,2960,2880,900,1690,1690,1390,1030,3100,2490,1790,1890,2900,4210,3080,2500,4050,2530,5240,3300,3850,2440,1330,3770,2280,2080,2320,1350,1300,1930,1570,1330,4060,1570,2680,3810,2680,4350,1760,2540,1820,2220,2120,1820,1430,3980,3660,2210,1870,3440,2890,2610,2030,1790,2650,1410,2800,1170,1080,2180,4310,2590,2880,3180,2870,4630,4460,2970,4800,1270,2540,4180,2480,2820,1120,1190,2330,2330,2760,1090,900,2360,3470,3290,960,1090,2300,2300,1490,2180,3310,750,2460,590,3720,1990,1910,1320,650,2220,1840,1790,1680,1840,1450,1290,1600,1520,2650,1790,960,1090,1340,1770
1948,2960,3510,2830,.,1650,3120,920,2910,1840,4710,2290,1790,3110,4050,2340,2320,3920,1810,2440,1010,730,1510,1900,2430,2540,1690,1920,1580,1450,2540,1520,1730,2430,2930,880,1900,1880,1430,980,3500,2380,1870,1810,2780,3850,2770,2430,4060,2880,4600,3220,2740,2330,1340,3320,2130,2230,2610,1360,1820,1520,1470,1390,4850,2430,3220,2790,3070,3640,1930,2830,2060,2320,2280,2440,1610,3990,3190,2510,1660,2600,3230,2490,2240,2120,2370,1350,2790,1400,980,2140,4070,3130,2800,3590,2910,5450,4000,2960,4960,1280,2320,3870,2870,3090,1170,1380,2930,2250,2570,1400,940,2540,3490,3210,1360,1180,2300,3610,1380,2420,3440,810,2410,700,5050,2110,1680,1020,740,2620,1780,1690,1860,1720,1520,1390,1380,1600,2820,2410,1190,1400,1340,2130
1947,2180,4380,2310,.,2090,2190,870,3160,1780,4400,2350,1490,3690,4760,2030,2450,5440,1880,2520,1040,920,1480,1640,2150,2540,1470,1990,1300,1610,2730,1170,1430,2910,2970,890,1260,1530,990,960,3020,2140,1750,1890,3120,4030,2370,2070,4580,2570,4490,3810,2130,2490,1340,3520,2520,1770,2980,1500,1430,1810,820,910,3560,2630,4190,3470,2710,3550,1790,2570,2330,3200,1970,2750,1220,3350,3920,2690,1810,3930,3740,2630,2000,1740,2220,1850,3650,1070,1140,2990,4670,3310,3200,3340,2840,5540,3220,3320,4330,1150,2040,2680,2270,2640,950,1140,2820,1660,3120,990,860,2920,2990,3260,1050,900,2190,2820,1070,2070,2560,820,2310,530,5160,1540,1600,1290,560,1610,1420,1600,1740,1600,1150,1260,1360,1280,2750,1910,1020,1310,1450,2060
1946,2460,6190,2530,.,1720,2180,710,3140,2000,4520,1760,1540,2790,3770,1800,2400,3970,2070,2030,1610,900,1120,1860,2330,2360,1660,1390,1240,1400,2560,1130,1410,2080,2910,810,1400,1730,1050,1040,2370,1500,1810,1610,2270,3000,1930,1780,4120,2520,3390,3630,1830,1940,1580,2700,1810,2100,2800,1400,1530,1180,1080,950,4060,2580,4610,3460,2330,3330,2080,2780,2230,2600,2610,3290,1290,3280,3510,2900,1710,2330,3380,2100,1550,1830,2630,1870,2360,1250,1170,2690,4080,2490,2620,3370,2550,4990,3200,2650,2420,1060,1720,3070,2360,2570,950,1350,2720,1720,2350,1030,760,2660,2020,2850,980,870,2040,3440,950,2050,2410,900,1870,510,3100,1910,1520,1500,520,1970,1720,1990,1510,1670,1040,1220,1250,1120,2540,1940,880,880,1260,1690
1945,2430,5140,2930,.,1330,2170,730,2590,1860,4260,1810,1430,2180,3380,1560,2270,4510,2090,1930,1810,1080,1620,1910,2500,2530,1840,1730,1100,1330,3180,1360,1540,2590,2670,1000,1390,1550,1070,960,2200,1420,1550,1470,2230,3300,1620,1630,4340,2920,3920,3580,2370,2380,1640,3130,2290,2050,4310,1220,1370,1230,1550,1340,4500,3260,5190,3330,2460,4100,2590,2610,2360,2540,2990,3290,1320,3660,4000,2370,1570,2820,3930,2030,1760,2030,2120,2450,2280,1020,1260,3660,4210,2370,2470,3480,3530,5360,3360,2480,2280,1420,1740,3720,2720,3190,1040,1060,3380,1970,2330,1280,850,2630,2180,3540,1250,890,2130,4020,1110,2480,2730,820,1990,900,3500,1850,1770,1540,680,2010,1730,2170,1600,1850,1090,1180,1480,1060,2720,2130,1300,1110,1370,2180
1944,2520,3280,2410,.,1420,2460,860,2620,1880,4510,1660,890,2710,2890,1650,2070,3190,1390,1720,2030,950,1040,1440,1840,1920,1430,1640,1020,1370,2230,1270,1460,2780,2130,860,1170,1110,880,970,2070,1280,1370,1450,2310,2650,1550,1680,4240,2100,2590,3210,1960,1980,1370,3410,2210,1700,3340,1400,1490,1150,1430,1050,3410,2560,3940,2960,2550,4120,2570,2310,1900,2350,2640,3820,1330,2790,3900,2410,2100,2580,4110,1920,1440,1560,1980,2030,2810,880,1250,3000,4020,2100,2080,2770,3440,5080,2990,2090,2400,1420,1980,2290,2180,2780,810,830,2970,1800,2430,1220,1190,2770,2070,3490,1210,890,2300,2540,1080,2500,2600,990,1650,720,2500,1530,1670,1430,370,1970,1580,1720,1810,1810,910,1290,1260,1040,2420,2040,1450,910,1120,1790
1943,2710,3430,3400,.,1650,3510,990,2270,2710,4680,2120,880,3120,3110,1800,2690,4790,1840,2670,3000,1310,2270,1880,2610,2820,1730,2130,1410,1730,2680,1630,1690,3410,3250,920,1580,1840,1080,810,3040,2350,1490,2060,3590,4160,2530,2070,6100,3220,3290,3580,2620,2810,1560,3680,2550,2060,2560,1170,2310,1450,1120,1070,3960,2750,4490,3590,3280,5080,3120,2820,2850,1900,1450,3740,1780,3070,4480,1970,1770,2710,4940,2340,2170,1520,2390,3440,2580,1110,1550,3380,4770,2030,2760,4090,3460,4950,4190,2450,3230,1190,2370,3300,2180,2870,1060,1250,3500,2680,2790,1130,1360,3020,2880,3450,1180,960,2640,2540,1180,2960,3530,1110,2720,820,3740,2440,1700,1610,540,2290,2280,2450,2160,2280,1090,1240,1870,1320,2850,2680,1880,1250,1350,1950
1942,2820,3630,3340,.,1780,2560,960,2860,2990,4450,1830,1120,2600,3260,1670,2110,4120,1620,2570,4350,1280,2140,1970,2310,2640,1290,1720,1090,1680,2730,1420,1580,2610,2700,1070,1380,1520,890,890,2740,1870,1520,1590,3270,3510,2200,2350,5590,3020,3250,2370,2120,2080,1740,4320,1870,2070,.,1550,1380,1090,1310,810,3900,2110,3220,3030,2990,3910,2890,2140,2140,1790,1080,2730,1600,3690,4220,2540,1550,3510,5590,1890,1680,1830,2360,2630,2620,1210,1410,2910,3750,2350,2070,5420,3150,4280,3580,2830,4250,1250,1720,3000,1980,2830,790,1040,3180,2380,2630,1410,1240,2660,2030,3510,1200,670,2100,1830,990,2520,2910,1080,2620,740,3900,2190,1520,1510,470,2390,2130,2060,1690,2340,1170,1240,1620,1230,2350,2070,1270,1060,1340,1670
1941,3030,4860,3660,.,1730,2750,1050,3860,2420,4070,.,1130,2890,3080,1440,2070,3790,1690,2920,1500,890,2200,2150,2350,2870,1510,1980,1230,1720,2100,1480,1840,2780,2540,1150,1920,1450,910,840,3060,2000,1530,1710,2640,3740,2120,2290,6100,2870,3880,2510,2850,2220,1750,4860,2550,1990,.,1400,1280,1520,1410,1150,3520,2530,3610,3010,3320,4410,3360,2320,2300,2080,890,2200,1640,3610,5240,3420,1440,4130,5240,2440,1890,1490,2550,3360,2840,1250,1320,2430,3840,2110,2080,5780,2950,4920,4160,2930,4570,1110,1790,2460,2150,2860,780,880,2120,1920,2440,1190,1050,2020,1980,2820,1050,760,2400,1340,920,2760,3450,870,2670,510,4760,2230,1550,1720,570,1810,2300,1410,1970,2070,950,1320,1950,1030,2040,2020,1040,650,1410,1520
