,dc-239,dc-313,dc-312a,dc-226,dc-293,dc-290,dc-310,dc-316,dc-239a,dc-268,dc-267,dc-233,dc-204,dc-234,dc-230,dc-240,dc-258,dc-232,dc-196b,dc-265,dc-321,dc-311,dc-259b,dc-203,dc-322,ds-547,ds-466,ds-553,ds-376,ds-375,ds-554a,ds-464,ds-472,ds-554,ds-5,ds-585,ds-4,rk-080a,rk-026,rk-031b,rk-099b,rk-099a,rk-035b,rk-004,rk-031,rk-025,rk-098b,NN-4,NN-10,NN-12,HCL-6,HCL-7,CC-10,CC-18,CB-2,CC-9
1915,.,2060,860,820,.,.,1150,670,.,1010,840,1150,940,840,290,940,840,140,620,.,.,1400,690,1170,1030,950,950,3800,1200,1500,1470,.,1080,4280,850,150,1290,1500,1490,1310,1130,1380,940,760,1120,410,640,947,797,371,735,.,285,.,.,853
1914,.,1380,710,760,.,.,850,510,.,800,560,570,760,530,280,450,840,90,790,.,.,830,530,750,870,570,950,1990,820,970,1000,.,520,2990,750,250,1040,1480,1190,990,900,1120,670,640,1000,260,500,732,505,301,373,.,223,.,.,542
1913,.,1870,930,1060,.,.,1330,1040,.,1210,1000,780,1280,770,360,940,1010,210,670,.,.,980,600,930,1020,920,1120,2950,1330,1440,1200,.,930,3380,810,180,1660,1770,1360,1160,1130,1460,840,700,1330,260,760,778,628,293,532,.,192,.,.,685
1912,.,2250,820,810,.,.,1270,1030,.,1220,740,780,920,830,310,1770,1100,150,530,.,.,1200,540,1060,950,1010,1200,4470,1000,2030,1180,.,1050,3450,780,200,1380,2040,1200,940,1170,1570,1080,880,1100,310,690,702,651,447,597,.,370,.,.,744
1911,.,1380,850,810,.,.,970,960,.,890,740,680,910,750,310,1020,820,190,540,.,.,700,470,760,920,710,820,2500,770,1390,1170,.,740,590,660,140,1030,1850,970,1010,1160,1440,770,780,1140,280,640,682,377,337,409,.,192,.,.,579
1910,.,1650,910,1180,.,.,1160,1290,.,990,840,560,750,590,450,430,830,200,520,.,.,1020,660,740,1010,840,750,2860,720,2110,1250,.,840,2170,760,210,1440,1230,1140,890,1020,1230,790,790,890,280,560,1210,734,776,802,.,193,.,.,765
1909,.,1610,920,1100,.,.,960,1310,.,1110,760,880,890,820,500,780,1070,220,710,.,.,1070,630,850,1010,920,790,2340,970,1320,1640,.,850,2570,480,.,1970,1400,1240,1040,1240,1600,970,1040,1060,300,740,1014,826,640,795,.,480,.,.,611
1908,.,1600,880,920,.,.,910,1460,.,1030,740,680,760,670,480,780,810,270,630,.,.,1350,580,910,1040,1170,800,1670,1250,710,1080,.,810,2020,390,.,1310,1260,1030,1040,1420,1400,940,920,880,350,530,881,677,748,918,.,326,.,.,684
1907,.,1280,790,1310,.,.,830,1200,.,1170,1000,720,990,680,830,1050,1080,270,660,.,.,1040,930,1030,1100,960,760,1570,910,1180,1530,.,1060,2120,610,.,1680,1710,1010,1140,1490,1090,900,1110,1120,390,730,688,722,795,475,.,386,.,.,629
1906,.,1150,730,730,.,.,770,950,.,1220,870,840,880,780,660,1080,1270,240,690,.,.,770,800,980,1020,740,910,1910,1030,880,1340,.,550,2580,580,.,1450,2370,900,940,1660,960,870,1120,960,310,750,831,564,750,283,.,465,.,.,861
1905,.,1100,630,630,.,.,910,730,.,1070,1070,740,940,620,840,1340,1010,250,790,.,.,830,780,860,1130,630,790,1630,990,680,1150,.,660,2690,560,.,1220,1580,950,1170,1560,1210,860,950,1070,260,770,963,547,452,803,.,383,.,.,892
1904,.,910,760,1290,.,.,840,710,.,1150,1000,820,1130,730,850,930,980,260,800,.,.,570,710,880,1060,500,830,1150,1320,430,860,.,580,3220,500,.,1110,1280,880,1100,1330,1140,1150,1510,990,350,890,1075,500,554,1247,.,418,.,.,965
1903,.,1010,830,1170,.,.,1040,1290,.,960,940,820,1170,870,970,1020,950,270,900,.,.,610,950,690,1090,420,850,1580,1420,390,620,.,770,1540,560,.,1200,1720,1250,1080,1950,1710,1030,1340,1120,230,910,829,610,562,994,.,320,.,.,887
1902,.,1150,720,1510,.,.,900,1210,.,990,910,760,970,560,1000,1050,940,350,580,.,.,400,700,760,1090,780,700,1270,1260,580,570,.,810,1740,660,.,1150,1220,890,990,1340,1190,900,1190,960,270,670,711,620,1042,1056,.,350,.,.,893
1901,.,1090,780,710,.,.,750,1360,.,700,700,680,830,520,810,820,950,270,600,.,.,430,610,690,950,940,740,770,950,1030,780,.,630,1860,460,.,860,1250,1130,1200,1360,820,830,1220,1130,290,850,614,429,836,783,.,331,.,.,792
1900,.,1000,800,1270,.,.,1040,1410,.,1110,970,770,1120,480,720,520,1010,330,690,.,.,590,840,770,1070,1000,840,640,1240,400,680,.,570,1200,600,.,960,2310,1070,1060,1920,890,790,1090,1070,300,730,536,492,.,925,.,522,.,.,893
1899,.,830,580,1390,.,.,730,2300,.,1190,850,870,.,530,600,660,840,.,710,.,.,590,610,670,910,.,930,500,1260,450,.,.,510,.,570,.,790,2430,1140,1040,1000,760,710,.,790,290,670,.,631,.,889,.,.,.,.,827
1898,.,990,730,1120,.,.,980,9580,.,1040,770,960,.,760,760,1380,600,.,790,.,.,680,550,690,870,.,860,500,1080,1120,.,.,640,.,560,.,700,1950,1010,990,1000,820,800,.,790,420,760,.,352,.,.,.,.,.,.,537
1897,.,1090,730,1360,.,.,1130,4260,.,1160,1020,890,.,700,670,1030,1380,.,890,.,.,840,770,700,930,.,900,1010,1430,2320,.,.,910,.,700,.,990,2740,1160,1520,1320,950,880,.,1130,1210,880,.,434,.,.,.,.,.,.,834
1896,.,1160,680,1160,.,.,1030,610,.,1330,750,990,.,970,630,890,770,.,850,.,.,1190,630,740,1040,.,910,1470,1640,2350,.,.,1360,.,590,.,1310,1950,890,1260,1000,1010,980,.,1060,1720,770,.,343,.,.,.,.,.,.,607
1895,.,950,590,1790,.,.,1080,570,.,1250,950,940,.,820,590,670,1080,.,930,.,.,1120,720,830,1010,.,850,1970,1480,1650,.,.,1380,.,610,.,1590,1750,920,1320,1370,1340,950,.,1090,1400,860,.,429,.,.,.,.,.,.,672
1894,.,460,760,660,.,.,790,770,.,910,670,550,.,850,400,520,670,.,630,.,.,820,570,670,980,.,840,1470,1020,1600,.,.,790,.,570,.,1020,1270,790,1290,1050,1030,750,.,960,1680,790,.,412,.,.,.,.,.,.,906
1893,.,920,800,1090,.,.,1100,620,.,1300,1260,990,.,900,570,830,880,.,1290,.,.,1340,810,870,950,.,870,1460,1480,1810,.,.,860,.,640,.,1190,1320,970,1410,1600,1690,1020,.,1220,1670,940,.,416,.,.,.,.,.,.,798
1892,.,1240,730,1500,.,.,1060,.,.,1240,1270,1030,.,640,740,1500,1080,.,1480,.,.,1620,800,1040,1080,.,930,1520,1460,1790,.,.,980,.,730,.,1260,1690,920,1600,1530,1600,1220,.,1410,1870,1090,.,423,.,.,.,.,.,.,932
1891,.,1340,660,1340,.,.,1210,.,.,840,1030,710,.,1040,620,1700,790,.,1020,.,.,2060,680,1070,920,.,840,950,1720,2330,.,.,1080,.,560,.,1430,1240,1080,1490,2060,1510,660,.,1580,1410,920,.,391,.,.,.,.,.,.,892
1890,.,1490,830,1500,.,.,900,.,.,1170,1130,870,.,1130,750,1580,1230,.,1240,.,.,1670,630,830,960,.,1030,1230,1290,3180,.,.,1180,.,800,.,1210,1060,1410,1570,2210,1590,780,.,1430,1990,1120,.,409,.,.,.,.,.,.,1059
1889,.,1370,810,1130,.,.,1190,.,.,1200,920,780,.,1140,850,1840,860,.,1200,.,.,1530,530,670,940,.,1200,1460,1260,1990,.,.,1130,.,740,.,1280,1180,1420,1510,1690,1350,900,.,1450,1530,840,.,811,.,.,.,.,.,.,933
1888,.,1350,650,880,.,.,1010,.,.,990,940,550,.,1110,670,1420,600,.,850,.,.,1730,540,720,1030,.,930,810,1200,1770,.,.,570,.,730,.,1200,1130,1090,1210,1400,1150,930,.,1130,930,720,.,538,.,.,.,.,.,.,837
1887,.,1010,600,1100,.,.,810,.,.,1230,1160,1220,.,810,590,900,660,.,1020,.,.,1260,640,840,1040,.,1210,820,1200,1980,.,.,850,.,650,.,780,880,1080,810,1360,1160,640,.,1030,1510,870,.,472,.,.,.,.,.,.,953
1886,.,1240,620,900,.,.,1000,.,.,1290,1030,1220,.,770,650,1000,550,.,880,.,.,1620,630,860,1040,.,1100,1200,1040,2430,.,.,880,.,500,.,1130,1000,1270,990,1340,1190,660,.,790,1110,760,.,505,.,.,.,.,.,.,734
1885,.,1550,530,1300,.,.,890,.,.,1150,1020,1150,.,760,1260,1350,340,.,1000,.,.,1500,660,760,1130,.,1110,1120,920,3060,.,.,860,.,720,.,870,860,1380,1170,1580,1240,770,.,1240,1190,930,.,484,.,.,.,.,.,.,1105
1884,.,1350,630,1170,.,.,710,.,.,1030,920,1070,.,900,1200,1100,620,.,1090,.,.,850,720,760,1120,.,1160,1240,1220,2390,.,.,880,.,700,.,1250,1430,1210,1330,2300,1980,810,.,1400,2090,870,.,534,.,.,.,.,.,.,1006
1883,.,1160,520,1270,.,.,640,.,.,960,970,860,.,740,1280,1500,520,.,910,.,.,800,580,880,920,.,1010,1110,990,.,.,.,1020,.,590,.,1060,980,1190,1330,2330,2300,620,.,1250,2200,780,.,430,.,.,.,.,.,.,1027
1882,.,1160,700,1320,.,.,780,.,.,1190,1090,970,.,870,1290,1590,450,.,1000,.,.,1090,600,810,1160,.,1510,730,1090,.,.,.,780,.,720,.,1270,680,1450,1890,2500,2960,1030,.,1540,1960,1160,.,564,.,.,.,.,.,.,1066
1881,.,1100,650,1200,.,.,750,.,.,1380,1000,1020,.,880,1190,1200,670,.,1130,.,.,930,670,760,1030,.,1060,850,810,.,.,.,1120,.,780,.,1270,1020,1310,1670,2280,2250,920,.,1510,1190,870,.,603,.,.,.,.,.,.,980
1880,.,1050,650,1690,.,.,870,.,.,1340,1200,1000,.,960,1360,1510,330,.,1310,.,.,780,740,900,1080,.,1330,1330,890,.,.,.,1200,.,660,.,1040,730,1370,1940,2270,2650,990,.,1640,1460,760,.,556,.,.,.,.,.,.,935
1879,.,650,600,950,.,.,820,.,.,1080,980,930,.,700,1200,1280,560,.,1340,.,.,590,570,780,1030,.,940,930,1040,.,.,.,960,.,530,.,960,620,1040,1420,1910,1700,830,.,1480,1800,850,.,443,.,.,.,.,.,.,1018
1878,.,1520,660,1910,.,.,1230,.,.,1520,1360,1470,.,990,1350,2020,520,.,1630,.,.,510,660,1000,960,.,1330,1230,1550,.,.,.,910,.,1000,.,1500,1140,1280,1490,2850,3310,1380,.,1170,1910,1270,.,432,.,.,.,.,.,.,1090
1877,.,1190,560,1040,.,.,790,.,.,1090,1300,1040,.,630,690,.,880,.,1140,.,.,420,550,720,890,.,1240,1120,1170,.,.,.,570,.,600,.,820,720,1250,1470,2570,2820,1010,.,1370,1760,1180,.,635,.,.,.,.,.,.,1126
1876,.,1380,750,1360,.,.,910,.,.,1290,1470,1360,.,910,720,.,860,.,1570,.,.,500,530,1080,860,.,1080,1310,1070,.,.,.,880,.,610,.,860,850,910,1360,2640,3530,1030,.,1300,750,970,.,573,.,.,.,.,.,.,1336
1875,.,1550,1070,1030,.,.,1280,.,.,1520,1600,1140,.,1010,900,.,400,.,1640,.,.,660,690,1050,980,.,1460,1490,1430,.,.,.,1000,.,760,.,1250,870,1150,1610,4410,4010,1110,.,1560,530,1400,.,723,.,.,.,.,.,.,928
1874,.,1410,690,410,.,.,610,.,.,1040,1010,870,.,690,750,.,480,.,920,.,.,460,570,760,880,.,1070,1170,760,.,.,.,890,.,560,.,1220,600,960,1400,2450,2960,640,.,1380,500,900,.,590,.,.,.,.,.,.,839
1873,.,1740,660,1040,.,.,760,.,.,1020,1000,1490,.,860,970,.,570,.,990,.,.,650,640,1070,960,.,1190,1620,800,.,.,.,1060,.,700,.,950,1630,1200,1320,2420,2130,920,.,1370,860,940,.,628,.,.,.,.,.,.,1001
1872,.,1900,770,910,.,.,960,.,.,1400,1070,1480,.,950,770,.,320,.,1070,.,.,860,470,880,1050,.,1500,1320,960,.,.,.,1120,.,1090,.,1260,.,990,1400,1830,1330,1100,.,1210,930,830,.,1031,.,.,.,.,.,.,1281
1871,.,2130,660,940,.,.,990,.,.,1240,950,1770,.,830,1050,.,800,.,1160,.,.,520,560,980,870,.,1370,1140,1000,.,.,.,1380,.,970,.,1100,.,1170,1470,1750,1850,1000,.,1550,700,910,.,839,.,.,.,.,.,.,1268
1870,.,2340,930,1100,.,.,1190,.,.,1650,1060,1600,.,910,860,.,770,.,1160,.,.,940,410,1130,1050,.,1630,1450,1190,.,.,.,1750,.,960,.,1530,.,1130,1530,1650,1780,1110,.,1340,880,1080,.,786,.,.,.,.,.,.,1918
1869,.,1750,.,1180,.,.,970,.,.,1500,1070,1190,.,890,860,.,610,.,1120,.,.,780,420,1100,960,.,1550,1090,850,.,.,.,2300,.,950,.,1690,.,.,1450,.,1820,1280,.,1340,1020,1020,.,610,.,.,.,.,.,.,1668
1868,.,1470,.,690,.,.,860,.,.,1120,920,880,.,620,520,.,520,.,980,.,.,660,450,900,1000,.,1000,870,850,.,.,.,1460,.,600,.,1210,.,.,1580,.,1490,1170,.,1610,.,1210,.,759,.,.,.,.,.,.,1198
1867,.,1520,.,880,.,.,840,.,.,1490,1020,1260,.,890,650,.,390,.,1000,.,.,1340,400,910,1130,.,1060,1070,790,.,.,.,1480,.,650,.,1350,.,.,1140,.,1710,1070,.,1400,.,900,.,719,.,.,.,.,.,.,1791
1866,.,1130,.,970,.,.,710,.,.,1310,850,970,.,830,290,.,490,.,900,.,.,710,440,910,1080,.,1000,970,1070,.,.,.,1460,.,730,.,1180,.,.,1540,.,1600,1290,.,1340,.,1320,.,697,.,.,.,.,.,.,1224
1865,.,1510,.,680,.,.,700,.,.,1210,780,1200,.,900,620,.,580,.,710,.,.,840,410,1060,1010,.,1150,1240,1040,.,.,.,1220,.,810,.,920,.,.,1280,.,2310,1080,.,1610,.,1010,.,677,.,.,.,.,.,.,.
1864,.,1650,.,610,.,.,780,.,.,1550,690,1250,.,780,550,.,550,.,660,.,.,710,390,1030,1030,.,1010,1100,810,.,.,.,1270,.,840,.,920,.,.,1500,.,2450,1370,.,1610,.,1200,.,553,.,.,.,.,.,.,.
1863,.,1750,.,770,.,.,700,.,.,1120,860,1620,.,710,520,.,510,.,560,.,.,1050,320,880,1200,.,1050,1210,650,.,.,.,1250,.,850,.,940,.,.,1960,.,1940,1360,.,.,.,1270,.,708,.,.,.,.,.,.,.
1862,.,1950,.,720,.,.,650,.,.,1420,1080,1590,.,620,460,.,560,.,890,.,.,630,370,930,1160,.,1080,1040,770,.,.,.,1670,.,910,.,1040,.,.,1990,.,2460,1650,.,.,.,1190,.,849,.,.,.,.,.,.,.
1861,.,1540,.,500,.,.,510,.,.,1120,860,1270,.,780,430,.,420,.,650,.,.,780,350,770,940,.,910,1120,730,.,.,.,1040,.,700,.,920,.,.,1420,.,1520,1260,.,.,.,760,.,611,.,.,.,.,.,.,.
1860,.,1330,.,910,.,.,620,.,.,1220,920,990,.,860,1050,.,500,.,700,.,.,600,770,920,1100,.,1000,910,920,.,.,.,1170,.,810,.,940,.,.,1160,.,1110,1200,.,.,.,1190,.,622,.,.,.,.,.,.,.
1859,.,990,.,830,.,.,480,.,.,1170,990,1080,.,700,.,.,480,.,700,.,.,690,620,800,1110,.,880,750,1010,.,.,.,790,.,760,.,870,.,.,1050,.,860,1190,.,.,.,1190,.,505,.,.,.,.,.,.,.
1858,.,1300,.,730,.,.,750,.,.,1270,840,990,.,560,.,.,640,.,820,.,.,1410,480,810,1000,.,1080,870,980,.,.,.,1360,.,760,.,1190,.,.,1100,.,1100,1090,.,.,.,1210,.,418,.,.,.,.,.,.,.
1857,.,1170,.,1090,.,.,790,.,.,1610,1250,1290,.,990,.,.,630,.,950,.,.,1410,740,770,1210,.,1280,1370,1400,.,.,.,1710,.,950,.,1410,.,.,1100,.,1470,2000,.,.,.,2220,.,562,.,.,.,.,.,.,.
1856,.,1680,.,1090,.,.,610,.,.,1550,1180,1710,.,850,.,.,560,.,910,.,.,750,490,830,1130,.,1130,1890,1250,.,.,.,1550,.,930,.,1060,.,.,1060,.,1500,1710,.,.,.,1130,.,882,.,.,.,.,.,.,.
1855,.,1960,.,1320,.,.,890,.,.,1810,1260,1690,.,1080,.,.,420,.,1070,.,.,830,630,1040,1180,.,1280,.,1440,.,.,.,1970,.,1260,.,1540,.,.,1600,.,1830,1800,.,.,.,1830,.,855,.,.,.,.,.,.,.
1854,.,2070,.,1150,.,.,900,.,.,2090,1670,1780,.,870,.,.,790,.,960,.,.,920,1050,970,1190,.,1160,.,1290,.,.,.,1690,.,830,.,1390,.,.,1210,.,1690,920,.,.,.,1140,.,1554,.,.,.,.,.,.,.
1853,.,1340,.,900,.,.,800,.,.,1520,1350,1630,.,1000,.,.,600,.,650,.,.,700,860,770,990,.,1170,.,1260,.,.,.,1030,.,940,.,1170,.,.,840,.,940,890,.,.,.,1080,.,958,.,.,.,.,.,.,.
1852,.,2120,.,1250,.,.,1100,.,.,1510,1520,1540,.,1180,.,.,800,.,830,.,.,920,620,1090,1240,.,1500,.,1330,.,.,.,1300,.,1290,.,1800,.,.,810,.,1310,1150,.,.,.,1190,.,779,.,.,.,.,.,.,.
1851,.,1880,.,1330,.,.,1250,.,.,1520,1500,1560,.,970,.,.,770,.,1040,.,.,1160,860,880,1290,.,1450,.,1310,.,.,.,1530,.,1200,.,1160,.,.,880,.,2100,1780,.,.,.,1850,.,803,.,.,.,.,.,.,.
1850,.,2370,.,1100,.,.,1220,.,.,1560,2110,1800,.,920,.,.,1840,.,740,.,.,830,770,970,1170,.,1180,.,1260,.,.,.,910,.,1180,.,1450,.,.,930,.,2110,1240,.,.,.,1770,.,1465,.,.,.,.,.,.,.
1849,.,1650,.,1270,.,.,.,.,.,.,2080,2310,.,1010,.,.,.,.,.,.,.,1040,.,.,1120,.,1280,.,1250,.,.,.,1310,.,1030,.,.,.,.,.,.,1720,.,.,.,.,1270,.,.,.,.,.,.,.,.,.
1848,.,1960,.,1210,.,.,.,.,.,.,1570,3170,.,1320,.,.,.,.,.,.,.,710,.,.,1190,.,1150,.,1350,.,.,.,950,.,1050,.,.,.,.,.,.,2410,.,.,.,.,1350,.,.,.,.,.,.,.,.,.
1847,.,1490,.,1260,.,.,.,.,.,.,1660,1950,.,990,.,.,.,.,.,.,.,920,.,.,1300,.,1550,.,830,.,.,.,1080,.,970,.,.,.,.,.,.,2100,.,.,.,.,1200,.,.,.,.,.,.,.,.,.
1846,.,1630,.,1060,.,.,.,.,.,.,1270,1600,.,1020,.,.,.,.,.,.,.,840,.,.,1110,.,1010,.,890,.,.,.,960,.,910,.,.,.,.,.,.,2030,.,.,.,.,1330,.,.,.,.,.,.,.,.,.
1845,.,1660,.,1000,.,.,.,.,.,.,1450,1300,.,970,.,.,.,.,.,.,.,640,.,.,1060,.,1050,.,760,.,.,.,960,.,640,.,.,.,.,.,.,1330,.,.,.,.,1170,.,.,.,.,.,.,.,.,.
1844,.,1290,.,1040,.,.,.,.,.,.,1680,1830,.,940,.,.,.,.,.,.,.,840,.,.,1020,.,780,.,770,.,.,.,1040,.,740,.,.,.,.,.,.,.,.,.,.,.,1530,.,.,.,.,.,.,.,.,.
1843,.,1550,.,870,.,.,.,.,.,.,1420,2130,.,1010,.,.,.,.,.,.,.,1100,.,.,1190,.,720,.,800,.,.,.,990,.,660,.,.,.,.,.,.,.,.,.,.,.,1440,.,.,.,.,.,.,.,.,.
1842,.,1730,.,700,.,.,.,.,.,.,1360,1880,.,980,.,.,.,.,.,.,.,850,.,.,1040,.,890,.,650,.,.,.,880,.,670,.,.,.,.,.,.,.,.,.,.,.,1330,.,.,.,.,.,.,.,.,.
1841,.,1570,.,620,.,.,.,.,.,.,1130,1760,.,1090,.,.,.,.,.,.,.,700,.,.,1040,.,770,.,480,.,.,.,1070,.,490,.,.,.,.,.,.,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,.
1840,.,2380,.,1040,.,.,.,.,.,.,1000,1980,.,1260,.,.,.,.,.,.,.,1250,.,.,1170,.,850,.,1030,.,.,.,1510,.,560,.,.,.,.,.,.,.,.,.,.,.,1750,.,.,.,.,.,.,.,.,.
1839,.,2050,.,640,.,.,.,.,.,.,930,1310,.,950,.,.,.,.,.,.,.,1140,.,.,900,.,630,.,770,.,.,.,1480,.,360,.,.,.,.,.,.,.,.,.,.,.,1290,.,.,.,.,.,.,.,.,.
1838,.,1720,.,570,.,.,.,.,.,.,890,1290,.,910,.,.,.,.,.,.,.,880,.,.,900,.,770,.,660,.,.,.,1350,.,400,.,.,.,.,.,.,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,.
1837,.,1950,.,390,.,.,.,.,.,.,680,1050,.,930,.,.,.,.,.,.,.,770,.,.,740,.,700,.,800,.,.,.,1030,.,420,.,.,.,.,.,.,.,.,.,.,.,840,.,.,.,.,.,.,.,.,.
1836,.,2570,.,590,.,.,.,.,.,.,1110,1490,.,1100,.,.,.,.,.,.,.,1050,.,.,930,.,840,.,1040,.,.,.,1480,.,.,.,.,.,.,.,.,.,.,.,.,.,1110,.,.,.,.,.,.,.,.,.
1835,.,2320,.,790,.,.,.,.,.,.,1020,1290,.,1070,.,.,.,.,.,.,.,960,.,.,910,.,1020,.,1560,.,.,.,2140,.,.,.,.,.,.,.,.,.,.,.,.,.,940,.,.,.,.,.,.,.,.,.
1834,.,.,.,690,.,.,.,.,.,.,1230,1690,.,1070,.,.,.,.,.,.,.,1030,.,.,860,.,960,.,1280,.,.,.,1890,.,.,.,.,.,.,.,.,.,.,.,.,.,870,.,.,.,.,.,.,.,.,.
1833,.,.,.,790,.,.,.,.,.,.,1260,1270,.,930,.,.,.,.,.,.,.,1080,.,.,880,.,1160,.,1360,.,.,.,1880,.,.,.,.,.,.,.,.,.,.,.,.,.,650,.,.,.,.,.,.,.,.,.
1832,.,.,.,560,.,.,.,.,.,.,910,1130,.,760,.,.,.,.,.,.,.,820,.,.,810,.,1050,.,1090,.,.,.,1380,.,.,.,.,.,.,.,.,.,.,.,.,.,840,.,.,.,.,.,.,.,.,.
1831,.,.,.,770,.,.,.,.,.,.,900,1700,.,970,.,.,.,.,.,.,.,650,.,.,1020,.,1370,.,1010,.,.,.,900,.,.,.,.,.,.,.,.,.,.,.,.,.,1130,.,.,.,.,.,.,.,.,.
1830,.,.,.,840,.,.,.,.,.,.,1030,.,.,1120,.,.,.,.,.,.,.,1080,.,.,840,.,1220,.,1050,.,.,.,1710,.,.,.,.,.,.,.,.,.,.,.,.,.,670,.,.,.,.,.,.,.,.,.
1829,.,.,.,970,.,.,.,.,.,.,1380,.,.,1170,.,.,.,.,.,.,.,.,.,.,900,.,870,.,1100,.,.,.,1630,.,.,.,.,.,.,.,.,.,.,.,.,.,790,.,.,.,.,.,.,.,.,.
1828,.,.,.,750,.,.,.,.,.,.,1260,.,.,770,.,.,.,.,.,.,.,.,.,.,900,.,1040,.,1130,.,.,.,1290,.,.,.,.,.,.,.,.,.,.,.,.,.,710,.,.,.,.,.,.,.,.,.
1827,.,.,.,890,.,.,.,.,.,.,1150,.,.,990,.,.,.,.,.,.,.,.,.,.,1020,.,1350,.,1130,.,.,.,1490,.,.,.,.,.,.,.,.,.,.,.,.,.,1010,.,.,.,.,.,.,.,.,.
1826,.,.,.,840,.,.,.,.,.,.,1230,.,.,1380,.,.,.,.,.,.,.,.,.,.,1220,.,1030,.,1300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,640,.,.,.,.,.,.,.,.,.
1825,.,.,.,700,.,.,.,.,.,.,1740,.,.,1780,.,.,.,.,.,.,.,.,.,.,1500,.,1100,.,1280,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,820,.,.,.,.,.,.,.,.,.
1824,.,.,.,880,.,.,.,.,.,.,1770,.,.,1560,.,.,.,.,.,.,.,.,.,.,1580,.,1210,.,1380,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,950,.,.,.,.,.,.,.,.,.
1823,.,.,.,750,.,.,.,.,.,.,1770,.,.,1630,.,.,.,.,.,.,.,.,.,.,1350,.,1310,.,1140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,880,.,.,.,.,.,.,.,.,.
1822,.,.,.,660,.,.,.,.,.,.,1660,.,.,1340,.,.,.,.,.,.,.,.,.,.,1260,.,1150,.,1000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,570,.,.,.,.,.,.,.,.,.
1821,.,.,.,650,.,.,.,.,.,.,1810,.,.,1010,.,.,.,.,.,.,.,.,.,.,1300,.,1090,.,1120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,860,.,.,.,.,.,.,.,.,.
1820,.,.,.,800,.,.,.,.,.,.,1620,.,.,1150,.,.,.,.,.,.,.,.,.,.,1190,.,990,.,1020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,740,.,.,.,.,.,.,.,.,.
1819,.,.,.,740,.,.,.,.,.,.,1480,.,.,1050,.,.,.,.,.,.,.,.,.,.,1140,.,960,.,910,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,610,.,.,.,.,.,.,.,.,.
1818,.,.,.,860,.,.,.,.,.,.,1670,.,.,1260,.,.,.,.,.,.,.,.,.,.,1100,.,1230,.,1170,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,630,.,.,.,.,.,.,.,.,.
1817,.,.,.,960,.,.,.,.,.,.,1550,.,.,780,.,.,.,.,.,.,.,.,.,.,1130,.,950,.,1420,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,600,.,.,.,.,.,.,.,.,.
1816,.,.,.,1400,.,.,.,.,.,.,1750,.,.,1270,.,.,.,.,.,.,.,.,.,.,1280,.,1230,.,940,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,740,.,.,.,.,.,.,.,.,.
1815,.,.,.,1290,.,.,.,.,.,.,1920,.,.,1410,.,.,.,.,.,.,.,.,.,.,1270,.,1000,.,1370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,840,.,.,.,.,.,.,.,.,.
1814,.,.,.,1340,.,.,.,.,.,.,1770,.,.,1280,.,.,.,.,.,.,.,.,.,.,1160,.,1070,.,1230,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,580,.,.,.,.,.,.,.,.,.
1813,.,.,.,1130,.,.,.,.,.,.,1330,.,.,930,.,.,.,.,.,.,.,.,.,.,1070,.,930,.,810,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,480,.,.,.,.,.,.,.,.,.
1812,.,.,.,1090,.,.,.,.,.,.,1150,.,.,720,.,.,.,.,.,.,.,.,.,.,1140,.,960,.,990,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,620,.,.,.,.,.,.,.,.,.
1811,.,.,.,1150,.,.,.,.,.,.,960,.,.,940,.,.,.,.,.,.,.,.,.,.,1330,.,1080,.,1290,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,560,.,.,.,.,.,.,.,.,.
1810,.,.,.,1140,.,.,.,.,.,.,1060,.,.,870,.,.,.,.,.,.,.,.,.,.,1360,.,920,.,1160,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,490,.,.,.,.,.,.,.,.,.
1809,.,.,.,640,.,.,.,.,.,.,780,.,.,840,.,.,.,.,.,.,.,.,.,.,1180,.,810,.,840,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,510,.,.,.,.,.,.,.,.,.
