"","Tag","years","Ring_width(mm)","Lat","Long"
"550","I131723",1993,NA,46.2667,-60.616699
"551","I131723",1994,1.771,46.2667,-60.616699
"552","I131723",1995,2.181,46.2667,-60.616699
"553","I131723",1996,2.935,46.2667,-60.616699
"554","I131723",1997,3.558,46.2667,-60.616699
"555","I131723",1998,2.2925,46.2667,-60.616699
"556","I131723",1999,1.4475,46.2667,-60.616699
"557","I131723",2000,3.066,46.2667,-60.616699
"558","I131723",2001,2.2195,46.2667,-60.616699
"559","I131723",2002,1.2595,46.2667,-60.616699
"560","I131723",2003,2.7885,46.2667,-60.616699
"561","I131723",2004,2.037,46.2667,-60.616699
"562","I131723",2005,2.841,46.2667,-60.616699
"563","I131723",2006,1.5515,46.2667,-60.616699
"564","I131723",2007,2.042,46.2667,-60.616699
"565","I131723",2008,1.934,46.2667,-60.616699
"566","I131723",2009,0.8645,46.2667,-60.616699
"567","I131723",2010,0.9865,46.2667,-60.616699
"568","I131732",1990,1.7205,46.2667,-60.616699
"569","I131732",1991,2.05,46.2667,-60.616699
"570","I131732",1992,1.561,46.2667,-60.616699
"571","I131732",1993,2.14,46.2667,-60.616699
"572","I131732",1994,2.176,46.2667,-60.616699
"573","I131732",1995,2.863,46.2667,-60.616699
"574","I131732",1996,2.273,46.2667,-60.616699
"575","I131732",1997,3.291,46.2667,-60.616699
"576","I131732",1998,2.518,46.2667,-60.616699
"577","I131732",1999,1.6245,46.2667,-60.616699
"578","I131732",2000,2.6455,46.2667,-60.616699
"579","I131732",2001,2.607,46.2667,-60.616699
"580","I131732",2002,1.672,46.2667,-60.616699
"581","I131732",2003,1.5495,46.2667,-60.616699
"582","I131732",2004,2.085,46.2667,-60.616699
"583","I131732",2005,1.8205,46.2667,-60.616699
"584","I131732",2006,1.391,46.2667,-60.616699
"585","I131732",2007,1.8905,46.2667,-60.616699
"586","I131732",2008,1.951,46.2667,-60.616699
"587","I131732",2009,1.5255,46.2667,-60.616699
"588","I131732",2010,1.196,46.2667,-60.616699
"589","I131741",1990,NA,46.2667,-60.616699
"590","I131741",1991,2.5095,46.2667,-60.616699
"591","I131741",1992,1.4515,46.2667,-60.616699
"592","I131741",1993,2.3715,46.2667,-60.616699
"593","I131741",1994,2.504,46.2667,-60.616699
"594","I131741",1995,3.051,46.2667,-60.616699
"595","I131741",1996,2.4385,46.2667,-60.616699
"596","I131741",1997,3.8635,46.2667,-60.616699
"597","I131741",1998,2.359,46.2667,-60.616699
"598","I131741",1999,1.2645,46.2667,-60.616699
"599","I131741",2000,2.201,46.2667,-60.616699
"600","I131741",2001,3.246,46.2667,-60.616699
"601","I131741",2002,1.8225,46.2667,-60.616699
"602","I131741",2003,2.377,46.2667,-60.616699
"603","I131741",2004,2.102,46.2667,-60.616699
"604","I131741",2005,3.2715,46.2667,-60.616699
"605","I131741",2006,2.3795,46.2667,-60.616699
"606","I131741",2007,2.9625,46.2667,-60.616699
"607","I131741",2008,2.5135,46.2667,-60.616699
"608","I131741",2009,1.511,46.2667,-60.616699
"609","I131741",2010,1.4205,46.2667,-60.616699
"610","I131751",1990,NA,46.2667,-60.616699
"611","I131751",1991,NA,46.2667,-60.616699
"612","I131751",1992,3.083,46.2667,-60.616699
"613","I131751",1993,3.3865,46.2667,-60.616699
"614","I131751",1994,2.8245,46.2667,-60.616699
"615","I131751",1995,2.9825,46.2667,-60.616699
"616","I131751",1996,1.781,46.2667,-60.616699
"617","I131751",1997,2.149,46.2667,-60.616699
"618","I131751",1998,1.8375,46.2667,-60.616699
"619","I131751",1999,1.371,46.2667,-60.616699
"620","I131751",2000,2.2525,46.2667,-60.616699
"621","I131751",2001,3.0505,46.2667,-60.616699
"622","I131751",2002,1.5215,46.2667,-60.616699
"623","I131751",2003,2.114,46.2667,-60.616699
"624","I131751",2004,1.544,46.2667,-60.616699
"625","I131751",2005,1.873,46.2667,-60.616699
"626","I131751",2006,1.369,46.2667,-60.616699
"627","I131751",2007,1.5765,46.2667,-60.616699
"628","I131751",2008,1.6125,46.2667,-60.616699
"629","I131751",2009,1.2785,46.2667,-60.616699
"630","I131751",2010,1.064,46.2667,-60.616699
"631","I131914",1990,2.69,45.5667,-63.166698
"632","I131914",1991,2.16,45.5667,-63.166698
"633","I131914",1992,1.6,45.5667,-63.166698
"634","I131914",1993,2.54,45.5667,-63.166698
"635","I131914",1994,2.735,45.5667,-63.166698
"636","I131914",1995,4.055,45.5667,-63.166698
"637","I131914",1996,3.595,45.5667,-63.166698
"638","I131914",1997,4.805,45.5667,-63.166698
"639","I131914",1998,2.88,45.5667,-63.166698
"640","I131914",1999,1.62,45.5667,-63.166698
"641","I131914",2000,3.685,45.5667,-63.166698
"642","I131914",2001,3.695,45.5667,-63.166698
"643","I131914",2002,1.735,45.5667,-63.166698
"644","I131914",2003,3.005,45.5667,-63.166698
"645","I131914",2004,2.975,45.5667,-63.166698
"646","I131914",2005,3.865,45.5667,-63.166698
"647","I131914",2006,2.18,45.5667,-63.166698
"648","I131914",2007,2.675,45.5667,-63.166698
"649","I131914",2008,3.235,45.5667,-63.166698
"650","I131914",2009,1.85,45.5667,-63.166698
"651","I131914",2010,1.385,45.5667,-63.166698
"652","I131925",1990,NA,45.5667,-63.166698
"653","I131925",1991,2.24,45.5667,-63.166698
"654","I131925",1992,0.935,45.5667,-63.166698
"655","I131925",1993,1.25,45.5667,-63.166698
"656","I131925",1994,0.725,45.5667,-63.166698
"657","I131925",1995,1.205,45.5667,-63.166698
"658","I131925",1996,1.965,45.5667,-63.166698
"659","I131925",1997,2.635,45.5667,-63.166698
"660","I131925",1998,1.9,45.5667,-63.166698
"661","I131925",1999,1.735,45.5667,-63.166698
"662","I131925",2000,3.08,45.5667,-63.166698
"663","I131925",2001,3.675,45.5667,-63.166698
"664","I131925",2002,1.055,45.5667,-63.166698
"665","I131925",2003,2.235,45.5667,-63.166698
"666","I131925",2004,1.72,45.5667,-63.166698
"667","I131925",2005,2.335,45.5667,-63.166698
"668","I131925",2006,1.255,45.5667,-63.166698
"669","I131925",2007,1.495,45.5667,-63.166698
"670","I131925",2008,1.715,45.5667,-63.166698
"671","I131925",2009,1.325,45.5667,-63.166698
"672","I131925",2010,1.23,45.5667,-63.166698
"673","I131933",1990,2.095,45.5667,-63.166698
"674","I131933",1991,2.195,45.5667,-63.166698
"675","I131933",1992,2.03,45.5667,-63.166698
"676","I131933",1993,2.445,45.5667,-63.166698
"677","I131933",1994,1.635,45.5667,-63.166698
"678","I131933",1995,1.885,45.5667,-63.166698
"679","I131933",1996,2.085,45.5667,-63.166698
"680","I131933",1997,2.43,45.5667,-63.166698
"681","I131933",1998,1.795,45.5667,-63.166698
"682","I131933",1999,1.335,45.5667,-63.166698
"683","I131933",2000,3,45.5667,-63.166698
"684","I131933",2001,2.615,45.5667,-63.166698
"685","I131933",2002,1.8,45.5667,-63.166698
"686","I131933",2003,2.605,45.5667,-63.166698
"687","I131933",2004,2.12,45.5667,-63.166698
"688","I131933",2005,3.295,45.5667,-63.166698
"689","I131933",2006,2.36,45.5667,-63.166698
"690","I131933",2007,3.095,45.5667,-63.166698
"691","I131933",2008,2.77,45.5667,-63.166698
"692","I131933",2009,1.63,45.5667,-63.166698
"693","I131933",2010,1.68,45.5667,-63.166698
"694","I131945",1990,1.825,45.5667,-63.166698
"695","I131945",1991,1.21,45.5667,-63.166698
"696","I131945",1992,1.215,45.5667,-63.166698
"697","I131945",1993,1.58,45.5667,-63.166698
"698","I131945",1994,1.14,45.5667,-63.166698
"699","I131945",1995,1.31,45.5667,-63.166698
"700","I131945",1996,1.455,45.5667,-63.166698
"701","I131945",1997,1.63,45.5667,-63.166698
"702","I131945",1998,1.39,45.5667,-63.166698
"703","I131945",1999,1.14,45.5667,-63.166698
"704","I131945",2000,2.085,45.5667,-63.166698
"705","I131945",2001,2.13,45.5667,-63.166698
"706","I131945",2002,1.295,45.5667,-63.166698
"707","I131945",2003,2.12,45.5667,-63.166698
"708","I131945",2004,2.315,45.5667,-63.166698
"709","I131945",2005,3.005,45.5667,-63.166698
"710","I131945",2006,1.7,45.5667,-63.166698
"711","I131945",2007,1.785,45.5667,-63.166698
"712","I131945",2008,1.815,45.5667,-63.166698
"713","I131945",2009,1.395,45.5667,-63.166698
"714","I131945",2010,1.375,45.5667,-63.166698
"715","I131953",1990,2.265,45.5667,-63.166698
"716","I131953",1991,1.64,45.5667,-63.166698
"717","I131953",1992,0.635,45.5667,-63.166698
"718","I131953",1993,1.94,45.5667,-63.166698
"719","I131953",1994,1.59,45.5667,-63.166698
"720","I131953",1995,1.96,45.5667,-63.166698
"721","I131953",1996,2.335,45.5667,-63.166698
"722","I131953",1997,2.585,45.5667,-63.166698
"723","I131953",1998,1.745,45.5667,-63.166698
"724","I131953",1999,1.435,45.5667,-63.166698
"725","I131953",2000,2.11,45.5667,-63.166698
"726","I131953",2001,2.4,45.5667,-63.166698
"727","I131953",2002,1.77,45.5667,-63.166698
"728","I131953",2003,1.545,45.5667,-63.166698
"729","I131953",2004,2.12,45.5667,-63.166698
"730","I131953",2005,3.02,45.5667,-63.166698
"731","I131953",2006,2.675,45.5667,-63.166698
"732","I131953",2007,1.925,45.5667,-63.166698
"733","I131953",2008,2.92,45.5667,-63.166698
"734","I131953",2009,2.035,45.5667,-63.166698
"735","I131953",2010,2.925,45.5667,-63.166698
"736","I132111",1990,3.672,47.8333,-68.349998
"737","I132111",1991,3.2085,47.8333,-68.349998
"738","I132111",1992,1.967,47.8333,-68.349998
"739","I132111",1993,3.1695,47.8333,-68.349998
"740","I132111",1994,3.2625,47.8333,-68.349998
"741","I132111",1995,4.2995,47.8333,-68.349998
"742","I132111",1996,3.827,47.8333,-68.349998
"743","I132111",1997,3.893,47.8333,-68.349998
"744","I132111",1998,2.3245,47.8333,-68.349998
"745","I132111",1999,1.612,47.8333,-68.349998
"746","I132111",2000,3.2815,47.8333,-68.349998
"747","I132111",2001,2.8165,47.8333,-68.349998
"748","I132111",2002,2.034,47.8333,-68.349998
"749","I132111",2003,4.2525,47.8333,-68.349998
"750","I132111",2004,3.7365,47.8333,-68.349998
"751","I132111",2005,3.974,47.8333,-68.349998
"752","I132111",2006,3.1625,47.8333,-68.349998
"753","I132111",2007,3.5605,47.8333,-68.349998
"754","I132111",2008,3.7735,47.8333,-68.349998
"755","I132111",2009,3.0345,47.8333,-68.349998
"756","I132111",2010,2.903,47.8333,-68.349998
"757","I132121",1990,2.545,47.8333,-68.349998
"758","I132121",1991,2.794,47.8333,-68.349998
"759","I132121",1992,1.1485,47.8333,-68.349998
"760","I132121",1993,1.8455,47.8333,-68.349998
"761","I132121",1994,3.265,47.8333,-68.349998
"762","I132121",1995,3.2865,47.8333,-68.349998
"763","I132121",1996,3.6765,47.8333,-68.349998
"764","I132121",1997,3.6885,47.8333,-68.349998
"765","I132121",1998,1.9985,47.8333,-68.349998
"766","I132121",1999,1.4315,47.8333,-68.349998
"767","I132121",2000,2.431,47.8333,-68.349998
"768","I132121",2001,3.5345,47.8333,-68.349998
"769","I132121",2002,1.942,47.8333,-68.349998
"770","I132121",2003,3.7725,47.8333,-68.349998
"771","I132121",2004,3.246,47.8333,-68.349998
"772","I132121",2005,3.546,47.8333,-68.349998
"773","I132121",2006,2.741,47.8333,-68.349998
"774","I132121",2007,3.2895,47.8333,-68.349998
"775","I132121",2008,2.8955,47.8333,-68.349998
"776","I132121",2009,1.772,47.8333,-68.349998
"777","I132121",2010,1.742,47.8333,-68.349998
"778","I132132",1990,3.3495,47.8333,-68.349998
"779","I132132",1991,2.979,47.8333,-68.349998
"780","I132132",1992,2.344,47.8333,-68.349998
"781","I132132",1993,2.0235,47.8333,-68.349998
"782","I132132",1994,2.587,47.8333,-68.349998
"783","I132132",1995,3.5815,47.8333,-68.349998
"784","I132132",1996,2.9725,47.8333,-68.349998
"785","I132132",1997,4.2375,47.8333,-68.349998
"786","I132132",1998,2.739,47.8333,-68.349998
"787","I132132",1999,1.6835,47.8333,-68.349998
"788","I132132",2000,3.4455,47.8333,-68.349998
"789","I132132",2001,4.4545,47.8333,-68.349998
"790","I132132",2002,2.021,47.8333,-68.349998
"791","I132132",2003,4.36,47.8333,-68.349998
"792","I132132",2004,3.846,47.8333,-68.349998
"793","I132132",2005,5.062,47.8333,-68.349998
"794","I132132",2006,3.0205,47.8333,-68.349998
"795","I132132",2007,2.701,47.8333,-68.349998
"796","I132132",2008,2.5635,47.8333,-68.349998
"797","I132132",2009,1.5635,47.8333,-68.349998
"798","I132132",2010,1.652,47.8333,-68.349998
"799","I132141",1990,2.5,47.8333,-68.349998
"800","I132141",1991,1.5325,47.8333,-68.349998
"801","I132141",1992,1.545,47.8333,-68.349998
"802","I132141",1993,2.124,47.8333,-68.349998
"803","I132141",1994,2.658,47.8333,-68.349998
"804","I132141",1995,2.694,47.8333,-68.349998
"805","I132141",1996,2.8735,47.8333,-68.349998
"806","I132141",1997,3.6445,47.8333,-68.349998
"807","I132141",1998,1.502,47.8333,-68.349998
"808","I132141",1999,0.995,47.8333,-68.349998
"809","I132141",2000,2.185,47.8333,-68.349998
"810","I132141",2001,2.5815,47.8333,-68.349998
"811","I132141",2002,1.094,47.8333,-68.349998
"812","I132141",2003,2.5325,47.8333,-68.349998
"813","I132141",2004,2.3535,47.8333,-68.349998
"814","I132141",2005,3.1325,47.8333,-68.349998
"815","I132141",2006,1.808,47.8333,-68.349998
"816","I132141",2007,1.708,47.8333,-68.349998
"817","I132141",2008,2.1535,47.8333,-68.349998
"818","I132141",2009,1.586,47.8333,-68.349998
"819","I132141",2010,1.619,47.8333,-68.349998
"820","I132152",1990,2.1965,47.8333,-68.349998
"821","I132152",1991,2.1585,47.8333,-68.349998
"822","I132152",1992,1.571,47.8333,-68.349998
"823","I132152",1993,1.925,47.8333,-68.349998
"824","I132152",1994,2.6635,47.8333,-68.349998
"825","I132152",1995,2.441,47.8333,-68.349998
"826","I132152",1996,3.1735,47.8333,-68.349998
"827","I132152",1997,3.275,47.8333,-68.349998
"828","I132152",1998,2.243,47.8333,-68.349998
"829","I132152",1999,1.3995,47.8333,-68.349998
"830","I132152",2000,2.5515,47.8333,-68.349998
"831","I132152",2001,3.4775,47.8333,-68.349998
"832","I132152",2002,2.675,47.8333,-68.349998
"833","I132152",2003,3.9185,47.8333,-68.349998
"834","I132152",2004,4.059,47.8333,-68.349998
"835","I132152",2005,5.125,47.8333,-68.349998
"836","I132152",2006,4.475,47.8333,-68.349998
"837","I132152",2007,3.9615,47.8333,-68.349998
"838","I132152",2008,3.7955,47.8333,-68.349998
"839","I132152",2009,2.622,47.8333,-68.349998
"840","I132152",2010,2.075,47.8333,-68.349998
"841","I132512",1990,3.035,48.4167,-66.25
"842","I132512",1991,3.9495,48.4167,-66.25
"843","I132512",1992,3.253,48.4167,-66.25
"844","I132512",1993,3.7305,48.4167,-66.25
"845","I132512",1994,3.5965,48.4167,-66.25
"846","I132512",1995,3.177,48.4167,-66.25
"847","I132512",1996,3.7875,48.4167,-66.25
"848","I132512",1997,3.6235,48.4167,-66.25
"849","I132512",1998,2.763,48.4167,-66.25
"850","I132512",1999,1.927,48.4167,-66.25
"851","I132512",2000,2.617,48.4167,-66.25
"852","I132512",2001,3.1455,48.4167,-66.25
"853","I132512",2002,2.2605,48.4167,-66.25
"854","I132512",2003,3.185,48.4167,-66.25
"855","I132512",2004,3.1105,48.4167,-66.25
"856","I132512",2005,3.7285,48.4167,-66.25
"857","I132512",2006,2.3545,48.4167,-66.25
"858","I132512",2007,3.367,48.4167,-66.25
"859","I132512",2008,3.077,48.4167,-66.25
"860","I132512",2009,2.206,48.4167,-66.25
"861","I132512",2010,2.0505,48.4167,-66.25
"862","I132524",1990,2.793,48.4167,-66.25
"863","I132524",1991,2.717,48.4167,-66.25
"864","I132524",1992,2.007,48.4167,-66.25
"865","I132524",1993,2.223,48.4167,-66.25
"866","I132524",1994,3.0605,48.4167,-66.25
"867","I132524",1995,3.8605,48.4167,-66.25
"868","I132524",1996,3.607,48.4167,-66.25
"869","I132524",1997,4.4725,48.4167,-66.25
"870","I132524",1998,2.867,48.4167,-66.25
"871","I132524",1999,1.5655,48.4167,-66.25
"872","I132524",2000,2.9425,48.4167,-66.25
"873","I132524",2001,3.756,48.4167,-66.25
"874","I132524",2002,2.3195,48.4167,-66.25
"875","I132524",2003,2.2285,48.4167,-66.25
"876","I132524",2004,2.8535,48.4167,-66.25
"877","I132524",2005,2.561,48.4167,-66.25
"878","I132524",2006,1.741,48.4167,-66.25
"879","I132524",2007,1.809,48.4167,-66.25
"880","I132524",2008,1.9135,48.4167,-66.25
"881","I132524",2009,1.4255,48.4167,-66.25
"882","I132524",2010,1.4205,48.4167,-66.25
"883","I132531",1990,1.696,48.4167,-66.25
"884","I132531",1991,1.568,48.4167,-66.25
"885","I132531",1992,1.2905,48.4167,-66.25
"886","I132531",1993,1.6605,48.4167,-66.25
"887","I132531",1994,4.216,48.4167,-66.25
"888","I132531",1995,4.5415,48.4167,-66.25
"889","I132531",1996,4.9255,48.4167,-66.25
"890","I132531",1997,4.2615,48.4167,-66.25
"891","I132531",1998,2.4255,48.4167,-66.25
"892","I132531",1999,1.4755,48.4167,-66.25
"893","I132531",2000,2.619,48.4167,-66.25
"894","I132531",2001,2.968,48.4167,-66.25
"895","I132531",2002,1.354,48.4167,-66.25
"896","I132531",2003,2.2,48.4167,-66.25
"897","I132531",2004,1.8535,48.4167,-66.25
"898","I132531",2005,2.4425,48.4167,-66.25
"899","I132531",2006,2.0115,48.4167,-66.25
"900","I132531",2007,2.47,48.4167,-66.25
"901","I132531",2008,2.502,48.4167,-66.25
"902","I132531",2009,2.138,48.4167,-66.25
"903","I132531",2010,2.3495,48.4167,-66.25
"904","I132542",1990,2.608,48.4167,-66.25
"905","I132542",1991,2.2175,48.4167,-66.25
"906","I132542",1992,1.409,48.4167,-66.25
"907","I132542",1993,2.236,48.4167,-66.25
"908","I132542",1994,2.514,48.4167,-66.25
"909","I132542",1995,2.575,48.4167,-66.25
"910","I132542",1996,3.4725,48.4167,-66.25
"911","I132542",1997,4.263,48.4167,-66.25
"912","I132542",1998,2.5175,48.4167,-66.25
"913","I132542",1999,1.36,48.4167,-66.25
"914","I132542",2000,1.9,48.4167,-66.25
"915","I132542",2001,3.112,48.4167,-66.25
"916","I132542",2002,1.6375,48.4167,-66.25
"917","I132542",2003,2.8085,48.4167,-66.25
"918","I132542",2004,2.637,48.4167,-66.25
"919","I132542",2005,2.8195,48.4167,-66.25
"920","I132542",2006,2.1545,48.4167,-66.25
"921","I132542",2007,2.5135,48.4167,-66.25
"922","I132542",2008,1.9715,48.4167,-66.25
"923","I132542",2009,1.796,48.4167,-66.25
"924","I132542",2010,1.701,48.4167,-66.25
"925","I132554",1990,3.254,48.4167,-66.25
"926","I132554",1991,2.9485,48.4167,-66.25
"927","I132554",1992,1.538,48.4167,-66.25
"928","I132554",1993,3.926,48.4167,-66.25
"929","I132554",1994,3.8185,48.4167,-66.25
"930","I132554",1995,4.477,48.4167,-66.25
"931","I132554",1996,4.2755,48.4167,-66.25
"932","I132554",1997,3.8625,48.4167,-66.25
"933","I132554",1998,2.4755,48.4167,-66.25
"934","I132554",1999,0.8835,48.4167,-66.25
"935","I132554",2000,1.7915,48.4167,-66.25
"936","I132554",2001,2.639,48.4167,-66.25
"937","I132554",2002,1.7485,48.4167,-66.25
"938","I132554",2003,2.34,48.4167,-66.25
"939","I132554",2004,2.742,48.4167,-66.25
"940","I132554",2005,3.651,48.4167,-66.25
"941","I132554",2006,3.79,48.4167,-66.25
"942","I132554",2007,2.9075,48.4167,-66.25
"943","I132554",2008,3.022,48.4167,-66.25
"944","I132554",2009,2.022,48.4167,-66.25
"945","I132554",2010,2.146,48.4167,-66.25
"946","I132715",1990,3.033,48.2167,-79.483299
"947","I132715",1991,3.3605,48.2167,-79.483299
"948","I132715",1992,2.955,48.2167,-79.483299
"949","I132715",1993,3.043,48.2167,-79.483299
"950","I132715",1994,3.547,48.2167,-79.483299
"951","I132715",1995,3.144,48.2167,-79.483299
"952","I132715",1996,4.2935,48.2167,-79.483299
"953","I132715",1997,4.3815,48.2167,-79.483299
"954","I132715",1998,2.582,48.2167,-79.483299
"955","I132715",1999,1.8525,48.2167,-79.483299
"956","I132715",2000,2.714,48.2167,-79.483299
"957","I132715",2001,3.412,48.2167,-79.483299
"958","I132715",2002,2.2865,48.2167,-79.483299
"959","I132715",2003,3.744,48.2167,-79.483299
"960","I132715",2004,3.004,48.2167,-79.483299
"961","I132715",2005,3.903,48.2167,-79.483299
"962","I132715",2006,2.9845,48.2167,-79.483299
"963","I132715",2007,2.919,48.2167,-79.483299
"964","I132715",2008,3.6195,48.2167,-79.483299
"965","I132715",2009,2.5085,48.2167,-79.483299
"966","I132715",2010,2.836,48.2167,-79.483299
"967","I132724",1990,NA,48.2167,-79.483299
"968","I132724",1991,NA,48.2167,-79.483299
"969","I132724",1992,3.308,48.2167,-79.483299
"970","I132724",1993,3.511,48.2167,-79.483299
"971","I132724",1994,4.741,48.2167,-79.483299
"972","I132724",1995,6.256,48.2167,-79.483299
"973","I132724",1996,5.17,48.2167,-79.483299
"974","I132724",1997,6.457,48.2167,-79.483299
"975","I132724",1998,4.181,48.2167,-79.483299
"976","I132724",1999,2.165,48.2167,-79.483299
"977","I132724",2000,4.074,48.2167,-79.483299
"978","I132724",2001,5.6275,48.2167,-79.483299
"979","I132724",2002,2.4575,48.2167,-79.483299
"980","I132724",2003,3.9555,48.2167,-79.483299
"981","I132724",2004,5.0795,48.2167,-79.483299
"982","I132724",2005,6.7235,48.2167,-79.483299
"983","I132724",2006,3.429,48.2167,-79.483299
"984","I132724",2007,3.715,48.2167,-79.483299
"985","I132724",2008,3.6305,48.2167,-79.483299
"986","I132724",2009,2.465,48.2167,-79.483299
"987","I132724",2010,1.6655,48.2167,-79.483299
"988","I132735",1990,1.987,48.2167,-79.483299
"989","I132735",1991,2.416,48.2167,-79.483299
"990","I132735",1992,2.7935,48.2167,-79.483299
"991","I132735",1993,2.431,48.2167,-79.483299
"992","I132735",1994,3.792,48.2167,-79.483299
"993","I132735",1995,3.74,48.2167,-79.483299
"994","I132735",1996,3.3965,48.2167,-79.483299
"995","I132735",1997,4.1225,48.2167,-79.483299
"996","I132735",1998,3.5185,48.2167,-79.483299
"997","I132735",1999,2.2595,48.2167,-79.483299
"998","I132735",2000,3.5625,48.2167,-79.483299
"999","I132735",2001,4.2455,48.2167,-79.483299
"1000","I132735",2002,2.64,48.2167,-79.483299
"1001","I132735",2003,3.8,48.2167,-79.483299
"1002","I132735",2004,4.015,48.2167,-79.483299
"1003","I132735",2005,4.1835,48.2167,-79.483299
"1004","I132735",2006,3.816,48.2167,-79.483299
"1005","I132735",2007,3.6345,48.2167,-79.483299
"1006","I132735",2008,3.963,48.2167,-79.483299
"1007","I132735",2009,2.5755,48.2167,-79.483299
"1008","I132735",2010,2.4905,48.2167,-79.483299
"1009","I132744",1990,3.9265,48.2167,-79.483299
"1010","I132744",1991,3.0265,48.2167,-79.483299
"1011","I132744",1992,3.261,48.2167,-79.483299
"1012","I132744",1993,3.9985,48.2167,-79.483299
"1013","I132744",1994,4.172,48.2167,-79.483299
"1014","I132744",1995,3.7495,48.2167,-79.483299
"1015","I132744",1996,3.5845,48.2167,-79.483299
"1016","I132744",1997,3.71,48.2167,-79.483299
"1017","I132744",1998,2.344,48.2167,-79.483299
"1018","I132744",1999,1.1945,48.2167,-79.483299
"1019","I132744",2000,1.8475,48.2167,-79.483299
"1020","I132744",2001,2.5715,48.2167,-79.483299
"1021","I132744",2002,1.699,48.2167,-79.483299
"1022","I132744",2003,2.41,48.2167,-79.483299
"1023","I132744",2004,2.587,48.2167,-79.483299
"1024","I132744",2005,3.2135,48.2167,-79.483299
"1025","I132744",2006,2.306,48.2167,-79.483299
"1026","I132744",2007,2.555,48.2167,-79.483299
"1027","I132744",2008,2.709,48.2167,-79.483299
"1028","I132744",2009,1.568,48.2167,-79.483299
"1029","I132744",2010,1.34,48.2167,-79.483299
"1030","I132751",1990,3.337,48.2167,-79.483299
"1031","I132751",1991,3.412,48.2167,-79.483299
"1032","I132751",1992,2.0145,48.2167,-79.483299
"1033","I132751",1993,2.0945,48.2167,-79.483299
"1034","I132751",1994,3.5755,48.2167,-79.483299
"1035","I132751",1995,5.5685,48.2167,-79.483299
"1036","I132751",1996,5.3575,48.2167,-79.483299
"1037","I132751",1997,4.969,48.2167,-79.483299
"1038","I132751",1998,3.842,48.2167,-79.483299
"1039","I132751",1999,1.5305,48.2167,-79.483299
"1040","I132751",2000,3.043,48.2167,-79.483299
"1041","I132751",2001,4.839,48.2167,-79.483299
"1042","I132751",2002,2.4975,48.2167,-79.483299
"1043","I132751",2003,3.279,48.2167,-79.483299
"1044","I132751",2004,3.524,48.2167,-79.483299
"1045","I132751",2005,3.113,48.2167,-79.483299
"1046","I132751",2006,2.524,48.2167,-79.483299
"1047","I132751",2007,2.821,48.2167,-79.483299
"1048","I132751",2008,3.1245,48.2167,-79.483299
"1049","I132751",2009,1.895,48.2167,-79.483299
"1050","I132751",2010,1.5385,48.2167,-79.483299
"1051","I133111",1990,2.755,47.5,-71
"1052","I133111",1991,2.2705,47.5,-71
"1053","I133111",1992,1.993,47.5,-71
"1054","I133111",1993,1.828,47.5,-71
"1055","I133111",1994,2.296,47.5,-71
"1056","I133111",1995,3.332,47.5,-71
"1057","I133111",1996,3.177,47.5,-71
"1058","I133111",1997,2.4865,47.5,-71
"1059","I133111",1998,1.498,47.5,-71
"1060","I133111",1999,1.041,47.5,-71
"1061","I133111",2000,1.651,47.5,-71
"1062","I133111",2001,2.226,47.5,-71
"1063","I133111",2002,1.58,47.5,-71
"1064","I133111",2003,2.5595,47.5,-71
"1065","I133111",2004,2.428,47.5,-71
"1066","I133111",2005,3.191,47.5,-71
"1067","I133111",2006,2.874,47.5,-71
"1068","I133111",2007,2.5975,47.5,-71
"1069","I133111",2008,2.1535,47.5,-71
"1070","I133111",2009,1.588,47.5,-71
"1071","I133111",2010,1.5825,47.5,-71
"1072","I133122",1990,2.492,47.5,-71
"1073","I133122",1991,2.0065,47.5,-71
"1074","I133122",1992,1.3985,47.5,-71
"1075","I133122",1993,1.8005,47.5,-71
"1076","I133122",1994,2.1475,47.5,-71
"1077","I133122",1995,3.34,47.5,-71
"1078","I133122",1996,3.5505,47.5,-71
"1079","I133122",1997,5.25,47.5,-71
"1080","I133122",1998,3.783,47.5,-71
"1081","I133122",1999,1.64,47.5,-71
"1082","I133122",2000,2.1595,47.5,-71
"1083","I133122",2001,3.962,47.5,-71
"1084","I133122",2002,1.65,47.5,-71
"1085","I133122",2003,3.062,47.5,-71
"1086","I133122",2004,2.92,47.5,-71
"1087","I133122",2005,3.543,47.5,-71
"1088","I133122",2006,1.984,47.5,-71
"1089","I133122",2007,2.1005,47.5,-71
"1090","I133122",2008,1.0845,47.5,-71
"1091","I133122",2009,0.7195,47.5,-71
"1092","I133122",2010,0.9415,47.5,-71
"1093","I133131",1990,2.7145,47.5,-71
"1094","I133131",1991,2.236,47.5,-71
"1095","I133131",1992,1.8445,47.5,-71
"1096","I133131",1993,2.428,47.5,-71
"1097","I133131",1994,2.8195,47.5,-71
"1098","I133131",1995,3.3765,47.5,-71
"1099","I133131",1996,3.9315,47.5,-71
"1100","I133131",1997,4.5465,47.5,-71
"1101","I133131",1998,2.539,47.5,-71
"1102","I133131",1999,1.7635,47.5,-71
"1103","I133131",2000,3.3865,47.5,-71
"1104","I133131",2001,4.086,47.5,-71
"1105","I133131",2002,1.4605,47.5,-71
"1106","I133131",2003,3.1315,47.5,-71
"1107","I133131",2004,3.684,47.5,-71
"1108","I133131",2005,4.8655,47.5,-71
"1109","I133131",2006,3.224,47.5,-71
