age_CE,HBO01A_raw,HBO01B_raw,HBO02A_raw,HBO02B_raw,HBO03A_raw,HBO03B_raw,HBO04A_raw,HBO05A_raw,HBO06B_raw,HBO07A_raw,HBO07B_raw,HBO08A_raw,HBO08B_raw,HBO08C_raw,HBO09A_raw,HBO09B_raw,HBO10A_raw,HBO10B_raw,HBO11B_raw,HBO12A_raw,HBO12B_raw,HBO13A_raw,HBO13B_raw,HBO14A_raw,HBO14B_raw,HBO15A_raw,HBO15B_raw,HBO16A_raw,HBO17A_raw,HBO17B_raw,HBO18A_raw,HBO19A_raw,HBO19B_raw,HBO20A_raw,HBO20B_raw,HBO01A_raw_outlier_flag,HBO01B_raw_outlier_flag,HBO02A_raw_outlier_flag,HBO02B_raw_outlier_flag,HBO03A_raw_outlier_flag,HBO03B_raw_outlier_flag,HBO04A_raw_outlier_flag,HBO05A_raw_outlier_flag,HBO06B_raw_outlier_flag,HBO07A_raw_outlier_flag,HBO07B_raw_outlier_flag,HBO08A_raw_outlier_flag,HBO08B_raw_outlier_flag,HBO08C_raw_outlier_flag,HBO09A_raw_outlier_flag,HBO09B_raw_outlier_flag,HBO10A_raw_outlier_flag,HBO10B_raw_outlier_flag,HBO11B_raw_outlier_flag,HBO12A_raw_outlier_flag,HBO12B_raw_outlier_flag,HBO13A_raw_outlier_flag,HBO13B_raw_outlier_flag,HBO14A_raw_outlier_flag,HBO14B_raw_outlier_flag,HBO15A_raw_outlier_flag,HBO15B_raw_outlier_flag,HBO16A_raw_outlier_flag,HBO17A_raw_outlier_flag,HBO17B_raw_outlier_flag,HBO18A_raw_outlier_flag,HBO19A_raw_outlier_flag,HBO19B_raw_outlier_flag,HBO20A_raw_outlier_flag,HBO20B_raw_outlier_flag
1920,0.65,0.69,0.38,0.33,1,0.89,0.5,0.9,1.57,0.9,0.63,0.88,1.4,2.27,1.45,0.76,1.17,1.49,0.64,2.02,1.47,0.94,1.22,0.99,1.26,1.22,1.26,0.82,1.2,1.08,0.68,2.77,1.69,0.51,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,0.75,0.72,0.38,0.23,1.07,0.71,0.47,0.97,1.71,0.74,0.65,0.73,1.18,2.06,2.04,0.99,1.31,1.25,0.55,2.34,1.53,1.05,1.33,1.03,1.29,0.96,1.05,0.98,1.04,1.15,0.91,2.51,1.51,0.61,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,0.78,0.69,0.43,0.51,0.97,0.79,0.69,0.82,1.27,0.73,0.8,1.22,1.42,2.38,2.36,1.12,1.49,1.64,0.83,2.49,1.56,1.14,1.26,1.21,1.34,1.03,1.12,1.07,1.12,1.46,0.88,2.37,1.42,0.55,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,0.83,0.76,0.33,0.44,0.75,0.73,0.64,1.05,1.01,0.68,0.84,1.36,1.75,2.2,3.23,1.22,1.43,1.69,0.54,2.31,1.75,1.11,1.35,1.27,1.73,1.3,1.1,1.1,1.35,1.63,0.94,2.51,1.28,0.62,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,0.57,0.77,0.3,0.35,0.77,0.62,0.37,0.75,0.76,0.67,0.68,0.97,1.12,1.86,2.19,0.86,1.13,1.5,0.58,1.85,1.8,0.91,1.23,1.07,1.46,0.9,0.89,1.02,1.21,1.25,0.71,1.52,0.87,0.46,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,0.55,0.59,0.3,0.33,0.82,0.59,0.4,0.79,1.42,0.68,0.75,0.76,1.68,2.44,2.97,0.9,1.47,1.63,0.84,1.86,1.88,1.09,1.52,1.16,2.17,1.09,1.09,1.05,1.38,1.51,0.93,1.97,0.9,0.59,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,0.47,0.49,0.32,0.29,0.64,0.66,0.37,0.93,1.63,0.54,0.55,0.85,1.3,2.29,2.59,1.04,1.63,1.7,0.71,1.92,1.62,0.88,1.49,0.96,1.74,0.86,0.78,1,1.15,1.55,0.76,2.04,0.75,0.53,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,0.72,0.81,0.33,0.4,0.68,1.09,0.42,0.9,1.14,0.5,0.62,0.95,0.98,1.81,2.32,0.64,1.29,1.54,0.57,2.1,1.66,0.73,1.15,0.98,1.66,0.68,0.68,0.89,1.37,1.36,0.98,1.55,0.55,0.64,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,0.69,0.63,0.31,0.37,0.66,1.23,0.54,0.94,1.77,0.53,0.67,0.83,1.28,1.85,2.63,0.78,1.69,1.52,0.67,2.07,1.63,1.05,1.16,0.89,1.17,0.75,0.76,0.87,1.25,1.37,1.05,1.5,0.97,0.65,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,0.77,0.79,0.43,0.39,0.84,1.88,0.71,0.91,1.52,0.61,0.76,1.03,1.46,2.37,2.76,0.7,1.61,1.42,0.62,2.3,1.89,0.88,1.05,1.08,1.48,0.92,0.72,0.93,1.18,1.52,0.87,1.37,1.08,0.69,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,0.64,0.57,0.34,0.35,0.68,1.67,0.63,0.76,1.23,0.61,0.84,0.87,1.53,2.05,2.37,0.48,1.19,1.43,0.62,2.07,1.86,0.93,1.15,1.06,1.25,1.03,0.89,0.89,1.16,1.41,1,1.45,0.7,0.59,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,0.56,0.48,0.28,0.25,0.69,1.37,0.69,1.04,1.17,0.58,0.82,1.07,1.52,2.76,1.73,0.58,1.43,1.57,0.62,1.9,1.82,1.05,1.18,0.92,1.26,1.08,1.39,0.66,1.25,1.84,0.75,1.56,0.88,0.61,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,0.65,0.58,0.36,0.38,1.25,1.52,0.65,0.91,1.33,0.59,0.87,0.91,1.55,2.21,1.45,0.58,1.13,1.35,0.69,1.91,1.94,1.1,1.21,1.02,1.16,1.2,1.17,0.79,1.36,2.31,0.76,1.49,0.56,0.63,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,0.72,0.75,0.42,0.39,1.78,1.8,0.83,1.17,1.88,0.73,1.07,1.11,1.75,2.5,2.05,0.87,1.23,1.69,0.77,1.96,2.07,1.24,1.33,1.01,1.31,1.22,1.24,0.97,1.52,2.28,1.1,1.48,0.97,0.72,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,0.36,0.4,0.33,0.29,0.96,0.94,0.74,1.03,1.43,0.48,0.67,0.73,1.54,2.32,1.58,1.03,1.03,1.19,0.31,1.42,1.58,1.01,1.12,0.85,1.04,1.17,1.13,0.64,1.2,1.65,0.83,1.28,0.56,0.51,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,0.71,0.63,0.46,0.46,1.26,2.1,0.95,1.08,1.6,0.83,1.03,1.47,1.79,2.84,2.07,1.88,1.41,1.88,0.8,2.14,2.49,1.3,1.29,1.06,1.17,1.22,1.51,0.81,1.42,1.66,0.93,1.48,0.82,0.56,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,0.51,0.79,0.36,0.58,1.07,1.2,0.8,0.84,1.34,0.64,0.81,1.08,2.15,1.83,2.4,1.89,1.29,1.49,0.42,1.67,1.64,1.19,1.25,0.94,0.85,1.53,1.24,0.64,1.08,1.43,0.74,1.26,0.84,0.51,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,0.78,0.84,0.42,0.83,2.05,1.03,0.93,0.91,1.59,0.89,1.02,1.48,1.82,2.01,2.44,1.81,1.19,1.39,0.74,2.07,1.92,1.06,1.35,0.96,1.26,1.03,1.07,0.82,1.04,1.24,0.69,1.17,0.79,0.72,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,0.67,0.76,0.39,0.5,2.11,1.3,0.99,0.82,1.95,0.81,0.9,1.08,2.22,2.68,2.25,1.67,1.44,1.61,0.69,1.83,1.73,0.94,1.22,0.95,1.13,1.12,0.97,0.78,0.83,1.05,0.7,1.37,1.04,0.58,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,0.6,0.77,0.42,0.44,1.49,1.23,1.02,0.8,1.72,0.74,1.09,1.08,1.87,2.19,1.86,1.08,1.06,1.24,0.46,1.41,1.54,1.1,1.21,0.92,0.95,1.11,0.89,0.8,0.74,0.93,0.52,1.28,0.98,0.64,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,0.52,0.63,0.43,0.26,1.4,1.23,0.91,0.68,1.76,0.58,0.9,1.17,1.86,2.56,1.75,1,0.9,1.13,0.68,1.61,1.47,0.93,1.25,0.78,0.86,1.03,0.96,0.62,0.8,0.89,0.59,1.25,0.86,0.61,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,0.72,0.8,0.43,0.36,1.89,1.67,1.01,0.89,2.01,0.67,1.2,1.59,2.11,4.16,2.52,1.3,1.22,1.57,0.79,1.67,1.63,0.94,1.39,0.91,1.08,1.42,1.04,0.73,1,1.14,0.65,1.55,1.11,0.77,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,0.58,0.67,0.5,0.46,1.53,1.73,0.78,0.79,2.04,0.63,1.1,0.92,1.31,3.32,2.52,1.23,1.18,1.56,0.58,1.61,1.5,1,1.35,0.9,0.87,1.12,0.86,0.84,1.06,1.12,0.87,1.33,1.03,0.86,0.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,0.66,0.75,0.42,0.32,1.91,1.87,0.95,0.9,2.31,0.69,1.06,1.33,1.65,3.99,2.33,1.04,1.41,1.61,0.59,1.49,1.37,1.11,1.43,0.99,0.95,1.18,1.18,0.75,0.97,1.14,0.67,1.65,1.09,0.82,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,0.67,0.72,0.49,0.39,1.8,1.8,1.14,0.93,1.97,0.76,1.03,1.72,2.4,3.75,2.34,0.81,1.13,1.41,0.71,1.69,1.53,0.98,1.28,0.88,1.04,1.63,1.2,0.9,0.91,1.2,0.85,1.85,0.91,0.74,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,0.51,0.56,0.38,0.27,1.39,1.06,0.83,0.7,2.07,0.5,0.94,1.58,1.74,4.5,2.41,0.65,0.88,1.02,0.46,1.67,1.43,0.91,1.12,0.79,0.94,1.51,1.09,0.73,0.8,1.12,0.64,1.34,0.8,0.7,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,0.48,0.49,0.47,0.46,1.5,0.77,0.66,0.65,4.18,0.69,0.76,1.94,1.51,3.7,2.47,0.87,0.98,1.14,0.7,1.7,1.32,0.82,1.04,0.8,1.24,1.31,0.81,0.65,0.73,0.76,0.62,1.39,0.86,0.63,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.48,0.49,0.4,0.41,1.55,0.91,0.71,0.55,3.88,0.54,0.81,1.43,1.3,2.32,2.3,0.91,1.06,1.16,0.66,1.97,1.43,0.62,1,0.74,1.12,1.12,0.64,0.64,0.81,0.87,0.55,1.57,0.92,0.61,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,0.75,0.63,0.51,0.8,1.43,1.2,0.81,0.86,2.68,0.76,1.19,1.45,1.61,2.13,2.53,1.26,0.93,1.26,0.86,2.14,1.66,0.89,1,0.91,1.29,1.14,0.65,0.75,0.94,1.05,0.76,1.51,1,0.75,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.76,0.73,0.59,0.54,1.48,1.12,0.76,0.7,2.43,0.69,1.19,2.28,1.05,1.73,2.39,1.51,0.9,1.1,0.63,1.99,1.46,1.08,0.93,0.74,0.98,1.26,0.84,0.8,1.08,1.13,0.61,1.31,0.84,0.67,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.59,0.58,0.61,0.48,1.25,0.9,0.63,0.46,2.22,0.69,0.95,2.23,1.1,1.76,2.54,1.9,0.92,1.39,0.63,1.78,1.34,0.82,0.9,0.67,0.91,1.23,0.67,0.73,0.89,1.13,0.66,1.47,0.9,0.74,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.56,0.66,0.52,0.64,1.21,1.07,0.56,0.62,2.31,0.84,1.16,2.02,1.35,1.83,2.93,1.81,0.91,1.41,0.77,1.71,1.35,0.93,1.08,0.77,1.28,1.47,0.76,0.74,0.99,0.94,0.69,1.61,1.17,0.91,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,0.54,0.86,0.58,0.77,1.47,1.63,1.09,1.14,2.5,1.05,1.67,1.86,1.77,2.09,3.39,2.04,1.21,2,0.93,1.82,1.85,1.02,0.91,1.01,1.35,1.61,0.97,0.97,1.02,1.44,0.72,1.87,1.11,0.77,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,0.48,0.77,0.57,0.71,0.94,0.82,0.62,0.9,2.66,0.74,1.05,1.3,1.6,1.7,2.68,1.67,1.11,1.64,0.58,1.76,1.48,1.03,0.91,0.81,1.03,2.38,1.07,0.59,0.89,1.05,0.73,1.59,1.4,0.67,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,0.41,0.54,0.58,0.52,0.7,0.75,0.7,0.88,2.96,0.81,1.05,2.4,1.61,1.66,2.39,1.55,1.11,1.29,0.6,1.52,1.35,0.93,0.84,0.8,0.88,1.75,0.86,0.66,0.91,1.05,0.54,1.61,1.48,0.59,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,0.55,0.77,0.7,0.75,1.28,0.97,0.79,1.21,2.79,0.91,1.11,1.71,1.47,1.77,2.76,1.36,1.27,1.56,0.83,2.01,1.93,1.04,0.83,1.07,1.47,1.51,0.88,0.76,0.93,1.06,0.58,1.76,1.36,0.85,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.41,0.66,0.51,0.41,1.4,1.09,0.62,1.35,2.44,0.76,0.87,1.51,1.08,1.63,3.35,1.4,1.15,1.5,0.53,2.09,1.84,0.99,0.78,0.88,1.18,1.21,0.74,0.59,0.97,0.95,0.58,1.66,0.87,0.81,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,0.67,0.88,0.86,0.5,1.16,1.11,0.8,1.43,2.31,1.07,1.11,1.46,1.25,1.82,2.96,1.57,1.19,1.87,0.77,2.26,2.14,1.09,0.92,0.89,1.3,1.14,0.86,0.68,0.86,1,0.65,1.74,1.07,0.81,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.5,0.74,0.75,0.35,1.01,0.64,0.5,1.19,1.99,1.02,1.1,0.67,1.55,2.02,2.86,1.69,1.37,1.74,0.68,2.02,2.07,1.12,0.74,0.82,1.35,1.18,0.8,0.55,0.75,0.89,0.48,2.23,1.31,0.7,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.42,0.61,0.59,0.36,0.98,0.44,0.32,0.8,1.59,0.65,0.68,0.33,0.93,1.26,1.88,1.1,0.85,1.16,0.55,1.21,1.6,0.87,0.78,0.58,0.73,0.92,0.78,0.55,0.54,0.82,0.47,1.58,0.82,0.67,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.62,0.61,0.88,0.47,1.2,0.73,0.35,0.78,2.2,0.65,0.61,0.33,0.92,1.53,1.62,1.13,0.83,1.17,0.45,1.43,1.65,0.97,0.85,0.65,0.81,0.9,0.72,0.68,0.67,0.99,0.41,1.33,0.83,0.7,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
