"","years","Tag","Ring_width(mm)"
"542",1871,"MC300026",NA
"543",1871,"MC300027",NA
"544",1871,"MC300028",NA
"545",1871,"MC300032",NA
"546",1871,"MC300033",NA
"547",1871,"MC302801",NA
"548",1871,"MC302803",NA
"549",1871,"MC302807",NA
"550",1871,"MC302810",NA
"551",1871,"MC302813",NA
"552",1871,"MC302819",NA
"553",1871,"MC302820",NA
"554",1871,"MC302825",NA
"555",1871,"MC302827",NA
"556",1871,"MC302829",NA
"557",1871,"MC302831",NA
"558",1871,"MC302833",NA
"559",1871,"MC302834",NA
"560",1871,"MC302835",NA
"561",1872,"JB118309",NA
"562",1872,"JB118312",NA
"563",1872,"JB118313",NA
"564",1872,"JB118316",NA
"565",1872,"JB118317",NA
"566",1872,"JB118318",NA
"567",1872,"JB118320",NA
"568",1872,"JB118322",NA
"569",1872,"JB118323",0.155
"570",1872,"JB118324",NA
"571",1872,"JB118326",NA
"572",1872,"JB118327",NA
"573",1872,"JB118332",NA
"574",1872,"JB118336",NA
"575",1872,"JB130804",NA
"576",1872,"JB130807",NA
"577",1872,"JB130808",NA
"578",1872,"JB130810",NA
"579",1872,"JB130813",NA
"580",1872,"JB130814",NA
"581",1872,"JB130815",NA
"582",1872,"JB130816",NA
"583",1872,"JB130817",NA
"584",1872,"JB130819",NA
"585",1872,"JB130821",NA
"586",1872,"JB130827",NA
"587",1872,"MC195302",NA
"588",1872,"MC195303",NA
"589",1872,"MC195304",NA
"590",1872,"MC195306",NA
"591",1872,"MC195307",NA
"592",1872,"MC195313",NA
"593",1872,"MC195314",NA
"594",1872,"MC195318",NA
"595",1872,"MC195319",NA
"596",1872,"MC195325",NA
"597",1872,"MC195329",NA
"598",1872,"MC216001",NA
"599",1872,"MC216002",NA
"600",1872,"MC216003",NA
"601",1872,"MC216004",NA
"602",1872,"MC216005",NA
"603",1872,"MC216010",NA
"604",1872,"MC216012",NA
"605",1872,"MC216014",NA
"606",1872,"MC216018",NA
"607",1872,"MC216020",NA
"608",1872,"MC216022",NA
"609",1872,"MC216026",NA
"610",1872,"MC216027",NA
"611",1872,"MC216029",NA
"612",1872,"MC216030",NA
"613",1872,"MC216039",NA
"614",1872,"MC231201",NA
"615",1872,"MC231203",NA
"616",1872,"MC231204",NA
"617",1872,"MC231205",NA
"618",1872,"MC231206",NA
"619",1872,"MC231207",NA
"620",1872,"MC231209",NA
"621",1872,"MC231211",NA
"622",1872,"MC231212",NA
"623",1872,"MC231213",NA
"624",1872,"MC231216",NA
"625",1872,"MC231217",NA
"626",1872,"MC231219",NA
"627",1872,"MC231221",NA
"628",1872,"MC231225",NA
"629",1872,"MC231226",NA
"630",1872,"MC231227",NA
"631",1872,"MC231232",NA
"632",1872,"MC231234",NA
"633",1872,"MC255807",NA
"634",1872,"MC255808",NA
"635",1872,"MC255809",NA
"636",1872,"MC255811",NA
"637",1872,"MC255814",NA
"638",1872,"MC255815",NA
"639",1872,"MC255817",NA
"640",1872,"MC255824",NA
"641",1872,"MC255825",NA
"642",1872,"MC255826",NA
"643",1872,"MC255827",NA
"644",1872,"MC255828",NA
"645",1872,"MC255830",NA
"646",1872,"MC255831",1.005
"647",1872,"MC255833",NA
"648",1872,"MC300001",NA
"649",1872,"MC300017",NA
"650",1872,"MC300018",NA
"651",1872,"MC300022",NA
"652",1872,"MC300023",NA
"653",1872,"MC300024",NA
"654",1872,"MC300026",NA
"655",1872,"MC300027",NA
"656",1872,"MC300028",NA
"657",1872,"MC300032",NA
"658",1872,"MC300033",NA
"659",1872,"MC302801",NA
"660",1872,"MC302803",NA
