Sample_ID,Plot_ID,Spp,Avg_diam,Height (cm),Out_of_plot,Year_origin,Year_origin_est
J27-S12,J27,POTR5,1.08,89,N,2003,
J27-S13,J27,POTR5,1.28,110,N,2007,
J27-S14,J27,POTR5,0.7,87,N,2008,
J27-S15,J27,POTR5,10.36,280,N,1976,
J28-S01,J28,POTR5,4.91,450,N,1987,
J28-S02,J28,POTR5,3.32,375,N,1990,
J28-S03,J28,POTR5,4.92,430,N,1987,
J28-S04,J28,POTR5,4.51,400,N,1987,
J28-S05,J28,POTR5,3.65,375,N,1986,
J28-S06,J28,POTR5,6.68,625,N,1987,
J28-S07,J28,POTR5,2.98,145,N,1991,
J28-S08,J28,POTR5,5.32,550,N,1986,
J28-S09,J28,POTR5,7.38,700,N,1987,
J28-S10,J28,POTR5,3.56,260,N,1987,
J28-S11,J28,POTR5,2.32,145,N,2001,
J28-S12,J28,POTR5,5.58,450,N,1990,
J28-S13,J28,POTR5,1.24,82,N,2009,
J28-S14,J28,POTR5,,95,N,,
J28-S15,J28,POTR5,,75,N,,
J28-S16,J28,POTR5,8.26,575,N,1988,
J28-S17,J28,POTR5,,300,N,,
J28-S18,J28,POTR5,,215,N,,
J29-S01,J29,POTR5,1.13,75,N,2001,
J29-S02,J29,POTR5,3.04,175,N,1989,
J29-S03,J29,POTR5,2.74,175,Y,2000,
J29-S04,J29,POTR5,2.7,150,Y,1999,
J29-S05,J29,POTR5,2.24,130,Y,1998,
J29-S06,J29,POTR5,0.8,75,Y,2003,
J29-S07,J29,POTR5,2.08,120,Y,2002,
J29-S08,J29,POTR5,3.56,230,Y,2000,
J29-S09,J29,POTR5,4.83,230,Y,1985,
J29-S10,J29,POTR5,4.06,155,Y,1987,
J30-S01,J30,POTR5,3.6,230,N,1999,
J30-S02,J30,POTR5,5.56,275,N,2000,
J30-S03,J30,POTR5,2.02,126,N,2006,
J30-S04,J30,POTR5,0.15,38,Y,2010,
J30-S05,J30,POTR5,0.88,70,Y,2007,
J30-S06,J30,POTR5,2.6,200,Y,2000,
J30-S07,J30,ABLA,5.42,210,Y,1954,
J30-S08,J30,ABLA,6.38,470,Y,1965,
J30-S09,J30,POTR5,0.73,32,Y,2009,
J30-S10,J30,POTR5,3.9,310,Y,1998,
J31-S01,J31,POTR5,1.44,100,N,2003,
J31-S02,J31,POTR5,1.54,135,N,2004,
J31-S03,J31,POTR5,1.64,130,N,2005,
J31-S04,J31,POTR5,5.34,300,N,1985,
J31-S05,J31,POTR5,9.14,180,N,1964,
J31-S06,J31,POTR5,3.46,160,N,1992,
J31-S07,J31,POTR5,5.36,275,Y,1979,
J31-S08,J31,POTR5,4.17,200,Y,1987,
J31-S09,J31,POTR5,4.57,195,Y,1985,
J31-S10,J31,POTR5,3,180,Y,2000,
J32-S01,J32,POTR5,0.92,120,N,2008,
J32-S02,J32,POTR5,1.49,110,N,1994,
J32-S03,J32,POTR5,0.43,45,N,2009,
J32-S04,J32,POTR5,0.32,75,N,2010,
J32-S05,J32,POTR5,0.32,60,N,2011,
J32-S06,J32,POTR5,0.57,65,N,2010,
J32-S07,J32,POTR5,0.42,105,N,2010,
J32-S08,J32,POTR5,0.16,35,N,2011,
J32-S09,J32,POTR5,0.82,80,N,2007,
J32-S10,J32,POTR5,0.28,60,N,2011,
J32-S11,J32,POTR5,0.84,110,N,2003,
J32-S12,J32,POTR5,,30,N,2011,
J32-S13,J32,POTR5,0.26,35,N,2010,
J32-S14,J32,POTR5,0.8,110,N,2008,
J32-S15,J32,POTR5,0.48,75,N,2010,
J32-S16,J32,POTR5,8.36,500,N,1980,
J32-S17,J32,POTR5,,65,N,,
J32-S18,J32,POTR5,,80,N,,
J32-S19,J32,POTR5,,95,N,,
J32-S20,J32,POTR5,,145,N,,
J32-S21,J32,POTR5,,150,N,,
J32-S22,J32,POTR5,,60,N,,
J32-S23,J32,POTR5,,65,N,,
J32-S24,J32,POTR5,,30,N,,
J32-S25,J32,POTR5,,105,N,,
J32-S26,J32,POTR5,,105,N,,
J32-S27,J32,POTR5,,110,N,,
J32-S28,J32,POTR5,,150,N,,
J32-S29,J32,POTR5,,60,N,,
J32-S30,J32,POTR5,,39,N,,
J32-S31,J32,POTR5,,40,N,,
J32-S32,J32,POTR5,,25,N,,
J32-S33,J32,POTR5,,175,N,,
J32-S34,J32,POTR5,,500,N,,
J32-S35,J32,POTR5,,100,N,,
J32-S36,J32,POTR5,,45,N,,
J32-S37,J32,POTR5,,230,N,,
J33-S01,J33,POTR5,7.45,366,N,1974,
J33-S02,J33,POTR5,7.24,488,N,1957,
J33-S03,J33,POTR5,6.08,366,N,1975,
J33-S04,J33,POTR5,4.25,488,N,1987,
J33-S05,J33,POTR5,3.71,305,N,1990,
J33-S06,J33,POTR5,4.09,366,N,1989,
J33-S07,J33,POTR5,2.86,274,N,1991,
J33-S08,J33,POTR5,4.68,457,N,1990,
J34-S01,J34,POTR5,2.6,200,N,1987,
J34-S02,J34,POTR5,2.52,250,N,1992,
J34-S03,J34,POTR5,1.76,150,N,1998,
J34-S04,J34,POTR5,3.3,175,N,1981,
J34-S05,J34,POTR5,1.41,150,N,2001,
J34-S06,J34,POTR5,1.54,75,N,2000,
J34-S07,J34,POTR5,3.93,300,N,1976,
J34-S08,J34,POTR5,4.36,400,N,1988,
J34-S09,J34,POTR5,4.32,300,N,1994,
J34-S10,J34,POTR5,0.28,20,N,2010,
J35-S01,J35,POTR5,0.8,45,N,2007,
J35-S02,J35,POTR5,0.7,35,N,2008,
J35-S03,J35,POTR5,,12,N,,
J35-S04,J35,POTR5,,37,N,,
J35-S05,J35,POTR5,0.96,60,N,2008,
J35-S06,J35,POTR5,,32,N,,
J35-S07,J35,POTR5,0.66,25,N,2009,
J35-S08,J35,POTR5,1.52,120,N,2008,
J35-S09,J35,POTR5,0.76,65,N,2008,
J35-S10,J35,POTR5,0.9,70,N,2008,
J35-S11,J35,POTR5,0.62,80,N,2008,
J35-S12,J35,POTR5,1.3,43,N,2009,
J35-S13,J35,POTR5,0.54,44,N,2008,
J35-S14,J35,POTR5,0.7,47,N,2009,
J35-S15,J35,POTR5,0.82,38,N,2009,
J35-S16,J35,POTR5,,15,N,,
J35-S17,J35,POTR5,,15,N,,
J35-S18,J35,POTR5,,14,N,,
J35-S19,J35,POTR5,,90,N,,
J35-S20,J35,POTR5,,45,N,,
J35-S21,J35,POTR5,,60,N,,
J35-S22,J35,POTR5,,105,N,,
J35-S23,J35,POTR5,,30,N,,
J35-S24,J35,POTR5,,50,N,,
J36-S01,J36,POTR5,3.06,260,N,1988,
J36-S02,J36,POTR5,4.56,310,N,1992,
J36-S03,J36,POTR5,5.14,285,N,1989,
J36-S04,J36,POTR5,2.32,163,N,1989,
J36-S05,J36,POTR5,4.67,210,N,1987,
J36-S06,J36,POTR5,2.89,205,N,2002,
J36-S07,J36,POTR5,0.6,71,Y,2009,
J36-S08,J36,POTR5,,26,Y,2011,
J36-S09,J36,POTR5,2.72,115,Y,1995,
J36-S10,J36,POTR5,1.96,97,Y,1999,
J36-S11,J36,POTR5,1.56,104,Y,2005,
J37-S01,J37,POTR5,4.65,320,N,1989,
J37-S02,J37,POTR5,,150,N,,
J37-S03,J37,POTR5,4.85,350,N,1990,
J37-S04,J37,POTR5,2.58,145,N,1990,
J37-S05,J37,POTR5,5.86,300,N,1988,
J37-S06,J37,POTR5,3.9,210,N,1987,
J37-S07,J37,POTR5,7.32,450,N,1988,
J37-S08,J37,POTR5,3.05,200,N,1998,
J37-S09,J37,POTR5,2.8,200,N,1992,
J37-S10,J37,POTR5,2,120,N,2001,
J37-S11,J37,POTR5,4.22,300,N,1993,
J37-S12,J37,POTR5,2.72,200,N,1996,
J37-S13,J37,POTR5,2.77,220,N,1989,
J37-S14,J37,POTR5,1.52,115,N,2000,
J37-S15,J37,POTR5,3.56,270,N,1999,
J37-S16,J37,POTR5,4.38,280,N,1986,
J37-S17,J37,POTR5,2.56,220,N,1999,
J37-S18,J37,POTR5,3.76,185,N,1984,
J37-S19,J37,POTR5,,120,N,,
J37-S20,J37,POTR5,,170,N,,
J37-S21,J37,POTR5,,180,N,,
J37-S22,J37,POTR5,,140,N,,
J37-S23,J37,POTR5,,90,N,,
J37-S24,J37,POTR5,,70,N,,
J37-S25,J37,POTR5,,175,N,,
J37-S26,J37,POTR5,,150,N,,
J37-S27,J37,POTR5,,100,N,,
J38-S01,J38,POTR5,1.3,90,N,2000,
J38-S02,J38,POTR5,1.34,100,N,2003,
J38-S03,J38,POTR5,1.96,130,N,1994,
J38-S04,J38,POTR5,1.95,165,N,2002,
J38-S05,J38,POTR5,3.74,400,N,1996,
J38-S06,J38,POTR5,2.52,185,N,1998,
J38-S07,J38,POTR5,2.98,200,N,1988,
J38-S08,J38,POTR5,2.5,195,N,1999,
J38-S09,J38,POTR5,2.54,170,N,1999,
J38-S10,J38,POTR5,3.8,315,N,1998,
J39-S01,J39,POTR5,0.7,32,N,2009,
J39-S02,J39,POTR5,0.48,46,N,2006,
J39-S03,J39,POTR5,0.4,45,N,2009,
J39-S04,J39,POTR5,3.85,100,N,1989,
J39-S05,J39,POTR5,3.38,250,N,1989,
J39-S06,J39,POTR5,1.64,150,N,1996,
J39-S07,J39,POTR5,5.08,350,N,1986,
J39-S08,J39,POTR5,7.04,425,N,1989,
J39-S09,J39,POTR5,7.14,390,N,1978,
J39-S10,J39,POTR5,3.96,140,N,1984,
J40-S01,J40,POTR5,0.75,120,N,2006,
J40-S02,J40,POTR5,,5,N,,
J40-S03,J40,POTR5,,42,N,,
J40-S04,J40,POTR5,0.43,57,N,2008,
J40-S05,J40,POTR5,,45,N,2010,
J40-S06,J40,POTR5,,40,N,2010,
J40-S07,J40,POTR5,1.5,150,N,2001,
J40-S08,J40,POTR5,1.08,150,N,2005,
J40-S09,J40,POTR5,0.46,48,N,2008,
J40-S10,J40,POTR5,0.98,85,N,2005,
J40-S11,J40,POTR5,2.74,300,N,1991,
J40-S12,J40,POTR5,3.77,435,N,1999,
J40-S13,J40,POTR5,3.77,435,N,1998,
J40-S14,J40,POTR5,0.7,100,N,2004,
R01-S01,R01,POTR5,0.72,35,N,2007,
R01-S02,R01,POTR5,2.94,104,N,1994,
R01-S03,R01,POTR5,1.64,180,N,2007,
R01-S04,R01,POTR5,6.02,290,N,1978,
R01-S05,R01,POTR5,0.34,28,N,2010,
R01-S06,R01,POTR5,,235,N,,
R01-S07,R01,POTR5,1.91,175,N,1993,
R01-S08,R01,POTR5,0.65,50,N,2007,
R01-S09,R01,POTR5,,395,N,,
R01-S10,R01,POTR5,7.42,380,N,1986,
R01-S11,R01,POTR5,0.23,25,N,2011,
R01-S12,R01,POTR5,0.38,40,N,2009,
R01-S13,R01,POTR5,2.04,74,N,2002,
R01-S14,R01,POTR5,0.12,14,N,2011,
R01-S15,R01,POTR5,1.15,95,N,2004,
R01-S16,R01,POTR5,,320,N,,
R01-S17,R01,POTR5,,75,N,,
R01-S18,R01,POTR5,,46,N,,
R01-S19,R01,POTR5,,260,N,,
R01-S20,R01,POTR5,,288,N,,
R01-S21,R01,POTR5,,300,N,,
R01-S22,R01,POTR5,,230,N,,
R01-S23,R01,POTR5,,310,N,,
R01-S24,R01,POTR5,,270,N,,
R01-S25,R01,POTR5,,270,N,,
R01-S26,R01,POTR5,,255,N,,
R01-S27,R01,POTR5,,290,N,,
R01-S28,R01,POTR5,,280,N,,
R01-S29,R01,POTR5,,265,N,,
R01-S30,R01,POTR5,,240,N,,
R02-S01,R02,POTR5,5.78,420,N,1993,
R02-S02,R02,POTR5,2.68,400,N,2003,
R02-S03,R02,POTR5,1.58,140,N,2000,
R02-S04,R02,POTR5,3.72,340,N,2001,
R02-S05,R02,POTR5,2.86,250,N,1996,
R02-S06,R02,POTR5,0.6,70,N,2008,
R02-S07,R02,POTR5,1.68,160,N,1999,
R02-S08,R02,POTR5,1,45,N,2005,
R02-S09,R02,POTR5,5.78,600,N,1997,
R02-S10,R02,POTR5,4.61,600,N,1998,
R02-S11,R02,POTR5,0.8,65,N,2008,
R02-S12,R02,POTR5,3.15,300,N,1997,
R02-S13,R02,POTR5,5.23,515,N,1994,
R02-S14,R02,POTR5,3.03,300,N,1998,
R03-S01,R03,POTR5,0.63,100,N,2008,
R03-S02,R03,POTR5,1.94,145,N,2002,
R03-S03,R03,POTR5,4.01,225,N,1992,
R03-S04,R03,POTR5,1.6,155,N,2002,
R03-S05,R03,POTR5,1.72,150,N,2002,
R03-S06,R03,POTR5,1.44,145,N,2002,
R03-S07,R03,POTR5,1.82,165,N,2001,
R03-S08,R03,POTR5,1.18,110,N,1999,
R03-S09,R03,POTR5,0.7,73,N,2003,
R03-S10,R03,POTR5,2.3,220,N,2002,
R03-S11,R03,POTR5,4.42,275,N,1988,
R03-S12,R03,POTR5,0.97,95,N,2003,
R03-S13,R03,POTR5,,195,N,,
R03-S14,R03,POTR5,2.24,230,N,2001,
R03-S15,R03,POTR5,2.84,275,N,1991,
R03-S16,R03,POTR5,,150,N,,
R03-S17,R03,POTR5,,250,N,,
R03-S18,R03,POTR5,3.97,175,N,1988,
R03-S19,R03,POTR5,,320,N,,
R03-S20,R03,POTR5,,110,N,,
R03-S21,R03,POTR5,,225,N,,
R03-S22,R03,POTR5,,200,N,,
R03-S23,R03,POTR5,,230,N,,
R03-S24,R03,POTR5,,250,N,,
R03-S25,R03,POTR5,,85,N,,
R04-S01,R04,POTR5,0.68,55,N,2004,
R04-S02,R04,POTR5,1.4,125,N,2005,
R04-S03,R04,POTR5,1.11,125,N,2003,
R04-S04,R04,POTR5,3.2,200,N,1996,
R04-S05,R04,POTR5,0.93,95,N,2004,
R04-S06,R04,POTR5,0.84,80,N,2006,
R04-S07,R04,POTR5,4.5,300,N,1974,
R04-S08,R04,POTR5,0.77,100,N,2009,
R04-S09,R04,POTR5,1.1,95,N,2000,
R04-S10,R04,POTR5,2.19,110,Y,2001,
R05-S01,R05,POTR5,0.9,55,N,2005,
R05-S02,R05,POTR5,0.98,75,N,2005,
R05-S03,R05,POTR5,1.93,100,N,2003,
R05-S04,R05,POTR5,1.86,75,Y,2003,
R05-S05,R05,POTR5,1.14,105,Y,1999,
R05-S06,R05,POTR5,1.55,60,Y,2000,
R05-S07,R05,POTR5,0.81,100,Y,2007,
R05-S08,R05,POTR5,1.48,100,Y,1999,
R05-S09,R05,POTR5,1.44,140,Y,2004,
R05-S10,R05,POTR5,1.34,105,Y,2008,
R06-S01,R06,POTR5,4.62,330,N,1999,
R06-S02,R06,POTR5,8.14,415,N,1979,
R06-S03,R06,POTR5,2.86,245,N,2000,
R06-S04,R06,POTR5,3.42,180,N,1989,
R06-S05,R06,POTR5,3.37,210,N,1997,
R06-S06,R06,POTR5,1.8,176,N,2004,
R06-S07,R06,POTR5,1.4,110,N,2004,
R06-S08,R06,POTR5,2.36,220,N,1991,
R06-S09,R06,POTR5,0.51,66,N,2009,
R06-S10,R06,POTR5,,15,N,2011,
R06-S11,R06,POTR5,,33,N,2011,
R06-S12,R06,POTR5,0.5,85,N,2010,
R06-S13,R06,POTR5,4.72,280,N,1979,
R06-S14,R06,POTR5,0.78,84,N,2007,
R06-S15,R06,POTR5,0.56,92,N,2009,
R06-S16,R06,POTR5,0.6,36,N,2010,
R06-S17,R06,POTR5,3.21,155,N,1994,
R06-S18,R06,POTR5,,44,N,,
R06-S19,R06,POTR5,,17,N,,
R06-S20,R06,POTR5,,95,N,,
R06-S21,R06,POTR5,,28,N,,
R06-S22,R06,POTR5,,34,N,,
R06-S23,R06,POTR5,,95,N,,
R06-S24,R06,POTR5,,21,N,,
R06-S25,R06,POTR5,,145,N,,
R06-S26,R06,POTR5,,140,N,,
R06-S27,R06,POTR5,2.94,275,N,1992,
R06-S28,R06,POTR5,,135,N,,
R06-S29,R06,POTR5,,77,N,,
R06-S30,R06,POTR5,,190,N,,
R06-S31,R06,POTR5,,145,N,,
R06-S32,R06,POTR5,,50,N,,
R06-S33,R06,POTR5,,215,N,,
R06-S34,R06,POTR5,,210,N,,
R07-S01,R07,POTR5,5.46,457,N,1991,
R07-S02,R07,POTR5,3.43,305,N,,
R07-S03,R07,POTR5,4.04,336,N,1986,
R07-S04,R07,POTR5,0.86,120,N,2007,
R07-S05,R07,POTR5,2.94,175,N,1986,
R07-S06,R07,POTR5,1.76,135,N,1987,
R07-S07,R07,POTR5,3.03,305,N,1990,
R07-S08,R07,POTR5,0.36,70,N,,
R07-S09,R07,POTR5,,200,N,,
R07-S10,R07,POTR5,6.3,518,N,1984,
R07-S11,R07,POTR5,,300,N,,
R07-S12,R07,POTR5,2.08,200,N,1987,
R07-S13,R07,POTR5,,175,N,,
R07-S14,R07,POTR5,3.64,305,N,1990,
R07-S15,R07,POTR5,5.43,518,N,1980,
R08-S01,R08,POTR5,6.36,375,N,1974,
R08-S02,R08,POTR5,0.78,55,N,2010,
R08-S03,R08,POTR5,0.34,45,N,2011,
R08-S04,R08,POTR5,0.3,25,N,2011,
R08-S05,R08,POTR5,0.36,35,N,2010,
R08-S06,R08,POTR5,0.34,45,N,2009,
R08-S07,R08,POTR5,0.2,25,N,2011,
R08-S08,R08,POTR5,,25,N,2011,
R08-S09,R08,POTR5,0.3,15,N,2011,
R08-S10,R08,POTR5,0.34,18,N,2010,
R08-S11,R08,POTR5,2.08,70,N,1997,
R08-S12,R08,POTR5,3.98,170,N,1986,
R08-S13,R08,POTR5,3.71,75,N,1989,
R08-S14,R08,POTR5,4.14,350,N,2002,
R08-S15,R08,POTR5,1.3,100,N,2006,
R08-S16,R08,POTR5,2.33,200,N,2005,
R08-S17,R08,POTR5,,125,N,,
R09-S01,R09,POTR5,1.5,135,N,2001,
R09-S02,R09,POTR5,0.43,38,N,2011,
R09-S03,R09,POTR5,0.38,48,N,2009,
R09-S04,R09,POTR5,1.44,145,N,2003,
R09-S05,R09,POTR5,1.48,120,N,2004,
R09-S06,R09,POTR5,1.02,55,N,2008,
R09-S07,R09,POTR5,0.3,32,N,2010,
R09-S08,R09,POTR5,,70,N,,
R09-S09,R09,POTR5,1.54,160,N,2003,
R09-S10,R09,POTR5,1.2,76,N,2004,
R09-S11,R09,POTR5,1.84,95,N,2003,
R09-S12,R09,POTR5,0.32,40,N,2011,
R09-S13,R09,POTR5,2.91,110,N,1999,
R09-S14,R09,POTR5,,120,N,,
R09-S15,R09,POTR5,4.6,237,N,1985,
R09-S16,R09,POTR5,2.33,210,N,2003,
R09-S17,R09,POTR5,0.32,29,N,2011,
R09-S18,R09,POTR5,,18,N,,
R09-S19,R09,POTR5,,115,N,,
R09-S20,R09,POTR5,,66,N,,
R09-S21,R09,POTR5,,29,N,,
R09-S22,R09,POTR5,,60,N,,
R09-S23,R09,POTR5,,42,N,,
R09-S24,R09,POTR5,,129,N,,
R09-S25,R09,POTR5,,50,N,,
R09-S26,R09,POTR5,,55,N,,
R09-S27,R09,POTR5,,57,N,,
R09-S28,R09,POTR5,,100,N,,
R09-S29,R09,POTR5,,64,N,,
R09-S30,R09,POTR5,,75,N,,
R09-S31,R09,POTR5,,54,N,,
R09-S32,R09,POTR5,,185,N,,
R09-S33,R09,POTR5,,46,N,,
R09-S34,R09,POTR5,,60,N,,
R09-S35,R09,POTR5,,160,N,,
R09-S36,R09,POTR5,,80,N,,
R09-S37,R09,POTR5,,60,N,,
R09-S38,R09,POTR5,,55,N,,
R09-S39,R09,POTR5,,42,N,,
R09-S40,R09,POTR5,,35,N,,
R09-S41,R09,POTR5,,24,N,2011,
R09-S42,R09,POTR5,,52,N,,
R09-S43,R09,POTR5,,55,N,,
R09-S44,R09,POTR5,,22,N,2011,
R10-S01,R10,POTR5,5.24,450,N,1985,
R10-S02,R10,POTR5,1.28,60,N,2006,
R10-S03,R10,POTR5,,45,N,2010,
R10-S04,R10,POTR5,0.98,100,N,2006,
R10-S05,R10,POTR5,1.63,100,N,2000,
R10-S06,R10,POTR5,1.21,90,N,2001,
R10-S07,R10,POTR5,,30,N,2010,
R10-S08,R10,POTR5,2.54,185,N,1997,
R10-S09,R10,POTR5,1.6,80,N,2004,
R10-S10,R10,POTR5,4.75,155,N,2004,
R10-S11,R10,POTR5,4.22,470,N,1994,
R10-S12,R10,POTR5,2.7,150,N,1999,
R10-S13,R10,POTR5,6.1,200,N,1992,
R10-S14,R10,POTR5,,200,N,,
R10-S15,R10,POTR5,1.68,125,N,1994,
R10-S16,R10,POTR5,5.15,115,N,1999,
R10-S17,R10,POTR5,2.3,300,N,1991,
R10-S18,R10,POTR5,,200,N,,
R10-S19,R10,POTR5,,73,N,,
R10-S20,R10,POTR5,,220,N,,
R10-S21,R10,POTR5,,488,N,,
R10-S22,R10,POTR5,,235,N,,
R10-S23,R10,POTR5,,175,N,,
R10-S24,R10,POTR5,,110,N,,
R10-S25,R10,POTR5,,290,N,,
R10-S26,R10,POTR5,,275,N,,
R10-S27,R10,POTR5,,285,N,,
R10-S28,R10,POTR5,,75,N,,
R10-S29,R10,POTR5,,100,N,,
R10-S30,R10,POTR5,,100,N,,
R10-S31,R10,POTR5,,95,N,,
R10-S32,R10,POTR5,,100,N,,
R10-S33,R10,POTR5,,125,N,,
R10-S34,R10,POTR5,,280,N,,
R10-S35,R10,POTR5,,240,N,,
R10-S36,R10,POTR5,,290,N,,
R10-S37,R10,POTR5,,125,N,,
R10-S38,R10,POTR5,,235,N,,
R10-S39,R10,POTR5,,235,N,,
R10-S40,R10,POTR5,,220,N,,
R10-S41,R10,POTR5,,320,N,,
R10-S42,R10,POTR5,,320,N,,
R10-S43,R10,POTR5,,330,N,,
R10-S44,R10,POTR5,,135,N,,
R10-S45,R10,POTR5,,200,N,,
R10-S46,R10,POTR5,,195,N,,
R10-S47,R10,POTR5,,360,N,,
R10-S48,R10,POTR5,,265,N,,
R10-S49,R10,POTR5,,165,N,,
R10-S50,R10,POTR5,,335,N,,
R10-S51,R10,POTR5,,305,N,,
R10-S52,R10,POTR5,,135,N,,
R10-S53,R10,POTR5,,60,N,,
R11-S01,R11,POTR5,1.32,200,N,2003,
R11-S02,R11,POTR5,2.02,200,N,2002,
R11-S03,R11,POTR5,2.02,190,N,2003,
R11-S04,R11,POTR5,1.49,175,N,1999,
R11-S05,R11,POTR5,1.21,170,N,2002,
R11-S06,R11,POTR5,0.62,80,N,2009,
R11-S07,R11,POTR5,0.48,70,N,2009,
R11-S08,R11,POTR5,,30,N,2010,
R11-S09,R11,POTR5,0.76,85,N,2004,
R11-S10,R11,POTR5,0.93,85,N,2004,
R11-S11,R11,POTR5,,32,N,2010,
R11-S12,R11,POTR5,2.54,290,N,2001,
R11-S13,R11,POTR5,2.59,285,N,2001,
R11-S14,R11,POTR5,2.44,180,N,1989,
R11-S15,R11,POTR5,1.52,120,N,2002,
R11-S16,R11,POTR5,3.46,300,N,2000,
R11-S17,R11,POTR5,1.87,150,N,2001,
R11-S18,R11,POTR5,,180,N,,
R11-S19,R11,POTR5,,170,N,,
R11-S20,R11,POTR5,,110,N,,
R11-S21,R11,POTR5,,75,N,,
R11-S22,R11,POTR5,,270,N,,
R11-S23,R11,POTR5,,110,N,,
R11-S24,R11,POTR5,,75,N,,
R12-S01,R12,POTR5,2.34,210,N,1999,
R12-S02,R12,POTR5,1.12,115,N,2002,
R12-S03,R12,POTR5,1.28,150,N,2001,
R12-S04,R12,POTR5,2.35,210,N,1998,
R12-S05,R12,POTR5,1.78,180,N,1990,
R12-S06,R12,POTR5,2.36,200,N,1998,
R12-S07,R12,POTR5,1.24,180,N,2001,
R12-S08,R12,POTR5,1.4,220,N,2000,
R12-S09,R12,POTR5,1.8,130,N,1999,
R12-S10,R12,POTR5,0.59,60,N,2005,
R12-S11,R12,POTR5,1.96,210,N,1987,
R12-S12,R12,POTR5,2.42,160,N,1995,
R12-S13,R12,POTR5,1.62,305,N,2001,
R12-S14,R12,POTR5,3.34,305,N,1999,
R12-S15,R12,POTR5,5.28,170,N,1978,
R12-S16,R12,POTR5,,160,N,,
R12-S17,R12,POTR5,,220,N,,
R12-S18,R12,POTR5,,65,N,,
R12-S19,R12,POTR5,,230,N,,
R12-S20,R12,POTR5,,120,N,,
R12-S21,R12,POTR5,,90,N,,
R12-S22,R12,POTR5,,110,N,,
R12-S23,R12,POTR5,,120,N,,
R12-S24,R12,POTR5,,200,N,,
R13-S01,R13,POTR5,6.52,400,N,1984,
R13-S02,R13,POTR5,1.15,80,N,2004,
R13-S03,R13,POTR5,1.57,110,N,1999,
R13-S04,R13,POTR5,2.38,200,N,1998,
R13-S05,R13,POTR5,5.26,400,N,1986,
R13-S06,R13,POTR5,1.98,185,N,2004,
R13-S07,R13,POTR5,2.77,190,N,1989,
R13-S08,R13,POTR5,3.77,200,N,1990,
R13-S09,R13,POTR5,6.42,500,N,1986,
R13-S10,R13,POTR5,5.25,375,N,1990,
R13-S11,R13,POTR5,2.88,300,N,2000,
R13-S12,R13,POTR5,1.38,200,N,2004,
R13-S13,R13,POTR5,2.04,120,N,1997,
R13-S14,R13,POTR5,2.14,170,N,1998,
R13-S15,R13,POTR5,2.1,180,N,1997,
R13-S16,R13,POTR5,,95,N,,
R13-S17,R13,POTR5,,175,N,,
R13-S18,R13,POTR5,,100,N,,
R13-S19,R13,POTR5,,85,N,,
R13-S20,R13,POTR5,,45,N,,
R13-S21,R13,POTR5,,130,N,,
R14-S01,R14,POTR5,3.64,270,N,1991,
R14-S02,R14,POTR5,3.18,220,N,2000,
R14-S03,R14,POTR5,4.37,350,N,2001,
R14-S04,R14,POTR5,1.26,105,N,2002,
R14-S05,R14,POTR5,0.52,70,N,2008,
R14-S06,R14,POTR5,0.55,45,N,2009,
R14-S07,R14,POTR5,,35,N,2010,
R14-S08,R14,POTR5,1.76,120,N,2002,
R14-S09,R14,POTR5,,40,N,,
R14-S10,R14,POTR5,0.88,90,N,2006,
R14-S11,R14,POTR5,,45,N,2010,
R14-S12,R14,POTR5,1.2,80,N,2003,
R14-S13,R14,POTR5,2.13,130,N,2001,
R14-S14,R14,POTR5,2,115,N,2002,
R14-S15,R14,POTR5,1.6,150,N,2006,
R14-S16,R14,POTR5,1.24,75,N,2005,
R14-S17,R14,POTR5,,95,N,,
R14-S18,R14,POTR5,,60,N,,
R14-S19,R14,POTR5,,145,N,,
R14-S20,R14,POTR5,1.55,80,N,2000,
R14-S21,R14,POTR5,,90,N,,
R14-S22,R14,POTR5,,200,N,,
R14-S23,R14,POTR5,,95,N,,
R14-S24,R14,POTR5,,100,N,,
R14-S25,R14,POTR5,,90,N,,
R14-S26,R14,POTR5,,65,N,,
R14-S27,R14,POTR5,,60,N,,
R14-S28,R14,POTR5,,75,N,,
R14-S29,R14,POTR5,,65,N,,
R15-S01,R15,POTR5,3.74,155,N,1990,
R15-S02,R15,POTR5,6.32,400,N,1987,
R15-S03,R15,POTR5,,5,N,2011,
R15-S04,R15,POTR5,,130,N,,
R15-S05,R15,POTR5,6.44,400,N,1986,
R15-S06,R15,POTR5,1.41,70,N,2003,
R15-S07,R15,POTR5,3.15,128,N,1994,
R15-S08,R15,POTR5,2.52,145,N,1991,
R15-S09,R15,POTR5,0.5,25,N,2008,
R15-S10,R15,POTR5,7.62,370,N,1982,
R15-S11,R15,POTR5,1.12,35,N,2003,
R15-S12,R15,POTR5,7.87,410,N,1988,
R15-S13,R15,POTR5,8.78,385,N,1975,
R15-S14,R15,POTR5,5.03,157,N,1994,
R15-S15,R15,POTR5,,75,N,,
R15-S16,R15,POTR5,4.88,315,N,1989,
R15-S17,R15,POTR5,5.6,300,N,1995,
R15-S18,R15,POTR5,2.01,110,N,2001,
R15-S19,R15,POTR5,,135,N,,
R15-S20,R15,POTR5,,260,N,,
R15-S21,R15,POTR5,,270,N,,
R15-S22,R15,POTR5,,57,N,,
R15-S23,R15,POTR5,,35,N,,
