"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885"
"74","MT","ABLA","H","9N","ABLA-H-9N",0.4115,0.4155,0.363,0.339,0.39,0.2735,0.299,0.2975,0.3085,0.3175,0.3695,0.3575,0.464,0.4915,0.4695,0.786,0.481,0.646,0.506,0.9615,0.5375,0.8195,0.5975,0.64,0.772,0.7665,0.816,0.459,0.5,0.528,0.5105,0.369,0.453,0.3815,0.4505,0.482,0.5225,0.537,0.4255,0.315,0.639,0.3655,0.5065,0.707,0.655,0.517,0.69,0.8125,0.752,0.484,0.7765,0.5355,0.6985,0.578,0.7135,0.8155,0.9495,0.748,1.314,0.956,0.8465,0.5745,0.8215,0.8995,0.909,0.7715,0.737,0.6025,0.7115,0.6235,0.686,0.6055,0.618,0.5645,0.7065,0.735,0.856,1.276,1.239,1.5105,1.1165,0.522,0.618,0.7515,0.8325,1.6985,1.2925,0.9415,0.8975,0.7525,0.7705,0.7695,0.6575,0.779,1.151,1.8185,1.6905,1.569,0.673,0.868,1.201,2.9975,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","MT","ABLA","L","10C","ABLA-L-10C",0.1025,0.156,0.466,0.4175,0.612,0.448,0.5485,0.6675,0.5975,0.391,0.402,0.3665,0.333,0.3725,0.5025,0.701,0.589,0.8385,0.8705,0.991,1.065,1.235,0.564,0.8065,0.1305,0.9985,0.921,0.873,0.7695,0.9295,0.8645,0.6585,0.788,0.755,0.677,0.5815,0.391,0.5915,0.7185,0.781,0.6995,0.5715,0.4435,0.497,0.622,0.4905,0.5845,0.663,0.601,0.5595,0.701,0.599,0.4995,0.4975,0.755,0.687,0.9695,0.815,1.047,0.579,0.5055,0.619,0.7855,0.702,0.648,0.595,0.5545,0.5615,0.6195,0.8215,1.0035,1.103,0.773,0.7945,0.594,0.8025,0.693,0.807,1.019,1.0525,1.0815,1.063,1.0845,1.156,1.035,1.3135,1.201,0.843,1.3645,1.1685,0.8855,1.0845,1.337,1.247,1.389,0.9755,1.0725,1.204,1.1655,1.22,1.0105,1.0595,0.887,0.881,0.7105,1.0765,0.988,0.751,0.8165,0.9215,0.6635,0.594,0.915,0.7835,0.439,0.6015,0.7495,0.459,1.1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","MT","ABLA","L","10N","ABLA-L-10N",0.242,0.259,0.713,0.8235,1.103,0.9585,1.159,1.3045,1.475,1.4095,1.356,1.0715,1.2605,1.2425,0.801,0.915,0.849,1.043,1.0705,1.5345,1.2545,1.4055,1.251,1.1105,0.8565,1.001,1.0985,0.859,0.9355,0.948,1.2535,0.9275,1.216,1.0675,1.0615,1.1805,0.6355,0.8325,0.647,0.7085,0.904,0.99,1.211,0.807,1.05,0.814,0.82,1.03,0.922,0.682,0.837,0.548,0.445,0.686,0.546,0.529,0.976,0.99,1.064,0.983,0.705,0.783,1.196,1.158,1.166,0.994,1.0685,0.9835,0.8935,0.788,0.649,0.931,0.789,0.503,0.462,0.694,0.694,0.686,0.818,0.706,0.573,0.538,0.488,0.8,0.644,0.499,0.459,0.203,0.766,0.611,0.769,0.774,0.985,0.828,0.941,1.04,1.109,1.392,1.595,1.501,0.947,0.644,0.762,1.331,0.737,0.985,0.76,0.693,0.955,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","MT","ABLA","L","11C","ABLA-L-11C",0.121,0.471,0.6525,0.6065,0.602,0.497,0.582,0.529,0.521,0.4695,0.5255,0.3365,0.405,0.3235,0.372,0.4595,0.4,0.5395,0.531,1.009,0.791,0.8905,1.053,1.162,0.41,0.6675,0.5735,0.615,0.6975,0.7855,0.8995,0.693,0.9565,0.684,0.631,0.4825,0.294,0.4095,0.3955,0.4125,0.5875,0.5885,0.5785,0.503,0.881,0.569,0.664,0.8275,0.959,0.7025,1.161,0.6665,0.533,0.659,0.9575,0.5815,1.078,0.907,1.048,0.878,0.657,0.803,1.288,1.0565,0.8795,0.8415,0.993,0.906,0.8265,0.635,1.0985,0.9435,0.874,0.746,0.626,0.918,1.021,1.208,0.896,0.7705,0.7,0.642,0.6035,0.7515,0.817,0.9205,0.576,0.3675,0.651,0.942,1.1055,0.766,0.9885,0.9815,1.196,0.444,0.846,0.74,0.801,1.102,1.128,1.341,1.251,1.65,0.85,1.739,1.584,3.172,1.629,1.365,0.849,0.587,0.952,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","MT","ABLA","L","11N","ABLA-L-11N",0.083,0.0985,0.3135,0.453,0.714,0.547,0.627,0.7235,0.858,0.575,0.7725,0.674,0.6055,0.739,0.642,1.075,0.957,0.968,0.5795,1.4475,1.3965,1.1915,1.215,1.139,0.816,0.876,0.824,0.5705,0.4325,0.7995,1.065,0.942,0.9265,0.7495,0.9185,1.065,0.759,0.9965,0.8155,0.563,1.0925,1.15,1.004,0.8055,1.168,0.5945,0.927,1.4235,1.6225,1.0325,1.0855,0.9555,0.897,1.0495,1.2105,0.9405,1.428,1.116,1.4375,1.207,1.0005,1.198,1.687,1.531,1.5875,1.4995,1.141,1.0245,1.2435,1.1635,1.6565,1.873,1.376,0.645,0.5405,0.6415,0.54,0.7315,0.4635,0.859,0.4525,0.45,0.3695,0.7995,0.618,0.834,0.5915,0.413,0.8375,0.824,0.553,0.6215,0.8275,0.696,0.694,0.466,0.5235,0.711,0.827,1.235,1.424,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","MT","ABLA","L","12C","ABLA-L-12C",0.607333333333333,1.19633333333333,1.475,1.334,1.47533333333333,0.936333333333333,1.284,1.28533333333333,1.22,1.274,1.37233333333333,1.232,0.907666666666667,1.08966666666667,0.932666666666667,0.932666666666667,0.825666666666667,0.941,0.998,1.53533333333333,1.58333333333333,1.29766666666667,1.16866666666667,1.403,0.542333333333333,1.215,1.12366666666667,1.03933333333333,0.987333333333333,1.10333333333333,0.98,0.989,1.08666666666667,1.13333333333333,0.986,1.21333333333333,0.762333333333333,0.898333333333333,0.888,0.744333333333333,1.01566666666667,0.97,1.19133333333333,0.934333333333333,1.103,0.923333333333333,0.869333333333333,1.08033333333333,1.103,0.829,1.01666666666667,0.733,0.622,0.870666666666667,0.909,0.962666666666667,1.04466666666667,1.09466666666667,1.33666666666667,1.298,0.894333333333333,1.01033333333333,1.54,1.08733333333333,1.29466666666667,1.01,0.93,1.15266666666667,1.11366666666667,1.01933333333333,1.71133333333333,1.543,0.981,0.752666666666667,0.605333333333333,0.648666666666667,0.705,0.858333333333333,1.045,0.966333333333333,0.643,0.721,0.779,1.80766666666667,1.16666666666667,1.035,0.726,0.654,1.207,1.003,1.019,0.969,1.397,1.473,1.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MT","ABLA","L","12N","ABLA-L-12N",0.637,0.7475,0.673,0.693,0.821,0.5515,0.74,0.8655,1.191,1.133,1.5045,1.347,1.405,1.522,1.386,1.4695,1.307,1.5615,1.452,2.1685,2.168,2.288,2.2745,1.515,0.925,1.902,1.872,1.654,1.8035,2.055,2.4885,2.2165,1.915,2.235,2.5175,2.7395,1.7505,1.457,1.0255,1.0245,1.4165,1.549,1.603,1.351,1.605,1.308,1.4855,2.0115,2.136,1.4125,1.889,1.4505,1.4685,1.4135,1.0125,1.3805,1.83,1.8045,1.9975,1.113,1.531,1.624,3.2585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","MT","ABLA","L","13C","ABLA-L-13C",0.093,0.12,0.3565,0.4555,0.7925,0.6875,0.74,0.7085,0.825,0.6555,0.7175,0.559,0.538,0.6745,0.6415,0.799,0.947,1.2735,1.1405,1.477,1.1025,1.104,1.076,1.6335,1.49,1.3775,1.3485,1.004,0.985,1.479,1.482,1.3455,1.388,1.09,1.4015,1.5395,1.0695,1.1235,1,0.978,1.458,1.732,1.695,1.3475,1.608,1.2295,1.3125,1.7025,1.8665,1.639,1.9145,1.2755,1.293,1.616,1.5495,1.547,1.8815,1.685,1.8065,1.163,0.9905,1.314,2.1645,1.7255,2.414,1.8735,1.9475,1.52,1.1385,1.043,1.3915,1.023,1.941,1.513,1.196,1.438,1.877,1.877,2.034,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","MT","ABLA","L","13N","ABLA-L-13N",0.181,0.234,0.493,0.3465,0.6325,0.506,0.6645,0.527,0.5615,0.4285,0.5615,0.404,0.4865,0.485,0.4535,0.6985,0.7645,0.8465,0.762,1.4195,1.203,1.338,1.4395,1.25,0.8385,1.2305,1.1145,1.0185,1.2625,1.5595,1.6395,1.614,1.584,1.578,1.85,2.062,1.435,1.4605,1.293,1.182,1.7475,1.768,1.9335,1.8125,1.6665,1.092,1.612,1.7215,1.8645,1.7125,2.0415,1.5985,1.4075,1.842,2.0505,2.1555,1.5825,1.043,2.133,2.2,1.665,1.881,2.448,1.703,2.674,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","MT","ABLA","L","1C","ABLA-L-1C",0.278,0.281,0.662,0.6585,0.9545,0.777,1.0115,1.137,1.3295,0.9455,1.04,0.8495,0.841,1.136,0.903,1.3705,0.9835,1.163,0.9415,1.734,1.13,1.299,0.951,1.243,1.495,1.436,1.33,1.1115,1.1225,1.3765,1.3525,1.0045,1.4915,1.575,1.3025,1.6485,1.447,1.3645,0.956,0.7695,1.144,1.1875,1.249,1.003,1.22,1.065,1.041,1.3705,1.624,1.207,0.954,1.5505,1.26,1.1955,1.3005,1.278,1.121,0.691,1.462,1.172,1.108,0.803,1.454,1.334,2.222,2.044,1.752,1.656,1.323,0.816,1.656,1.602,1.709,1.398,1.523,1.759,1.904,1.751,1.46,1.716,1.093,1.119,0.624,1.22,0.755,0.835,0.743,0.516,1.597,1.082,1.056,0.71,1.093,1.012,0.945,0.671,0.62,0.771,1.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","MT","ABLA","L","1N","ABLA-L-1N",0.421,0.5645,1.415,1.264,1.9635,1.4415,1.5275,1.6915,1.742,1.398,1.6475,1.078,1.501,1.659,1.637,1.887,1.705,1.819,2.3585,2.783,1.498,1.901,1.0935,1.0985,0.454,1.1685,1.0305,1.104,1.1895,1.13,1.3295,1.1705,0.9925,0.975,1.32,1.4365,0.948,1.0325,0.8295,0.815,1.058,1.1275,1.149,1.087,1.348,1.166,1.2255,1.755,2.2305,1.41,1.599,1.517,1.487,1.508,1.749,2.042,1.848,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","MT","ABLA","L","2C","ABLA-L-2C",0.1795,0.1305,0.1065,0.172,0.3245,0.394,0.5185,0.653,0.465,0.3795,0.377,0.3385,0.291,0.4395,0.3275,0.457,0.3765,0.5805,0.3805,0.6645,0.5495,0.5375,0.609,0.851,0.6515,0.621,0.5465,0.4575,0.5085,0.6505,0.5345,0.451,0.612,0.6015,0.696,0.665,0.465,0.5075,0.549,0.4705,0.6705,0.665,0.6755,1.0765,1.1885,0.674,0.9125,1.0475,1.2565,0.908,1.1675,1.012,1.037,1.067,1.721,1.566,1.502,0.867,1.312,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","MT","ABLA","L","2N","ABLA-L-2N",0.252,0.243,0.745,0.9785,1.344,0.836,1.205,1.5335,1.629,0.972,1.214,0.6025,0.8735,1.2265,1.0595,1.273,1.0135,1.2205,0.712,1.2615,1.115,1.131,0.9505,1.3155,0.9835,1.094,1.0355,0.661,0.735,0.8995,0.889,0.692,0.799,0.624,0.6985,0.7615,0.5435,0.6555,0.597,0.5395,0.899,0.934,1.1175,1.046,0.984,0.508,0.461,1.1215,1.048,0.6295,0.7225,0.838,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","MT","ABLA","L","3C","ABLA-L-3C",0.124,0.1375,0.211,0.153,0.185,0.19,0.2845,0.274,0.3005,0.2635,0.322,0.163,0.358,0.366,0.3345,0.4665,0.343,0.6385,0.4755,0.7505,0.803,0.729,0.6665,0.835,0.6135,0.79,0.7515,0.601,0.5995,0.665,0.5795,0.6115,0.8545,0.7695,0.917,0.9275,0.6105,0.611,0.62,0.619,0.952,1.015,0.963,1.0645,1.1265,1.072,1.1265,1.356,1.5465,1.2645,1.548,1.2065,1.073,1.1025,1.1245,1.2205,1.1875,1.209,1.535,1.251,1.118,1.5275,1.84,1.4225,1.29,1.5075,1.389,1.3775,1.348,1.3895,1.791,1.6455,1.298,0.933,1.2015,1.3695,1.131,1.382,1.207,1.2065,0.7925,1.1295,1.158,1.1935,1.417,1.611,1.038,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","MT","ABLA","L","3N","ABLA-L-3N",0.5215,0.631,0.6205,0.512,0.417,0.384,0.5345,0.5755,0.5965,0.5995,0.71,0.598,0.452,0.4215,0.474,0.579,0.6105,0.727,0.6645,1.076,0.9175,1.192,1.061,1.0165,0.7905,1.1605,1.0915,1.073,1.02,1.1245,1.1105,1.0495,1.146,1.083,1.2425,1.244,1.087,1.183,0.962,0.8865,0.9605,1.044,1.36,1.7475,1.4905,1.472,1.3945,1.813,2.1555,1.7655,1.9865,1.283,1.2685,1.518,1.68,1.556,1.8385,1.7295,2.136,1.425,1.3715,1.4405,1.9615,1.595,1.9115,1.8135,1.4,0.2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","MT","ABLA","L","4C","ABLA-L-4C",0.1315,0.178,0.2295,0.235,0.259,0.2385,0.3085,0.299,0.2855,0.2115,0.412,0.364,0.38,0.4115,0.3535,0.428,0.385,0.4535,0.3215,0.543,0.4635,0.4055,0.447,0.6995,0.6105,0.5265,0.557,0.3935,0.3665,0.4555,0.55,0.466,0.5545,0.345,0.4025,0.517,0.476,0.548,0.466,0.394,0.519,0.55,0.488,0.661,0.794,0.507,0.518,0.758,0.936,0.692,0.874,0.614,0.659,0.698,0.898,0.858,0.892,0.74,1.04,0.866,0.824,1.05,1.146,0.996,0.833,0.83,0.788,0.778,0.745,0.454,0.568,0.631,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","MT","ABLA","L","4N","ABLA-L-4N",0.3275,0.4335,0.559,0.57,0.8295,0.7125,0.7855,0.6565,0.7295,0.7875,0.825,0.6615,0.65,0.646,0.5755,0.798,0.7145,0.9255,0.8685,1.428,1.2475,1.0415,1.0455,1.273,0.4435,0.972,1.0835,0.9885,1.089,0.962,0.967,0.908,1.225,0.961,0.989,1.0975,0.888,0.971,0.7185,0.608,0.8665,0.819,0.973,1.0885,1.22,0.9495,1.1765,1.599,1.8255,1.462,1.293,1.1985,0.9915,1.236,1.213,1.15,1.1715,1.2785,1.3575,0.8805,0.781,0.9655,1.6105,1.1595,1.0035,1.0365,0.7235,0.8875,0.93,0.8725,0.897,0.824,0.848,0.811,0.9215,1.0795,1.089,1.2085,0.998,0.9575,1.0155,1.3715,1.229,0.8675,1.0685,2.4975,2.3045,2.2055,2.2955,1.135,1.23,0.917,1.957,0.83,0.816,0.506,1.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MT","ABLA","L","5C","ABLA-L-5C",0.382,0.4065,1.008,1.175,1.663,1.227,1.4435,1.653,1.963,1.132,1.19,1.0735,1.1325,1.161,1.119,1.085,1.0745,1.307,0.952,1.2325,1.2375,1.058,0.845,1.2005,1.348,1.108,1.2195,1.19,1.167,1.328,1.42,1.447,1.6395,1.0525,1.35,1.45,1.065,1.152,1.0805,1.017,1.2725,1.189,1.1975,1.3725,1.952,1.1865,1.038,1.4355,1.7495,1.4315,1.7615,1.146,1.078,1.225,1.0145,1.1935,1.4285,0.849,1.5425,0.7545,1.0545,0.974,1.003,0.64,0.797,0.703,0.816,0.386,0.876,0.696,0.813,1.025,1.128,0.926,0.622,0.775,1.165,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","MT","ABLA","L","5N","ABLA-L-5N",0.323,0.3485,0.5725,0.541,0.782,0.5815,0.719,0.962,1.0095,0.9085,0.9605,0.8335,0.7525,0.789,0.7185,0.871,0.804,1.0685,0.861,1.379,1.136,1.4915,2.219,2.719,1.056,1.775,1.715,1.576,1.332,1.2845,1.765,1.605,1.7215,1.8875,1.7675,2.0345,1.456,1.635,1.2605,1.0075,1.336,1.3985,1.48,1.6265,2.223,1.3945,1.324,1.7845,2.372,1.528,2.065,1.1635,1.412,1.4665,1.4995,1.075,1.249,0.912,1.373,0.809,1.204,1.375,1.314,1.588,0.899,1.274,0.953,0.598,0.807,0.976,0.924,1.009,1.275,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","MT","ABLA","L","6C","ABLA-L-6C",0.0475,0.058,0.0785,0.161,0.177,0.1525,0.1475,0.174,0.2025,0.163,0.219,0.2425,0.197,0.284,0.3075,0.29,0.365,0.461,0.578,0.979,0.7005,0.523,0.544,0.9455,1.2045,0.732,0.6875,0.656,0.5725,0.9715,0.786,0.768,1.097,0.754,0.799,1.04,0.86,0.88,0.5995,0.699,1.068,1.1695,1.427,1.2295,1.3325,1.072,0.94,1.2535,1.195,0.8575,1.44,0.944,0.774,1.0865,1.0445,0.9415,1.23,1.225,0.981,0.812,0.8925,0.835,1.674,1.378,1.6055,1.5325,1.284,1.0805,1.1235,1.036,1.8365,1.166,0.8385,0.76,1.1365,1.545,1.405,1.6445,2.0595,2.123,2.199,1.7985,1.981,1.3495,1.5415,2.404,1.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","MT","ABLA","L","6N","ABLA-L-6N",0.323,0.406,0.719,0.671,0.7035,0.5005,0.672,0.48,0.7175,0.739,0.6605,0.643,0.485,0.6615,0.512,0.3985,0.402,0.5755,0.5845,0.7035,0.538,0.767,0.549,0.6455,0.5015,0.4755,0.3695,0.3165,0.422,0.496,0.5535,0.512,0.6425,0.499,0.4775,0.5335,0.334,0.387,0.397,0.433,0.483,0.5135,0.4865,0.6,0.744,0.8025,0.739,0.822,1.0715,0.716,1.175,0.792,0.775,0.8745,1.0675,0.9345,1.0275,1.145,1.019,0.9295,1.1065,1.3475,1.495,1.2545,1.1065,1.082,1.231,0.8485,1.1625,0.938,1.395,1.1705,0.796,0.836,0.9365,0.8695,0.8245,0.568,0.8535,0.935,0.874,0.9805,0.966,1.047,0.9215,0.793,0.872,0.58,1.192,0.8075,0.787,0.748,0.7605,0.719,0.6865,0.718,0.719,0.9525,0.6495,0.708,0.717,0.6585,0.612,0.7995,0.839,0.9165,0.74,0.5815,0.4455,0.545,0.414,0.423,0.6,0.824,0.292,0.43,0.7105,0.251,0.166,0.101,0.1955,0.212,0.0835,0.2955,0.144,0.103,0.349,0.697,1.2055
"21","MT","ABLA","L","7C","ABLA-L-7C",0.533,0.515,0.8515,0.7235,0.84,0.6875,0.943,1.053,1.111,0.921,1.3915,1.0245,1.2025,1.2885,1.4015,1.504,1.4215,1.43,1.2825,1.715,1.4015,1.475,1.4005,1.6015,0.513,1.1625,1.2145,1.085,1.1475,1.4375,1.3865,1.126,1.9305,1.4115,1.8025,2.092,1.6645,1.8725,1.297,0.891,1.391,1.543,1.959,1.867,2.183,1.2705,1.5415,2.189,2.696,1.829,2.5395,1.82,1.805,1.9825,2.066,2.151,2.408,2.488,2.3205,1.469,1.465,1.3905,2.509,2.0275,2.3005,2.175,1.909,1.6915,1.415,1.234,2.4795,2.211,1.809,1.4875,1.4655,1.6905,1.3485,1.507,1.8245,1.9335,1.686,1.371,1.16,1.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","MT","ABLA","L","7N","ABLA-L-7N",0.138,0.156,0.251,0.29,0.439,0.241,0.2875,0.6835,0.6995,0.7495,0.827,0.7945,1.014,0.6895,0.743,0.736,0.968,1.268,1.331,1.4565,1.39,1.604,1.3045,1.701,1.505,1.407,1.5475,1.3825,1.5555,1.5495,1.519,1.246,1.593,1.506,1.414,1.5735,1.221,1.447,1.1885,1.2785,1.5155,1.567,1.7955,1.639,2.0675,1.3635,1.7635,2.255,2.36,2.065,3.036,2.313,2.211,2.4645,2.4095,2.9575,2.5695,2.7775,1.9625,1.609,1.402,1.145,1.4715,1.103,1.3405,1.041,1.127,0.965,1.2835,2.0265,2.3495,1.982,1.435,0.992,1.352,1.448,1.523,1.439,1.354,1.174,1.448,1.71,1.467,2.364,1.31,2.186,1.775,1.279,0.846,1.537,2.556,2.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","MT","ABLA","L","8C","ABLA-L-8C",0.206,0.254,0.632,0.633,0.859,0.676,0.744,0.6295,0.7605,0.6345,0.671,0.4745,0.603,0.6815,0.613,0.6345,0.6345,0.6665,0.73,0.6455,0.618,0.883,0.6545,0.7445,0.549,0.585,0.4765,0.4645,0.606,0.522,0.543,0.5535,0.7215,0.69,0.717,0.7385,0.57,0.38,0.395,0.3945,0.669,0.7525,0.8045,0.767,0.8555,0.8765,0.7905,0.9785,1.1965,0.8515,1.418,1.0175,0.989,1.1435,1.1175,1.1205,1.406,1.377,1.264,1.147,1.15,1.1695,2.0075,1.644,1.9045,1.7615,1.782,1.0855,1.805,1.584,2.201,1.689,1.433,1.332,1.396,1.479,1.572,1.208,1.758,1.425,1.413,1.187,1.138,1.344,1.034,1.088,0.984,0.698,0.786,1.015,1.29,1.149,1.313,0.902,1.058,0.726,1.252,1.2,1.392,1.504,1.167,2.146,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","MT","ABLA","L","8N","ABLA-L-8N",0.14,0.182,0.695,0.63,1.0115,0.7975,0.971,0.878,0.6065,0.5945,0.648,0.386,0.3675,0.441,0.2875,0.3925,0.42,0.4165,0.4725,0.6585,0.64,0.709,0.493,0.803,0.2295,0.68,0.5995,0.4005,0.4585,0.6275,0.5385,0.544,0.642,0.5635,0.6835,0.54,0.4395,0.456,0.461,0.4305,0.5895,0.5365,0.5095,0.4905,0.781,0.528,0.578,0.6525,0.8345,0.573,0.957,0.622,0.7505,0.812,1.148,1.0625,1.0215,1.112,1.334,0.9335,1.3095,1.598,1.874,1.537,1.369,1.1895,1.0815,0.9395,1.2815,1.166,1.7175,1.4865,0.9365,0.86,0.772,1.182,0.841,0.705,1.019,0.918,0.857,0.841,0.664,0.571,0.615,0.928,1.316,1.27,1.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
