"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895"
"1","WA","TSHE","M","01C","TSHE-M-01C",1.5515,3.1705,3.073,2.5655,2.136,1.601,0.822,1.224,1.3845,0.3995,0.7545,1.218,1.2385,0.6295,0.5245,2.5995,2.814,2.555,1.8915,2.156,2.062,3.4805,2.684,2.9195,1.712,1.577,1.653,2.18,1.7265,2.4655,2.8255,2.986,4.154,3.248,2.8175,3.5015,3.236,4.1665,3.2085,4.4855,4.5025,5.364,5.285,4.8825,5.0505,3.8415,4.073,4.602,4.6445,4.2335,4.0905,4.1015,4.0855,3.758,2.8615,2.7515,1.9985,3.686,4.879,4.384,5.036,4.697,2.691,2.446,3.03,3.905,3.512,4.11,3.194,2.136,2.434,3.553,3.278,2.159,2.044,2.09,2.73,3.873,2.688,4.383,3.449,2.804,2.22,2.483,2.747,2.726,2.145,2.405,3.18,3.424,5.992,4.099,4.372,3.245,3.022,2.769,1.7,1.51,2.051,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","WA","TSHE","M","01N","TSHE-M-01N",2.078,3.221,2.943,4.523,4.247,5.927,3.564,4.981,6.281,3.558,5.14,5.507,3.498,1.999,1.54,2.486,3.141,2.628,3.503,2.941,3.109,4.688,2.693,2.843,2.498,1.958,2.477,1.311,3.223,4.879,5.341,3.756,4.476,3.909,2.016,4.009,2.42,2.731,2.172,3.023,2.151,3.06,3.207,3.566,2.358,2.547,2.348,3.102,2.851,3.401,3.83,3.158,5.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","WA","TSHE","M","10C","TSHE-M-10C",2.9985,3.4775,2.5875,2.453,2.211,3.353,3.447,3.596,3.734,2.7615,2.3695,3.093,3.284,3.9415,3.7455,4.123,3.9425,3.3125,4.308,4.5705,4.6185,3.6245,2.963,2.778,2.158,2.768,1.982,1.73,2.0515,2.748,3.262,2.4495,2.135,1.5815,1.286,1.443,1.0415,1.246,1.054,1.1775,1.155,1.3835,1.694,1.3855,1.0815,1.1175,1.024,1.218,1.311,1.6325,2.058,2.117,1.8945,1.83,1.657,1.3055,1.415,1.2605,1.6025,1.405,1.841,1.677,1.276,1.862,2.578,2.579,2.518,2.6155,2.2455,2.5805,2.6465,3.786,3.851,3.6545,2.6245,1.9555,3.286,3.2465,1.875,3.5725,1.4545,2.636,2.903,3.036,3.644,3.52,3.194,4.07,1.916,0.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","WA","TSHE","M","10N","TSHE-M-10N",1.126,1.438,1.54,1.379,1.189,2.057,3.086,3.373,1.757,1.218,1.237,0.648,1.144,1.221,1.261,0.661,1.767,2.214,1.858,1.797,2.347,2.485,1.551,1.772,1.493,1.966,0.805,1.552,1.412,1.68,2.066,1.767,2.489,1.597,1.514,1.635,2.106,2.502,2.008,2.629,2.322,2.91,2.779,2.423,2.066,1.87,2.034,1.839,1.928,3.089,3.972,2.627,3.445,3.435,3.898,4.316,5.963,2.63,3.994,3.831,3.193,2.698,1.94,3.051,4.037,5.879,4.612,2.896,2.312,2.421,2.297,0.326,2.01,2.057,2.369,0.996,2.887,3.318,2.564,4.009,3.122,2.715,2.724,2.61,2.977,3.231,3.331,3.032,3.209,3.289,3.793,3.228,4.467,4.041,3.76,2.625,3.198,3.123,4.606,3.731,0.502,4.606,3.731,0.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","WA","TSHE","M","11C","TSHE-M-11C",0.9645,1.0815,1.0095,1.2205,0.93,0.9775,1.1565,0.928,0.979,0.9475,1.096,1.252,1.478,1.325,1.6425,1.6525,1.4505,1.119,1.0135,1.257,1.576,1.2105,1.1295,1.0655,0.974,1.68,1.528,1.8965,1.598,2.4755,3.3345,2.0585,2.9335,2.8125,2.456,2.1185,1.363,1.527,1.1235,1.528,0.895,1.1235,1.9145,1.714,1.267,1.433,1.121,1.2285,1.4795,1.728,1.553,1.7035,1.2625,1.2665,1.281,1.201,0.884,0.798,1.4425,1.253,1.6435,1.8485,1.1805,0.9055,0.7525,1.039,0.898,1.1205,1.0475,0.899,1.025,1.5555,1.3835,1.96,2.0075,1.547,1.859,1.7405,1.456,1.456,1.005,0.4515,0.7085,0.624,1.3235,1.263,1.29,1.1945,1.851,1.688,1.0925,1.2625,1.531,1.3875,1.515,0.973,0.779,1.2215,1.1735,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WA","TSHE","M","11N","TSHE-M-11N",1.824,2.24,1.4875,1.4945,1.0165,1.26,1.2885,2.2535,2.4295,1.4485,2.1685,1.7655,1.9255,2.3275,2.3395,2.2445,2.056,2.0435,2.0655,2.226,2.048,2.2465,1.587,1.677,1.7425,2.4205,2.092,1.7955,1.9295,2.36,2.642,1.8745,2.031,2.028,1.685,1.987,1.663,1.579,1.3475,1.704,1.528,1.2465,1.582,1.653,0.8705,1.2075,0.8395,0.9285,1.1105,1.636,1.4405,1.2805,1.1675,1.157,0.8685,0.9815,1.275,0.8455,1.224,0.937,1.1075,1.3045,0.931,0.8915,0.945,1.4595,1.463,1.492,0.9675,1.164,1.134,1.459,1.1955,1.3145,1.3915,1.146,1.2615,1.5875,1.0005,1.1965,1.3555,0.8595,1.0245,1.1225,1.2175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WA","TSHE","M","2C","TSHE-M-2C",1.409,2.857,1.368,1.264,0.876,1.453,1.155,2.0075,2.3145,2.3575,2.2745,2.9275,3.023,3.003,2.5305,2.5405,2.012,2.213,2.3445,2.0065,1.777,1.554,1.383,1.711,1.385,1.8615,2.043,2.08,2.615,3.038,2.9955,2.4945,3.067,2.386,2.7175,2.532,2.5035,3.3105,2.235,2.076,2.404,2.965,2.67385,2.67835,2.96135,2.4245,2.393,2.277,2.506,2.4575,3.355,1.606,1.763,1.462,1.395,1.481,1.206,1.882,2.206,1.953,2.327,1.93,1.294,1.527,1.867,1.772,1.4,1.353,1.476,1.299,1.113,2.199,1.947,2.274,1.817,1.757,3.181,3.117,2.393,3.08,2.125,2.037,2.748,3.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WA","TSHE","M","2N","TSHE-M-2N",1.102,1.4905,1.684,1.7245,1.338,1.491,1.13,1.279,1.215,1.001,0.9315,1.2165,1.459,1.818,1.9015,2.1735,2.7035,2.751,3.0455,2.9455,3.716,3.4005,2.981,2.063,1.661,2.158,2.007,2.162,2.4645,2.7715,2.558,2.7145,3.3445,2.047,1.503,1.832,1.6315,1.9815,2.2105,2.8505,2.9055,2.9695,2.7955,3.367,3.2515,4.57,4.4395,3.7885,2.4345,1.1855,0.9265,1.12,1.1735,1.0415,0.799,0.776,0.942,0.9835,1.0705,0.779,0.8335,1,0.818,0.903,0.785,1.274,1.0115,0.895,1.0345,1.157,1.008,1.319,1.2945,1.795,2.3145,1.969,2.6685,2.778,1.906,2.224,3.867,3.419,1.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WA","TSHE","M","3C","TSHE-M-3C",1.852,2.404,1.9485,1.6375,2.152,2.9795,3.3345,3.007,2.387,1.5275,1.9725,2.25,2.716,1.7675,1.426,2.1015,2.6265,2.549,2.3865,1.772,1.9965,3.259,3.347,2.0605,1.611,1.848,1.542,1.487,1.5765,2.0355,2.289,1.962,2.804,2.107,1.7325,1.9885,1.9235,2.187,1.685,1.7305,1.9795,2.3545,2.057,1.888,1.6045,1.6455,1.6095,1.821,1.9885,2.412,2.513,2.5365,2.3595,1.885,1.6345,2.0345,1.724,1.303,2.4935,2.4,2.686,2.149,1.8845,2.1035,2.096,2.5715,1.9735,1.761,1.669,1.796,1.426,2.052,2.2535,1.8005,1.842,1.064,1.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","WA","TSHE","M","3N","TSHE-M-3N",2.538,2.708,2.6405,2.295,2.7195,1.7605,1.927,1.9325,1.697,1.042,1.2435,1.6545,1.8895,1.919,1.97,2.1165,2.1995,1.4025,1.715,1.7555,1.4645,1.3365,1.03,1.155,0.799,0.7075,0.806,0.8085,1.047,1.481,1.1495,0.9805,1.9835,2.2675,1.5435,1.7165,1.5805,2.112,1.4455,1.669,1.146,1.796,2.37,2.383,1.8495,1.9955,2.0875,2.4685,2.1735,2.921,2.683,3.177,2.779,2.0785,1.9305,1.505,1.392,1.0255,1.349,1.4155,1.497,1.0945,1.226,1.449,1.0835,1.434,0.9445,1.4465,1.697,1.8425,1.767,2.2505,2.3325,2.126,1.815,1.7145,2.1635,1.9675,1.643,1.55,1.317,1.122,0.898,1.523,2.984,2.5785,3.217,4.6885,4.306,2.4895,3.86,5.366,5.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","WA","TSHE","M","4C","TSHE-M-4C",0.4965,1.5845,0.9835,1.311,0.9505,1.7305,1.425,1.487,1.318,1.262,1.6205,2.511,3.7245,2.8035,3.241,3.408,3.232,1.9065,2.3915,1.9605,1.3275,2.421,2.5405,2.4365,1.44,1.6485,1.302,1.527,1.341,2.0375,2.0525,2.5335,2.809,2.338,1.4985,2.808,2.2415,3.309,2.766,3.3795,2.965,3.7535,3.3445,2.8965,2.9545,2.2515,3.597,3.192,4.417,3.434,2.6295,1.5755,1.7145,1.7265,1.387,1.3775,1.9535,1.8895,2.676,2.657,2.376,1.936,1.388,1.623,1.515,1.487,1.904,2.39,2.065,1.888,1.754,2.197,1.373,1.24,1.133,1.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","WA","TSHE","M","4N","TSHE-M-4N",1.597,1.8015,1.3365,1.3215,0.835,1.2905,1.3105,1.058,1.136,1.099,0.693,1.2575,1.3955,1.343,1.3105,1.8405,2.157,1.1635,1.468,1.2775,1.079,1.394,1.6055,1.227,1.3015,1.423,1.306,1.4235,1.506,2.169,2.326,2.267,3.0115,3.4055,2.9275,3.278,3.2395,3.729,2.7895,3.4115,3.3875,3.948,3.6605,3.702,3.2405,2.3095,2.8475,2.179,2.1755,2.0775,2.5865,1.9275,1.748,1.592,1.333,1.227,1.439,1.439,2.275,2.4295,1.8815,1.526,1.5385,1.789,1.266,1.768,2.0215,2.089,1.8425,1.632,1.561,2.109,2.233,2.2225,2.031,1.7605,2.197,2.6145,1.9915,2.539,1.5235,1.425,1.346,1.4215,1.7115,1.8745,2.2245,1.7385,1.6785,1.7405,2.421,2.1645,2.339,2.614,2.2875,2.8875,5.328,5.017,5.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","WA","TSHE","M","5C","TSHE-M-5C",4.171,4.5915,3.79,4.0735,2.624,3.1265,3.2085,1.898,1.545,1.8,1.689,2.4475,2.0965,2.947,2.3815,2.836,2.792,2.398,1.8295,1.9815,2.0265,1.527,1.4315,1.1665,1.27,1.9145,1.3935,1.0415,1.279,2.1355,1.8215,1.0385,1.4125,1.2875,1.3625,1.668,2.118,1.892,1.546,1.733,1.139,1.4465,1.8655,2.217,1.408,1.1315,1.6575,1.4275,1.7505,1.7335,2.0315,1.623,1.5735,2.771,2.116,1.6875,1.791,1.5225,2.7265,3.114,2.2885,1.8775,1.3375,1.627,1.407,1.344,1.196,1.639,1.61,1.811,1.478,1.4005,2.8075,1.1675,0.7885,0.695,0.821,0.694,0.966,0.609,0.819,0.82,0.547,0.798,0.945,0.651,1.031,0.901,0.857,1.044,1.313,1.334,1.178,1.198,1.521,1.044,1.83,1.501,1.819,1.359,1.687,1.772,2.043,2.061,1.497,1.718,1.92,1.953,2.118,1.685,1.713,1.223,2.141,1.583,0.156,1.389,1.53,NA,NA
"14","WA","TSHE","M","5N","TSHE-M-5N",2.7425,2.9755,2.009,1.7965,1.579,1.6615,1.7245,2.593,2.569,1.331,1.377,1.6335,1.8945,2.2145,2.0255,1.9395,2.5245,1.926,1.3705,1.4405,1.814,1.7245,1.3135,1.8615,1.4405,1.997,2.0105,1.655,1.6775,2.3475,2.1465,1.728,2.8535,2.3395,1.7325,2.0915,1.467,1.3495,1.017,1.4125,1.1595,1.3005,1.7365,1.7635,0.877,1.25,1.44,1.145,1.19,1.3085,1.4285,1.295,1.7685,1.612,1.495,1.96,1.5805,1.067,2.4075,2.1235,1.8515,1.646,1.332,1.412,1.268,1.0515,1.155,1.2965,1.072,0.8925,0.6845,1.622,1.3305,1.271,1.5785,1.3055,1.5195,1.3395,0.982,1.6525,1.463,1.1075,0.8765,1.833,2.1905,2.3495,2.1245,2.581,3.0255,3.226,3.881,3.9495,3.5255,4.699,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","WA","TSHE","M","6C","TSHE-M-6C",0.063,0.189,0.486,0.399,0.401,0.433,0.268,0.3175,0.272,0.213,0.2845,0.337,0.2865,0.5005,0.2915,0.488,0.691,0.7895,0.683,0.4755,0.7715,0.7225,0.8445,1.238,0.808,0.729,1.3605,1.869,1.288,2.1485,2.564,1.831,2.7435,3.0355,1.6825,1.9575,1.0995,1.3385,0.9795,1.354,0.945,1.2075,1.339,1.219,0.7395,0.832,0.8855,1.2115,0.899,0.8585,0.995,1.5095,1.3155,1.5805,1.38,1.744,1.883,1.1035,2.196,2.392,2.702,2.569,1.978,2.635,2.767,3.9085,3.159,4.6535,4.039,3.6895,3.8075,5.009,5.3315,4.5315,4.4965,3.825,6.344,5.599,2.383,3.971,3.619,3.393,3.4515,3.28,4.119,4.963,1.5295,1.418,1.163,1.439,1.122,0.655,0.845,0.762,0.38,0.719,1.073,0.885,1.116,1.432,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WA","TSHE","M","6N","TSHE-M-6N",3.3585,3.762,3.247,2.9275,2.011,2.365,2.1735,2.4485,2.008,2.0635,1.6505,1.7555,1.9455,2.1995,1.962,1.6085,1.478,1.3515,2.005,1.325,1.786,1.8915,1.49,1.088,0.707,0.9395,0.9505,1.1195,0.978,1.2845,1.3385,1.285,2.215,2.695,2.217,3.1235,1.7605,2.0585,1.4375,1.9545,1.389,1.482,1.808,1.7275,1.024,1.5155,1.4565,1.6725,1.3295,1.5595,1.8385,2.145,2.365,2.431,2.5285,1.8515,1.8935,1.7045,2.7535,3.239,2.821,2.35,2.373,2.3445,2.1705,2.94,3.062,3.472,2.979,3.4545,3.254,3.835,4.262,2.822,3.808,2.196,2.459,2.166,1.839,2.105,1.984,1.54,1.35,1.162,1.739,1.635,1.856,1.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WA","TSHE","M","7C","TSHE-M-7C",0.8315,1.563,1.139,1.162,1.0865,0.995,0.999,1.5045,1.5305,0.61,1.0585,1.3545,1.6735,1.0875,1.0115,3.2135,4.179,2.337,2.051,1.8455,1.509,1.3835,1.236,1.677,1.4955,2.0125,1.624,1.424,1.4545,1.971,2.52,2.711,3.3235,2.7825,1.5095,2.0355,2.007,1.626,1.018,1.0925,1.266,1.7125,1.461,1.3945,1.275,0.9575,1.668,1.9795,1.9505,2.0335,2.019,1.9535,1.639,1.189,1,1.2925,1.3445,1.4825,2.385,2.5075,2.25,1.9115,1.484,1.568,1.603,1.8505,1.7805,1.981,1.7645,1.4325,1.3435,2.135,2.5735,1.8475,1.5825,1.867,1.7065,3.5925,2.0445,2.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","WA","TSHE","M","7N","TSHE-M-7N",0.351,0.7725,1.2,0.592,0.6995,0.606,0.531,0.556,0.512,0.048,0.2495,0.8615,0.9765,0.9505,0.794,1.711,1.329,1.169,0.9975,0.99,1.6595,1.633,1.327,1.6915,0.928,1.719,1.355,0.9865,1.4085,1.7465,1.785,1.3375,2.3235,2.024,1.3675,1.564,1.8665,2.23,1.8245,1.779,1.768,1.7995,2.061,2.176,1.5445,2.178,2.4895,3.038,2.474,1.879,1.884,1.684,1.7315,1.6005,1.813,1.9495,2.177,2.114,2.531,1.9295,1.9685,1.6335,1.7465,0.7995,0.8925,1.154,1.243,1.7775,2.0545,1.829,1.371,1.605,1.4775,1.587,1.5385,1.4215,0.949,1.173,3.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","WA","TSHE","M","8C","TSHE-M-8C",3.085,3.444,3.2635,2.863,1.9655,3.205,2.9725,4.5865,3.6235,2.8845,1.559,1.894,1.9865,2.007,2.0105,3.29,3.3825,3.828,5.0365,4.673,2.322,3.2915,2.5505,1.6545,1.309,1.517,1.0355,1.2015,0.8825,1.55,1.5345,1.2925,1.8085,1.616,1.3,1.3555,1.219,1.968,1.0625,1.66,1.165,2.015,2.2125,2.915,2.2365,2.554,4.1785,3.8405,4.755,5.162,4.4815,3.4595,3.389,3.3285,2.675,2.4925,2.658,2.4935,3.448,4.7695,4.1425,3.2535,1.9055,2.669,2.861,2.8545,2.411,4.414,3.276,2.572,2.358,3.549,3.692,3.548,3.025,2.124,2.253,2.091,1.911,0.987,2.049,2.834,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","WA","TSHE","M","8N","TSHE-M-8N",0.7205,1.1105,0.957,1.421,0.7985,1.4305,1.5005,2.2085,1.9875,0.9785,0.902,1.485,1.8,1.0915,1.29,1.5625,1.689,1.4525,1.7175,1.551,1.223,2.423,2.0205,2.139,1.5055,2.243,1.8445,1.8475,1.495,3.4955,3.4605,2.8475,3.745,2.708,1.536,2.3895,2.5475,2.57,2.2185,3.7795,4.0285,3.8115,3.0455,2.535,2.5145,2.2575,3.3265,3.3405,4.3485,4.026,2.953,2.9915,2.808,2.151,1.0575,1.121,1.1735,1.2055,1.501,1.615,1.272,1.8275,1.0415,1.7225,1.7525,1.9765,1.748,2.0415,2.095,2.486,1.5805,2.3545,2.399,3.6685,3.39,2.9865,4.062,3.3675,2.4235,4.453,3.4055,2.9395,2.7495,2.7455,2.999,3.4475,2.683,2.728,2.5695,2.689,2.883,2.966,2.8675,3.2085,3.349,2.992,2.5785,2.5005,3.4295,3.711,1.9015,4.392,3.561,4.356,4.407,2.815,2.637,2.331,0.665,0.942,2.084,2.196,0.073,NA,NA,NA,NA,NA,NA
"21","WA","TSHE","M","9C","TSHE-M-9C",0.8005,0.9175,0.991,0.942,1.011,0.703,0.7395,0.722,0.6155,0.487,0.629,0.8185,0.861,0.889,0.964,1.0045,1.1615,0.922,0.9715,1.141,1.144,1.074,0.926,1.073,1.027,1.635,1.264,1.2965,1.349,1.8305,1.5055,1.338,1.471,1.413,0.972,1.327,1.275,1.4815,1.282,1.9185,1.747,2.2,2.2235,2.076,1.98,1.7085,1.8405,1.974,1.608,2.331,2.6945,2.3815,2.0975,2.107,1.5865,1.874,2.289,1.9805,2.6435,2.4485,2.885,2.5155,2.003,2.299,1.812,2.494,2.127,2.4535,1.737,1.8225,2.4655,3.4795,3.305,2.5595,2.678,1.49,2.0255,1.9895,1.295,1.7535,1.6025,1.5805,1.359,1.446,2.0395,2.7485,2.6305,0.684,1.8985,1.6525,2.948,2.3365,4.0255,3.04,3.07,2.2815,1.0345,3.003,3.512,4.082,4.358,3.911,3.554,4.104,3.935,3.694,3.713,3.565,3.007,1.113,2.123,2.161,0.688,NA,NA,NA,NA,NA,NA
"22","WA","TSHE","M","9N","TSHE-M-9N",0.9515,1.2495,0.9675,0.893,0.76,1.225,1.0145,1.17,0.992,0.6435,0.771,1.014,1.0555,1.1395,0.7175,1.2155,1.2375,1.295,1.0425,1.043,0.978,1.241,1.22,1.09,0.8455,0.9395,1.066,0.9545,0.9655,1.44,1.7515,1.723,2.167,1.648,1.415,1.674,1.6535,1.9865,1.368,1.838,1.66,2.064,1.7945,1.5945,1.481,0.9785,1.507,1.603,1.6565,1.856,2.0655,1.8225,1.6425,1.351,1.056,1.7755,1.816,1.498,2.812,3.031,3.2715,3.232,1.964,2.234,2.292,2.5685,2.158,2.4095,2.6965,2.2465,2.169,3.489,3.7215,2.6805,2.8185,1.8955,3.1055,3.9645,2.3745,3.7755,3.303,2.7685,2.8245,2.276,3.0955,3.4375,3.3525,1.7415,2.619,2.149,2.512,3.323,5.09,3.863,4.753,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
