year,month,tmax,tmin,prec
2002.00,4.00,31.93,3.63,16.80
2002.00,5.00,34.27,-1.97,14.80
2002.00,6.00,45.28,14.62,20.60
2002.00,7.00,57.86,25.24,35.80
2002.00,8.00,65.00,29.23,35.50
2002.00,9.00,79.83,36.83,42.90
2002.00,10.00,83.26,42.16,40.90
2002.00,11.00,78.20,37.60,44.10
2002.00,12.00,67.06,32.77,25.40
2003.00,1.00,61.77,27.27,25.70
2003.00,2.00,39.50,16.61,51.20
2003.00,3.00,33.42,7.29,103.70
2003.00,4.00,39.23,14.73,39.20
2003.00,5.00,32.52,6.31,23.50
2003.00,6.00,45.20,19.50,21.50
2003.00,7.00,52.65,21.10,26.50
2003.00,8.00,63.90,29.73,84.90
2003.00,9.00,71.07,34.47,44.80
2003.00,10.00,82.76,42.55,11.30
2003.00,11.00,76.53,41.73,35.70
2003.00,12.00,67.03,31.26,27.90
2004.00,1.00,55.45,27.32,31.40
2004.00,2.00,43.07,16.61,20.50
2004.00,3.00,33.56,6.41,16.60
2004.00,4.00,33.63,6.00,37.40
2004.00,5.00,36.10,6.13,24.10
2004.00,6.00,51.85,20.00,63.80
2004.00,7.00,53.20,24.20,100.40
2004.00,8.00,64.16,30.06,65.80
2004.00,9.00,68.90,35.77,79.60
2004.00,10.00,73.90,39.45,30.00
2004.00,11.00,71.50,37.07,47.80
2004.00,12.00,64.55,32.23,20.30
2005.00,1.00,57.07,26.30,39.20
2005.00,2.00,41.32,14.89,21.30
2005.00,3.00,28.06,5.32,26.60
2005.00,4.00,37.38,12.07,24.90
2005.00,5.00,38.68,9.32,43.10
2005.00,6.00,42.00,13.17,80.10
2005.00,7.00,52.19,21.61,26.70
2005.00,8.00,63.29,28.84,76.20
2005.00,9.00,70.37,34.83,30.70
2005.00,10.00,81.06,40.10,38.10
2005.00,11.00,72.73,37.67,44.00
2005.00,12.00,70.77,31.80,79.00
2006.00,1.00,50.10,22.45,39.30
2006.00,2.00,42.89,15.82,18.90
2006.00,3.00,32.48,6.32,27.60
2006.00,4.00,34.03,3.63,17.00
2006.00,5.00,35.74,3.29,31.90
2006.00,6.00,41.87,12.17,12.10
2006.00,7.00,57.03,22.77,57.70
2006.00,8.00,63.97,29.26,46.20
2006.00,9.00,75.83,35.53,34.90
2006.00,10.00,77.55,43.65,40.90
2006.00,11.00,74.40,40.40,34.30
2006.00,12.00,61.87,29.42,41.20
2007.00,1.00,56.74,24.61,26.00
2007.00,2.00,46.66,14.38,33.90
2007.00,3.00,26.97,7.55,21.80
2007.00,4.00,31.03,-0.07,3.70
2007.00,5.00,34.29,8.87,30.70
2007.00,6.00,49.23,17.43,10.10
2007.00,7.00,52.94,23.45,20.30
2007.00,8.00,60.84,27.65,78.20
2007.00,9.00,74.83,34.87,58.30
2007.00,10.00,80.26,41.84,30.90
2007.00,11.00,76.67,42.03,10.70
2007.00,12.00,68.48,32.97,77.10
2008.00,1.00,56.52,22.81,58.10
2008.00,2.00,42.00,16.46,60.10
2008.00,3.00,30.16,8.58,21.70
2008.00,4.00,27.19,2.45,26.30
2008.00,5.00,32.27,5.17,36.90
2008.00,6.00,38.30,8.30,16.60
2008.00,7.00,47.19,14.81,36.10
2008.00,8.00,58.77,26.71,54.50
2008.00,9.00,71.27,32.07,73.40
2008.00,10.00,78.52,39.39,15.40
2008.00,11.00,74.47,37.90,26.80
2008.00,12.00,67.45,29.74,60.10
2009.00,1.00,67.32,31.10,60.20
2009.00,2.00,49.11,22.82,23.30
2009.00,3.00,45.77,14.39,18.90
2009.00,4.00,29.41,5.10,13.10
2009.00,5.00,62.71,32.71,44.30
2009.00,6.00,37.23,8.43,56.00
2009.00,7.00,44.48,12.19,54.80
2009.00,8.00,49.39,19.23,14.90
2009.00,9.00,61.47,31.13,24.60
2009.00,10.00,66.74,34.71,12.80
2009.00,11.00,73.90,38.43,5.40
2009.00,12.00,74.03,35.26,43.70
2010.00,1.00,72.42,31.68,16.60
2010.00,2.00,60.61,28.50,8.20
2010.00,3.00,40.87,13.10,3.60
2010.00,4.00,33.47,13.00,49.90
2010.00,5.00,30.94,3.06,7.20
2010.00,6.00,30.97,5.00,41.10
2010.00,7.00,41.39,10.03,54.90
2010.00,8.00,49.26,19.03,62.20
2010.00,9.00,54.33,24.80,18.20
2010.00,10.00,72.06,34.58,60.20
2010.00,11.00,77.47,39.47,41.80
2010.00,12.00,74.58,40.81,65.40
2011.00,1.00,66.97,33.35,44.50
2011.00,2.00,58.28,26.59,57.60
2011.00,3.00,38.48,11.68,82.70
2011.00,4.00,31.50,1.50,84.30
2011.00,5.00,27.34,5.63,58.10
2011.00,6.00,30.73,-0.57,31.30
2011.00,7.00,40.48,15.10,72.80
2011.00,8.00,44.23,21.65,52.70
2011.00,9.00,51.77,23.97,45.10
2011.00,10.00,70.68,33.00,43.10
2011.00,11.00,76.40,41.77,29.10
2011.00,12.00,77.19,39.81,8.30
2012.00,1.00,73.45,35.42,24.50
2012.00,2.00,61.18,27.57,37.40
2012.00,3.00,49.90,20.19,16.20
2012.00,4.00,40.77,14.13,31.70
2012.00,5.00,29.50,0.86,14.10
2012.00,6.00,34.19,8.62,0.30
2012.00,7.00,39.26,7.32,81.80
2012.00,8.00,55.19,21.19,27.20
2012.00,9.00,60.53,25.93,44.80
2012.00,10.00,69.61,32.06,32.80
2012.00,11.00,79.27,40.63,4.10
2012.00,12.00,77.45,40.84,26.40
2013.00,1.00,73.81,41.77,21.00
2013.00,2.00,60.48,26.93,28.70
2013.00,3.00,45.48,17.87,16.10
2013.00,4.00,30.60,8.53,73.00
2013.00,5.00,26.90,-0.32,55.20
2013.00,6.00,31.79,1.21,3.40
2013.00,7.00,36.35,6.45,65.40
2013.00,8.00,40.48,14.68,70.50
2013.00,9.00,49.60,19.93,92.10
2013.00,10.00,67.77,31.35,33.30
2013.00,11.00,76.50,39.43,21.20
2013.00,12.00,72.74,38.77,54.10
2014.00,1.00,67.13,35.74,53.60
2014.00,2.00,64.25,32.00,77.30
2014.00,3.00,53.81,21.61,25.80
2014.00,4.00,36.31,11.48,31.10
2014.00,5.00,25.53,6.81,30.90
2014.00,6.00,29.73,4.77,5.20
2014.00,7.00,39.84,13.97,101.20
2014.00,8.00,43.65,15.55,75.30
2014.00,9.00,50.73,23.97,69.90
2014.00,10.00,67.90,31.94,11.60
2014.00,11.00,75.10,37.76,39.70
2014.00,12.00,73.39,39.84,49.60
2015.00,1.00,73.06,35.81,10.50
2015.00,2.00,68.52,32.28,28.20
2015.00,3.00,49.71,21.65,8.00
2015.00,4.00,34.60,9.50,24.80
2015.00,5.00,27.90,4.73,113.40
2015.00,6.00,38.47,10.87,19.60
2015.00,7.00,38.23,8.06,76.90
2015.00,8.00,53.26,19.58,43.30
2015.00,9.00,52.67,25.17,21.80
2015.00,10.00,62.19,33.29,24.20
2015.00,11.00,75.40,40.77,48.50
2015.00,12.00,74.43,39.77,32.60
2016.00,1.00,70.60,34.37,38.00
2016.00,2.00,62.61,29.00,16.80
2016.00,3.00,58.84,25.00,43.30
2016.00,4.00,35.43,8.73,28.40
2016.00,5.00,29.94,3.50,12.00
2016.00,6.00,31.03,4.73,25.20
2016.00,7.00,42.97,13.74,29.80
2016.00,8.00,43.29,15.61,57.00
2016.00,9.00,50.47,24.20,30.70
2016.00,10.00,65.65,31.48,20.60
2016.00,11.00,76.23,38.73,11.60
2016.00,12.00,77.37,40.33,70.40
2017.00,1.00,75.00,36.74,78.60
2017.00,2.00,61.04,26.96,39.10
2017.00,3.00,51.87,20.13,16.00
2017.00,4.00,42.17,15.57,37.40
2017.00,5.00,31.06,8.74,46.90
2017.00,6.00,33.90,10.23,17.40
2017.00,7.00,39.42,11.06,69.30
2017.00,8.00,51.74,22.35,74.90
2017.00,9.00,55.33,25.43,12.50
2017.00,10.00,63.45,30.65,43.90
2017.00,11.00,75.77,38.07,32.50
2017.00,12.00,74.39,40.55,27.40
2018.00,1.00,72.93,35.70,21.20
2018.00,2.00,66.39,31.14,36.20
2018.00,3.00,45.81,19.74,22.10
2018.00,4.00,32.00,3.93,32.80
2018.00,5.00,32.00,2.97,23.90
2018.00,6.00,36.23,11.30,6.10
2018.00,7.00,36.42,6.58,37.20
2018.00,8.00,44.80,20.20,28.30
2018.00,9.00,55.17,23.52,14.70
2018.00,10.00,70.45,31.39,33.90
2018.00,11.00,77.55,39.03,63.80
2018.00,12.00,78.29,40.06,18.10
2019.00,1.00,76.06,37.26,32.00
2019.00,2.00,68.17,27.90,44.40
2019.00,3.00,44.77,10.90,69.70
2019.00,4.00,38.93,12.70,52.20
2019.00,5.00,29.52,1.13,24.40
2019.00,6.00,30.70,3.47,70.50
2019.00,7.00,32.48,6.68,32.00
2019.00,8.00,42.52,14.42,12.30
2019.00,9.00,50.37,24.40,17.10
2019.00,10.00,60.48,28.81,35.80
2019.00,11.00,70.60,36.33,20.60
2019.00,12.00,77.30,41.97,29.70
2020.00,1.00,78.84,38.94,19.60
2020.00,2.00,71.73,31.08,85.20
2020.00,3.00,63.88,27.00,23.90
2020.00,4.00,43.73,19.40,31.90
2020.00,5.00,31.74,6.82,11.20
2020.00,6.00,28.41,5.89,46.10
2020.00,7.00,34.84,5.13,7.70
2020.00,8.00,44.81,20.23,5.80
2020.00,9.00,51.07,21.50,10.10
2020.00,10.00,67.37,31.53,0.80
2020.00,11.00,71.45,34.32,8.20
2020.00,12.00,77.52,39.58,16.90
