age_CE,085011_raw,085012_raw,085021_raw,085022_raw,085031_raw,085032_raw,085041_raw,085042_raw,085051_raw,085052_raw,085011_raw_outlier_flag,085012_raw_outlier_flag,085021_raw_outlier_flag,085022_raw_outlier_flag,085031_raw_outlier_flag,085032_raw_outlier_flag,085041_raw_outlier_flag,085042_raw_outlier_flag,085051_raw_outlier_flag,085052_raw_outlier_flag
1653,NA,NA,0.64,0.88,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1654,NA,NA,0.24,0.28,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1655,NA,NA,0.67,0.84,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1656,NA,NA,0.8,1.56,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1657,NA,NA,0.65,0.92,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1658,NA,NA,0.73,1.13,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1659,NA,NA,0.74,1.08,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1660,NA,NA,0.92,1.46,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1661,NA,NA,0.87,1.33,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1662,NA,NA,0.8,1.08,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1663,NA,NA,0.59,0.95,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1664,NA,NA,0.44,0.58,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1665,NA,NA,0.13,0.32,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1666,NA,NA,0.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1667,NA,NA,0.22,0.39,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1668,NA,NA,0.43,0.57,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1669,NA,NA,0.39,0.62,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1670,NA,NA,0.1,0.09,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1671,NA,NA,0.54,0.87,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1672,NA,NA,0.62,0.94,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1673,NA,NA,0.9,1.61,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1674,NA,NA,1.91,2.18,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
1675,NA,NA,1.95,2.46,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
1676,NA,NA,1.23,1.44,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1677,NA,NA,1.09,1.34,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1678,NA,NA,0.93,1.51,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
1679,NA,NA,1.18,1.61,1.73,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
1680,NA,NA,1.01,1.61,2.63,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA
1681,NA,NA,0.79,1.03,1.79,1.66,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1682,NA,NA,0.87,1.05,1.77,2.41,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1683,NA,NA,0.92,1.24,2.64,3.18,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA
1684,NA,NA,0.71,0.74,1.43,2.02,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1685,NA,NA,0.87,1,1.68,2.14,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1686,NA,NA,0.55,0.72,1.03,1.42,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1687,NA,NA,1.18,1.06,2.84,2.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA
1688,NA,NA,1.39,1.27,1.78,2.89,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
1689,NA,NA,0.92,1.08,2.07,2.95,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
1690,NA,NA,0.97,0.96,1.7,3.12,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
1691,NA,NA,0.59,0.92,1.46,2.11,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1692,NA,NA,0.96,1.26,1.79,3.13,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
1693,NA,NA,0.88,1.09,1.77,2.63,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1694,NA,NA,1.01,1.18,1.97,2.66,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
1695,NA,NA,0.82,1.38,1.96,2.86,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
1696,NA,NA,0.86,1.12,1.83,2.07,NA,1.4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1697,NA,NA,0.82,0.98,1.49,1.66,NA,1.36,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1698,NA,NA,0.58,0.6,1.08,1.31,NA,0.84,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1699,NA,NA,0.83,1,1.73,2.03,NA,1.49,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1700,NA,NA,1.3,1.29,2.17,2.48,NA,1.83,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1701,NA,NA,1.11,1.47,3.17,3.12,NA,2.62,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,NA,TRUE,NA,NA
1702,NA,NA,1.12,1.17,1.76,1.65,NA,1.64,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1703,NA,NA,0.28,0.3,0.63,0.57,NA,0.6,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1704,NA,NA,0.77,0.98,1.31,1.26,NA,0.89,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1705,NA,NA,0.6,1.02,2.03,2.43,NA,2.18,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
1706,NA,NA,0.89,0.97,1.56,1.63,NA,1.9,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA
