age_CE,MD0101A_raw,MD0102A_raw,MD0103B_raw,MD0104B_raw,MD0106A_raw,MD0107B_raw,MD0108A_raw,MD0109A_raw,MD0110A_raw,MD0111B_raw,MD0112A_raw,MD0113B_raw,MD0117B_raw,MD0118A_raw,MD0119A_raw,MD0120A_raw,MD0121B_raw,MD0122B_raw,MD0123A_raw,MD0124B_raw,MD0125B_raw,MD0130B_raw,MD0131A_raw,MD0135B_raw,MD0101A_raw_outlier_flag,MD0102A_raw_outlier_flag,MD0103B_raw_outlier_flag,MD0104B_raw_outlier_flag,MD0106A_raw_outlier_flag,MD0107B_raw_outlier_flag,MD0108A_raw_outlier_flag,MD0109A_raw_outlier_flag,MD0110A_raw_outlier_flag,MD0111B_raw_outlier_flag,MD0112A_raw_outlier_flag,MD0113B_raw_outlier_flag,MD0117B_raw_outlier_flag,MD0118A_raw_outlier_flag,MD0119A_raw_outlier_flag,MD0120A_raw_outlier_flag,MD0121B_raw_outlier_flag,MD0122B_raw_outlier_flag,MD0123A_raw_outlier_flag,MD0124B_raw_outlier_flag,MD0125B_raw_outlier_flag,MD0130B_raw_outlier_flag,MD0131A_raw_outlier_flag,MD0135B_raw_outlier_flag
1921,0.27,0.61,0.7,NA,NA,0.61,NA,NA,0.49,0.87,0.52,0.72,0.38,0.11,1.2,1.18,0.62,0.34,NA,1.5,0.78,0.36,0.77,0.24,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1922,0.75,1.01,0.43,NA,NA,0.75,NA,NA,0.7,1.02,1.19,0.68,0.51,0.21,1.3,1.34,0.51,0.4,NA,1.09,1.21,0.48,0.72,0.25,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1923,0.79,1.05,0.44,NA,NA,0.8,NA,NA,0.81,1.35,1.33,0.95,0.59,0.26,1.27,1.29,0.74,0.35,NA,1.39,1.09,0.45,0.83,0.28,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1924,0.95,0.97,0.44,NA,NA,0.76,NA,NA,0.69,1.32,0.82,0.63,0.59,0.21,0.82,0.73,0.64,0.27,NA,1.26,0.92,0.42,0.84,0.21,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1925,0.74,0.71,1.05,NA,NA,1.32,NA,NA,0.89,1.63,1.32,0.73,0.72,0.3,1.02,0.69,0.64,0.46,NA,1.38,0.83,0.54,0.76,0.28,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.18,0.72,1.13,NA,NA,1.18,NA,NA,0.67,1.41,0.94,0.52,0.76,0.35,0.94,0.91,0.66,0.43,NA,0.87,0.92,0.48,0.81,0.4,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1927,0.83,0.83,1.5,NA,NA,0.95,NA,NA,0.57,1.24,0.61,0.48,0.69,0.2,1.1,0.69,0.57,0.46,NA,0.98,1.04,0.69,1.01,0.34,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1928,0.7,0.83,1.66,NA,NA,1.11,NA,NA,0.81,1.3,0.77,0.39,0.83,0.2,1.37,0.73,0.76,0.47,NA,1.12,0.78,0.53,0.92,0.35,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE
1929,0.61,0.9,1.76,NA,NA,1.23,NA,NA,0.83,1.15,0.59,0.53,0.91,0.35,1.19,1.01,0.79,0.29,1.69,1.26,0.92,0.48,0.79,0.4,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,0.98,0.99,1.68,NA,NA,1.19,NA,NA,0.86,1.04,0.5,0.69,0.78,0.27,1.42,0.98,0.56,0.33,1.41,1.53,1.32,0.57,0.75,0.36,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,0.88,1.21,1.77,NA,NA,1.2,NA,NA,0.82,1.11,0.54,0.59,0.75,0.21,1.56,0.91,0.65,0.4,1.96,1.28,1.27,0.73,0.78,0.36,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,0.45,1.14,1.53,NA,NA,1.44,NA,NA,0.99,1,0.62,0.86,0.7,0.28,1.36,0.58,0.43,0.42,1.7,1,0.91,0.43,0.99,0.27,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,0.77,1.2,1.07,NA,NA,1.18,NA,NA,0.76,0.85,0.53,0.53,0.67,0.25,1.36,0.64,0.4,0.42,1.37,0.95,0.9,0.33,1.03,0.39,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,0.66,0.76,0.61,NA,NA,0.9,NA,NA,0.34,0.51,0.12,0.3,0.48,0.19,0.96,0.3,0.33,0.29,1.31,0.73,0.75,0.47,0.58,0.34,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,0.55,1.1,1.46,NA,NA,1.1,NA,NA,0.53,0.75,0.65,0.64,1.04,0.29,0.98,0.57,0.36,0.44,1.55,1.16,0.79,0.74,0.62,0.42,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,0.38,1,1.83,NA,NA,0.98,NA,NA,0.62,0.75,0.54,0.46,0.93,0.22,0.81,0.43,0.39,0.36,1.04,0.66,0.7,0.78,0.77,0.39,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,0.37,1.09,1.61,NA,NA,0.65,NA,NA,0.65,0.97,0.54,0.59,0.89,0.29,0.9,0.64,0.37,0.55,1.11,0.99,1.06,0.63,0.75,0.34,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,0.3,1.14,1.11,NA,NA,0.48,NA,NA,0.83,0.98,0.65,0.87,0.78,0.31,0.86,0.95,0.49,0.61,1.18,1.05,0.95,0.69,0.68,0.31,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,0.32,1.11,0.84,NA,NA,0.67,NA,NA,0.88,1.01,0.52,0.87,0.87,0.29,0.76,0.74,0.43,0.55,1.03,1.03,0.77,0.63,0.87,0.33,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,0.58,1.13,0.72,NA,NA,0.33,0.88,NA,0.97,0.99,0.53,0.8,0.95,0.2,0.8,0.69,0.45,0.47,0.83,1.24,0.85,0.62,0.69,0.28,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,0.59,1,0.52,NA,NA,0.39,0.68,NA,0.65,0.87,0.48,0.59,0.84,0.28,0.82,0.63,0.51,0.29,1.12,1.25,1.05,0.6,0.83,0.34,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,0.46,0.92,0.59,NA,NA,0.46,0.59,NA,0.79,1.06,0.48,0.48,0.8,0.18,0.74,0.68,0.54,0.39,1.34,0.8,0.85,0.53,1.08,0.27,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,0.24,0.66,0.5,NA,NA,0.48,0.69,NA,0.64,0.83,0.41,0.4,0.67,0.22,0.74,0.63,0.38,0.28,1,0.78,0.55,0.41,0.94,0.29,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,0.54,0.75,0.69,NA,NA,0.59,0.85,NA,0.9,1.06,0.55,0.54,0.88,0.28,1,0.88,0.5,0.43,1.49,1.37,0.84,0.58,1.31,0.39,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,0.66,0.89,0.72,NA,NA,0.46,0.85,NA,0.91,1.17,0.52,0.7,0.7,0.26,1.12,0.69,0.47,0.54,2.13,1.95,1.03,0.58,1.18,0.37,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,0.22,0.93,0.73,NA,NA,0.62,1.04,NA,0.74,0.92,0.62,0.62,0.32,0.22,0.69,0.59,0.25,0.37,1.59,1.44,0.79,0.16,0.7,0.27,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.29,1.16,0.91,NA,NA,0.92,0.67,1.36,0.9,0.89,0.73,0.91,0.5,0.27,0.83,0.85,0.38,0.4,2.07,1.39,1.52,0.44,1.2,0.35,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,0.35,1.43,1.35,NA,NA,0.94,1.19,1.24,1.16,1.32,0.65,1,0.65,0.36,0.83,0.94,0.51,0.53,2.05,1.49,0.85,0.55,1.23,0.33,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.28,1.44,1.11,NA,NA,0.75,0.84,0.9,1.08,0.81,0.68,0.65,0.7,0.3,0.75,0.99,0.45,0.42,1.56,1.43,0.68,0.5,1.01,0.36,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.5,1.42,1.63,NA,NA,1.07,1.45,1.12,1.01,1.15,0.73,0.65,0.93,0.34,0.84,1.09,0.43,0.61,1.37,1.36,0.38,0.51,1.19,0.34,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.41,1.24,0.71,NA,NA,0.7,0.83,1.21,0.81,0.83,0.55,0.64,0.69,0.27,0.59,0.65,0.34,0.42,0.97,0.79,0.3,0.39,0.62,0.28,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,0.55,1.47,0.79,NA,NA,0.85,0.91,1.15,1.12,1.02,0.81,0.87,1.09,0.33,0.72,0.7,0.62,0.63,1.37,0.73,0.62,0.36,0.62,0.24,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,0.57,1.12,0.58,NA,NA,0.96,1,1.19,1.19,0.97,0.54,0.73,0.82,0.3,0.63,0.63,0.48,0.54,0.95,0.86,0.37,0.44,0.79,0.23,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,0.52,0.89,0.5,NA,NA,0.79,0.77,0.89,0.86,0.81,0.37,0.81,0.76,0.19,0.56,0.71,0.37,0.46,1.14,0.79,0.13,0.37,0.77,0.27,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,0.56,0.93,0.58,NA,NA,1.09,0.67,1,1.27,0.77,0.55,0.82,0.79,0.23,0.55,0.96,0.28,0.67,1.54,0.77,0.29,0.38,1.1,0.34,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.35,0.7,0.37,NA,1.58,0.7,0.62,1,0.81,0.54,0.33,0.53,0.57,0.12,0.37,0.66,0.17,0.3,1.52,0.38,0.17,0.45,0.88,0.37,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,0.4,0.54,0.51,NA,1.61,0.82,0.35,1.18,0.76,0.64,0.24,0.47,0.4,0.15,0.45,0.51,0.32,0.26,1.35,0.53,0.15,0.39,0.61,0.25,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.52,0.94,1.07,NA,1.58,0.71,0.43,1.49,0.96,1.09,0.58,0.71,0.98,0.28,0.78,0.86,0.44,0.45,1.73,1.04,0.27,0.52,0.92,0.37,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.25,0.57,0.27,NA,0.83,0.23,0.49,0.98,0.66,0.87,0.49,0.31,0.65,0.16,0.48,0.4,0.4,0.39,1.55,0.86,0.36,0.29,0.48,0.26,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.38,0.67,0.51,NA,1.48,0.53,0.75,1.65,1.02,0.98,0.86,0.26,0.67,0.18,0.49,0.72,0.4,0.52,1.69,0.9,0.4,0.39,0.55,0.29,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.28,0.57,0.47,3.09,1.45,0.38,0.84,1.14,0.95,0.97,0.58,0.4,0.55,0.15,0.35,0.58,0.39,0.42,1,0.78,0.27,0.31,0.43,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.34,0.45,0.54,3.13,1.13,0.5,0.87,1.08,1.09,0.91,0.72,0.42,0.62,0.19,0.39,0.6,0.29,0.41,1.01,1.14,0.46,0.44,0.54,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,0.41,0.6,0.45,3.83,1.45,0.55,1.12,1.16,1.1,0.88,0.41,0.32,0.42,0.1,0.38,0.64,0.26,0.33,1.23,0.96,0.36,0.41,0.45,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,0.27,0.56,0.41,2.59,0.78,0.43,1.01,0.85,0.88,1.06,0.38,0.34,0.38,0.12,0.29,0.51,0.24,0.25,1.02,0.76,0.16,0.29,0.6,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,0.53,0.8,0.51,2.95,1.27,0.44,1.2,1.94,0.99,1.26,0.49,0.42,0.54,0.15,0.38,0.79,0.26,0.39,1.79,1.16,0.41,0.49,0.76,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,0.31,0.82,0.57,1.97,0.99,0.51,1.04,1.11,1.09,1.06,0.42,0.47,0.57,0.14,0.34,0.62,0.32,0.27,1.54,1.25,0.5,0.45,0.71,0.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,0.4,0.85,1.09,2.01,1.8,0.54,1.42,1.5,1.2,1.09,0.52,0.67,0.64,0.27,0.29,0.67,0.32,0.27,1.51,1.75,0.4,0.47,0.62,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.39,0.85,0.81,1.32,1.25,0.58,1.11,1.14,1.08,1.07,0.63,0.64,0.88,0.27,0.34,0.74,0.41,0.24,1.26,0.89,0.41,0.38,0.62,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,0.52,1.08,0.64,1.07,1.36,0.54,1.18,1.21,0.9,0.77,0.55,0.62,0.96,0.24,0.3,0.72,0.3,0.32,0.98,0.8,0.4,0.54,0.57,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,0.53,1.05,1.08,0.82,1.42,0.65,1.29,1.44,1.2,0.88,0.72,0.6,1.04,0.25,0.43,0.57,0.31,0.35,1.35,1.26,0.31,0.64,0.66,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,0.6,0.95,0.58,0.79,0.82,0.62,0.89,1.28,1.06,1.11,0.57,0.45,0.93,0.15,0.4,0.35,0.28,0.3,0.94,1.27,0.22,0.46,0.61,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.33,0.95,0.74,0.83,1.82,0.77,1.29,0.95,1.15,0.95,0.46,0.41,0.97,0.15,0.39,0.31,0.14,0.28,1,1.17,0.2,0.35,0.44,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.28,0.78,0.52,0.77,1.05,0.59,0.99,0.81,0.9,0.79,0.4,0.38,0.79,0.16,0.46,0.31,0.17,0.19,1.15,1.24,0.15,0.4,0.53,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.24,0.59,0.37,0.4,0.71,0.39,0.97,0.58,0.76,0.56,0.24,0.32,0.64,0.07,0.41,0.24,0.13,0.07,0.55,1.04,0.09,0.29,0.53,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.25,0.69,0.37,0.39,0.76,0.4,1.05,0.98,0.76,0.83,0.22,0.39,0.54,0.22,0.39,0.43,0.15,0.22,0.9,1.4,0.15,0.33,0.62,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.23,0.59,0.34,0.4,0.74,0.53,1.31,0.81,0.85,0.6,0.23,0.38,0.43,0.14,0.48,0.41,0.12,0.19,0.25,1.23,0.16,0.36,0.54,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.42,1.1,0.7,0.78,1.33,0.68,1.55,1.61,1.37,0.99,0.41,0.65,0.91,0.26,0.61,0.7,0.24,0.3,1.06,1.61,0.39,0.77,0.68,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.34,0.71,0.45,0.77,1.08,0.43,1.21,0.63,0.89,0.6,0.26,0.22,0.74,0.13,0.39,0.52,0.12,0.23,0.62,1.2,0.28,0.38,0.27,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.47,0.98,0.61,1.17,1.83,0.63,1.48,0.86,1.25,0.69,0.45,0.67,0.99,0.3,0.5,0.64,0.17,0.28,1.04,1.25,0.38,0.48,0.63,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.55,0.79,0.57,1.36,1.64,0.64,1.87,0.72,1.22,0.73,0.48,0.45,0.81,0.16,0.48,0.42,0.08,0.26,0.8,1.67,0.17,0.36,0.5,0.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.66,0.83,0.59,1.4,1.61,0.68,1.84,0.77,1.25,0.78,0.46,0.47,1,0.2,0.55,0.59,0.13,0.36,0.74,1.65,0.18,0.39,0.5,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.3,0.54,0.71,1.02,1.42,0.59,1.48,0.33,0.95,0.58,0.32,0.51,0.63,0.19,0.42,0.6,0.16,0.27,0.84,1.12,0.22,0.23,0.38,0.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.36,0.58,0.6,0.92,1.02,0.45,1.32,0.09,0.98,0.56,0.31,0.37,0.51,0.12,0.35,0.36,0.25,0.2,1.28,0.76,0.17,0.11,0.2,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
