Year,Mountain Range,SR335201,SR335202,SR335204,SR335208,SR335210,SR335211,SR335213,SR335214,SR335215,SR335216,SR335219,SR335223,SR335225,SR335236,SR335237,SR342601,SR342602,SR342604,SR342605,SR342606,SR342609,SR342610,SR342616,SR342619,SR342620,SR342622,SR434323,SR342624,SR342627,SR342628,SR342632,SR358702,SR358711,SR358723,SR358724,SR358726,SR358728,SR358730,SR358739,SR358742,SR358746,SR358748,SR358750,SR358751,SR404701,SR404702,SR404704,SR404707,SR404709,SR404710,SR404713,SR404715,SR404716,SR404717,SR404718,SR404724,SR404729,SR404730,SR404731,SR434307,SR434308,SR434309,SR434312,SR434315,SR434316,SR434318,SR434323,SR434326,SR434328,SR434329,SR434330,SR434334,SR434343,SR434345
1919,Santa Rosa,NA,NA,NA,0.764,0.268,0.37,0.802,0.489,0.337,2.011,0.764,NA,NA,NA,NA,NA,NA,NA,NA,0.437,1.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.796,1.712,1.377,1.176,1.412,2.053,NA,1.481,1.068,0.229,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.101,NA
1920,Santa Rosa,NA,NA,NA,0.307,0.081,0.242,0.486,0.251,0.325,1.087,0.308,NA,NA,NA,NA,NA,NA,NA,NA,0.797,1.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.012,1.57,1.164,1.502,1.283,1.598,NA,1.381,1.576,0.937,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.474,NA
1921,Santa Rosa,NA,NA,NA,0.399,0.242,0.334,0.656,0.206,0.423,1.213,0.616,NA,NA,NA,NA,NA,NA,NA,NA,0.759,2.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.495,1.884,1.43,1.939,1.42,1.62,NA,1.271,1.547,0.978,NA,1.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423,NA
1922,Santa Rosa,NA,NA,0.92,1.097,0.723,0.594,1.128,0.763,0.79,1.432,0.193,NA,NA,NA,NA,NA,NA,NA,NA,1.188,1.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.359,1.085,1.135,1.077,1.348,1.181,NA,1.474,1.358,0.32,NA,1.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.603,1.145,NA
1923,Santa Rosa,NA,NA,0.373,0.222,0.145,0.171,0.302,0.099,0.246,0.595,0.106,NA,NA,NA,NA,NA,NA,NA,NA,0.556,1.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.522,1.883,1.946,2.005,1.782,1.749,NA,1.962,2.407,0.245,NA,2.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.064,0.12,NA
1924,Santa Rosa,NA,NA,1.499,0.697,0.574,0.661,1.061,0.318,0.432,2.026,0.461,NA,NA,NA,2.133,NA,NA,NA,NA,0.245,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.058,1.192,1.499,1.576,1.568,1.781,NA,1.707,2.135,1.065,NA,2.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.608,1.301,NA
1925,Santa Rosa,NA,1.512,1.686,1.628,0.63,1.292,0.924,1.084,0.384,1.708,0.393,NA,NA,NA,2.983,2.555,NA,NA,NA,0.721,1.732,NA,NA,NA,NA,NA,2.111,NA,NA,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.711,1.536,1.258,1.456,1.173,1.565,NA,1.404,1.898,1.915,NA,2.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.634,2.026,NA
1926,Santa Rosa,NA,1.457,1.597,1.855,0.887,1.474,0.755,1.918,1.118,1.72,1.362,NA,4.886,NA,2.818,2.843,NA,NA,NA,0.176,1.784,1.613,NA,NA,NA,NA,3.79,NA,1.772,NA,NA,1.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,1.086,1.629,1.343,1.557,1.659,NA,1.941,2.406,1.637,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.994,0.993,NA
1927,Santa Rosa,NA,1.205,1.431,1.193,0.158,0.86,0.521,0.523,1.127,1.006,1.261,NA,3.554,NA,3.334,0.95,2.022,NA,NA,0.865,1.964,2.827,NA,NA,NA,NA,3.83,NA,3.095,NA,NA,1.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787,1.865,0.774,1.431,0.949,1.475,NA,1.404,2.249,1.705,NA,2.622,NA,NA,2.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.626,0.726,NA
1928,Santa Rosa,NA,0.371,1.347,0.432,0.287,0.416,0.788,0.623,0.655,1.321,1.452,NA,2.867,2.893,2.575,1.16,1.786,2.191,NA,0.771,1.752,3.157,NA,NA,3.717,NA,4.258,NA,2.831,NA,NA,1.043,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.432,1.223,1.138,1.212,1.335,1.693,NA,1.709,2.096,1.718,NA,2.535,NA,NA,3.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.921,1.456,NA
1929,Santa Rosa,NA,0.855,1.016,0.392,0.244,0.619,0.668,0.581,0.321,0.506,0.946,NA,1.06,1.616,1.6,1.593,3.067,3.411,NA,1.048,1.252,2.797,2.739,NA,5.385,NA,3.123,NA,3.018,3.57,NA,0.755,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.224,0.561,0.461,0.593,0.546,1.339,NA,1.09,0.922,1.422,NA,1.81,NA,NA,1.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.337,0.839,NA
1930,Santa Rosa,NA,0.44,1.108,0.085,0.095,0.227,0.162,0.147,0.154,0.189,0.524,NA,1.453,1.796,1.634,1.293,2.228,2.74,1.46,0.926,1.568,1.605,2.363,NA,4.899,NA,3.174,NA,2.369,4.289,NA,0.541,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107,0.226,0.17,0.099,0.244,0.155,NA,0.423,0.315,0.627,NA,1.056,NA,NA,1.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913,NA,1.601,1.107,NA
1931,Santa Rosa,NA,1.079,1.144,0.72,0.396,0.56,0.775,0.689,0.535,0.94,0.736,NA,1.392,2.174,1.026,0.642,1.922,1.631,1.064,0.921,1.266,1.245,1.539,NA,3.822,NA,2.891,NA,2.693,4.068,NA,0.273,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.744,1.804,1.237,1.064,1.188,0.945,NA,1.406,1.342,1.299,0.86,1.673,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483,NA,1.534,0.908,NA
1932,Santa Rosa,NA,0.744,0.825,1.739,0.739,1.093,1.245,0.864,1.527,1.913,1.786,NA,2.878,2.188,2.104,0.933,2.173,2.703,2.201,0.734,1.312,1.544,1.282,NA,3.845,NA,4.499,2.784,3.17,4.455,NA,0.226,0.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.889,2.574,1.097,1.232,1.032,0.966,NA,1.27,1.169,1.476,0.221,1.66,2.662,NA,1.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327,NA,1.528,0.647,NA
1933,Santa Rosa,NA,0.733,0.626,1.778,1.348,1.859,1.292,1.371,1.429,2.286,0.802,NA,1.355,1.571,1.795,1.139,1.477,1.916,1.655,1.696,1.81,1.901,1.54,NA,2.605,NA,3.555,2.886,2.747,2.559,NA,0.366,0.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.319,0.875,1.189,0.921,1.136,1.233,NA,1.419,1.262,0.953,0.47,2.006,1.906,NA,1.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.031,NA,0.884,0.968,NA
1934,Santa Rosa,NA,0.846,0.87,0.759,0.438,1.087,0.774,1.077,0.633,1.45,0.345,NA,1.035,1.6,1.52,1.216,1.296,1.801,1.231,1.2,1.686,1.753,1.843,NA,3.24,NA,3.23,1.996,1.651,2.842,NA,0.302,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943,0.864,1.141,0.976,1.565,0.794,NA,1.46,1.272,0.811,0.326,1.813,1.722,NA,1.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.139,NA,3.093,1.221,NA
1935,Santa Rosa,NA,0.596,0.406,0.8,0.561,1.003,0.944,1.08,0.799,1.324,0.385,NA,0.945,1.358,1.124,1.16,1.004,1.297,1.316,1.277,1.384,1.556,1.586,NA,2.731,NA,2.152,3.571,2.747,2.173,NA,0.403,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.523,0.787,1.169,0.889,1.301,1.339,NA,1.317,1.667,1.535,0.452,2.357,1.915,NA,1.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.368,NA,2.313,1.284,NA
1936,Santa Rosa,NA,0.094,0.302,0.161,0.186,0.364,0.254,0.466,0.196,0.579,0.162,NA,0.243,0.417,0.485,0.685,0.81,1.464,0.83,1.286,1.579,1.213,2.273,NA,2.897,NA,2.73,3.078,2.086,1.904,NA,0.175,1.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,0.241,0.337,0.146,1.075,0.194,NA,2.603,0.956,2.099,0.509,2.232,1.645,NA,3.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673,NA,2.406,1.449,NA
1937,Santa Rosa,NA,0.087,0.061,0.4,0.321,0.416,0.381,0.211,0.304,0.302,0.13,3.401,0.934,0.643,0.311,1.008,1.437,0.68,1.509,0.385,1.255,1.379,1.485,NA,2.188,2.009,1.083,2.664,1.153,1.289,1.584,0.64,2.111,NA,NA,NA,NA,NA,NA,NA,NA,1.675,NA,NA,1.236,1.157,1.283,1.316,1.864,1.242,NA,1.95,1.854,1.518,0.251,2.641,1.537,NA,2.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.762,NA,1.121,0.26,NA
1938,Santa Rosa,NA,1.862,0.691,0.4,0.89,0.714,0.56,0.667,0.434,0.788,0.734,1.707,1.157,1.574,1.331,1.472,1.066,0.603,1.027,1.205,1.648,1.803,1.737,NA,3.1,3.594,1.13,1.986,2.228,3.21,1.04,0.52,2.314,NA,NA,NA,NA,NA,NA,NA,NA,0.765,NA,NA,1.456,1.561,1.105,1.136,1.969,1.227,NA,2.145,2.333,1.78,0.676,2.751,0.971,3.198,2.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,NA,2.244,1.325,NA
1939,Santa Rosa,NA,1.028,0.898,1.165,1.068,1.261,1.033,1.067,0.952,0.979,0.857,1.235,1.332,0.657,1.465,1.099,1.064,0.673,0.731,0.779,1.716,1.736,2.108,NA,2.198,2.093,2.375,1.897,1.62,2.574,1.393,0.182,0.778,NA,NA,NA,NA,NA,NA,NA,NA,1.058,NA,NA,1.847,1.193,1.315,1.347,2.221,1.762,NA,2.234,2.658,1.381,0.874,2.838,1.284,2.081,1.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291,NA,0.735,0.537,NA
1940,Santa Rosa,NA,0.763,0.62,1.037,1.101,0.612,0.971,0.739,0.714,1.156,0.634,1.577,1.541,1.384,1.081,1.165,1.163,0.711,1.614,0.866,0.903,1.384,1.996,NA,2.425,1.922,2.107,1.307,2.015,2.91,1.754,0.706,0.853,NA,NA,NA,NA,NA,NA,NA,NA,0.341,NA,NA,1.353,1.087,1.254,1.186,1.354,2.238,NA,0.859,1.685,1.203,0.835,1.766,1.29,2.025,1.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.829,NA,2.074,1.093,2.204
1941,Santa Rosa,NA,0.657,0.326,0.283,0.278,0.315,0.228,0.252,0.13,0.439,0.226,2.063,0.237,0.404,0.243,0.971,1.715,0.695,1.357,0.915,1.071,1.584,2.117,NA,2.996,1.569,1.796,2.004,1.404,2.869,1.387,0.668,1.089,NA,NA,NA,NA,NA,NA,NA,NA,0.221,NA,NA,0.449,0.377,0.282,0.711,0.677,1.536,NA,0.947,1.225,1.348,1.454,2.235,0.922,0.944,1.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847,NA,0.714,0.428,0.545
1942,Santa Rosa,NA,0.438,0.747,0.388,0.379,0.512,0.4,0.344,0.263,0.382,0.477,1.413,1.556,1.392,1.044,0.698,0.578,0.259,0.388,0.387,0.883,1.138,1.931,NA,2.005,0.658,1.591,1.859,0.665,2.015,1.205,1.014,0.943,NA,NA,NA,NA,NA,NA,NA,NA,0.168,NA,NA,0.556,0.266,0.378,0.329,0.471,0.473,NA,0.43,0.586,0.598,0.371,1.484,0.708,2.046,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.232,NA,0.41,0.413,1.134
1943,Santa Rosa,NA,0.34,0.32,0.217,0.238,0.181,0.231,0.205,0.118,0.35,0.311,0.846,0.05,0.592,0.267,0.315,0.575,0.328,0.553,0.271,0.561,0.811,1.718,NA,0.881,0.202,0.605,1.088,0.235,1.084,0.766,0.55,0.835,NA,NA,NA,NA,NA,NA,NA,NA,0.642,NA,NA,0.066,0.199,0.095,0.13,0.085,0.363,NA,0.063,0.196,0.432,0.182,0.713,0.896,1.092,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528,NA,0.345,0.187,0.267
1944,Santa Rosa,NA,0.468,0.261,0.101,0.148,0.162,0.3,0.216,0.186,0.28,0.085,2.766,0.085,0.175,0.21,0.686,0.925,0.58,0.861,0.511,0.932,0.914,1.506,NA,2.061,2.281,1.74,0.931,0.822,1.732,1.413,0.433,0.868,NA,NA,NA,NA,NA,NA,NA,NA,0.465,NA,NA,0.807,0.277,0.974,0.963,0.568,0.903,NA,1.796,1.102,0.846,0.603,1.904,1.568,1.719,1.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.224,NA,1.775,0.435,0.877
1945,Santa Rosa,NA,0.267,0.35,0.101,0.076,0.116,0.173,0.081,0.045,0.227,0.085,0.32,0.121,0.116,0.174,1.005,1.148,0.406,0.901,0.903,1.181,0.83,1.526,2.321,3.702,3.511,2.332,1.54,1.719,2.62,1.78,0.987,0.852,NA,NA,NA,NA,NA,NA,NA,NA,0.211,NA,NA,1.886,0.79,1.697,1.344,1.218,1.217,NA,2.503,1.39,1.579,1.182,2.066,1.459,1.91,2.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.013,NA,0.705,0.237,0.399
1946,Santa Rosa,NA,0.555,0.485,0.049,0.084,0.118,0.145,0.18,0.135,0.072,0.067,0.266,0.317,1.31,0.311,1.475,1.102,0.767,1.213,0.945,1.044,1.852,2.08,2.438,3.351,3.029,2.249,1.705,1.596,3.255,1.93,0.729,0.939,NA,NA,NA,NA,NA,NA,NA,NA,0.205,NA,NA,2.017,1.151,1.613,1.949,1.968,2.22,NA,3.124,2.407,1.705,1.296,2.917,1.402,2.558,2.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.015,NA,0.199,0.123,0.415
1947,Santa Rosa,NA,1.056,1.158,0.166,0.144,0.199,0.217,0.199,0.042,0.149,0.211,0.189,0.155,1.074,0.444,0.403,0.269,0.137,0.129,0.246,0.265,1.046,1.283,1.562,0.624,0.517,1.216,2.041,0.375,1.036,0.318,0.279,0.21,NA,NA,NA,NA,1.469,NA,NA,NA,0.202,NA,NA,1.786,0.98,1.357,1.331,1.706,1.561,NA,1.624,2.308,1.867,1.821,2.207,0.901,2.11,2.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.632,NA,1.39,0.756,1.163
1948,Santa Rosa,NA,0.676,1.284,0.441,0.366,0.383,0.442,0.336,0.143,0.289,0.51,0.426,0.324,1.199,0.435,0.866,0.979,0.54,1.245,0.651,0.966,1.104,1.667,1.687,1.942,2.119,1.394,1.079,1.18,1.876,1.402,0.326,0.227,NA,NA,NA,NA,1.708,NA,NA,NA,0.186,NA,NA,1.894,0.747,1.605,1.726,1.832,1.772,NA,1.618,2.048,1.87,1.291,2.245,1.493,2.06,2.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.548,NA,1.991,1.024,1.141
1949,Santa Rosa,NA,0.073,0.375,0.181,0.13,0.09,0.362,0.179,0.147,0.129,0.106,0.888,0.077,0.38,0.082,0.576,1.287,0.643,1.271,1.683,1.819,1.495,1.807,2.168,3.069,2.884,1.637,1.823,1.394,1.948,1.859,0.408,0.484,NA,NA,NA,NA,0.654,NA,NA,NA,0.073,NA,NA,2.327,0.528,1.431,1.859,1.522,1.669,NA,1.109,1.689,1.392,1.245,1.463,1.277,1.25,1.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,NA,1.876,0.883,0.766
1950,Santa Rosa,0.534,0.113,0.234,0.061,0.073,0.098,0.083,0.054,0.115,0.048,0.048,0.749,0.062,0.117,0.069,0.441,0.867,0.315,0.871,0.824,0.874,1.076,0.68,0.923,1.006,0.668,0.744,0.478,0.195,1.213,0.788,0.333,0.553,NA,NA,NA,NA,0.363,NA,NA,NA,0.11,NA,NA,2.418,0.74,0.748,1.138,0.861,0.794,NA,1.062,1.307,0.924,1.464,1.43,1.022,1.315,1.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,NA,0.513,0.381,0.227
1951,Santa Rosa,0.956,0.844,0.867,0.185,0.352,0.101,0.426,0.313,0.233,0.239,0.664,1.526,0.893,0.757,0.508,0.924,1.519,0.771,1.688,1.244,1.315,1.81,1.822,2.033,1.938,1.886,1.877,1.545,1.278,1.941,2.05,0.386,1.49,NA,NA,NA,NA,0.077,NA,NA,NA,0.507,NA,NA,2.187,0.879,0.883,1.104,1.146,0.728,NA,0.962,1.365,1.008,1.557,1.351,1.024,1.107,1.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,NA,1.593,0.909,1.049
1952,Santa Rosa,1.803,3.596,0.649,0.365,0.69,0.257,0.742,0.901,0.317,0.713,1.999,3.314,0.865,2.572,0.447,0.721,0.396,0.112,0.447,0.375,0.361,0.422,0.689,1.087,0.369,0.412,0.452,0.487,0.421,0.707,0.478,0.46,1.839,NA,NA,NA,NA,0.997,NA,NA,NA,0.315,NA,NA,1.681,1.896,1.19,1.193,1.498,1.132,NA,0.994,1.454,1.068,0.527,1.284,0.827,1.535,1.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652,NA,2.125,1.076,1.036
1953,Santa Rosa,1.247,1.789,0.589,0.669,0.823,0.684,1.034,0.99,0.662,0.938,0.986,1.088,0.427,0.998,0.351,0.291,0.112,0.074,0.402,0.411,0.932,0.765,1.309,2.096,0.644,1.215,1.344,0.71,1.042,1.732,1.211,0.292,1.199,NA,NA,NA,NA,0.769,NA,NA,NA,0.821,NA,NA,1.703,0.379,0.782,0.962,0.811,0.994,NA,0.869,1.134,1.067,0.447,0.945,0.934,1.049,1.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985,NA,1.253,1.239,1.012
1954,Santa Rosa,1.624,2.109,1.128,1.102,0.491,0.329,0.784,1.38,0.321,1.081,1.191,2.013,0.57,1.579,0.252,0.771,0.555,0.326,0.382,0.495,0.785,1.427,1.551,2.219,1.34,1.05,1.16,1.65,1.403,1.915,1.753,0.19,1.391,NA,NA,NA,NA,0.269,NA,2.235,2.133,0.915,NA,NA,1.797,0.891,0.702,0.744,1.02,0.87,2.34,1.406,1.902,1.308,1.057,1.465,1.077,1.763,1.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.115,NA,1.452,0.849,0.885
1955,Santa Rosa,1.579,1.514,0.856,1.467,0.823,0.998,0.752,1.068,0.911,1.885,0.799,2.18,1.464,1.807,0.845,1.294,0.748,0.335,1.6,1.339,1.329,1.132,1.28,1.767,1.576,1.428,2.151,1.5,1.749,1.69,2.552,0.338,1.411,NA,NA,NA,NA,0.598,NA,1.835,1.671,1.319,NA,NA,1.924,0.979,1.175,1.292,1.231,1.377,1.794,1.299,1.854,1.651,1.044,1.459,1.161,1.624,2.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.306,NA,1.339,1.424,0.992
1956,Santa Rosa,2.111,1.192,0.523,1.109,1.112,1.017,1.069,0.762,0.777,1.903,1.046,2.346,0.985,1.494,0.607,0.879,0.837,0.37,1.309,1.029,1.314,0.752,1.352,1.891,2.818,1.995,1.672,1.391,0.963,2.154,1.785,0.407,0.734,NA,NA,NA,NA,0.37,NA,2.886,1.2,1.854,NA,NA,1.683,1.06,0.878,1.167,1.566,1.387,2.266,1.422,1.883,1.121,0.905,0.946,1.177,1.488,1.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.439,NA,1.619,0.992,0.959
1957,Santa Rosa,1.871,0.861,0.697,0.966,2,1.323,1.609,1.534,0.857,1.422,1.445,1.478,0.765,1.691,0.664,0.971,1.056,0.239,1.919,1.342,1.373,0.772,1.783,1.488,2.926,2.261,2.338,1.885,2.111,3.035,2.183,0.411,0.418,NA,NA,NA,NA,0.259,NA,2.414,1.877,1.317,NA,NA,1.776,1.004,1.158,1.112,1.708,1.622,2.263,1.297,1.629,1.116,0.808,1.274,0.961,1.327,1.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.083,NA,2.023,1.026,1.017
1958,Santa Rosa,1.67,0.81,0.545,1.119,1.333,1.038,1.443,1.796,1.002,1.898,2.919,4.393,1.169,1.534,0.939,1.055,1.085,0.454,2.122,2.187,1.797,1.464,1.83,2.863,3.484,2.086,2.238,1.572,2.248,3.245,2.206,0.493,0.419,NA,NA,NA,NA,0.345,NA,1.04,1.784,1.463,NA,NA,2.221,0.87,1.376,1.798,1.688,2.072,2.736,2.029,2.599,1.385,0.812,1.295,1.346,1.865,1.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.846,NA,1.993,0.742,1.475
1959,Santa Rosa,2.563,1.058,1.034,0.938,0.872,0.624,1.315,0.915,0.662,2.073,1.592,2.478,0.83,1.685,0.728,0.229,0.524,0.219,0.246,1.362,1.081,1.562,1.178,1.742,2.031,1.492,1.538,0.826,0.998,1.779,1.059,0.383,0.634,NA,NA,NA,NA,0.495,NA,1.315,1.629,1.781,NA,NA,2.261,0.924,1.277,1.426,1.207,1.277,1.128,1.522,2.264,1.231,0.493,1.755,1.228,1.514,1.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.167,NA,0.939,0.655,0.848
1960,Santa Rosa,2.413,1.365,1.113,0.618,0.578,0.391,1.302,0.807,0.572,0.928,0.675,0.952,0.576,1.044,0.657,1.309,0.777,0.317,1.016,1.193,0.89,1.304,1.258,1.943,2.017,1.11,1.646,0.775,1.118,1.54,1.42,0.429,0.6,NA,NA,NA,NA,0.948,NA,1.266,1.743,1.555,NA,NA,1.896,0.887,0.855,0.98,0.937,0.591,1.762,1.171,2.032,1.041,0.66,1.13,0.905,0.992,1.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.313,NA,0.981,0.17,0.305
1961,Santa Rosa,1.891,1.42,0.949,0.94,0.873,0.475,1.274,0.61,0.722,1.299,0.755,1.464,1.046,1.202,0.905,1.375,1.195,0.429,1.259,1.262,0.621,1.003,1.304,2.172,1.951,1.362,1.422,1.175,1.507,2.011,0.805,0.558,1.076,NA,NA,NA,NA,0.608,NA,1.62,1.61,1.96,NA,1.922,1.081,0.436,0.851,0.487,0.759,0.367,0.941,0.983,1.376,0.701,0.279,1.174,0.842,0.752,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961,NA,0.895,0.618,1.026
1962,Santa Rosa,3.046,2.023,0.815,1.188,1.123,0.748,1.366,0.875,0.529,1.571,1.222,2.638,0.853,1.598,1.392,1.199,0.876,0.188,0.989,0.666,0.779,0.95,1.442,1.734,1.807,1.349,2.044,1.549,1.703,2.209,1.48,0.429,1.152,NA,NA,NA,NA,0.35,NA,1.934,1.692,1.758,NA,1.74,1.855,0.425,0.96,0.344,0.716,0.407,1.132,1.206,1.633,0.385,0.166,1.31,0.586,0.785,1.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.033,NA,1.132,0.529,0.982
1963,Santa Rosa,2.982,2.923,0.736,1.357,2.462,0.852,1.443,1.005,0.676,1.889,1.512,4.349,0.86,2.083,1.815,0.888,0.44,0.239,0.508,0.909,0.557,0.799,1.031,1.747,1.17,0.655,1.469,0.698,1.312,1.321,1.64,0.597,0.685,NA,NA,NA,NA,0.496,NA,1.783,1.528,1.481,NA,1.723,2.289,0.644,1.089,1.043,1.137,0.981,2.29,1.151,1.882,0.835,0.531,1.722,1.231,1.412,1.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,0.928,0.59,0.872
1964,Santa Rosa,2.024,1.625,0.525,1.433,1.736,1.182,1.685,1.425,0.654,1.69,0.538,3.217,1.117,1.647,1.883,1.271,0.385,0.353,0.878,0.918,1.359,1.183,1.673,1.865,1.752,1.43,1.67,1.103,1.4,1.8,1.555,0.316,0.733,NA,NA,NA,NA,1.12,NA,0.572,1.048,0.742,1.973,0.597,2.363,0.79,1.421,1.445,1.718,1.024,2.657,1.431,1.884,1.294,0.984,2.196,1.425,1.649,2.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662,NA,1.279,0.653,1.146
1965,Santa Rosa,0.987,0.64,0.303,0.359,0.536,0.406,0.528,0.538,0.171,0.961,0.298,1.213,0.781,0.891,0.785,0.776,0.395,0.344,1.8,0.715,1.107,0.863,0.459,0.877,1.234,0.818,0.867,0.576,0.488,1.359,0.94,0.352,0.939,NA,NA,NA,NA,0.594,2.06,0.241,0.797,0.709,2.132,0.226,2.15,0.562,1.302,1.244,1.517,0.927,2.439,1.401,2.685,1.309,0.64,2.348,1.536,1.22,2.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,1.08,0.546,1.12
1966,Santa Rosa,0.703,0.195,0.261,0.167,0.215,0.184,0.334,0.363,0.133,0.357,0.17,0.311,0.187,0.154,0.223,0.555,0.287,0.509,1.197,0.401,0.586,0.724,0.513,0.97,0.92,0.668,0.69,0.777,0.377,1.077,0.894,0.44,0.954,NA,NA,NA,NA,2.037,2.364,0.619,0.882,0.991,2.667,0.528,1.595,0.436,1.101,0.847,1.463,0.987,2.581,1.198,2.32,1.013,0.643,2.155,1.774,1.334,1.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.959,NA,1.485,0.797,1.137
