Year,Mountain Range,JB118309,JB118312,JB118313,JB118316,JB118317,JB118318,JB118320,JB118322,JB118323,JB118324,JB118326,JB118327,JB118332,JB118336,JB130804,JB130807,JB130808,JB130810,JB130813,JB130814,JB130815,JB130816,JB130817,JB130819,JB130821,JB130827,MC195302,MC195303,MC195304,MC195306,MC195307,MC195313,MC195314,MC195318,MC195319,MC195325,MC195329,MC216001,MC216002,MC216003,MC216004,MC216005,MC216010,MC216012,MC216014,MC216018,MC216020,MC216022,MC216026,MC216027,MC216029,MC216030,MC216039,MC231201,MC231203,MC231204,MC231205,MC231206,MC231207,MC231209,MC231211,MC231212,MC231213,MC231216,MC231217,MC231219,MC231221,MC231225,MC231226,MC231227,MC231232,MC231234,MC255807,MC255808,MC255809,MC255811,MC255814,MC255815,MC255817,MC255824,MC255825,MC255826,MC255827,MC255828,MC255830,MC255831,MC255833,MC300001,MC300017,MC300018,MC300022,MC300023,MC300024,MC300026,MC300027,MC300028,MC300032,MC300033,MC302801,MC302803,MC302807,MC302810,MC302813,MC302819,MC302820,MC302825,MC302827,MC302829,MC302831,MC302833,MC302834,MC302835
1903,Jarbidge,NA,NA,NA,NA,NA,NA,0.374,NA,0.409,0.618,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.114,1.103,NA,NA,1.579,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,Jarbidge,NA,NA,NA,NA,NA,NA,0.36,NA,0.384,0.617,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.388,0.773,NA,NA,1.438,NA,NA,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,Jarbidge,NA,NA,NA,NA,NA,NA,0.498,NA,0.44,0.905,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.611,1.119,NA,NA,1.425,NA,NA,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,Jarbidge,NA,NA,NA,NA,NA,NA,0.39,NA,0.446,0.733,1.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.973,1.137,NA,NA,1.443,NA,NA,0.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,Jarbidge,NA,NA,NA,NA,NA,NA,0.672,NA,0.42,0.73,1.371,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.717,1.437,NA,NA,1.31,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,Jarbidge,NA,NA,NA,NA,NA,NA,0.538,NA,0.563,1.137,0.92,NA,1.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.148,1.703,NA,NA,1.838,NA,NA,1.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,Jarbidge,NA,NA,NA,NA,NA,NA,0.676,NA,0.638,1.153,1.436,NA,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.682,1.52,NA,NA,2.038,NA,NA,1.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,Jarbidge,NA,NA,NA,NA,NA,NA,0.548,NA,0.478,1.637,1.623,NA,2.049,2.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.022,1.241,NA,NA,1.375,NA,NA,0.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,Jarbidge,NA,NA,NA,NA,NA,NA,0.859,NA,0.743,1.84,2.336,NA,1.484,2.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.549,1.621,NA,NA,1.539,NA,NA,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,Jarbidge,NA,NA,NA,NA,NA,NA,1.225,NA,0.195,0.727,2.487,NA,1.061,2.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.016,2.105,1.621,1.594,NA,1.867,NA,NA,1.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,Jarbidge,NA,NA,NA,NA,NA,NA,1.097,NA,0.472,1.022,1.033,1.776,1.119,2.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.248,2.894,2.341,1.596,NA,2.68,NA,NA,1.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,Jarbidge,NA,NA,NA,NA,NA,0.925,0.433,NA,0.213,0.49,0.608,0.951,0.628,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,0.502,1.264,1.293,0.578,NA,1.629,NA,NA,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,Jarbidge,NA,NA,NA,NA,NA,1.34,0.638,NA,0.47,0.869,0.765,1.09,1.068,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649,0.416,0.83,1.474,0.228,NA,1.243,NA,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,Jarbidge,NA,NA,NA,NA,NA,1.694,0.795,NA,0.528,1.172,0.885,1.584,0.889,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.668,NA,NA,NA,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422,0.583,0.892,1.411,0.93,NA,1.148,NA,NA,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,Jarbidge,NA,NA,NA,NA,NA,1.403,1.226,1.333,0.502,1.223,1.166,1.672,1.069,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.992,NA,NA,NA,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.978,0.732,0.723,1.402,1.342,NA,1.514,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Jarbidge,NA,NA,NA,NA,NA,1.458,0.869,1.333,0.673,1.247,0.859,1.304,0.774,1.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494,NA,NA,NA,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.183,NA,NA,NA,NA,NA,NA,1.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.316,1.378,0.977,1.157,1.029,NA,1.288,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Jarbidge,NA,NA,NA,NA,NA,0.607,0.072,0.722,0.136,0.193,0.09,0.187,0.158,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.762,NA,NA,NA,NA,NA,NA,2.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1.034,1.043,0.783,0.536,NA,1.054,NA,NA,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Jarbidge,NA,NA,NA,NA,NA,1.151,0.854,1.496,0.296,1,0.823,0.957,0.698,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.545,NA,NA,NA,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.743,NA,NA,NA,NA,NA,NA,0.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934,1.129,0.966,1.465,0.939,NA,1.331,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,Jarbidge,NA,NA,NA,NA,NA,0.908,0.804,0.43,0.195,1.199,0.548,0.875,0.484,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.233,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877,NA,NA,NA,0.945,1.042,1.09,1.716,1.508,NA,1.572,NA,NA,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,Jarbidge,NA,NA,NA,NA,NA,0.894,0.407,0.779,0.204,0.729,0.443,0.448,0.396,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928,NA,NA,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.794,NA,1.499,NA,NA,NA,NA,NA,NA,2.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.939,NA,NA,NA,0.714,0.576,0.767,1.361,1.314,NA,1.041,NA,NA,0.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,Jarbidge,NA,NA,NA,NA,NA,0.783,0.774,0.73,0.31,0.864,0.571,0.6,0.496,0.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.215,NA,0.878,NA,1.04,NA,NA,NA,NA,1.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.426,NA,NA,NA,0.607,0.954,0.892,1.469,0.558,NA,0.907,NA,NA,0.397,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,Jarbidge,NA,NA,NA,NA,NA,0.088,0.092,0.272,0.092,0.146,0.145,0.317,0.138,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,NA,NA,NA,0.052,NA,NA,NA,NA,1.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861,2.138,0.411,NA,0.758,NA,NA,NA,NA,1.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,NA,NA,NA,0.931,0.77,0.604,1.477,1.201,0.738,1.444,NA,NA,0.446,1.558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,Jarbidge,NA,NA,NA,NA,NA,0.698,0.423,0.699,0.135,1.429,0.552,1.336,0.56,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721,NA,NA,NA,0.103,NA,NA,NA,NA,0.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.079,1.439,0.342,NA,0.796,NA,NA,NA,NA,1.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,NA,NA,NA,1.013,0.768,1.078,1.691,1.187,0.872,1.791,NA,NA,0.926,1.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,Jarbidge,NA,NA,NA,NA,NA,1.319,0.609,0.505,0.396,0.934,0.689,1.281,0.85,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.109,NA,NA,NA,0.228,NA,NA,NA,NA,0.952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.011,1.299,1.16,NA,1.383,NA,NA,NA,NA,1.594,NA,3.853,NA,NA,NA,NA,NA,NA,NA,0.71,NA,1.816,NA,1.105,0.406,0.73,1.173,1.496,0.932,1.384,NA,NA,0.848,1.885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,Jarbidge,NA,NA,NA,NA,NA,0.825,0.495,0.462,0.359,1.045,0.872,1.187,0.603,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,NA,NA,NA,0.256,NA,NA,NA,NA,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.701,1.289,1.177,NA,1.108,NA,1.964,NA,NA,1.506,NA,3.224,NA,NA,NA,NA,NA,NA,NA,0.189,NA,1.46,NA,1.158,0.572,0.839,1.281,1.449,0.967,1.192,NA,NA,0.686,1.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,Jarbidge,NA,NA,NA,NA,NA,0.812,0.522,0.56,0.189,0.875,0.834,1.125,0.509,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.433,NA,NA,NA,0.482,NA,NA,NA,NA,1.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.112,1.294,1.069,NA,1.09,NA,2.36,NA,NA,1.674,NA,2.683,NA,NA,NA,1.811,NA,NA,NA,0.42,2.964,1.48,NA,1.11,0.78,0.841,1.287,1.202,0.449,1.251,NA,NA,0.834,1.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,Jarbidge,NA,NA,0.609,NA,NA,1.077,0.818,0.317,0.126,0.774,0.64,1.654,0.771,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,0.52,NA,NA,NA,NA,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.873,0.355,1.473,NA,1.057,NA,1.937,NA,NA,1.456,NA,1.656,NA,NA,NA,1.469,NA,NA,NA,0.524,1.485,0.994,NA,0.895,0.587,0.629,0.539,0.77,0.524,0.823,NA,NA,0.496,1.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,Jarbidge,NA,NA,0.597,NA,NA,0.965,0.806,0.274,0.47,0.902,0.686,1.05,0.881,0.739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,0.295,NA,NA,NA,NA,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.298,0.259,1.145,NA,1.386,NA,1.572,2.144,NA,0.98,NA,1.698,NA,NA,NA,1.945,NA,NA,2.403,0.28,0.702,1.423,NA,0.653,0.367,0.372,0.365,0.64,0.439,0.617,NA,NA,0.33,0.715,NA,NA,NA,NA,NA,NA,3.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,Jarbidge,NA,NA,1.07,NA,NA,1.364,1,0.296,0.278,0.828,0.773,0.838,0.942,0.573,NA,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA,0.484,NA,NA,NA,0.131,NA,NA,NA,NA,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.328,0.447,1.005,1.309,0.869,NA,1.42,1.754,1.493,0.842,NA,2.064,NA,NA,NA,2.17,NA,NA,3.354,0.199,1.498,1.38,NA,1.523,0.879,0.44,0.723,1.288,1.02,1.216,NA,NA,0.534,1.786,NA,NA,NA,NA,NA,NA,2.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,Jarbidge,NA,NA,1.295,NA,NA,0.962,1.52,0.374,0.199,0.88,0.549,1.001,0.877,1.131,NA,NA,NA,3.345,NA,NA,NA,NA,NA,NA,NA,0.709,NA,NA,NA,0.382,NA,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.489,0.578,0.565,1.329,0.889,NA,0.88,1.527,2.019,1.009,NA,1.175,NA,NA,NA,1.975,NA,NA,2.833,0.568,1.079,0.325,NA,1.142,0.605,0.547,1.026,1.092,0.341,1.006,NA,NA,0.358,1.471,NA,NA,NA,NA,NA,NA,3.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,Jarbidge,NA,0.888,1.13,NA,NA,0.903,1.634,0.179,0.271,0.729,0.431,1.06,0.841,0.859,NA,NA,NA,3.078,NA,NA,NA,NA,NA,NA,NA,1.114,NA,NA,NA,0.772,NA,NA,NA,NA,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.431,0.695,2.732,0.836,0.851,NA,1.38,1.899,1.895,1.399,NA,1.649,NA,NA,NA,1.616,NA,NA,2.403,0.606,0.819,0.632,NA,0.687,0.219,0.457,0.554,0.505,0.306,0.755,NA,NA,0.528,1.085,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,Jarbidge,NA,1.384,1.51,NA,NA,1.001,1.422,0.322,0.207,0.678,0.394,0.902,1.148,0.736,NA,NA,NA,2.132,NA,NA,NA,NA,NA,NA,NA,1.167,NA,NA,NA,0.39,NA,NA,NA,NA,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.608,0.724,1.6,1.3,0.931,NA,1.255,2.627,1.858,1.353,NA,1.617,NA,NA,NA,2.292,NA,NA,3.007,0.395,0.793,1.16,NA,0.965,0.738,0.436,1.169,0.462,0.876,0.918,NA,NA,0.557,1.273,NA,NA,NA,NA,NA,NA,4.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,Jarbidge,NA,1.01,0.957,NA,NA,1.159,1.091,0.373,0.366,0.991,0.7,0.969,0.841,0.979,NA,NA,NA,2.247,NA,NA,NA,NA,NA,NA,NA,1.32,NA,NA,NA,0.278,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.596,0.799,1.759,1.35,1.304,0.725,1.496,1.558,1.498,0.824,NA,1.823,NA,NA,NA,2.734,NA,NA,2.285,0.359,0.689,0.512,NA,0.657,0.461,0.466,0.886,0.444,0.992,1.013,NA,NA,0.524,1.092,NA,NA,NA,NA,NA,NA,4.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,Jarbidge,NA,1.076,1.145,NA,NA,0.817,0.603,0.716,0.15,0.45,0.095,0.264,0.492,0.582,NA,NA,NA,1.255,NA,NA,NA,NA,NA,NA,NA,1.144,NA,NA,NA,0.158,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.789,1.335,2.711,1.738,1.123,0.705,1.131,1.811,1.096,1.391,NA,1.473,NA,NA,NA,2.797,NA,NA,1.76,0.252,0.867,0.317,NA,0.902,0.568,0.649,0.989,0.474,1.262,0.847,NA,NA,0.593,1.041,NA,NA,NA,NA,NA,NA,4.237,NA,NA,NA,NA,NA,NA,NA,1.575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Jarbidge,NA,1.372,1.187,NA,NA,1.681,1.441,0.87,0.509,1.386,0.863,1.648,1.17,1.035,NA,NA,NA,1.692,NA,NA,NA,NA,NA,NA,NA,0.535,NA,NA,NA,0.581,NA,NA,NA,NA,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701,0.653,0.883,0.853,0.926,0.788,0.438,0.799,0.389,0.732,NA,0.927,NA,NA,NA,1.884,NA,NA,1.041,0.251,0.061,0.228,NA,0.446,0.089,0.186,0.394,0.429,0.375,0.361,NA,NA,0.463,0.773,NA,NA,NA,NA,NA,NA,6.823,NA,NA,NA,NA,NA,NA,NA,1.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,Jarbidge,NA,1.76,1.81,NA,NA,1.465,3.167,1.353,0.484,1.28,0.722,1.28,1.602,1.056,NA,NA,NA,1.933,NA,NA,NA,NA,NA,NA,NA,1.011,NA,0.856,NA,0.437,NA,NA,NA,NA,0.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.014,1.007,1.535,1.41,1.294,0.907,1.492,1.836,1.326,1.037,NA,2.118,NA,NA,NA,2.105,NA,NA,2.676,0.64,1.344,0.471,NA,1.029,0.344,0.476,0.841,0.646,1.123,0.758,NA,NA,0.707,1.807,NA,NA,NA,NA,NA,NA,5.513,NA,NA,NA,NA,NA,NA,NA,2.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
