Year,Mountain Range,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,CMI01,CMI02,CMI03,CMI04,CMI05,CMI06,CMI07,CMI08,CMI09,CMI10,CMI11,CMI12
1993,Jarbidge,-7.388,-6.200,0.288,1.150,8.738,8.738,11.288,13.438,11.138,5.400,-3.863,-4.588,76.875,68.500,114.125,92.375,64.625,72.000,28.000,16.750,11.375,41.375,24.500,28.000,7.676,6.836,10.115,7.534,-0.550,0.258,-6.849,-9.669,-8.616,0.308,2.174,2.678
1994,Jarbidge,-2.925,-5.425,0.925,3.025,7.900,12.463,17.588,17.625,12.375,3.888,-6.088,-4.500,43.000,99.500,18.875,116.125,89.000,9.375,10.750,9.625,28.375,41.125,109.375,57.000,3.870,9.901,0.041,8.954,2.870,-10.433,-14.555,-14.571,-7.831,1.183,10.924,5.595
1995,Jarbidge,-3.238,0.663,-1.513,0.675,4.863,8.625,14.575,15.738,11.763,4.625,2.200,-2.775,115.250,33.500,87.500,94.375,142.625,75.250,21.500,6.875,18.250,18.375,73.375,119.750,11.253,1.771,7.959,7.898,10.921,0.930,-10.346,-13.578,-8.136,-2.141,5.294,11.544
1996,Jarbidge,-4.013,-3.300,-0.663,2.238,5.763,12.300,17.325,16.400,9.750,4.575,-0.275,-4.150,154.625,81.875,99.375,65.875,93.125,14.250,19.000,6.250,16.000,56.000,84.000,208.250,15.296,7.835,8.828,4.234,5.139,-9.469,-13.191,-14.273,-6.996,2.035,7.310,20.680
1997,Jarbidge,-5.350,-5.250,-0.163,0.438,8.588,10.763,14.413,16.513,12.088,4.313,-0.075,-5.600,145.000,26.500,52.125,105.625,41.875,91.125,29.750,11.625,20.750,44.875,41.125,37.125,14.460,2.609,3.881,9.106,-3.180,0.840,-8.740,-13.068,-7.659,1.133,2.961,3.701
1998,Jarbidge,-2.500,-4.350,-1.413,1.288,4.688,8.588,17.813,17.663,12.475,3.638,-0.838,-5.588,111.000,88.250,91.000,74.375,159.875,63.375,17.375,3.250,56.750,32.125,84.500,36.375,10.655,8.674,8.274,5.531,12.631,-0.395,-13.206,-15.155,-3.358,0.359,7.625,3.626
1999,Jarbidge,-3.350,-4.088,-1.500,-0.113,4.950,10.863,15.763,16.050,11.175,6.888,2.725,-3.950,101.875,84.625,45.875,79.500,98.250,45.000,2.125,9.250,4.000,18.250,34.875,47.375,9.873,8.273,3.750,6.665,5.886,-4.830,-14.440,-12.873,-9.714,-4.519,1.014,4.535
2000,Jarbidge,-3.713,-1.175,-1.700,4.775,7.663,12.938,17.163,17.613,10.950,4.675,-4.538,-3.200,117.375,108.625,69.625,55.750,58.000,3.750,6.000,12.125,22.625,81.000,36.250,54.500,11.519,10.073,6.148,1.578,-0.274,-11.089,-14.914,-14.145,-7.255,4.679,3.528,5.088
2001,Jarbidge,-5.313,-5.225,0.325,1.400,9.325,12.138,16.150,18.663,13.350,6.675,0.488,-5.588,57.375,37.625,77.500,93.625,20.250,33.000,30.625,5.000,18.750,21.750,104.375,124.000,5.713,3.720,6.323,7.384,-6.504,-7.965,-10.429,-16.571,-9.675,-3.198,8.980,12.384
2002,Jarbidge,-5.950,-4.375,-3.000,2.975,6.613,12.750,18.875,15.013,11.438,3.763,0.413,-2.638,69.750,35.625,55.625,81.625,47.625,31.875,6.375,5.250,30.000,15.500,62.375,84.750,6.970,3.365,5.105,5.464,-0.695,-7.663,-16.025,-12.565,-6.380,-1.656,4.885,8.053
2003,Jarbidge,0.813,-4.525,0.213,1.038,7.438,12.813,19.350,17.488,12.038,8.425,-3.038,-2.713,40.250,36.375,78.250,152.750,65.750,7.125,18.875,43.875,13.750,10.250,81.875,131.375,2.618,3.524,6.510,13.661,0.554,-10.605,-15.471,-9.700,-8.761,-5.769,7.854,12.781
2004,Jarbidge,-4.775,-5.100,2.575,3.775,6.625,12.250,16.950,15.188,10.600,4.863,-1.138,-2.088,72.000,86.000,27.250,86.000,83.250,17.125,34.500,37.000,32.000,73.375,59.250,77.875,7.118,8.524,0.216,5.560,3.304,-8.923,-10.420,-7.934,-5.536,4.145,5.111,7.253
2005,Jarbidge,-2.900,-3.150,-0.475,2.125,7.238,9.388,17.650,16.425,10.175,5.813,0.538,-2.988,81.250,38.625,86.375,145.125,155.750,45.750,15.500,12.625,21.625,32.875,86.250,177.625,7.739,3.459,7.559,12.386,10.504,-2.923,-13.586,-12.339,-6.935,-1.075,7.218,17.415
2006,Jarbidge,-3.100,-4.163,-2.838,3.050,8.363,13.563,19.000,15.750,10.950,4.900,-0.125,-3.800,136.125,66.000,92.500,128.250,65.125,30.750,19.500,2.500,20.000,48.125,100.375,93.875,13.271,6.385,8.798,10.355,-0.385,-8.284,-13.785,-13.175,-7.150,1.105,8.908,9.161
2007,Jarbidge,-6.325,-1.638,2.388,3.400,8.675,13.163,19.513,17.250,10.788,4.613,0.738,-5.688,23.250,86.000,56.625,84.500,25.000,23.500,19.000,3.875,28.250,81.000,32.250,88.875,2.314,7.931,3.308,5.514,-4.996,-9.215,-14.309,-14.026,-6.174,4.888,1.646,8.898
2008,Jarbidge,-6.825,-3.400,-2.475,-0.063,6.288,11.350,17.088,16.800,11.963,6.138,2.913,-4.450,93.750,87.000,63.750,62.375,63.375,25.875,15.250,6.375,5.125,35.625,107.625,127.250,9.370,8.408,5.853,4.859,1.710,-6.906,-13.361,-13.431,-9.795,-1.128,8.671,12.614
2009,Jarbidge,-2.538,-3.188,-1.713,1.975,8.688,10.700,16.725,15.338,14.100,2.938,0.425,-6.863,78.125,55.875,72.625,81.500,48.625,134.000,15.125,27.125,14.250,82.125,21.875,76.250,7.313,5.234,6.558,6.070,-2.219,5.933,-11.974,-9.243,-9.753,5.960,0.801,7.621
2010,Jarbidge,-2.363,-2.788,-1.150,1.138,3.075,10.788,16.088,15.050,12.225,7.100,-1.975,-2.438,74.375,43.875,71.875,110.750,93.875,27.375,10.875,7.375,33.125,92.125,121.125,149.125,6.974,3.959,6.319,9.360,6.939,-5.461,-12.484,-12.053,-7.286,4.536,11.543,14.511
1910,Ruby,-6.871,-5.514,4.143,6.843,10.214,14.471,18.757,16.829,12.457,7.586,3.243,-1.114,68.429,51.714,14.000,29.429,28.857,3.143,16.714,10.000,30.000,48.571,20.714,82.000,6.846,5.169,-2.020,-3.157,-6.599,-12.871,-14.070,-15.904,-7.790,-2.053,-0.757,7.306
1911,Ruby,-1.971,-6.129,2.029,2.700,6.814,13.314,17.371,16.400,11.514,5.114,-1.186,-6.229,137.429,88.714,50.857,61.429,65.571,60.000,11.571,2.000,42.857,47.571,59.286,57.429,13.124,8.877,2.849,3.201,0.856,-4.333,-13.804,-16.099,-6.210,0.489,4.943,5.749
1912,Ruby,-2.129,-0.400,-0.114,2.243,7.229,13.414,16.357,16.486,9.400,5.100,2.071,-3.357,60.286,33.714,95.571,110.571,21.714,40.714,42.286,32.857,25.429,121.429,73.286,44.000,5.384,2.253,8.390,8.966,-3.267,-6.787,-8.500,-10.371,-6.137,8.559,5.293,4.060
1913,Ruby,-6.129,-4.000,-1.100,4.371,9.471,12.014,16.114,17.586,12.543,6.100,2.157,-5.500,55.429,33.000,38.857,57.286,55.143,116.571,45.286,35.000,27.714,36.429,103.429,100.571,5.534,3.103,2.901,1.866,-2.879,2.664,-7.564,-10.289,-7.457,-1.256,8.366,10.059
1914,Ruby,-1.557,-2.800,1.957,4.486,10.157,11.686,17.686,17.857,12.186,7.943,2.571,-7.214,128.000,71.571,38.714,83.857,47.143,78.143,19.000,6.286,21.714,47.857,2.714,11.286,12.136,6.723,1.539,4.977,-3.896,-1.079,-11.603,-15.249,-8.781,-0.926,-2.747,1.131
1915,Ruby,-4.443,-0.757,1.514,6.629,7.157,11.843,17.000,18.771,11.229,8.243,0.871,-2.200,35.714,77.857,25.714,94.000,62.429,11.286,5.286,4.429,35.000,1.857,41.429,68.000,3.463,6.909,0.464,4.286,1.286,-8.490,-13.434,-16.541,-6.283,-7.261,2.453,6.261
1916,Ruby,-6.900,-1.686,2.243,5.214,6.200,12.157,17.157,16.257,12.400,5.286,-1.043,-5.100,175.429,91.857,73.429,19.286,34.000,4.286,20.143,17.714,8.143,70.000,30.857,105.714,17.549,8.523,5.103,-2.466,-1.611,-10.459,-13.306,-12.276,-10.900,2.983,2.020,10.556
1917,Ruby,-9.114,-4.157,-4.443,1.929,5.600,12.614,19.443,17.357,12.786,9.243,3.629,2.100,17.571,121.714,48.143,89.571,138.857,25.857,38.429,17.857,30.429,1.571,67.714,22.714,1.753,11.997,4.681,6.821,10.184,-8.849,-13.454,-13.424,-8.356,-8.890,3.617,-0.167
1918,Ruby,-2.114,-4.443,1.700,3.243,7.257,17.171,18.029,15.843,13.786,8.914,-0.486,-5.114,108.143,92.714,85.714,65.286,87.429,65.429,25.286,22.714,57.143,77.000,63.000,61.714,10.166,9.156,6.491,3.137,2.489,-8.071,-12.181,-11.500,-5.947,1.241,5.181,6.169
1919,Ruby,-3.243,-3.114,-0.800,5.700,11.114,15.300,19.800,18.629,13.129,3.557,1.014,-4.771,5.143,111.143,109.000,32.143,33.714,3.000,9.571,9.000,40.143,48.857,111.857,128.429,0.104,10.784,9.907,-1.477,-6.774,-13.721,-17.110,-16.430,-6.637,2.133,9.231,12.804
1920,Ruby,-1.357,-1.114,-0.971,1.729,7.829,12.014,18.400,17.457,12.043,4.814,0.100,-3.386,77.571,84.429,118.000,119.571,30.286,78.286,15.143,32.000,48.714,83.143,60.571,152.429,6.859,7.441,10.883,9.994,-3.343,-2.347,-13.751,-11.083,-5.864,4.960,5.001,14.950
1921,Ruby,-2.871,-1.771,2.243,2.829,8.357,14.186,17.971,17.986,10.829,8.800,3.543,-1.157,137.571,77.857,49.286,97.714,117.714,20.286,14.714,24.143,13.429,21.286,15.571,148.000,13.359,7.056,2.807,7.303,5.703,-8.739,-13.739,-11.950,-9.126,-6.233,-1.789,13.867
1922,Ruby,-10.400,-7.057,-3.429,0.671,8.129,14.686,18.343,18.100,14.414,7.043,-1.271,-2.486,139.286,156.286,75.286,73.429,103.143,62.143,34.857,38.857,3.000,32.429,100.714,116.429,13.917,15.639,7.219,5.756,3.937,-5.399,-12.093,-9.930,-12.809,-2.341,9.329,11.213
1923,Ruby,-1.743,-6.214,-1.700,2.757,8.429,10.700,19.071,16.829,12.514,5.129,2.214,-5.586,57.857,32.714,23.286,88.000,84.143,66.571,20.714,28.857,57.000,59.429,19.143,65.571,5.154,3.274,1.576,6.319,1.704,-1.753,-13.600,-10.750,-4.214,2.289,-0.389,6.556
1924,Ruby,-6.114,1.629,-2.343,3.771,11.514,14.200,18.214,17.443,13.157,6.943,0.386,-6.414,42.000,49.857,76.714,48.286,12.714,4.571,12.571,5.000,34.857,63.571,61.714,105.286,4.196,3.121,7.086,1.343,-9.361,-12.304,-14.411,-15.604,-8.759,1.174,4.709,10.530
1925,Ruby,-3.986,0.386,1.471,4.729,10.729,12.800,19.286,16.700,11.586,6.771,0.500,-0.800,62.000,65.143,61.714,168.571,100.714,88.714,48.143,35.571,74.714,38.429,65.429,74.143,6.026,5.186,4.189,13.259,1.060,-0.824,-10.254,-10.419,-2.136,-1.297,5.094,6.424
1926,Ruby,-3.114,-0.157,1.900,6.686,10.300,15.800,18.214,18.129,10.171,7.857,2.843,-3.914,55.286,94.571,28.143,61.286,31.000,33.571,31.714,27.571,26.429,13.429,77.000,42.000,5.069,8.214,0.480,1.017,-5.523,-9.964,-11.663,-11.969,-6.166,-5.400,5.206,3.990
1927,Ruby,-3.000,-1.086,0.086,3.314,7.543,14.357,18.700,16.700,11.386,7.671,4.800,-5.171,56.714,115.857,69.000,54.857,53.143,28.714,6.000,27.429,14.000,54.000,59.143,117.286,5.247,10.714,5.639,2.446,-0.206,-9.311,-16.039,-10.819,-8.273,-0.739,2.659,11.706
1928,Ruby,-2.686,-1.871,2.657,3.114,10.986,12.857,18.843,18.014,13.900,7.700,1.329,-5.614,36.429,40.857,98.000,42.429,22.857,57.857,18.000,8.571,7.000,38.000,54.714,55.857,3.123,3.317,7.421,1.286,-7.076,-4.694,-14.379,-14.840,-13.021,-2.636,3.791,5.557
1929,Ruby,-5.429,-5.329,0.271,2.186,8.243,12.757,19.143,19.643,11.929,7.486,0.629,1.200,84.000,27.714,81.286,81.429,15.000,67.571,10.857,32.714,49.286,10.000,5.286,83.714,8.419,2.759,6.671,5.853,-5.799,-3.800,-15.204,-12.321,-5.341,-5.876,-1.599,6.543
1930,Ruby,-7.271,0.457,0.700,6.857,6.743,13.400,19.071,17.671,11.857,5.543,-1.729,-7.414,102.143,65.714,31.429,69.143,130.286,22.286,11.714,60.714,43.143,62.714,96.143,34.714,10.227,5.097,1.433,1.280,8.144,-9.607,-15.589,-6.217,-5.373,2.254,8.726,3.460
1931,Ruby,-4.557,-1.214,0.800,5.286,10.114,15.086,20.786,18.686,12.129,8.571,-2.571,-7.086,25.143,25.429,45.143,28.429,33.286,11.143,5.571,33.857,38.857,25.571,74.000,87.571,2.416,1.740,2.844,-1.783,-6.154,-11.263,-17.896,-12.184,-6.533,-4.311,6.867,8.759
1932,Ruby,-8.729,-5.543,-0.657,3.857,8.429,13.114,17.457,16.971,13.671,6.243,2.914,-8.386,110.000,98.714,44.857,73.857,66.857,62.286,30.714,20.857,6.571,17.000,25.714,82.286,11.001,9.851,3.604,4.307,0.454,-3.454,-11.913,-12.089,-12.087,-3.636,-0.164,8.251
1933,Ruby,-6.700,-9.729,0.029,2.514,5.143,15.343,20.014,18.129,13.471,9.857,1.657,-0.900,91.571,56.571,38.857,65.714,68.143,4.000,11.143,6.714,18.857,9.286,12.857,81.571,9.134,5.640,2.567,4.059,3.180,-12.771,-17.087,-16.053,-10.474,-8.580,-1.140,7.061
1934,Ruby,-0.414,1.386,4.400,7.471,12.257,12.629,19.443,20.043,12.571,8.514,2.600,-2.357,26.857,73.571,45.571,30.857,16.857,42.714,8.429,8.143,30.857,15.857,87.571,62.429,1.570,5.549,0.317,-4.154,-9.013,-6.629,-16.696,-16.960,-8.346,-5.736,6.520,5.673
1935,Ruby,-2.529,-1.257,-1.157,3.957,7.557,14.286,18.214,18.829,14.814,6.014,-1.000,-3.200,51.286,58.286,66.857,106.286,86.857,11.857,4.143,7.857,11.571,30.000,21.286,59.571,4.639,4.961,5.704,7.460,2.971,-11.149,-15.840,-15.811,-12.134,-2.084,1.090,5.556
1936,Ruby,-2.643,-2.929,0.471,6.143,10.714,15.000,19.443,18.257,11.671,7.629,0.814,-2.986,91.429,138.429,49.857,32.857,33.429,60.286,39.857,30.857,18.000,41.429,14.143,121.429,8.706,13.450,3.367,-1.720,-6.601,-5.793,-12.261,-12.151,-8.993,-2.059,-0.520,11.743
1937,Ruby,-13.857,-4.600,0.157,2.957,10.414,13.214,18.686,18.671,13.914,8.386,2.800,-1.214,81.000,79.714,50.714,45.857,57.429,31.286,28.571,6.857,6.143,27.143,56.143,92.143,8.111,7.886,3.737,1.796,-3.794,-7.644,-12.953,-16.797,-11.901,-4.620,3.290,8.334
1938,Ruby,-1.929,-2.029,-1.000,4.329,7.471,13.886,17.500,17.871,14.829,7.100,-2.571,-1.729,44.571,77.714,94.286,71.143,66.000,27.286,43.000,24.571,3.429,99.143,54.286,24.714,3.804,7.187,8.514,3.631,1.034,-8.349,-9.660,-13.213,-12.441,4.994,4.936,1.719
1939,Ruby,-3.600,-7.343,0.729,6.257,10.057,12.500,18.714,18.400,12.800,7.000,2.429,1.014,45.571,68.000,69.143,71.286,40.143,17.571,21.857,6.429,29.143,78.143,13.857,20.857,4.281,6.803,5.233,1.899,-4.704,-9.396,-14.347,-16.539,-8.010,2.513,-1.500,0.377
1940,Ruby,-1.914,-0.886,1.900,4.686,11.157,15.957,18.614,19.429,12.457,8.071,-0.829,-1.400,98.143,75.143,62.714,124.429,15.571,26.571,5.000,4.286,65.571,32.286,30.571,60.000,9.211,6.657,4.079,8.889,-8.581,-11.880,-17.210,-18.427,-2.780,-3.259,2.054,5.174
1941,Ruby,-2.814,-0.471,1.429,2.371,9.400,11.957,18.371,16.471,8.843,5.157,0.743,-1.414,44.857,60.429,43.571,126.429,69.714,73.429,16.714,61.571,34.000,79.571,83.571,106.286,4.066,5.041,2.311,10.604,-0.276,-1.841,-13.524,-6.349,-4.143,4.274,6.694,9.921
1942,Ruby,-4.214,-6.543,-2.186,3.986,6.229,11.729,19.257,17.729,12.086,7.486,0.943,-0.700,59.571,78.143,48.429,73.857,60.857,11.000,10.286,5.714,4.429,54.286,88.714,88.000,5.810,7.824,4.151,4.031,1.460,-9.181,-17.153,-15.647,-11.386,-0.799,7.183,7.839
1943,Ruby,-2.400,-1.586,0.457,7.614,7.557,10.729,17.771,17.429,13.886,7.886,1.129,-2.529,77.571,60.714,35.143,78.286,37.000,81.286,10.714,6.714,4.286,72.143,28.000,43.000,7.220,5.161,2.073,1.736,-2.591,-0.460,-14.869,-15.404,-13.577,1.294,1.001,3.766
1944,Ruby,-7.771,-4.243,-2.071,1.657,8.586,9.957,17.086,16.557,12.643,8.614,-2.557,-4.629,46.286,40.000,40.714,111.429,18.714,80.714,3.143,2.000,4.714,12.714,137.571,35.000,4.639,3.849,3.356,9.291,-5.314,-0.160,-15.177,-16.286,-11.919,-6.314,13.273,3.419
1945,Ruby,-3.943,-2.329,-2.229,1.343,8.243,9.543,17.686,17.557,11.243,8.000,-0.443,-4.314,19.000,77.429,107.714,41.286,97.714,80.143,17.143,35.857,21.714,35.714,64.000,69.000,1.719,7.200,10.121,2.216,3.713,0.704,-13.759,-11.499,-8.704,-2.970,5.450,6.769
1946,Ruby,-4.943,-3.357,0.600,6.300,7.900,13.386,18.300,18.157,11.414,3.571,-0.157,-0.371,39.143,28.429,120.143,37.429,65.714,8.714,36.857,19.286,12.286,115.286,75.000,61.286,3.894,2.459,10.481,-1.544,0.341,-10.970,-12.197,-14.101,-9.916,9.066,6.387,5.077
1947,Ruby,-5.929,1.186,2.229,3.757,10.400,11.186,18.114,17.043,13.186,7.871,-1.943,-3.686,38.571,38.143,29.714,62.286,67.429,39.714,2.571,16.429,29.571,48.714,71.429,43.714,3.879,2.123,0.573,3.107,-2.623,-5.029,-16.249,-13.061,-9.127,-1.170,6.611,4.126
1948,Ruby,-1.471,-4.171,-3.243,3.157,8.214,12.786,17.000,16.886,12.286,7.386,-1.457,-6.114,27.857,47.714,62.143,64.143,8.286,53.143,2.143,3.429,40.000,21.714,41.000,87.571,1.906,4.611,5.839,3.594,-6.291,-5.289,-15.477,-15.506,-7.374,-4.247,3.274,8.743
1949,Ruby,-13.300,-8.943,-1.357,6.171,8.643,12.071,17.357,17.286,13.057,4.543,4.500,-4.386,94.571,74.000,46.286,15.857,95.857,20.429,8.286,7.857,8.714,27.000,33.714,35.571,9.449,7.373,3.840,-4.100,3.073,-8.393,-15.079,-15.196,-11.689,-1.016,-0.923,3.424
1950,Ruby,-6.029,-1.000,-0.629,3.371,6.614,12.171,17.371,16.886,11.486,8.914,2.700,1.414,88.571,17.143,66.429,42.714,41.000,22.571,31.286,5.286,26.143,48.143,114.571,70.857,8.863,0.701,5.531,1.036,-1.424,-9.254,-10.827,-15.439,-7.276,-3.124,9.109,5.524
1951,Ruby,-4.014,-1.757,-1.343,4.857,8.186,12.086,18.543,16.729,12.786,5.714,-0.171,-6.800,65.000,61.714,40.000,68.714,19.714,3.286,16.429,13.857,7.429,29.714,52.857,84.571,6.297,5.411,3.041,2.814,-4.567,-10.973,-14.849,-12.619,-11.844,-1.647,4.080,8.446
1952,Ruby,-7.029,-5.886,-4.386,5.029,9.186,12.229,17.414,17.957,13.500,9.771,-2.486,-2.557,68.000,63.000,82.286,56.429,24.714,16.571,24.857,5.000,5.286,2.000,17.857,49.429,6.786,6.297,8.110,1.761,-5.119,-8.771,-12.706,-15.694,-12.666,-10.677,1.101,4.471
1953,Ruby,1.686,-1.614,1.143,2.614,4.886,11.886,18.900,16.686,13.714,7.029,2.843,-4.343,56.429,26.714,33.286,51.286,57.857,26.429,6.286,13.571,5.286,29.571,33.429,52.286,4.029,1.801,1.397,2.570,1.949,-8.114,-16.999,-14.426,-13.209,-2.713,0.833,5.083
1954,Ruby,-2.786,0.786,-1.586,5.514,10.586,11.800,18.900,15.557,11.857,6.329,2.971,-4.743,37.429,29.143,59.571,53.000,7.000,42.714,7.429,3.857,7.000,12.714,21.000,46.714,3.277,1.199,5.120,0.377,-9.590,-5.854,-16.174,-13.851,-11.173,-4.831,-0.941,4.594
1955,Ruby,-8.643,-7.000,-1.714,1.771,6.871,12.657,16.986,18.443,12.386,7.629,-1.257,-2.143,52.571,40.571,15.714,34.286,66.286,21.429,16.714,29.714,30.429,10.714,53.000,159.000,5.239,4.063,0.776,1.120,0.890,-8.874,-12.801,-13.663,-8.590,-5.766,4.420,15.371
1956,Ruby,-1.214,-7.300,0.386,3.757,8.986,13.514,17.786,16.286,13.343,5.943,-1.271,-2.914,128.143,35.143,19.000,60.714,77.714,22.286,9.857,1.286,5.571,42.429,7.857,49.286,12.084,3.523,0.341,2.839,0.714,-10.136,-15.266,-14.623,-12.591,-0.506,-0.366,4.409
1957,Ruby,-7.357,-0.429,0.443,2.714,7.400,13.400,17.586,17.271,12.157,5.757,-2.743,-1.586,37.286,39.714,105.571,47.143,105.571,33.286,3.286,5.286,15.143,26.429,61.000,34.286,3.721,2.757,9.154,2.183,5.250,-7.614,-15.704,-15.941,-10.633,-1.700,5.613,2.600
1958,Ruby,-3.100,0.571,-2.186,2.414,11.229,13.171,16.486,19.114,12.657,8.071,0.857,0.986,39.429,72.286,72.143,19.429,15.429,21.714,6.714,24.571,12.000,2.571,35.571,32.286,3.507,5.816,6.584,-0.537,-9.004,-8.879,-13.937,-14.653,-10.627,-7.903,1.677,1.376
1959,Ruby,-1.043,-2.757,0.257,5.214,6.100,14.643,18.614,16.043,10.014,7.143,1.243,-4.286,40.143,34.286,33.857,21.429,49.143,46.000,6.429,18.143,71.714,5.714,3.571,24.429,3.137,2.974,1.760,-2.833,0.066,-8.813,-16.549,-13.539,-1.303,-5.411,-2.207,2.276
1960,Ruby,-6.429,-4.643,1.586,4.257,7.586,14.471,18.971,16.343,13.629,6.386,0.814,-3.214,34.714,81.714,74.429,54.429,25.000,15.143,17.000,10.429,8.429,26.429,95.857,23.000,3.461,8.106,5.363,1.630,-4.140,-11.611,-16.127,-14.339,-12.030,-2.734,8.200,1.869
1961,Ruby,-2.971,-0.571,-0.357,3.214,8.300,15.557,18.771,18.257,9.457,5.829,-1.614,-3.714,4.714,65.429,56.571,20.714,41.714,15.571,16.286,39.714,19.714,36.857,40.286,45.571,-0.083,5.490,4.516,-1.243,-3.027,-12.753,-15.206,-10.616,-6.574,-0.729,3.244,4.316
1962,Ruby,-6.157,-2.671,-2.386,6.071,6.800,12.357,16.186,16.386,12.629,8.200,1.743,-1.629,43.429,121.000,37.429,40.429,124.286,47.000,21.571,6.857,7.857,23.286,26.143,5.000,4.336,11.649,3.160,-1.461,7.609,-5.946,-12.467,-14.471,-12.216,-5.314,0.283,-0.530
1963,Ruby,-5.400,2.314,-0.971,0.614,9.471,9.871,16.729,17.129,14.229,9.300,0.429,-3.600,59.429,60.429,55.714,129.000,64.429,123.000,1.000,11.143,39.143,61.286,74.000,27.429,5.944,3.726,4.450,11.403,-1.320,5.036,-15.621,-14.549,-8.266,-1.620,6.009,2.456
1964,Ruby,-7.000,-6.429,-4.043,2.357,7.129,10.600,18.114,16.000,10.843,8.271,-2.100,-2.014,61.714,15.714,53.429,57.143,82.143,88.714,3.143,3.000,5.714,29.571,56.714,175.857,6.161,1.569,5.129,3.314,2.543,0.586,-16.340,-14.636,-10.741,-5.340,4.987,17.019
1965,Ruby,-1.757,-1.971,-1.814,3.686,5.614,11.029,16.657,15.600,8.529,8.514,2.257,-5.443,44.714,33.714,23.429,82.857,38.429,48.429,21.571,72.000,20.286,16.143,103.286,76.429,3.819,2.596,1.449,5.417,-0.684,-4.109,-11.557,-4.730,-5.449,-6.953,8.277,7.653
1966,Ruby,-5.971,-5.743,0.129,3.329,10.500,12.614,18.143,17.371,13.486,6.186,1.543,-6.129,23.429,31.143,20.857,29.571,24.000,16.429,27.857,8.857,13.143,7.143,43.571,123.000,2.353,3.113,0.446,-0.687,-7.966,-9.891,-14.144,-15.003,-10.337,-5.084,2.509,12.321
1967,Ruby,-3.229,-2.086,0.371,0.286,7.729,10.871,18.357,18.714,13.800,7.443,2.457,-5.757,57.286,13.857,98.143,88.143,58.429,90.286,28.714,8.286,21.857,20.143,18.714,28.286,5.393,0.691,8.396,7.486,-0.197,0.983,-12.729,-16.120,-9.406,-4.893,-0.646,2.820
1968,Ruby,-4.000,1.071,1.414,1.657,7.657,13.014,18.571,14.071,11.129,6.671,0.329,-4.514,41.429,87.429,56.571,41.429,65.000,81.857,10.857,57.857,15.571,31.286,67.429,92.429,3.926,7.166,3.539,1.906,0.183,-2.606,-15.656,-5.089,-9.119,-2.534,5.587,9.167
1969,Ruby,-1.486,-4.971,-3.957,4.257,10.829,11.600,17.614,18.957,13.586,3.400,0.343,-2.686,70.857,113.286,26.286,40.286,16.571,98.714,20.714,5.714,14.714,58.286,34.143,111.000,6.386,11.314,2.400,0.377,-8.179,1.797,-13.119,-17.181,-10.863,3.186,1.819,10.633
1970,Ruby,-2.571,0.643,-1.071,0.000,7.943,12.771,17.843,18.743,9.514,3.700,1.686,-5.229,103.714,21.286,23.000,39.429,37.286,71.571,30.571,35.143,32.714,42.714,118.286,60.143,9.913,0.530,1.234,2.557,-2.996,-3.054,-11.799,-12.656,-5.704,0.886,10.249,6.016
1971,Ruby,-1.671,-1.686,-1.014,2.686,6.514,11.971,17.800,18.743,9.300,4.071,-1.157,-7.014,50.286,45.857,38.286,79.571,171.143,56.571,11.286,19.000,20.143,33.429,70.286,74.857,4.349,3.833,2.799,5.417,12.691,-4.117,-14.101,-14.020,-7.079,0.106,6.183,7.477
1972,Ruby,-4.471,-1.500,3.229,2.857,9.229,14.143,17.586,17.043,9.871,5.614,-1.657,-6.800,40.000,40.429,33.286,42.714,30.857,46.429,4.000,22.857,41.571,90.429,47.286,69.429,3.899,3.220,0.166,1.434,-5.387,-6.469,-14.970,-11.904,-3.996,5.271,4.117,6.939
1973,Ruby,-6.057,-2.986,-1.529,2.057,9.343,13.257,17.614,17.243,11.100,6.529,-0.086,-2.257,57.857,48.857,65.429,50.429,48.571,30.429,27.714,18.000,20.714,29.857,92.714,76.143,5.799,4.479,5.854,2.919,-3.223,-8.044,-11.869,-12.887,-8.096,-2.510,8.236,7.083
1974,Ruby,-4.157,-2.729,1.643,2.971,8.614,15.686,17.829,16.657,13.100,6.900,1.186,-4.129,44.000,40.286,45.000,48.714,9.857,2.143,9.714,6.429,3.286,63.286,26.143,47.714,4.250,3.520,2.566,2.027,-6.726,-14.066,-14.364,-14.796,-12.744,0.950,0.916,4.610
1975,Ruby,-5.357,-3.371,-1.571,-0.786,6.000,11.329,18.500,15.671,12.486,5.829,-1.086,-1.071,61.286,59.714,100.714,88.429,45.286,36.571,30.143,10.000,13.143,91.714,74.571,20.286,6.126,5.677,9.353,7.927,-0.136,-5.636,-11.886,-12.336,-10.643,5.006,6.549,1.084
1976,Ruby,-2.814,-1.529,-1.814,2.486,9.986,11.786,18.000,14.614,12.471,5.700,2.486,-2.100,22.571,59.714,29.143,61.429,26.429,22.571,24.143,36.571,73.714,32.286,11.857,3.857,1.777,5.163,2.053,3.516,-6.304,-8.474,-13.406,-8.396,-2.361,-1.697,-1.816,-0.491
