"","years","Tag","Ring_width(mm)"
"11963",1954,"2865756010690-2865770010690",0.52
"11964",1955,"2865756010690-2865770010690",0.46
"11965",1956,"2865756010690-2865770010690",0.7
"11966",1957,"2865756010690-2865770010690",0.58
"11967",1958,"2865756010690-2865770010690",0.69
"11968",1959,"2865756010690-2865770010690",0.44
"11969",1960,"2865756010690-2865770010690",0.46
"11970",1961,"2865756010690-2865770010690",0.51
"11971",1962,"2865756010690-2865770010690",0.84
"11972",1963,"2865756010690-2865770010690",0.64
"11973",1964,"2865756010690-2865770010690",0.59
"11974",1965,"2865756010690-2865770010690",0.9
"11975",1966,"2865756010690-2865770010690",0.85
"11976",1967,"2865756010690-2865770010690",0.62
"11977",1968,"2865756010690-2865770010690",0.58
"11978",1969,"2865756010690-2865770010690",0.6
"11979",1970,"2865756010690-2865770010690",0.69
"11980",1971,"2865756010690-2865770010690",0.65
"11981",1972,"2865756010690-2865770010690",0.55
"11982",1973,"2865756010690-2865770010690",0.79
"11983",1974,"2865756010690-2865770010690",0.35
"11984",1975,"2865756010690-2865770010690",0.51
"11985",1976,"2865756010690-2865770010690",0.5
"11986",1977,"2865756010690-2865770010690",0.19
"11987",1978,"2865756010690-2865770010690",0.45
"11988",1979,"2865756010690-2865770010690",0.59
"11989",1980,"2865756010690-2865770010690",0.42
"11990",1981,"2865756010690-2865770010690",0.5
"11991",1982,"2865756010690-2865770010690",0.81
"11992",1983,"2865756010690-2865770010690",0.64
"11993",1984,"2865756010690-2865770010690",0.77
"11994",1985,"2865756010690-2865770010690",0.78
"11995",1986,"2865756010690-2865770010690",1.22
"11996",1987,"2865756010690-2865770010690",0.74
"11997",1988,"2865756010690-2865770010690",1.03
"11998",1989,"2865756010690-2865770010690",0.32
"11999",1990,"2865756010690-2865770010690",0.56
"12000",1991,"2865756010690-2865770010690",0.62
"12001",1992,"2865756010690-2865770010690",0.76
"12002",1866,"2865787010690-2865795010690",1.32
"12003",1867,"2865787010690-2865795010690",2.02
"12004",1868,"2865787010690-2865795010690",2.04
"12005",1869,"2865787010690-2865795010690",2.2
"12006",1870,"2865787010690-2865795010690",1.34
"12007",1871,"2865787010690-2865795010690",0.26
"12008",1872,"2865787010690-2865795010690",1.01
"12009",1873,"2865787010690-2865795010690",2
"12010",1874,"2865787010690-2865795010690",2.88
"12011",1875,"2865787010690-2865795010690",2.14
"12012",1876,"2865787010690-2865795010690",1.62
"12013",1877,"2865787010690-2865795010690",1.84
"12014",1878,"2865787010690-2865795010690",1.62
"12015",1879,"2865787010690-2865795010690",1.11
"12016",1880,"2865787010690-2865795010690",2.31
"12017",1881,"2865787010690-2865795010690",1.78
"12018",1882,"2865787010690-2865795010690",1
"12019",1883,"2865787010690-2865795010690",2.12
"12020",1884,"2865787010690-2865795010690",2.37
"12021",1885,"2865787010690-2865795010690",2.48
"12022",1886,"2865787010690-2865795010690",1.18
"12023",1887,"2865787010690-2865795010690",2.28
"12024",1888,"2865787010690-2865795010690",1.72
"12025",1889,"2865787010690-2865795010690",1.92
"12026",1890,"2865787010690-2865795010690",1.74
"12027",1891,"2865787010690-2865795010690",1.79
"12028",1892,"2865787010690-2865795010690",2.01
"12029",1893,"2865787010690-2865795010690",1.1
"12030",1894,"2865787010690-2865795010690",1.8
"12031",1895,"2865787010690-2865795010690",2.19
"12032",1896,"2865787010690-2865795010690",1.75
"12033",1897,"2865787010690-2865795010690",1.57
"12034",1898,"2865787010690-2865795010690",1.81
"12035",1899,"2865787010690-2865795010690",1.02
"12036",1900,"2865787010690-2865795010690",1.34
"12037",1901,"2865787010690-2865795010690",1.76
"12038",1902,"2865787010690-2865795010690",1.68
"12039",1903,"2865787010690-2865795010690",1.76
"12040",1904,"2865787010690-2865795010690",1.71
"12041",1905,"2865787010690-2865795010690",1.68
"12042",1906,"2865787010690-2865795010690",1.75
"12043",1907,"2865787010690-2865795010690",2.27
"12044",1908,"2865787010690-2865795010690",2.2
"12045",1909,"2865787010690-2865795010690",2.26
"12046",1910,"2865787010690-2865795010690",2.07
"12047",1911,"2865787010690-2865795010690",2.18
"12048",1912,"2865787010690-2865795010690",2
"12049",1913,"2865787010690-2865795010690",1.82
"12050",1914,"2865787010690-2865795010690",2.38
"12051",1915,"2865787010690-2865795010690",2.17
"12052",1916,"2865787010690-2865795010690",1.77
"12053",1917,"2865787010690-2865795010690",2.53
"12054",1918,"2865787010690-2865795010690",2.18
"12055",1919,"2865787010690-2865795010690",1.99
"12056",1920,"2865787010690-2865795010690",1.37
"12057",1921,"2865787010690-2865795010690",1.66
"12058",1922,"2865787010690-2865795010690",1.87
"12059",1923,"2865787010690-2865795010690",1.98
"12060",1924,"2865787010690-2865795010690",1.6
"12061",1925,"2865787010690-2865795010690",1.57
"12062",1926,"2865787010690-2865795010690",1.72
"12063",1927,"2865787010690-2865795010690",1.89
"12064",1928,"2865787010690-2865795010690",1.43
"12065",1929,"2865787010690-2865795010690",1
"12066",1930,"2865787010690-2865795010690",1.69
"12067",1931,"2865787010690-2865795010690",1.13
"12068",1932,"2865787010690-2865795010690",1.11
"12069",1933,"2865787010690-2865795010690",1.08
"12070",1934,"2865787010690-2865795010690",0.62
"12071",1935,"2865787010690-2865795010690",0.62
"12072",1936,"2865787010690-2865795010690",0.77
"12073",1937,"2865787010690-2865795010690",1.23
"12074",1938,"2865787010690-2865795010690",0.96
"12075",1939,"2865787010690-2865795010690",1.07
"12076",1940,"2865787010690-2865795010690",1.01
"12077",1941,"2865787010690-2865795010690",0.84
"12078",1942,"2865787010690-2865795010690",1.17
"12079",1943,"2865787010690-2865795010690",1
"12080",1944,"2865787010690-2865795010690",0.97
"12081",1945,"2865787010690-2865795010690",0.91
"12082",1946,"2865787010690-2865795010690",0.85
"12083",1947,"2865787010690-2865795010690",0.91
"12084",1948,"2865787010690-2865795010690",0.97
"12085",1949,"2865787010690-2865795010690",1.23
"12086",1950,"2865787010690-2865795010690",0.98
"12087",1951,"2865787010690-2865795010690",0.96
"12088",1952,"2865787010690-2865795010690",0.82
"12089",1953,"2865787010690-2865795010690",0.45
"12090",1954,"2865787010690-2865795010690",0.81
"12091",1955,"2865787010690-2865795010690",0.77
"12092",1956,"2865787010690-2865795010690",0.94
"12093",1957,"2865787010690-2865795010690",0.77
"12094",1958,"2865787010690-2865795010690",0.59
"12095",1959,"2865787010690-2865795010690",0.57
"12096",1960,"2865787010690-2865795010690",0.63
"12097",1961,"2865787010690-2865795010690",0.48
"12098",1962,"2865787010690-2865795010690",0.69
"12099",1963,"2865787010690-2865795010690",0.8
"12100",1964,"2865787010690-2865795010690",0.89
"12101",1965,"2865787010690-2865795010690",0.87
"12102",1966,"2865787010690-2865795010690",0.62
"12103",1967,"2865787010690-2865795010690",0.61
"12104",1968,"2865787010690-2865795010690",0.7
"12105",1969,"2865787010690-2865795010690",0.83
"12106",1970,"2865787010690-2865795010690",0.59
"12107",1971,"2865787010690-2865795010690",0.65
"12108",1972,"2865787010690-2865795010690",0.75
"12109",1973,"2865787010690-2865795010690",0.69
"12110",1974,"2865787010690-2865795010690",0.31
"12111",1975,"2865787010690-2865795010690",0.55
"12112",1976,"2865787010690-2865795010690",0.49
"12113",1977,"2865787010690-2865795010690",0.29
"12114",1978,"2865787010690-2865795010690",0.45
"12115",1979,"2865787010690-2865795010690",0.43
"12116",1980,"2865787010690-2865795010690",0.4
"12117",1981,"2865787010690-2865795010690",0.39
"12118",1982,"2865787010690-2865795010690",0.41
"12119",1983,"2865787010690-2865795010690",0.6
"12120",1984,"2865787010690-2865795010690",0.51
"12121",1985,"2865787010690-2865795010690",0.47
"12122",1986,"2865787010690-2865795010690",0.94
"12123",1987,"2865787010690-2865795010690",0.73
"12124",1988,"2865787010690-2865795010690",0.65
"12125",1989,"2865787010690-2865795010690",0.32
"12126",1990,"2865787010690-2865795010690",0.52
"12127",1991,"2865787010690-2865795010690",0.51
"12128",1992,"2865787010690-2865795010690",0.42
"12129",1888,"2865787010690-2865796010690",2.33
"12130",1889,"2865787010690-2865796010690",1.73
"12131",1890,"2865787010690-2865796010690",2.6
"12132",1891,"2865787010690-2865796010690",2.83
"12133",1892,"2865787010690-2865796010690",1.97
"12134",1893,"2865787010690-2865796010690",1.41
"12135",1894,"2865787010690-2865796010690",1.73
"12136",1895,"2865787010690-2865796010690",1.64
"12137",1896,"2865787010690-2865796010690",1.64
"12138",1897,"2865787010690-2865796010690",1.91
"12139",1898,"2865787010690-2865796010690",1.98
"12140",1899,"2865787010690-2865796010690",0.61
"12141",1900,"2865787010690-2865796010690",1.13
"12142",1901,"2865787010690-2865796010690",1.2
"12143",1902,"2865787010690-2865796010690",1.29
"12144",1903,"2865787010690-2865796010690",1.48
"12145",1904,"2865787010690-2865796010690",1.66
"12146",1905,"2865787010690-2865796010690",1.22
"12147",1906,"2865787010690-2865796010690",1.36
"12148",1907,"2865787010690-2865796010690",1.89
"12149",1908,"2865787010690-2865796010690",1.91
"12150",1909,"2865787010690-2865796010690",1.08
"12151",1910,"2865787010690-2865796010690",1.56
"12152",1911,"2865787010690-2865796010690",2.07
"12153",1912,"2865787010690-2865796010690",1.53
"12154",1913,"2865787010690-2865796010690",1.61
"12155",1914,"2865787010690-2865796010690",1.87
"12156",1915,"2865787010690-2865796010690",1.27
"12157",1916,"2865787010690-2865796010690",1.41
"12158",1917,"2865787010690-2865796010690",2.47
"12159",1918,"2865787010690-2865796010690",1.69
"12160",1919,"2865787010690-2865796010690",1.56
"12161",1920,"2865787010690-2865796010690",1.26
"12162",1921,"2865787010690-2865796010690",1.48
"12163",1922,"2865787010690-2865796010690",1.47
"12164",1923,"2865787010690-2865796010690",1.12
"12165",1924,"2865787010690-2865796010690",1.06
"12166",1925,"2865787010690-2865796010690",0.85
"12167",1926,"2865787010690-2865796010690",1.18
"12168",1927,"2865787010690-2865796010690",1.19
"12169",1928,"2865787010690-2865796010690",0.97
"12170",1929,"2865787010690-2865796010690",0.76
"12171",1930,"2865787010690-2865796010690",0.91
"12172",1931,"2865787010690-2865796010690",0.8
"12173",1932,"2865787010690-2865796010690",0.56
"12174",1933,"2865787010690-2865796010690",0.62
"12175",1934,"2865787010690-2865796010690",0.28
"12176",1935,"2865787010690-2865796010690",0.3
"12177",1936,"2865787010690-2865796010690",0.47
"12178",1937,"2865787010690-2865796010690",0.76
"12179",1938,"2865787010690-2865796010690",0.72
"12180",1939,"2865787010690-2865796010690",0.75
"12181",1940,"2865787010690-2865796010690",0.87
"12182",1941,"2865787010690-2865796010690",0.84
"12183",1942,"2865787010690-2865796010690",1.06
"12184",1943,"2865787010690-2865796010690",1.35
"12185",1944,"2865787010690-2865796010690",1.09
"12186",1945,"2865787010690-2865796010690",1.03
"12187",1946,"2865787010690-2865796010690",0.7
"12188",1947,"2865787010690-2865796010690",0.72
"12189",1948,"2865787010690-2865796010690",0.67
"12190",1949,"2865787010690-2865796010690",0.82
"12191",1950,"2865787010690-2865796010690",0.7
"12192",1951,"2865787010690-2865796010690",0.64
"12193",1952,"2865787010690-2865796010690",0.53
"12194",1953,"2865787010690-2865796010690",0.33
"12195",1954,"2865787010690-2865796010690",0.45
"12196",1955,"2865787010690-2865796010690",0.43
"12197",1956,"2865787010690-2865796010690",0.53
"12198",1957,"2865787010690-2865796010690",0.54
"12199",1958,"2865787010690-2865796010690",0.55
"12200",1959,"2865787010690-2865796010690",0.53
"12201",1960,"2865787010690-2865796010690",0.56
"12202",1961,"2865787010690-2865796010690",0.53
"12203",1962,"2865787010690-2865796010690",0.57
"12204",1963,"2865787010690-2865796010690",0.61
"12205",1964,"2865787010690-2865796010690",0.57
"12206",1965,"2865787010690-2865796010690",0.68
"12207",1966,"2865787010690-2865796010690",0.45
"12208",1967,"2865787010690-2865796010690",0.53
"12209",1968,"2865787010690-2865796010690",0.62
"12210",1969,"2865787010690-2865796010690",1
"12211",1970,"2865787010690-2865796010690",0.62
"12212",1971,"2865787010690-2865796010690",0.69
"12213",1972,"2865787010690-2865796010690",0.63
"12214",1973,"2865787010690-2865796010690",0.7
"12215",1974,"2865787010690-2865796010690",0.34
"12216",1975,"2865787010690-2865796010690",0.58
"12217",1976,"2865787010690-2865796010690",0.62
"12218",1977,"2865787010690-2865796010690",0.3
"12219",1978,"2865787010690-2865796010690",0.56
"12220",1979,"2865787010690-2865796010690",0.44
"12221",1980,"2865787010690-2865796010690",0.43
"12222",1981,"2865787010690-2865796010690",0.58
"12223",1982,"2865787010690-2865796010690",0.6
"12224",1983,"2865787010690-2865796010690",0.68
"12225",1984,"2865787010690-2865796010690",0.77
"12226",1985,"2865787010690-2865796010690",0.7
"12227",1986,"2865787010690-2865796010690",1.2
"12228",1987,"2865787010690-2865796010690",0.92
"12229",1988,"2865787010690-2865796010690",1.02
"12230",1989,"2865787010690-2865796010690",0.42
"12231",1990,"2865787010690-2865796010690",0.72
"12232",1991,"2865787010690-2865796010690",0.65
"12233",1992,"2865787010690-2865796010690",0.72
"12234",1952,"2865936010690-2865943010690",1.99
"12235",1953,"2865936010690-2865943010690",1.33
"12236",1954,"2865936010690-2865943010690",1.36
"12237",1955,"2865936010690-2865943010690",1.38
"12238",1956,"2865936010690-2865943010690",1.35
"12239",1957,"2865936010690-2865943010690",1.47
"12240",1958,"2865936010690-2865943010690",1.42
"12241",1959,"2865936010690-2865943010690",0.97
"12242",1960,"2865936010690-2865943010690",0.68
"12243",1961,"2865936010690-2865943010690",0.67
"12244",1962,"2865936010690-2865943010690",1.44
"12245",1963,"2865936010690-2865943010690",1.42
"12246",1964,"2865936010690-2865943010690",1.55
"12247",1965,"2865936010690-2865943010690",2.33
"12248",1966,"2865936010690-2865943010690",1.15
"12249",1967,"2865936010690-2865943010690",1.8
"12250",1968,"2865936010690-2865943010690",1.53
"12251",1969,"2865936010690-2865943010690",1.94
"12252",1970,"2865936010690-2865943010690",1.2
"12253",1971,"2865936010690-2865943010690",1.24
"12254",1972,"2865936010690-2865943010690",1.1
"12255",1973,"2865936010690-2865943010690",1.51
"12256",1974,"2865936010690-2865943010690",1.05
"12257",1975,"2865936010690-2865943010690",1.33
"12258",1976,"2865936010690-2865943010690",0.96
"12259",1977,"2865936010690-2865943010690",0.5
"12260",1978,"2865936010690-2865943010690",1.32
"12261",1979,"2865936010690-2865943010690",1.03
"12262",1980,"2865936010690-2865943010690",1.31
"12263",1981,"2865936010690-2865943010690",1.52
"12264",1982,"2865936010690-2865943010690",1.17
"12265",1983,"2865936010690-2865943010690",1.45
"12266",1984,"2865936010690-2865943010690",1.5
"12267",1985,"2865936010690-2865943010690",1.08
"12268",1986,"2865936010690-2865943010690",1.25
"12269",1987,"2865936010690-2865943010690",1.94
"12270",1953,"2865936010690-2865944010690",0.48
"12271",1954,"2865936010690-2865944010690",0.27
"12272",1955,"2865936010690-2865944010690",0.13
"12273",1956,"2865936010690-2865944010690",0.22
"12274",1957,"2865936010690-2865944010690",0.3
"12275",1958,"2865936010690-2865944010690",0.42
"12276",1959,"2865936010690-2865944010690",0.46
"12277",1960,"2865936010690-2865944010690",0.64
"12278",1961,"2865936010690-2865944010690",0.33
"12279",1962,"2865936010690-2865944010690",0.51
"12280",1963,"2865936010690-2865944010690",0.37
"12281",1964,"2865936010690-2865944010690",0.69
"12282",1965,"2865936010690-2865944010690",1.21
"12283",1966,"2865936010690-2865944010690",1.01
"12284",1967,"2865936010690-2865944010690",1.25
"12285",1968,"2865936010690-2865944010690",1.07
"12286",1969,"2865936010690-2865944010690",1.28
"12287",1970,"2865936010690-2865944010690",1.05
"12288",1971,"2865936010690-2865944010690",0.92
"12289",1972,"2865936010690-2865944010690",1.04
"12290",1973,"2865936010690-2865944010690",1.25
"12291",1974,"2865936010690-2865944010690",0.79
"12292",1975,"2865936010690-2865944010690",1.44
"12293",1976,"2865936010690-2865944010690",0.81
"12294",1977,"2865936010690-2865944010690",0.72
"12295",1978,"2865936010690-2865944010690",1.03
"12296",1979,"2865936010690-2865944010690",1.04
"12297",1980,"2865936010690-2865944010690",1.55
"12298",1981,"2865936010690-2865944010690",1.37
"12299",1982,"2865936010690-2865944010690",1.2
"12300",1983,"2865936010690-2865944010690",1.92
"12301",1984,"2865936010690-2865944010690",1.85
"12302",1985,"2865936010690-2865944010690",1.53
"12303",1986,"2865936010690-2865944010690",1.68
"12304",1987,"2865936010690-2865944010690",1.41
"12305",1988,"2865936010690-2865944010690",0.74
"12306",1922,"2865936010690-2865961010690",0.23
"12307",1923,"2865936010690-2865961010690",0.26
"12308",1924,"2865936010690-2865961010690",0.45
"12309",1925,"2865936010690-2865961010690",0.58
"12310",1926,"2865936010690-2865961010690",0.67
"12311",1927,"2865936010690-2865961010690",0.41
"12312",1928,"2865936010690-2865961010690",0.85
"12313",1929,"2865936010690-2865961010690",0.59
"12314",1930,"2865936010690-2865961010690",0.6
"12315",1931,"2865936010690-2865961010690",0.46
"12316",1932,"2865936010690-2865961010690",0.63
"12317",1933,"2865936010690-2865961010690",0.26
"12318",1934,"2865936010690-2865961010690",0.25
"12319",1935,"2865936010690-2865961010690",0.46
"12320",1936,"2865936010690-2865961010690",0.64
"12321",1937,"2865936010690-2865961010690",1.13
"12322",1938,"2865936010690-2865961010690",1.02
"12323",1939,"2865936010690-2865961010690",0.74
"12324",1940,"2865936010690-2865961010690",0.64
"12325",1941,"2865936010690-2865961010690",1.37
"12326",1942,"2865936010690-2865961010690",1.39
"12327",1943,"2865936010690-2865961010690",1.17
"12328",1944,"2865936010690-2865961010690",1.08
"12329",1945,"2865936010690-2865961010690",1.27
"12330",1946,"2865936010690-2865961010690",1.04
"12331",1947,"2865936010690-2865961010690",1.16
"12332",1948,"2865936010690-2865961010690",0.84
"12333",1949,"2865936010690-2865961010690",1.38
"12334",1950,"2865936010690-2865961010690",1.8
"12335",1951,"2865936010690-2865961010690",1.28
"12336",1952,"2865936010690-2865961010690",1.52
"12337",1953,"2865936010690-2865961010690",1.13
"12338",1954,"2865936010690-2865961010690",1.38
"12339",1955,"2865936010690-2865961010690",1.05
"12340",1956,"2865936010690-2865961010690",0.93
"12341",1957,"2865936010690-2865961010690",1.06
"12342",1958,"2865936010690-2865961010690",1.15
"12343",1959,"2865936010690-2865961010690",1.41
"12344",1960,"2865936010690-2865961010690",1.72
"12345",1961,"2865936010690-2865961010690",1.19
"12346",1962,"2865936010690-2865961010690",2.05
"12347",1963,"2865936010690-2865961010690",1.15
"12348",1964,"2865936010690-2865961010690",1.03
"12349",1965,"2865936010690-2865961010690",1.95
"12350",1966,"2865936010690-2865961010690",1.13
"12351",1967,"2865936010690-2865961010690",1.74
"12352",1968,"2865936010690-2865961010690",1.74
"12353",1969,"2865936010690-2865961010690",1.95
"12354",1970,"2865936010690-2865961010690",0.95
"12355",1971,"2865936010690-2865961010690",1.08
"12356",1972,"2865936010690-2865961010690",1.37
"12357",1973,"2865936010690-2865961010690",2.21
"12358",1974,"2865936010690-2865961010690",1.46
"12359",1975,"2865936010690-2865961010690",1.38
"12360",1976,"2865936010690-2865961010690",1.46
"12361",1977,"2865936010690-2865961010690",1.17
"12362",1978,"2865936010690-2865961010690",2.41
"12363",1979,"2865936010690-2865961010690",1.62
"12364",1980,"2865936010690-2865961010690",1.39
"12365",1981,"2865936010690-2865961010690",1.63
"12366",1982,"2865936010690-2865961010690",1.2
"12367",1983,"2865936010690-2865961010690",1.26
"12368",1984,"2865936010690-2865961010690",1.46
"12369",1985,"2865936010690-2865961010690",1.31
"12370",1986,"2865936010690-2865961010690",1.02
"12371",1987,"2865936010690-2865961010690",0.86
"12372",1988,"2865936010690-2865961010690",0.56
"12373",1912,"2866101010690-2866110010690",0.31
"12374",1913,"2866101010690-2866110010690",0.37
"12375",1914,"2866101010690-2866110010690",0.62
"12376",1915,"2866101010690-2866110010690",0.44
"12377",1916,"2866101010690-2866110010690",0.38
"12378",1917,"2866101010690-2866110010690",0.2
"12379",1918,"2866101010690-2866110010690",0.59
"12380",1919,"2866101010690-2866110010690",0.3
"12381",1920,"2866101010690-2866110010690",0.66
"12382",1921,"2866101010690-2866110010690",0.58
"12383",1922,"2866101010690-2866110010690",0.56
"12384",1923,"2866101010690-2866110010690",0.48
"12385",1924,"2866101010690-2866110010690",0.36
"12386",1925,"2866101010690-2866110010690",0.5
"12387",1926,"2866101010690-2866110010690",0.92
"12388",1927,"2866101010690-2866110010690",1.24
"12389",1928,"2866101010690-2866110010690",1.34
"12390",1929,"2866101010690-2866110010690",1.08
"12391",1930,"2866101010690-2866110010690",0.91
"12392",1931,"2866101010690-2866110010690",0.92
"12393",1932,"2866101010690-2866110010690",0.99
"12394",1933,"2866101010690-2866110010690",1.22
"12395",1934,"2866101010690-2866110010690",0.74
"12396",1935,"2866101010690-2866110010690",1.17
"12397",1936,"2866101010690-2866110010690",0.77
"12398",1937,"2866101010690-2866110010690",0.96
"12399",1938,"2866101010690-2866110010690",0.65
"12400",1939,"2866101010690-2866110010690",0.45
"12401",1940,"2866101010690-2866110010690",0.8
"12402",1941,"2866101010690-2866110010690",1.49
"12403",1942,"2866101010690-2866110010690",1.58
"12404",1943,"2866101010690-2866110010690",1.16
"12405",1944,"2866101010690-2866110010690",1.16
"12406",1945,"2866101010690-2866110010690",1.28
"12407",1946,"2866101010690-2866110010690",0.93
"12408",1947,"2866101010690-2866110010690",1.21
"12409",1948,"2866101010690-2866110010690",1.15
"12410",1949,"2866101010690-2866110010690",1.05
"12411",1950,"2866101010690-2866110010690",0.76
"12412",1951,"2866101010690-2866110010690",0.44
"12413",1952,"2866101010690-2866110010690",0.49
"12414",1953,"2866101010690-2866110010690",0.55
"12415",1954,"2866101010690-2866110010690",0.62
"12416",1955,"2866101010690-2866110010690",0.64
"12417",1956,"2866101010690-2866110010690",0.69
"12418",1957,"2866101010690-2866110010690",0.64
"12419",1958,"2866101010690-2866110010690",0.96
"12420",1959,"2866101010690-2866110010690",0.49
"12421",1960,"2866101010690-2866110010690",0.67
"12422",1961,"2866101010690-2866110010690",0.9
"12423",1962,"2866101010690-2866110010690",1.11
"12424",1963,"2866101010690-2866110010690",0.97
"12425",1964,"2866101010690-2866110010690",0.99
"12426",1965,"2866101010690-2866110010690",1.29
"12427",1966,"2866101010690-2866110010690",1.29
"12428",1967,"2866101010690-2866110010690",1.12
"12429",1968,"2866101010690-2866110010690",1.43
"12430",1969,"2866101010690-2866110010690",1.27
"12431",1970,"2866101010690-2866110010690",1.07
"12432",1971,"2866101010690-2866110010690",1.02
"12433",1972,"2866101010690-2866110010690",0.88
"12434",1973,"2866101010690-2866110010690",1.1
"12435",1974,"2866101010690-2866110010690",1.21
"12436",1975,"2866101010690-2866110010690",1.01
"12437",1976,"2866101010690-2866110010690",1.48
"12438",1977,"2866101010690-2866110010690",0.89
"12439",1978,"2866101010690-2866110010690",0.88
"12440",1979,"2866101010690-2866110010690",1.06
"12441",1980,"2866101010690-2866110010690",1.17
"12442",1981,"2866101010690-2866110010690",1.27
"12443",1982,"2866101010690-2866110010690",1.24
"12444",1983,"2866101010690-2866110010690",1
"12445",1984,"2866101010690-2866110010690",1.21
"12446",1985,"2866101010690-2866110010690",1.14
"12447",1986,"2866101010690-2866110010690",1.1
"12448",1987,"2866101010690-2866110010690",0.87
"12449",1988,"2866101010690-2866110010690",0.96
"12450",1939,"2866224010690-2866235010690",0.42
"12451",1940,"2866224010690-2866235010690",0.23
"12452",1941,"2866224010690-2866235010690",0.38
"12453",1942,"2866224010690-2866235010690",0.37
"12454",1943,"2866224010690-2866235010690",0.45
"12455",1944,"2866224010690-2866235010690",0.53
"12456",1945,"2866224010690-2866235010690",0.69
"12457",1946,"2866224010690-2866235010690",0.42
"12458",1947,"2866224010690-2866235010690",1.08
"12459",1948,"2866224010690-2866235010690",0.8
"12460",1949,"2866224010690-2866235010690",0.58
"12461",1950,"2866224010690-2866235010690",0.79
"12462",1951,"2866224010690-2866235010690",0.62
"12463",1952,"2866224010690-2866235010690",0.47
"12464",1953,"2866224010690-2866235010690",0.41
"12465",1954,"2866224010690-2866235010690",0.77
"12466",1955,"2866224010690-2866235010690",0.75
"12467",1956,"2866224010690-2866235010690",0.33
"12468",1957,"2866224010690-2866235010690",0.3
"12469",1958,"2866224010690-2866235010690",0.55
"12470",1959,"2866224010690-2866235010690",0.24
"12471",1960,"2866224010690-2866235010690",0.58
"12472",1961,"2866224010690-2866235010690",0.24
"12473",1962,"2866224010690-2866235010690",0.61
"12474",1963,"2866224010690-2866235010690",0.27
"12475",1964,"2866224010690-2866235010690",0.22
"12476",1965,"2866224010690-2866235010690",0.6
"12477",1966,"2866224010690-2866235010690",0.95
"12478",1967,"2866224010690-2866235010690",1.01
"12479",1968,"2866224010690-2866235010690",1.38
"12480",1969,"2866224010690-2866235010690",1.28
"12481",1970,"2866224010690-2866235010690",0.71
"12482",1971,"2866224010690-2866235010690",0.61
"12483",1972,"2866224010690-2866235010690",0.59
"12484",1973,"2866224010690-2866235010690",0.72
"12485",1974,"2866224010690-2866235010690",0.5
"12486",1975,"2866224010690-2866235010690",0.64
"12487",1976,"2866224010690-2866235010690",0.79
"12488",1977,"2866224010690-2866235010690",0.62
"12489",1978,"2866224010690-2866235010690",0.45
"12490",1979,"2866224010690-2866235010690",0.78
"12491",1980,"2866224010690-2866235010690",0.89
"12492",1981,"2866224010690-2866235010690",0.99
"12493",1982,"2866224010690-2866235010690",1.07
"12494",1983,"2866224010690-2866235010690",1.11
"12495",1984,"2866224010690-2866235010690",0.57
"12496",1985,"2866224010690-2866235010690",1.09
"12497",1986,"2866224010690-2866235010690",1.27
"12498",1987,"2866224010690-2866235010690",0.84
"12499",1828,"2866273010690-2866292010690",0.56
"12500",1829,"2866273010690-2866292010690",0.89
"12501",1830,"2866273010690-2866292010690",0.69
"12502",1831,"2866273010690-2866292010690",0.44
"12503",1832,"2866273010690-2866292010690",0.54
"12504",1833,"2866273010690-2866292010690",0.34
"12505",1834,"2866273010690-2866292010690",0.52
"12506",1835,"2866273010690-2866292010690",0.4
"12507",1836,"2866273010690-2866292010690",0.38
"12508",1837,"2866273010690-2866292010690",0.37
"12509",1838,"2866273010690-2866292010690",0.35
"12510",1839,"2866273010690-2866292010690",0.51
"12511",1840,"2866273010690-2866292010690",0.22
"12512",1841,"2866273010690-2866292010690",0.4
"12513",1842,"2866273010690-2866292010690",0.3
"12514",1843,"2866273010690-2866292010690",0.43
"12515",1844,"2866273010690-2866292010690",0.51
"12516",1845,"2866273010690-2866292010690",0.28
"12517",1846,"2866273010690-2866292010690",0.42
"12518",1847,"2866273010690-2866292010690",0.33
"12519",1848,"2866273010690-2866292010690",0.48
"12520",1849,"2866273010690-2866292010690",0.54
"12521",1850,"2866273010690-2866292010690",0.52
"12522",1851,"2866273010690-2866292010690",0.48
"12523",1852,"2866273010690-2866292010690",0.43
"12524",1853,"2866273010690-2866292010690",0.33
"12525",1854,"2866273010690-2866292010690",0.69
"12526",1855,"2866273010690-2866292010690",0.66
"12527",1856,"2866273010690-2866292010690",0.48
"12528",1857,"2866273010690-2866292010690",0.59
"12529",1858,"2866273010690-2866292010690",0.67
"12530",1859,"2866273010690-2866292010690",0.37
"12531",1860,"2866273010690-2866292010690",0.65
"12532",1861,"2866273010690-2866292010690",0.46
"12533",1862,"2866273010690-2866292010690",0.49
"12534",1863,"2866273010690-2866292010690",0.63
"12535",1864,"2866273010690-2866292010690",0.56
"12536",1865,"2866273010690-2866292010690",0.6
"12537",1866,"2866273010690-2866292010690",0.6
"12538",1867,"2866273010690-2866292010690",0.85
"12539",1868,"2866273010690-2866292010690",0.74
"12540",1869,"2866273010690-2866292010690",0.72
"12541",1870,"2866273010690-2866292010690",0.49
"12542",1871,"2866273010690-2866292010690",0.27
"12543",1872,"2866273010690-2866292010690",0.47
"12544",1873,"2866273010690-2866292010690",0.66
"12545",1874,"2866273010690-2866292010690",0.47
